context: You pesky moth! response:	I don't remember a thing while I was transformed.
context: You pesky moth!\I don't remember a thing while I was transformed. response:	Tetsusaiga suppresses the demon blood that flows through him.
context: You pesky moth!\I don't remember a thing while I was transformed.\Tetsusaiga suppresses the demon blood that flows through him. response:	Tetsusaiga is merely a dog's fang.
context: You pesky moth!\I don't remember a thing while I was transformed.\Tetsusaiga suppresses the demon blood that flows through him.\Tetsusaiga is merely a dog's fang. response:	At that moment, Tetsusaiga was broken...
context: You pesky moth!\I don't remember a thing while I was transformed.\Tetsusaiga suppresses the demon blood that flows through him.\Tetsusaiga is merely a dog's fang.\At that moment, Tetsusaiga was broken... response:	awakening the demon blood inside Inuyasha.
context: You pesky moth!\I don't remember a thing while I was transformed.\Tetsusaiga suppresses the demon blood that flows through him.\Tetsusaiga is merely a dog's fang.\At that moment, Tetsusaiga was broken...\awakening the demon blood inside Inuyasha. response:	Once awakened, the demon blood will try to protect itself and retransform.
context: You pesky moth!\I don't remember a thing while I was transformed.\Tetsusaiga suppresses the demon blood that flows through him.\Tetsusaiga is merely a dog's fang.\At that moment, Tetsusaiga was broken...\awakening the demon blood inside Inuyasha.\Once awakened, the demon blood will try to protect itself and retransform. response:	That's why you must not let go of Tetsusaiga.
context: You pesky moth!\I don't remember a thing while I was transformed.\Tetsusaiga suppresses the demon blood that flows through him.\Tetsusaiga is merely a dog's fang.\At that moment, Tetsusaiga was broken...\awakening the demon blood inside Inuyasha.\Once awakened, the demon blood will try to protect itself and retransform.\That's why you must not let go of Tetsusaiga. response:	Otherwise, when your life is in danger, you will transform, Inuyasha.
context: I don't remember a thing while I was transformed.\Tetsusaiga suppresses the demon blood that flows through him.\Tetsusaiga is merely a dog's fang.\At that moment, Tetsusaiga was broken...\awakening the demon blood inside Inuyasha.\Once awakened, the demon blood will try to protect itself and retransform.\That's why you must not let go of Tetsusaiga.\Otherwise, when your life is in danger, you will transform, Inuyasha. response:	The next time I transform...
context: Tetsusaiga suppresses the demon blood that flows through him.\Tetsusaiga is merely a dog's fang.\At that moment, Tetsusaiga was broken...\awakening the demon blood inside Inuyasha.\Once awakened, the demon blood will try to protect itself and retransform.\That's why you must not let go of Tetsusaiga.\Otherwise, when your life is in danger, you will transform, Inuyasha.\The next time I transform... response:	I might use these claws and tear you apart...
context: Tetsusaiga is merely a dog's fang.\At that moment, Tetsusaiga was broken...\awakening the demon blood inside Inuyasha.\Once awakened, the demon blood will try to protect itself and retransform.\That's why you must not let go of Tetsusaiga.\Otherwise, when your life is in danger, you will transform, Inuyasha.\The next time I transform...\I might use these claws and tear you apart... response:	Kagome...
