context: Biba-sama! response:	Lord Liberator!
context: Biba-sama!\Lord Liberator! response:	Long live Biba!
context: Biba-sama!\Lord Liberator!\Long live Biba! response:	You know what, brother...
context: Biba-sama!\Lord Liberator!\Long live Biba!\You know what, brother... response:	He said he did the operation himself.
context: Biba-sama!\Lord Liberator!\Long live Biba!\You know what, brother...\He said he did the operation himself. response:	Weird guy, right?
context: Biba-sama!\Lord Liberator!\Long live Biba!\You know what, brother...\He said he did the operation himself.\Weird guy, right? response:	He did it himself?
context: Biba-sama!\Lord Liberator!\Long live Biba!\You know what, brother...\He said he did the operation himself.\Weird guy, right?\He did it himself? response:	That's impressive.
context: Biba-sama!\Lord Liberator!\Long live Biba!\You know what, brother...\He said he did the operation himself.\Weird guy, right?\He did it himself?\That's impressive. response:	Biba Amatori-sama, I presume.
context: Lord Liberator!\Long live Biba!\You know what, brother...\He said he did the operation himself.\Weird guy, right?\He did it himself?\That's impressive.\Biba Amatori-sama, I presume. response:	I am Ayame, heir to the Yomokawa family.
context: Long live Biba!\You know what, brother...\He said he did the operation himself.\Weird guy, right?\He did it himself?\That's impressive.\Biba Amatori-sama, I presume.\I am Ayame, heir to the Yomokawa family. response:	Yomokawa?
context: You know what, brother...\He said he did the operation himself.\Weird guy, right?\He did it himself?\That's impressive.\Biba Amatori-sama, I presume.\I am Ayame, heir to the Yomokawa family.\Yomokawa? response:	Then you are the elder's...
context: He said he did the operation himself.\Weird guy, right?\He did it himself?\That's impressive.\Biba Amatori-sama, I presume.\I am Ayame, heir to the Yomokawa family.\Yomokawa?\Then you are the elder's... response:	Elder Dogen Makino is my uncle.
context: Weird guy, right?\He did it himself?\That's impressive.\Biba Amatori-sama, I presume.\I am Ayame, heir to the Yomokawa family.\Yomokawa?\Then you are the elder's...\Elder Dogen Makino is my uncle. response:	They're all going to Diamond Citadel too, brother.
context: He did it himself?\That's impressive.\Biba Amatori-sama, I presume.\I am Ayame, heir to the Yomokawa family.\Yomokawa?\Then you are the elder's...\Elder Dogen Makino is my uncle.\They're all going to Diamond Citadel too, brother. response:	We owe Nameless -san a great deal.
