context: All units, stay put. response:	We grab him when he flips off the engine.
context: All units, stay put.\We grab him when he flips off the engine. response:	Once in a while, O'Neill's tips actually come in handy.
context: All units, stay put.\We grab him when he flips off the engine.\Once in a while, O'Neill's tips actually come in handy. response:	I'm tired of waiting, Kei.
context: All units, stay put.\We grab him when he flips off the engine.\Once in a while, O'Neill's tips actually come in handy.\I'm tired of waiting, Kei. response:	Let's finish this up and go home.
context: All units, stay put.\We grab him when he flips off the engine.\Once in a while, O'Neill's tips actually come in handy.\I'm tired of waiting, Kei.\Let's finish this up and go home. response:	We're not here on a shopping trip. This isn't that easy.
context: All units, stay put.\We grab him when he flips off the engine.\Once in a while, O'Neill's tips actually come in handy.\I'm tired of waiting, Kei.\Let's finish this up and go home.\We're not here on a shopping trip. This isn't that easy. response:	Shopping is a lot harder than this.
context: All units, stay put.\We grab him when he flips off the engine.\Once in a while, O'Neill's tips actually come in handy.\I'm tired of waiting, Kei.\Let's finish this up and go home.\We're not here on a shopping trip. This isn't that easy.\Shopping is a lot harder than this. response:	Doreany shops have far too many things for sale.
context: All units, stay put.\We grab him when he flips off the engine.\Once in a while, O'Neill's tips actually come in handy.\I'm tired of waiting, Kei.\Let's finish this up and go home.\We're not here on a shopping trip. This isn't that easy.\Shopping is a lot harder than this.\Doreany shops have far too many things for sale. response:	You've been here four months.
context: We grab him when he flips off the engine.\Once in a while, O'Neill's tips actually come in handy.\I'm tired of waiting, Kei.\Let's finish this up and go home.\We're not here on a shopping trip. This isn't that easy.\Shopping is a lot harder than this.\Doreany shops have far too many things for sale.\You've been here four months. response:	Get used to it already, country girl.
context: Once in a while, O'Neill's tips actually come in handy.\I'm tired of waiting, Kei.\Let's finish this up and go home.\We're not here on a shopping trip. This isn't that easy.\Shopping is a lot harder than this.\Doreany shops have far too many things for sale.\You've been here four months.\Get used to it already, country girl. response:	Country girl?
context: I'm tired of waiting, Kei.\Let's finish this up and go home.\We're not here on a shopping trip. This isn't that easy.\Shopping is a lot harder than this.\Doreany shops have far too many things for sale.\You've been here four months.\Get used to it already, country girl.\Country girl? response:	My Narma is a major city, you know.
context: Let's finish this up and go home.\We're not here on a shopping trip. This isn't that easy.\Shopping is a lot harder than this.\Doreany shops have far too many things for sale.\You've been here four months.\Get used to it already, country girl.\Country girl?\My Narma is a major city, you know. response:	Just shut up-
context: We're not here on a shopping trip. This isn't that easy.\Shopping is a lot harder than this.\Doreany shops have far too many things for sale.\You've been here four months.\Get used to it already, country girl.\Country girl?\My Narma is a major city, you know.\Just shut up- response:	The target's spotted us! The target's spotted us!
context: Shopping is a lot harder than this.\Doreany shops have far too many things for sale.\You've been here four months.\Get used to it already, country girl.\Country girl?\My Narma is a major city, you know.\Just shut up-\The target's spotted us! The target's spotted us! response:	He's getting away!
context: Doreany shops have far too many things for sale.\You've been here four months.\Get used to it already, country girl.\Country girl?\My Narma is a major city, you know.\Just shut up-\The target's spotted us! The target's spotted us!\He's getting away! response:	All units, head in!
context: You've been here four months.\Get used to it already, country girl.\Country girl?\My Narma is a major city, you know.\Just shut up-\The target's spotted us! The target's spotted us!\He's getting away!\All units, head in! response:	Grab the target!
context: Get used to it already, country girl.\Country girl?\My Narma is a major city, you know.\Just shut up-\The target's spotted us! The target's spotted us!\He's getting away!\All units, head in!\Grab the target! response:	Can we use our guns?
context: Country girl?\My Narma is a major city, you know.\Just shut up-\The target's spotted us! The target's spotted us!\He's getting away!\All units, head in!\Grab the target!\Can we use our guns? response:	No!
context: My Narma is a major city, you know.\Just shut up-\The target's spotted us! The target's spotted us!\He's getting away!\All units, head in!\Grab the target!\Can we use our guns?\No! response:	Do not use your weapons!
context: Just shut up-\The target's spotted us! The target's spotted us!\He's getting away!\All units, head in!\Grab the target!\Can we use our guns?\No!\Do not use your weapons! response:	Block off the runway with your cars!
context: The target's spotted us! The target's spotted us!\He's getting away!\All units, head in!\Grab the target!\Can we use our guns?\No!\Do not use your weapons!\Block off the runway with your cars! response:	Leave it to me!
context: He's getting away!\All units, head in!\Grab the target!\Can we use our guns?\No!\Do not use your weapons!\Block off the runway with your cars!\Leave it to me! response:	What?
context: All units, head in!\Grab the target!\Can we use our guns?\No!\Do not use your weapons!\Block off the runway with your cars!\Leave it to me!\What? response:	Hey!
context: Grab the target!\Can we use our guns?\No!\Do not use your weapons!\Block off the runway with your cars!\Leave it to me!\What?\Hey! response:	Shield of law, protection of the war god!
context: Can we use our guns?\No!\Do not use your weapons!\Block off the runway with your cars!\Leave it to me!\What?\Hey!\Shield of law, protection of the war god! response:	Stop!
context: No!\Do not use your weapons!\Block off the runway with your cars!\Leave it to me!\What?\Hey!\Shield of law, protection of the war god!\Stop! response:	Are you trying to get yourself killed?
context: Do not use your weapons!\Block off the runway with your cars!\Leave it to me!\What?\Hey!\Shield of law, protection of the war god!\Stop!\Are you trying to get yourself killed? response:	Hey, what the hell were you thinking?
context: Block off the runway with your cars!\Leave it to me!\What?\Hey!\Shield of law, protection of the war god!\Stop!\Are you trying to get yourself killed?\Hey, what the hell were you thinking? response:	Just watch.
context: Leave it to me!\What?\Hey!\Shield of law, protection of the war god!\Stop!\Are you trying to get yourself killed?\Hey, what the hell were you thinking?\Just watch. response:	Behold the strength of vaifaht steel.
context: What?\Hey!\Shield of law, protection of the war god!\Stop!\Are you trying to get yourself killed?\Hey, what the hell were you thinking?\Just watch.\Behold the strength of vaifaht steel. response:	Moron.
context: Hey!\Shield of law, protection of the war god!\Stop!\Are you trying to get yourself killed?\Hey, what the hell were you thinking?\Just watch.\Behold the strength of vaifaht steel.\Moron. response:	Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.
context: Shield of law, protection of the war god!\Stop!\Are you trying to get yourself killed?\Hey, what the hell were you thinking?\Just watch.\Behold the strength of vaifaht steel.\Moron.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific. response:	Beyond the gate lay a strange world filled with fairies and monsters.
context: Stop!\Are you trying to get yourself killed?\Hey, what the hell were you thinking?\Just watch.\Behold the strength of vaifaht steel.\Moron.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters. response:	Kariaena Island. The city of San-Teresa.
context: Are you trying to get yourself killed?\Hey, what the hell were you thinking?\Just watch.\Behold the strength of vaifaht steel.\Moron.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa. response:	This city is Earth's front door.
context: Hey, what the hell were you thinking?\Just watch.\Behold the strength of vaifaht steel.\Moron.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door. response:	Over two million citizens from this other world live here.
context: Just watch.\Behold the strength of vaifaht steel.\Moron.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here. response:	A mixture of different races and diverse cultures, haves and have-nots...
context: Behold the strength of vaifaht steel.\Moron.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from this other world live here.\A mixture of different races and diverse cultures, haves and have-nots... response:	The world's newest city of dreams.
