context: Timing and Subtitles brought to you by The Little Lover Team @Viki response:	I want to go back to that time again.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I want to go back to that time again. response:	I want to be small again. Minami-kun.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I want to go back to that time again.\I want to be small again. Minami-kun. response:	Where are you, Chiyomi?
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I want to go back to that time again.\I want to be small again. Minami-kun.\Where are you, Chiyomi? response:	Over here, Minami-kun!
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I want to go back to that time again.\I want to be small again. Minami-kun.\Where are you, Chiyomi?\Over here, Minami-kun! response:	In Tokyo?
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I want to go back to that time again.\I want to be small again. Minami-kun.\Where are you, Chiyomi?\Over here, Minami-kun!\In Tokyo? response:	What are you thinking?
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I want to go back to that time again.\I want to be small again. Minami-kun.\Where are you, Chiyomi?\Over here, Minami-kun!\In Tokyo?\What are you thinking? response:	So, I told you yesterday. The dance workshop.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I want to go back to that time again.\I want to be small again. Minami-kun.\Where are you, Chiyomi?\Over here, Minami-kun!\In Tokyo?\What are you thinking?\So, I told you yesterday. The dance workshop. response:	Please, I really want to do it.
context: I want to go back to that time again.\I want to be small again. Minami-kun.\Where are you, Chiyomi?\Over here, Minami-kun!\In Tokyo?\What are you thinking?\So, I told you yesterday. The dance workshop.\Please, I really want to do it. response:	So, please let me stay with you.
context: I want to be small again. Minami-kun.\Where are you, Chiyomi?\Over here, Minami-kun!\In Tokyo?\What are you thinking?\So, I told you yesterday. The dance workshop.\Please, I really want to do it.\So, please let me stay with you. response:	On that day, you fainted at the sound of thunder. Then, you woke up finding yourself small. Correct?
context: Where are you, Chiyomi?\Over here, Minami-kun!\In Tokyo?\What are you thinking?\So, I told you yesterday. The dance workshop.\Please, I really want to do it.\So, please let me stay with you.\On that day, you fainted at the sound of thunder. Then, you woke up finding yourself small. Correct? response:	I see! If I do the same thing here again...
context: Over here, Minami-kun!\In Tokyo?\What are you thinking?\So, I told you yesterday. The dance workshop.\Please, I really want to do it.\So, please let me stay with you.\On that day, you fainted at the sound of thunder. Then, you woke up finding yourself small. Correct?\I see! If I do the same thing here again... response:	So, it's impossible after all.
context: In Tokyo?\What are you thinking?\So, I told you yesterday. The dance workshop.\Please, I really want to do it.\So, please let me stay with you.\On that day, you fainted at the sound of thunder. Then, you woke up finding yourself small. Correct?\I see! If I do the same thing here again...\So, it's impossible after all. response:	Are you okay?
context: What are you thinking?\So, I told you yesterday. The dance workshop.\Please, I really want to do it.\So, please let me stay with you.\On that day, you fainted at the sound of thunder. Then, you woke up finding yourself small. Correct?\I see! If I do the same thing here again...\So, it's impossible after all.\Are you okay? response:	I'm a fool after all. I caught a cold.
context: So, I told you yesterday. The dance workshop.\Please, I really want to do it.\So, please let me stay with you.\On that day, you fainted at the sound of thunder. Then, you woke up finding yourself small. Correct?\I see! If I do the same thing here again...\So, it's impossible after all.\Are you okay?\I'm a fool after all. I caught a cold. response:	Hello.
context: Please, I really want to do it.\So, please let me stay with you.\On that day, you fainted at the sound of thunder. Then, you woke up finding yourself small. Correct?\I see! If I do the same thing here again...\So, it's impossible after all.\Are you okay?\I'm a fool after all. I caught a cold.\Hello. response:	Nomura-san...
