context: It seems the Ancient Dragon is approaching much faster than anticipated. response:	But the Queen's fleet should be here soon.
context: It seems the Ancient Dragon is approaching much faster than anticipated.\But the Queen's fleet should be here soon. response:	Unfortunately, it's taking longer to get additional cannons.
context: It seems the Ancient Dragon is approaching much faster than anticipated.\But the Queen's fleet should be here soon.\Unfortunately, it's taking longer to get additional cannons. response:	I saw the dragon!
context: It seems the Ancient Dragon is approaching much faster than anticipated.\But the Queen's fleet should be here soon.\Unfortunately, it's taking longer to get additional cannons.\I saw the dragon! response:	Fifteen leagues, south-southeast!
context: It seems the Ancient Dragon is approaching much faster than anticipated.\But the Queen's fleet should be here soon.\Unfortunately, it's taking longer to get additional cannons.\I saw the dragon!\Fifteen leagues, south-southeast! response:	It looks like the fleet won't make it in time.
context: It seems the Ancient Dragon is approaching much faster than anticipated.\But the Queen's fleet should be here soon.\Unfortunately, it's taking longer to get additional cannons.\I saw the dragon!\Fifteen leagues, south-southeast!\It looks like the fleet won't make it in time. response:	Zero's Familiar
context: It seems the Ancient Dragon is approaching much faster than anticipated.\But the Queen's fleet should be here soon.\Unfortunately, it's taking longer to get additional cannons.\I saw the dragon!\Fifteen leagues, south-southeast!\It looks like the fleet won't make it in time.\Zero's Familiar response:	Hiraga
context: It seems the Ancient Dragon is approaching much faster than anticipated.\But the Queen's fleet should be here soon.\Unfortunately, it's taking longer to get additional cannons.\I saw the dragon!\Fifteen leagues, south-southeast!\It looks like the fleet won't make it in time.\Zero's Familiar\Hiraga response:	The Gandalfr rune...
context: But the Queen's fleet should be here soon.\Unfortunately, it's taking longer to get additional cannons.\I saw the dragon!\Fifteen leagues, south-southeast!\It looks like the fleet won't make it in time.\Zero's Familiar\Hiraga\The Gandalfr rune... response:	My contract with Louise is still active.
context: Unfortunately, it's taking longer to get additional cannons.\I saw the dragon!\Fifteen leagues, south-southeast!\It looks like the fleet won't make it in time.\Zero's Familiar\Hiraga\The Gandalfr rune...\My contract with Louise is still active. response:	I forced Louise to make such a sad face.
context: I saw the dragon!\Fifteen leagues, south-southeast!\It looks like the fleet won't make it in time.\Zero's Familiar\Hiraga\The Gandalfr rune...\My contract with Louise is still active.\I forced Louise to make such a sad face. response:	Someone who can't even make the girl he loves smile
context: Fifteen leagues, south-southeast!\It looks like the fleet won't make it in time.\Zero's Familiar\Hiraga\The Gandalfr rune...\My contract with Louise is still active.\I forced Louise to make such a sad face.\Someone who can't even make the girl he loves smile response:	isn't a man!
context: It looks like the fleet won't make it in time.\Zero's Familiar\Hiraga\The Gandalfr rune...\My contract with Louise is still active.\I forced Louise to make such a sad face.\Someone who can't even make the girl he loves smile\isn't a man! response:	H-He's here!
context: Zero's Familiar\Hiraga\The Gandalfr rune...\My contract with Louise is still active.\I forced Louise to make such a sad face.\Someone who can't even make the girl he loves smile\isn't a man!\H-He's here! response:	Calm down.
context: Hiraga\The Gandalfr rune...\My contract with Louise is still active.\I forced Louise to make such a sad face.\Someone who can't even make the girl he loves smile\isn't a man!\H-He's here!\Calm down. response:	Here we go.
context: The Gandalfr rune...\My contract with Louise is still active.\I forced Louise to make such a sad face.\Someone who can't even make the girl he loves smile\isn't a man!\H-He's here!\Calm down.\Here we go. response:	It's a counter from the aboriginal school of magic.
context: My contract with Louise is still active.\I forced Louise to make such a sad face.\Someone who can't even make the girl he loves smile\isn't a man!\H-He's here!\Calm down.\Here we go.\It's a counter from the aboriginal school of magic. response:	They use tools to fortify the power of the spirits.
context: I forced Louise to make such a sad face.\Someone who can't even make the girl he loves smile\isn't a man!\H-He's here!\Calm down.\Here we go.\It's a counter from the aboriginal school of magic.\They use tools to fortify the power of the spirits. response:	Who are these Elemental Siblings, anyway?
context: Someone who can't even make the girl he loves smile\isn't a man!\H-He's here!\Calm down.\Here we go.\It's a counter from the aboriginal school of magic.\They use tools to fortify the power of the spirits.\Who are these Elemental Siblings, anyway? response:	You see, never a boring day in the land of the barbarians.
context: isn't a man!\H-He's here!\Calm down.\Here we go.\It's a counter from the aboriginal school of magic.\They use tools to fortify the power of the spirits.\Who are these Elemental Siblings, anyway?\You see, never a boring day in the land of the barbarians. response:	Since the area is so big, it might not last too long.
context: H-He's here!\Calm down.\Here we go.\It's a counter from the aboriginal school of magic.\They use tools to fortify the power of the spirits.\Who are these Elemental Siblings, anyway?\You see, never a boring day in the land of the barbarians.\Since the area is so big, it might not last too long. response:	For now it's enough.
context: Calm down.\Here we go.\It's a counter from the aboriginal school of magic.\They use tools to fortify the power of the spirits.\Who are these Elemental Siblings, anyway?\You see, never a boring day in the land of the barbarians.\Since the area is so big, it might not last too long.\For now it's enough. response:	I just hope this lasts until the fleet arrives...
context: Here we go.\It's a counter from the aboriginal school of magic.\They use tools to fortify the power of the spirits.\Who are these Elemental Siblings, anyway?\You see, never a boring day in the land of the barbarians.\Since the area is so big, it might not last too long.\For now it's enough.\I just hope this lasts until the fleet arrives... response:	Everyone, look!
context: It's a counter from the aboriginal school of magic.\They use tools to fortify the power of the spirits.\Who are these Elemental Siblings, anyway?\You see, never a boring day in the land of the barbarians.\Since the area is so big, it might not last too long.\For now it's enough.\I just hope this lasts until the fleet arrives...\Everyone, look! response:	It's a flight of dragons!
context: They use tools to fortify the power of the spirits.\Who are these Elemental Siblings, anyway?\You see, never a boring day in the land of the barbarians.\Since the area is so big, it might not last too long.\For now it's enough.\I just hope this lasts until the fleet arrives...\Everyone, look!\It's a flight of dragons! response:	I've got to get back to Halkeginia!
context: Who are these Elemental Siblings, anyway?\You see, never a boring day in the land of the barbarians.\Since the area is so big, it might not last too long.\For now it's enough.\I just hope this lasts until the fleet arrives...\Everyone, look!\It's a flight of dragons!\I've got to get back to Halkeginia! response:	But how?
context: You see, never a boring day in the land of the barbarians.\Since the area is so big, it might not last too long.\For now it's enough.\I just hope this lasts until the fleet arrives...\Everyone, look!\It's a flight of dragons!\I've got to get back to Halkeginia!\But how? response:	Think!
context: Since the area is so big, it might not last too long.\For now it's enough.\I just hope this lasts until the fleet arrives...\Everyone, look!\It's a flight of dragons!\I've got to get back to Halkeginia!\But how?\Think! response:	There's got to be a way!
context: For now it's enough.\I just hope this lasts until the fleet arrives...\Everyone, look!\It's a flight of dragons!\I've got to get back to Halkeginia!\But how?\Think!\There's got to be a way! response:	E-Excuse me...
context: I just hope this lasts until the fleet arrives...\Everyone, look!\It's a flight of dragons!\I've got to get back to Halkeginia!\But how?\Think!\There's got to be a way!\E-Excuse me... response:	Are you going to buy that?
context: Everyone, look!\It's a flight of dragons!\I've got to get back to Halkeginia!\But how?\Think!\There's got to be a way!\E-Excuse me...\Are you going to buy that? response:	I see... Today is...
context: It's a flight of dragons!\I've got to get back to Halkeginia!\But how?\Think!\There's got to be a way!\E-Excuse me...\Are you going to buy that?\I see... Today is... response:	That means...
context: I've got to get back to Halkeginia!\But how?\Think!\There's got to be a way!\E-Excuse me...\Are you going to buy that?\I see... Today is...\That means... response:	Sorry I can't buy it!
context: But how?\Think!\There's got to be a way!\E-Excuse me...\Are you going to buy that?\I see... Today is...\That means...\Sorry I can't buy it! response:	D-Don't worry.
context: Think!\There's got to be a way!\E-Excuse me...\Are you going to buy that?\I see... Today is...\That means...\Sorry I can't buy it!\D-Don't worry. response:	It shouldn't break from that.
context: There's got to be a way!\E-Excuse me...\Are you going to buy that?\I see... Today is...\That means...\Sorry I can't buy it!\D-Don't worry.\It shouldn't break from that. response:	Th-They're here!
context: E-Excuse me...\Are you going to buy that?\I see... Today is...\That means...\Sorry I can't buy it!\D-Don't worry.\It shouldn't break from that.\Th-They're here! response:	The fleet is here!
context: Are you going to buy that?\I see... Today is...\That means...\Sorry I can't buy it!\D-Don't worry.\It shouldn't break from that.\Th-They're here!\The fleet is here! response:	To all ships of the Halkeginia Alliance!
context: I see... Today is...\That means...\Sorry I can't buy it!\D-Don't worry.\It shouldn't break from that.\Th-They're here!\The fleet is here!\To all ships of the Halkeginia Alliance! response:	Ready the cannons!
context: That means...\Sorry I can't buy it!\D-Don't worry.\It shouldn't break from that.\Th-They're here!\The fleet is here!\To all ships of the Halkeginia Alliance!\Ready the cannons! response:	Load the shells!
context: Sorry I can't buy it!\D-Don't worry.\It shouldn't break from that.\Th-They're here!\The fleet is here!\To all ships of the Halkeginia Alliance!\Ready the cannons!\Load the shells! response:	Yes, ma'am!
context: D-Don't worry.\It shouldn't break from that.\Th-They're here!\The fleet is here!\To all ships of the Halkeginia Alliance!\Ready the cannons!\Load the shells!\Yes, ma'am! response:	I'd like to thank you for your cooperation, Miss Agnes.
context: It shouldn't break from that.\Th-They're here!\The fleet is here!\To all ships of the Halkeginia Alliance!\Ready the cannons!\Load the shells!\Yes, ma'am!\I'd like to thank you for your cooperation, Miss Agnes. response:	It's a strange day, for me to fight alongside you.
context: Th-They're here!\The fleet is here!\To all ships of the Halkeginia Alliance!\Ready the cannons!\Load the shells!\Yes, ma'am!\I'd like to thank you for your cooperation, Miss Agnes.\It's a strange day, for me to fight alongside you. response:	Not for our personal past, but for the entire world's future.
context: The fleet is here!\To all ships of the Halkeginia Alliance!\Ready the cannons!\Load the shells!\Yes, ma'am!\I'd like to thank you for your cooperation, Miss Agnes.\It's a strange day, for me to fight alongside you.\Not for our personal past, but for the entire world's future. response:	Let's give it everything we've got, Mr. Colbert!
context: To all ships of the Halkeginia Alliance!\Ready the cannons!\Load the shells!\Yes, ma'am!\I'd like to thank you for your cooperation, Miss Agnes.\It's a strange day, for me to fight alongside you.\Not for our personal past, but for the entire world's future.\Let's give it everything we've got, Mr. Colbert! response:	Thank you.
context: Ready the cannons!\Load the shells!\Yes, ma'am!\I'd like to thank you for your cooperation, Miss Agnes.\It's a strange day, for me to fight alongside you.\Not for our personal past, but for the entire world's future.\Let's give it everything we've got, Mr. Colbert!\Thank you. response:	If this attack succeeds, the magic barrier should be dispelled.
context: Load the shells!\Yes, ma'am!\I'd like to thank you for your cooperation, Miss Agnes.\It's a strange day, for me to fight alongside you.\Not for our personal past, but for the entire world's future.\Let's give it everything we've got, Mr. Colbert!\Thank you.\If this attack succeeds, the magic barrier should be dispelled. response:	And if Louise then casts her Explosion, it will surely work.
context: Yes, ma'am!\I'd like to thank you for your cooperation, Miss Agnes.\It's a strange day, for me to fight alongside you.\Not for our personal past, but for the entire world's future.\Let's give it everything we've got, Mr. Colbert!\Thank you.\If this attack succeeds, the magic barrier should be dispelled.\And if Louise then casts her Explosion, it will surely work. response:	All ships, fire!
context: I'd like to thank you for your cooperation, Miss Agnes.\It's a strange day, for me to fight alongside you.\Not for our personal past, but for the entire world's future.\Let's give it everything we've got, Mr. Colbert!\Thank you.\If this attack succeeds, the magic barrier should be dispelled.\And if Louise then casts her Explosion, it will surely work.\All ships, fire! response:	It's working.
context: It's a strange day, for me to fight alongside you.\Not for our personal past, but for the entire world's future.\Let's give it everything we've got, Mr. Colbert!\Thank you.\If this attack succeeds, the magic barrier should be dispelled.\And if Louise then casts her Explosion, it will surely work.\All ships, fire!\It's working. response:	Round two, fire!
context: Not for our personal past, but for the entire world's future.\Let's give it everything we've got, Mr. Colbert!\Thank you.\If this attack succeeds, the magic barrier should be dispelled.\And if Louise then casts her Explosion, it will surely work.\All ships, fire!\It's working.\Round two, fire! response:	It stopped moving.
context: Let's give it everything we've got, Mr. Colbert!\Thank you.\If this attack succeeds, the magic barrier should be dispelled.\And if Louise then casts her Explosion, it will surely work.\All ships, fire!\It's working.\Round two, fire!\It stopped moving. response:	We did it!
context: Thank you.\If this attack succeeds, the magic barrier should be dispelled.\And if Louise then casts her Explosion, it will surely work.\All ships, fire!\It's working.\Round two, fire!\It stopped moving.\We did it! response:	It's a success!
context: If this attack succeeds, the magic barrier should be dispelled.\And if Louise then casts her Explosion, it will surely work.\All ships, fire!\It's working.\Round two, fire!\It stopped moving.\We did it!\It's a success! response:	No...
context: And if Louise then casts her Explosion, it will surely work.\All ships, fire!\It's working.\Round two, fire!\It stopped moving.\We did it!\It's a success!\No... response:	This is...
context: All ships, fire!\It's working.\Round two, fire!\It stopped moving.\We did it!\It's a success!\No...\This is... response:	Lord Bidalsha?!
context: It's working.\Round two, fire!\It stopped moving.\We did it!\It's a success!\No...\This is...\Lord Bidalsha?! response:	The elves?!
context: Round two, fire!\It stopped moving.\We did it!\It's a success!\No...\This is...\Lord Bidalsha?!\The elves?! response:	By combining the power of the spirits with this fire stone,
context: It stopped moving.\We did it!\It's a success!\No...\This is...\Lord Bidalsha?!\The elves?!\By combining the power of the spirits with this fire stone, response:	we can create a fire barrier.
