context: An Explosion of Anger!! Goku, Avenge Everyone's Deaths response:	W- What's with his transformation?
context: An Explosion of Anger!! Goku, Avenge Everyone's Deaths\W- What's with his transformation? response:	Saiyans are only supposed to turn into great apes.
context: An Explosion of Anger!! Goku, Avenge Everyone's Deaths\W- What's with his transformation?\Saiyans are only supposed to turn into great apes. response:	W- What does this mean?
context: An Explosion of Anger!! Goku, Avenge Everyone's Deaths\W- What's with his transformation?\Saiyans are only supposed to turn into great apes.\W- What does this mean? response:	Quickly, Gohan. If Piccolo dies, Kami-sama dies too. You must know what that would mean.
context: An Explosion of Anger!! Goku, Avenge Everyone's Deaths\W- What's with his transformation?\Saiyans are only supposed to turn into great apes.\W- What does this mean?\Quickly, Gohan. If Piccolo dies, Kami-sama dies too. You must know what that would mean. response:	- Father! - Don't concern yourself about me! I will be sure to return to Earth later!
context: An Explosion of Anger!! Goku, Avenge Everyone's Deaths\W- What's with his transformation?\Saiyans are only supposed to turn into great apes.\W- What does this mean?\Quickly, Gohan. If Piccolo dies, Kami-sama dies too. You must know what that would mean.\- Father! - Don't concern yourself about me! I will be sure to return to Earth later! response:	B- But how will you? If we take your spaceship back...
context: An Explosion of Anger!! Goku, Avenge Everyone's Deaths\W- What's with his transformation?\Saiyans are only supposed to turn into great apes.\W- What does this mean?\Quickly, Gohan. If Piccolo dies, Kami-sama dies too. You must know what that would mean.\- Father! - Don't concern yourself about me! I will be sure to return to Earth later!\B- But how will you? If we take your spaceship back... response:	Don't argue! Do you want to annoy me!?
context: An Explosion of Anger!! Goku, Avenge Everyone's Deaths\W- What's with his transformation?\Saiyans are only supposed to turn into great apes.\W- What does this mean?\Quickly, Gohan. If Piccolo dies, Kami-sama dies too. You must know what that would mean.\- Father! - Don't concern yourself about me! I will be sure to return to Earth later!\B- But how will you? If we take your spaceship back...\Don't argue! Do you want to annoy me!? response:	Father...
context: W- What's with his transformation?\Saiyans are only supposed to turn into great apes.\W- What does this mean?\Quickly, Gohan. If Piccolo dies, Kami-sama dies too. You must know what that would mean.\- Father! - Don't concern yourself about me! I will be sure to return to Earth later!\B- But how will you? If we take your spaceship back...\Don't argue! Do you want to annoy me!?\Father... response:	Thank you! Thank you, Father!
context: Saiyans are only supposed to turn into great apes.\W- What does this mean?\Quickly, Gohan. If Piccolo dies, Kami-sama dies too. You must know what that would mean.\- Father! - Don't concern yourself about me! I will be sure to return to Earth later!\B- But how will you? If we take your spaceship back...\Don't argue! Do you want to annoy me!?\Father...\Thank you! Thank you, Father! response:	I'll be waiting. I'll be waiting for you to appear in good shape, Father!
context: W- What does this mean?\Quickly, Gohan. If Piccolo dies, Kami-sama dies too. You must know what that would mean.\- Father! - Don't concern yourself about me! I will be sure to return to Earth later!\B- But how will you? If we take your spaceship back...\Don't argue! Do you want to annoy me!?\Father...\Thank you! Thank you, Father!\I'll be waiting. I'll be waiting for you to appear in good shape, Father! response:	There's no way I'm letting you get away like that.
context: Quickly, Gohan. If Piccolo dies, Kami-sama dies too. You must know what that would mean.\- Father! - Don't concern yourself about me! I will be sure to return to Earth later!\B- But how will you? If we take your spaceship back...\Don't argue! Do you want to annoy me!?\Father...\Thank you! Thank you, Father!\I'll be waiting. I'll be waiting for you to appear in good shape, Father!\There's no way I'm letting you get away like that. response:	Enough is enough, you scumbag!
context: - Father! - Don't concern yourself about me! I will be sure to return to Earth later!\B- But how will you? If we take your spaceship back...\Don't argue! Do you want to annoy me!?\Father...\Thank you! Thank you, Father!\I'll be waiting. I'll be waiting for you to appear in good shape, Father!\There's no way I'm letting you get away like that.\Enough is enough, you scumbag! response:	You've killed so many blameless people, one after the other...
context: B- But how will you? If we take your spaceship back...\Don't argue! Do you want to annoy me!?\Father...\Thank you! Thank you, Father!\I'll be waiting. I'll be waiting for you to appear in good shape, Father!\There's no way I'm letting you get away like that.\Enough is enough, you scumbag!\You've killed so many blameless people, one after the other... response:	You even killed Kuririn...!
context: Don't argue! Do you want to annoy me!?\Father...\Thank you! Thank you, Father!\I'll be waiting. I'll be waiting for you to appear in good shape, Father!\There's no way I'm letting you get away like that.\Enough is enough, you scumbag!\You've killed so many blameless people, one after the other...\You even killed Kuririn...! response:	W- Why do you have this kind of power?
