context: I hear the ultimate stage calling to me... response:	This voice! This melody!
context: I hear the ultimate stage calling to me...\This voice! This melody! response:	They'll be perfect for the final movement!
context: I hear the ultimate stage calling to me...\This voice! This melody!\They'll be perfect for the final movement! response:	I need more! Play more, Aquarion!
context: I hear the ultimate stage calling to me...\This voice! This melody!\They'll be perfect for the final movement!\I need more! Play more, Aquarion! response:	Where is that energy coming from, Shrade!
context: I hear the ultimate stage calling to me...\This voice! This melody!\They'll be perfect for the final movement!\I need more! Play more, Aquarion!\Where is that energy coming from, Shrade! response:	It's beautiful! Elegant and delicate, but strong and passionate!
context: I hear the ultimate stage calling to me...\This voice! This melody!\They'll be perfect for the final movement!\I need more! Play more, Aquarion!\Where is that energy coming from, Shrade!\It's beautiful! Elegant and delicate, but strong and passionate! response:	I can feel its rhythm in my heart!
context: I hear the ultimate stage calling to me...\This voice! This melody!\They'll be perfect for the final movement!\I need more! Play more, Aquarion!\Where is that energy coming from, Shrade!\It's beautiful! Elegant and delicate, but strong and passionate!\I can feel its rhythm in my heart! response:	I've never felt this way before!
context: I hear the ultimate stage calling to me...\This voice! This melody!\They'll be perfect for the final movement!\I need more! Play more, Aquarion!\Where is that energy coming from, Shrade!\It's beautiful! Elegant and delicate, but strong and passionate!\I can feel its rhythm in my heart!\I've never felt this way before! response:	Shrade isn't wearing an Element suit. His body is effectively exposed.
context: This voice! This melody!\They'll be perfect for the final movement!\I need more! Play more, Aquarion!\Where is that energy coming from, Shrade!\It's beautiful! Elegant and delicate, but strong and passionate!\I can feel its rhythm in my heart!\I've never felt this way before!\Shrade isn't wearing an Element suit. His body is effectively exposed. response:	That means he can feel his surroundings keenly.
context: They'll be perfect for the final movement!\I need more! Play more, Aquarion!\Where is that energy coming from, Shrade!\It's beautiful! Elegant and delicate, but strong and passionate!\I can feel its rhythm in my heart!\I've never felt this way before!\Shrade isn't wearing an Element suit. His body is effectively exposed.\That means he can feel his surroundings keenly. response:	But it also means his body is taking more damage.
context: I need more! Play more, Aquarion!\Where is that energy coming from, Shrade!\It's beautiful! Elegant and delicate, but strong and passionate!\I can feel its rhythm in my heart!\I've never felt this way before!\Shrade isn't wearing an Element suit. His body is effectively exposed.\That means he can feel his surroundings keenly.\But it also means his body is taking more damage. response:	He's seriously risking his life.
context: Where is that energy coming from, Shrade!\It's beautiful! Elegant and delicate, but strong and passionate!\I can feel its rhythm in my heart!\I've never felt this way before!\Shrade isn't wearing an Element suit. His body is effectively exposed.\That means he can feel his surroundings keenly.\But it also means his body is taking more damage.\He's seriously risking his life. response:	Shrade...
context: It's beautiful! Elegant and delicate, but strong and passionate!\I can feel its rhythm in my heart!\I've never felt this way before!\Shrade isn't wearing an Element suit. His body is effectively exposed.\That means he can feel his surroundings keenly.\But it also means his body is taking more damage.\He's seriously risking his life.\Shrade... response:	Let my heart play its greatest cadenza!
context: I can feel its rhythm in my heart!\I've never felt this way before!\Shrade isn't wearing an Element suit. His body is effectively exposed.\That means he can feel his surroundings keenly.\But it also means his body is taking more damage.\He's seriously risking his life.\Shrade...\Let my heart play its greatest cadenza! response:	What I saw was real.
context: I've never felt this way before!\Shrade isn't wearing an Element suit. His body is effectively exposed.\That means he can feel his surroundings keenly.\But it also means his body is taking more damage.\He's seriously risking his life.\Shrade...\Let my heart play its greatest cadenza!\What I saw was real. response:	You're me.
context: Shrade isn't wearing an Element suit. His body is effectively exposed.\That means he can feel his surroundings keenly.\But it also means his body is taking more damage.\He's seriously risking his life.\Shrade...\Let my heart play its greatest cadenza!\What I saw was real.\You're me. response:	So of course I could never smell you.
context: That means he can feel his surroundings keenly.\But it also means his body is taking more damage.\He's seriously risking his life.\Shrade...\Let my heart play its greatest cadenza!\What I saw was real.\You're me.\So of course I could never smell you. response:	You smell the same as me.
context: But it also means his body is taking more damage.\He's seriously risking his life.\Shrade...\Let my heart play its greatest cadenza!\What I saw was real.\You're me.\So of course I could never smell you.\You smell the same as me. response:	This picture shows me.
context: He's seriously risking his life.\Shrade...\Let my heart play its greatest cadenza!\What I saw was real.\You're me.\So of course I could never smell you.\You smell the same as me.\This picture shows me. response:	And you.
context: Shrade...\Let my heart play its greatest cadenza!\What I saw was real.\You're me.\So of course I could never smell you.\You smell the same as me.\This picture shows me.\And you. response:	We were originally one person.
context: Let my heart play its greatest cadenza!\What I saw was real.\You're me.\So of course I could never smell you.\You smell the same as me.\This picture shows me.\And you.\We were originally one person. response:	Until that day...
context: What I saw was real.\You're me.\So of course I could never smell you.\You smell the same as me.\This picture shows me.\And you.\We were originally one person.\Until that day... response:	No!
context: You're me.\So of course I could never smell you.\You smell the same as me.\This picture shows me.\And you.\We were originally one person.\Until that day...\No! response:	No! No!!
context: So of course I could never smell you.\You smell the same as me.\This picture shows me.\And you.\We were originally one person.\Until that day...\No!\No! No!! response:	Don't leave me!
context: You smell the same as me.\This picture shows me.\And you.\We were originally one person.\Until that day...\No!\No! No!!\Don't leave me! response:	Amata just watched as fate slipped away from him that day.
context: This picture shows me.\And you.\We were originally one person.\Until that day...\No!\No! No!!\Don't leave me!\Amata just watched as fate slipped away from him that day. response:	And that's you.
context: And you.\We were originally one person.\Until that day...\No!\No! No!!\Don't leave me!\Amata just watched as fate slipped away from him that day.\And that's you. response:	You haven't gotten any better.
context: We were originally one person.\Until that day...\No!\No! No!!\Don't leave me!\Amata just watched as fate slipped away from him that day.\And that's you.\You haven't gotten any better. response:	Amata is a pathetic wimp who can't do a thing when it really counts.
context: Until that day...\No!\No! No!!\Don't leave me!\Amata just watched as fate slipped away from him that day.\And that's you.\You haven't gotten any better.\Amata is a pathetic wimp who can't do a thing when it really counts. response:	So what about you? You never saved Mom either!
context: No!\No! No!!\Don't leave me!\Amata just watched as fate slipped away from him that day.\And that's you.\You haven't gotten any better.\Amata is a pathetic wimp who can't do a thing when it really counts.\So what about you? You never saved Mom either! response:	What have you been doing on Altair?
context: No! No!!\Don't leave me!\Amata just watched as fate slipped away from him that day.\And that's you.\You haven't gotten any better.\Amata is a pathetic wimp who can't do a thing when it really counts.\So what about you? You never saved Mom either!\What have you been doing on Altair? response:	I made it across the dimensions, but I ended up losing Mother.
