context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still. response:	But right now, I'm walking to a distant place.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place. response:	That's right, ever since I met you on this road.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road. response:	The travellers witnessed the song, the forbidden song,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song, response:	And I became attached to it as I heard it alone with you.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you. response:	If the world I saw in my dreams exists somewhere,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere, response:	Let's go search for it, beyond the winds.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds. response:	Whether it's a freezing dawn,
context: Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn, response:	A dry midday,
context: But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday, response:	A shivering night,
context: That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night, response:	or the ends of the Earth, let's go and see it.
context: The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it. response:	Um...
context: And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Um... response:	He's another accomplice for today's job.
context: If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Um...\He's another accomplice for today's job. response:	I am Martin Liebert from the Remerio Company.
context: Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Um...\He's another accomplice for today's job.\I am Martin Liebert from the Remerio Company. response:	I-I'm Nora Allent.
context: Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Um...\He's another accomplice for today's job.\I am Martin Liebert from the Remerio Company.\I-I'm Nora Allent. response:	Let us set off, then.
context: A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Um...\He's another accomplice for today's job.\I am Martin Liebert from the Remerio Company.\I-I'm Nora Allent.\Let us set off, then. response:	Business is like raw fish in a kitchen.
context: A shivering night,\or the ends of the Earth, let's go and see it.\Um...\He's another accomplice for today's job.\I am Martin Liebert from the Remerio Company.\I-I'm Nora Allent.\Let us set off, then.\Business is like raw fish in a kitchen. response:	It means it'll be all for naught if we don't act quickly.
context: or the ends of the Earth, let's go and see it.\Um...\He's another accomplice for today's job.\I am Martin Liebert from the Remerio Company.\I-I'm Nora Allent.\Let us set off, then.\Business is like raw fish in a kitchen.\It means it'll be all for naught if we don't act quickly. response:	Do you think it'll go well?
context: Um...\He's another accomplice for today's job.\I am Martin Liebert from the Remerio Company.\I-I'm Nora Allent.\Let us set off, then.\Business is like raw fish in a kitchen.\It means it'll be all for naught if we don't act quickly.\Do you think it'll go well? response:	There'll be no tomorrow for us if we fail.
context: He's another accomplice for today's job.\I am Martin Liebert from the Remerio Company.\I-I'm Nora Allent.\Let us set off, then.\Business is like raw fish in a kitchen.\It means it'll be all for naught if we don't act quickly.\Do you think it'll go well?\There'll be no tomorrow for us if we fail. response:	Wolf and Young Pack
context: I am Martin Liebert from the Remerio Company.\I-I'm Nora Allent.\Let us set off, then.\Business is like raw fish in a kitchen.\It means it'll be all for naught if we don't act quickly.\Do you think it'll go well?\There'll be no tomorrow for us if we fail.\Wolf and Young Pack response:	This is no joke.
context: I-I'm Nora Allent.\Let us set off, then.\Business is like raw fish in a kitchen.\It means it'll be all for naught if we don't act quickly.\Do you think it'll go well?\There'll be no tomorrow for us if we fail.\Wolf and Young Pack\This is no joke. response:	The sun hasn't even set yet.
context: Let us set off, then.\Business is like raw fish in a kitchen.\It means it'll be all for naught if we don't act quickly.\Do you think it'll go well?\There'll be no tomorrow for us if we fail.\Wolf and Young Pack\This is no joke.\The sun hasn't even set yet. response:	Well, that's because...
context: Business is like raw fish in a kitchen.\It means it'll be all for naught if we don't act quickly.\Do you think it'll go well?\There'll be no tomorrow for us if we fail.\Wolf and Young Pack\This is no joke.\The sun hasn't even set yet.\Well, that's because... response:	I will go ahead.
context: It means it'll be all for naught if we don't act quickly.\Do you think it'll go well?\There'll be no tomorrow for us if we fail.\Wolf and Young Pack\This is no joke.\The sun hasn't even set yet.\Well, that's because...\I will go ahead. response:	Please catch up with me as soon as possible.
context: Do you think it'll go well?\There'll be no tomorrow for us if we fail.\Wolf and Young Pack\This is no joke.\The sun hasn't even set yet.\Well, that's because...\I will go ahead.\Please catch up with me as soon as possible. response:	U-Um...
context: There'll be no tomorrow for us if we fail.\Wolf and Young Pack\This is no joke.\The sun hasn't even set yet.\Well, that's because...\I will go ahead.\Please catch up with me as soon as possible.\U-Um... response:	It's okay.
context: Wolf and Young Pack\This is no joke.\The sun hasn't even set yet.\Well, that's because...\I will go ahead.\Please catch up with me as soon as possible.\U-Um...\It's okay. response:	He just doesn't know how dangerous it is for a shepherd to travel at night.
context: This is no joke.\The sun hasn't even set yet.\Well, that's because...\I will go ahead.\Please catch up with me as soon as possible.\U-Um...\It's okay.\He just doesn't know how dangerous it is for a shepherd to travel at night. response:	He's shouldering Remerio's future.
context: The sun hasn't even set yet.\Well, that's because...\I will go ahead.\Please catch up with me as soon as possible.\U-Um...\It's okay.\He just doesn't know how dangerous it is for a shepherd to travel at night.\He's shouldering Remerio's future. response:	So it's natural.
context: Well, that's because...\I will go ahead.\Please catch up with me as soon as possible.\U-Um...\It's okay.\He just doesn't know how dangerous it is for a shepherd to travel at night.\He's shouldering Remerio's future.\So it's natural. response:	The stars are pretty.
