context: TS response:	SCRIPT
context: TS\SCRIPT response:	Yes.
context: TS\SCRIPT\Yes. response:	That guest is, make me please pin badge.
context: TS\SCRIPT\Yes.\That guest is, make me please pin badge. response:	The same as one you brought.
context: TS\SCRIPT\Yes.\That guest is, make me please pin badge.\The same as one you brought. response:	He's the one who asked you to make the pin badge, right?
context: TS\SCRIPT\Yes.\That guest is, make me please pin badge.\The same as one you brought.\He's the one who asked you to make the pin badge, right? response:	What kind of man was he?
context: TS\SCRIPT\Yes.\That guest is, make me please pin badge.\The same as one you brought.\He's the one who asked you to make the pin badge, right?\What kind of man was he? response:	What kind?
context: TS\SCRIPT\Yes.\That guest is, make me please pin badge.\The same as one you brought.\He's the one who asked you to make the pin badge, right?\What kind of man was he?\What kind? response:	Hmm...
context: SCRIPT\Yes.\That guest is, make me please pin badge.\The same as one you brought.\He's the one who asked you to make the pin badge, right?\What kind of man was he?\What kind?\Hmm... response:	Like a barrel.
context: Yes.\That guest is, make me please pin badge.\The same as one you brought.\He's the one who asked you to make the pin badge, right?\What kind of man was he?\What kind?\Hmm...\Like a barrel. response:	Who?
context: That guest is, make me please pin badge.\The same as one you brought.\He's the one who asked you to make the pin badge, right?\What kind of man was he?\What kind?\Hmm...\Like a barrel.\Who? response:	Barrel Titor?
context: The same as one you brought.\He's the one who asked you to make the pin badge, right?\What kind of man was he?\What kind?\Hmm...\Like a barrel.\Who?\Barrel Titor? response:	Titor?
context: He's the one who asked you to make the pin badge, right?\What kind of man was he?\What kind?\Hmm...\Like a barrel.\Who?\Barrel Titor?\Titor? response:	No, no. Just like barrel.
context: What kind of man was he?\What kind?\Hmm...\Like a barrel.\Who?\Barrel Titor?\Titor?\No, no. Just like barrel. response:	Just like barrel...
context: What kind?\Hmm...\Like a barrel.\Who?\Barrel Titor?\Titor?\No, no. Just like barrel.\Just like barrel... response:	The Japanese word for barrel is taru!
context: Hmm...\Like a barrel.\Who?\Barrel Titor?\Titor?\No, no. Just like barrel.\Just like barrel...\The Japanese word for barrel is taru! response:	Taru?
context: Like a barrel.\Who?\Barrel Titor?\Titor?\No, no. Just like barrel.\Just like barrel...\The Japanese word for barrel is taru!\Taru? response:	A while back, it was in a Rai-Net anime.
context: Who?\Barrel Titor?\Titor?\No, no. Just like barrel.\Just like barrel...\The Japanese word for barrel is taru!\Taru?\A while back, it was in a Rai-Net anime. response:	There was this barrel-like monster...
context: Barrel Titor?\Titor?\No, no. Just like barrel.\Just like barrel...\The Japanese word for barrel is taru!\Taru?\A while back, it was in a Rai-Net anime.\There was this barrel-like monster... response:	Yes.
context: Titor?\No, no. Just like barrel.\Just like barrel...\The Japanese word for barrel is taru!\Taru?\A while back, it was in a Rai-Net anime.\There was this barrel-like monster...\Yes. response:	Just a taru.
context: No, no. Just like barrel.\Just like barrel...\The Japanese word for barrel is taru!\Taru?\A while back, it was in a Rai-Net anime.\There was this barrel-like monster...\Yes.\Just a taru. response:	Or balloon.
context: Just like barrel...\The Japanese word for barrel is taru!\Taru?\A while back, it was in a Rai-Net anime.\There was this barrel-like monster...\Yes.\Just a taru.\Or balloon. response:	A man like a barrel or a balloon?
context: The Japanese word for barrel is taru!\Taru?\A while back, it was in a Rai-Net anime.\There was this barrel-like monster...\Yes.\Just a taru.\Or balloon.\A man like a barrel or a balloon? response:	Where can we contact him?
context: Taru?\A while back, it was in a Rai-Net anime.\There was this barrel-like monster...\Yes.\Just a taru.\Or balloon.\A man like a barrel or a balloon?\Where can we contact him? response:	Sorry.
context: A while back, it was in a Rai-Net anime.\There was this barrel-like monster...\Yes.\Just a taru.\Or balloon.\A man like a barrel or a balloon?\Where can we contact him?\Sorry. response:	Private information.
context: There was this barrel-like monster...\Yes.\Just a taru.\Or balloon.\A man like a barrel or a balloon?\Where can we contact him?\Sorry.\Private information. response:	Nothing.
context: Yes.\Just a taru.\Or balloon.\A man like a barrel or a balloon?\Where can we contact him?\Sorry.\Private information.\Nothing. response:	No clues, huh?
context: Just a taru.\Or balloon.\A man like a barrel or a balloon?\Where can we contact him?\Sorry.\Private information.\Nothing.\No clues, huh? response:	But if the man's pin badge is finished,
context: Or balloon.\A man like a barrel or a balloon?\Where can we contact him?\Sorry.\Private information.\Nothing.\No clues, huh?\But if the man's pin badge is finished, response:	won't he pick it up?
context: A man like a barrel or a balloon?\Where can we contact him?\Sorry.\Private information.\Nothing.\No clues, huh?\But if the man's pin badge is finished,\won't he pick it up? response:	He told the man it would take a week to make,
context: Where can we contact him?\Sorry.\Private information.\Nothing.\No clues, huh?\But if the man's pin badge is finished,\won't he pick it up?\He told the man it would take a week to make, response:	so he left without placing the order.
context: Sorry.\Private information.\Nothing.\No clues, huh?\But if the man's pin badge is finished,\won't he pick it up?\He told the man it would take a week to make,\so he left without placing the order. response:	I see.
context: Private information.\Nothing.\No clues, huh?\But if the man's pin badge is finished,\won't he pick it up?\He told the man it would take a week to make,\so he left without placing the order.\I see. response:	So we have to give up?
context: Nothing.\No clues, huh?\But if the man's pin badge is finished,\won't he pick it up?\He told the man it would take a week to make,\so he left without placing the order.\I see.\So we have to give up? response:	No.
context: No clues, huh?\But if the man's pin badge is finished,\won't he pick it up?\He told the man it would take a week to make,\so he left without placing the order.\I see.\So we have to give up?\No. response:	There's still one way.
context: But if the man's pin badge is finished,\won't he pick it up?\He told the man it would take a week to make,\so he left without placing the order.\I see.\So we have to give up?\No.\There's still one way. response:	If I wait for the time leap machine's completion tomorrow,
context: won't he pick it up?\He told the man it would take a week to make,\so he left without placing the order.\I see.\So we have to give up?\No.\There's still one way.\If I wait for the time leap machine's completion tomorrow, response:	and go back in time...
context: He told the man it would take a week to make,\so he left without placing the order.\I see.\So we have to give up?\No.\There's still one way.\If I wait for the time leap machine's completion tomorrow,\and go back in time... response:	OP
context: so he left without placing the order.\I see.\So we have to give up?\No.\There's still one way.\If I wait for the time leap machine's completion tomorrow,\and go back in time...\OP response:	suujuuoku mono kodou no kazu sae
context: I see.\So we have to give up?\No.\There's still one way.\If I wait for the time leap machine's completion tomorrow,\and go back in time...\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: So we have to give up?\No.\There's still one way.\If I wait for the time leap machine's completion tomorrow,\and go back in time...\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: No.\There's still one way.\If I wait for the time leap machine's completion tomorrow,\and go back in time...\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: There's still one way.\If I wait for the time leap machine's completion tomorrow,\and go back in time...\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: If I wait for the time leap machine's completion tomorrow,\and go back in time...\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: and go back in time...\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
context: bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete response:	And now I cross the boundary between worlds each second
context: Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second response:	kimi no sono egao mamoritai no sa
context: yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa response:	Because I want to protect that smile of yours
context: Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours response:	soshite mata kanashimi no nai jikan no ruupu e to
context: zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to response:	And a loop in time without sadness will once again
context: As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again response:	nomikomarete yuku kodoku no kansokusha
context: Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha response:	Engulf me, a lonely observer
context: dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer response:	Sacrificial
context: And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Sacrificial response:	Necrosis
context: kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Sacrificial\Necrosis response:	Sacrificial
