context: Has there been any contact with Count Mazuurek since then? response:	No. However, his Landing Castle is still functional.
context: Has there been any contact with Count Mazuurek since then?\No. However, his Landing Castle is still functional. response:	If its Aldnoah is still active, that means that Count Mazuurek is alive.
context: Has there been any contact with Count Mazuurek since then?\No. However, his Landing Castle is still functional.\If its Aldnoah is still active, that means that Count Mazuurek is alive. response:	Perhaps he is lying low and waiting for an opening. Or perhaps...
context: Has there been any contact with Count Mazuurek since then?\No. However, his Landing Castle is still functional.\If its Aldnoah is still active, that means that Count Mazuurek is alive.\Perhaps he is lying low and waiting for an opening. Or perhaps... response:	Or perhaps he has been taken prisoner by the Terrans.
context: Has there been any contact with Count Mazuurek since then?\No. However, his Landing Castle is still functional.\If its Aldnoah is still active, that means that Count Mazuurek is alive.\Perhaps he is lying low and waiting for an opening. Or perhaps...\Or perhaps he has been taken prisoner by the Terrans. response:	Either way, it would be prudent to assume that Count Mazuurek will not return.
context: Has there been any contact with Count Mazuurek since then?\No. However, his Landing Castle is still functional.\If its Aldnoah is still active, that means that Count Mazuurek is alive.\Perhaps he is lying low and waiting for an opening. Or perhaps...\Or perhaps he has been taken prisoner by the Terrans.\Either way, it would be prudent to assume that Count Mazuurek will not return. response:	In which case, there is but one course of action.
context: Has there been any contact with Count Mazuurek since then?\No. However, his Landing Castle is still functional.\If its Aldnoah is still active, that means that Count Mazuurek is alive.\Perhaps he is lying low and waiting for an opening. Or perhaps...\Or perhaps he has been taken prisoner by the Terrans.\Either way, it would be prudent to assume that Count Mazuurek will not return.\In which case, there is but one course of action. response:	What are you...?
context: Has there been any contact with Count Mazuurek since then?\No. However, his Landing Castle is still functional.\If its Aldnoah is still active, that means that Count Mazuurek is alive.\Perhaps he is lying low and waiting for an opening. Or perhaps...\Or perhaps he has been taken prisoner by the Terrans.\Either way, it would be prudent to assume that Count Mazuurek will not return.\In which case, there is but one course of action.\What are you...? response:	I cannot allow that Earthborn stray to run loose any longer.
context: No. However, his Landing Castle is still functional.\If its Aldnoah is still active, that means that Count Mazuurek is alive.\Perhaps he is lying low and waiting for an opening. Or perhaps...\Or perhaps he has been taken prisoner by the Terrans.\Either way, it would be prudent to assume that Count Mazuurek will not return.\In which case, there is but one course of action.\What are you...?\I cannot allow that Earthborn stray to run loose any longer. response:	Resupplying and inspection operations are on schedule. No delays reported.
context: If its Aldnoah is still active, that means that Count Mazuurek is alive.\Perhaps he is lying low and waiting for an opening. Or perhaps...\Or perhaps he has been taken prisoner by the Terrans.\Either way, it would be prudent to assume that Count Mazuurek will not return.\In which case, there is but one course of action.\What are you...?\I cannot allow that Earthborn stray to run loose any longer.\Resupplying and inspection operations are on schedule. No delays reported. response:	As for Kataphrakt repairs,
context: Perhaps he is lying low and waiting for an opening. Or perhaps...\Or perhaps he has been taken prisoner by the Terrans.\Either way, it would be prudent to assume that Count Mazuurek will not return.\In which case, there is but one course of action.\What are you...?\I cannot allow that Earthborn stray to run loose any longer.\Resupplying and inspection operations are on schedule. No delays reported.\As for Kataphrakt repairs, response:	we are working in concert with the base's repair depot to get back on schedule.
context: Or perhaps he has been taken prisoner by the Terrans.\Either way, it would be prudent to assume that Count Mazuurek will not return.\In which case, there is but one course of action.\What are you...?\I cannot allow that Earthborn stray to run loose any longer.\Resupplying and inspection operations are on schedule. No delays reported.\As for Kataphrakt repairs,\we are working in concert with the base's repair depot to get back on schedule. response:	Very good. Carry on.
context: Either way, it would be prudent to assume that Count Mazuurek will not return.\In which case, there is but one course of action.\What are you...?\I cannot allow that Earthborn stray to run loose any longer.\Resupplying and inspection operations are on schedule. No delays reported.\As for Kataphrakt repairs,\we are working in concert with the base's repair depot to get back on schedule.\Very good. Carry on. response:	Yes, ma'am.
context: In which case, there is but one course of action.\What are you...?\I cannot allow that Earthborn stray to run loose any longer.\Resupplying and inspection operations are on schedule. No delays reported.\As for Kataphrakt repairs,\we are working in concert with the base's repair depot to get back on schedule.\Very good. Carry on.\Yes, ma'am. response:	And our Mars Knight guest?
context: What are you...?\I cannot allow that Earthborn stray to run loose any longer.\Resupplying and inspection operations are on schedule. No delays reported.\As for Kataphrakt repairs,\we are working in concert with the base's repair depot to get back on schedule.\Very good. Carry on.\Yes, ma'am.\And our Mars Knight guest? response:	Not a word. He appears to be the silent type.
context: I cannot allow that Earthborn stray to run loose any longer.\Resupplying and inspection operations are on schedule. No delays reported.\As for Kataphrakt repairs,\we are working in concert with the base's repair depot to get back on schedule.\Very good. Carry on.\Yes, ma'am.\And our Mars Knight guest?\Not a word. He appears to be the silent type. response:	Mizusaki, do you know why men who are the silent type are so attractive?
context: Resupplying and inspection operations are on schedule. No delays reported.\As for Kataphrakt repairs,\we are working in concert with the base's repair depot to get back on schedule.\Very good. Carry on.\Yes, ma'am.\And our Mars Knight guest?\Not a word. He appears to be the silent type.\Mizusaki, do you know why men who are the silent type are so attractive? response:	Is it because they always seem calm and collected?
context: As for Kataphrakt repairs,\we are working in concert with the base's repair depot to get back on schedule.\Very good. Carry on.\Yes, ma'am.\And our Mars Knight guest?\Not a word. He appears to be the silent type.\Mizusaki, do you know why men who are the silent type are so attractive?\Is it because they always seem calm and collected? response:	It's because they sit quietly and listen to what you have to say.
context: we are working in concert with the base's repair depot to get back on schedule.\Very good. Carry on.\Yes, ma'am.\And our Mars Knight guest?\Not a word. He appears to be the silent type.\Mizusaki, do you know why men who are the silent type are so attractive?\Is it because they always seem calm and collected?\It's because they sit quietly and listen to what you have to say. response:	And our replacement crew?
context: Very good. Carry on.\Yes, ma'am.\And our Mars Knight guest?\Not a word. He appears to be the silent type.\Mizusaki, do you know why men who are the silent type are so attractive?\Is it because they always seem calm and collected?\It's because they sit quietly and listen to what you have to say.\And our replacement crew? response:	Y-Yes, ma'am. They're already aboard, and station shifts have been revised.
context: Yes, ma'am.\And our Mars Knight guest?\Not a word. He appears to be the silent type.\Mizusaki, do you know why men who are the silent type are so attractive?\Is it because they always seem calm and collected?\It's because they sit quietly and listen to what you have to say.\And our replacement crew?\Y-Yes, ma'am. They're already aboard, and station shifts have been revised. response:	A few of them were members of our previous crew.
context: And our Mars Knight guest?\Not a word. He appears to be the silent type.\Mizusaki, do you know why men who are the silent type are so attractive?\Is it because they always seem calm and collected?\It's because they sit quietly and listen to what you have to say.\And our replacement crew?\Y-Yes, ma'am. They're already aboard, and station shifts have been revised.\A few of them were members of our previous crew. response:	Warrant Officer Kaizuka and Lt. Marito.
context: Not a word. He appears to be the silent type.\Mizusaki, do you know why men who are the silent type are so attractive?\Is it because they always seem calm and collected?\It's because they sit quietly and listen to what you have to say.\And our replacement crew?\Y-Yes, ma'am. They're already aboard, and station shifts have been revised.\A few of them were members of our previous crew.\Warrant Officer Kaizuka and Lt. Marito. response:	As well as Dr. Yagarai, who is now serving as an official medical officer with the rank of ensign.
