context: How do you like it? response:	ULTRA GOKU UNIFORM CENTURION CAVALRY FORMATION
context: How do you like it?\ULTRA GOKU UNIFORM CENTURION CAVALRY FORMATION response:	This is the Ultra Goku Uniform Centurion Cavalry Formation!
context: How do you like it?\ULTRA GOKU UNIFORM CENTURION CAVALRY FORMATION\This is the Ultra Goku Uniform Centurion Cavalry Formation! response:	Charge!
context: How do you like it?\ULTRA GOKU UNIFORM CENTURION CAVALRY FORMATION\This is the Ultra Goku Uniform Centurion Cavalry Formation!\Charge! response:	I'm just getting started!
context: How do you like it?\ULTRA GOKU UNIFORM CENTURION CAVALRY FORMATION\This is the Ultra Goku Uniform Centurion Cavalry Formation!\Charge!\I'm just getting started! response:	It's the High Velocity Life Fiber Jammer. It spins tiny Life Fibers at high speed to-
context: How do you like it?\ULTRA GOKU UNIFORM CENTURION CAVALRY FORMATION\This is the Ultra Goku Uniform Centurion Cavalry Formation!\Charge!\I'm just getting started!\It's the High Velocity Life Fiber Jammer. It spins tiny Life Fibers at high speed to- response:	It's a big, rubber barrier!
context: How do you like it?\ULTRA GOKU UNIFORM CENTURION CAVALRY FORMATION\This is the Ultra Goku Uniform Centurion Cavalry Formation!\Charge!\I'm just getting started!\It's the High Velocity Life Fiber Jammer. It spins tiny Life Fibers at high speed to-\It's a big, rubber barrier! response:	- Ow... - Sanageyama!
context: How do you like it?\ULTRA GOKU UNIFORM CENTURION CAVALRY FORMATION\This is the Ultra Goku Uniform Centurion Cavalry Formation!\Charge!\I'm just getting started!\It's the High Velocity Life Fiber Jammer. It spins tiny Life Fibers at high speed to-\It's a big, rubber barrier!\- Ow... - Sanageyama! response:	That's what you get for running ahead by yourself!
context: ULTRA GOKU UNIFORM CENTURION CAVALRY FORMATION\This is the Ultra Goku Uniform Centurion Cavalry Formation!\Charge!\I'm just getting started!\It's the High Velocity Life Fiber Jammer. It spins tiny Life Fibers at high speed to-\It's a big, rubber barrier!\- Ow... - Sanageyama!\That's what you get for running ahead by yourself! response:	You never learn, do you?
context: This is the Ultra Goku Uniform Centurion Cavalry Formation!\Charge!\I'm just getting started!\It's the High Velocity Life Fiber Jammer. It spins tiny Life Fibers at high speed to-\It's a big, rubber barrier!\- Ow... - Sanageyama!\That's what you get for running ahead by yourself!\You never learn, do you? response:	We have to turn off that jammer!
context: Charge!\I'm just getting started!\It's the High Velocity Life Fiber Jammer. It spins tiny Life Fibers at high speed to-\It's a big, rubber barrier!\- Ow... - Sanageyama!\That's what you get for running ahead by yourself!\You never learn, do you?\We have to turn off that jammer! response:	We're stopped in our tracks, huh?
context: I'm just getting started!\It's the High Velocity Life Fiber Jammer. It spins tiny Life Fibers at high speed to-\It's a big, rubber barrier!\- Ow... - Sanageyama!\That's what you get for running ahead by yourself!\You never learn, do you?\We have to turn off that jammer!\We're stopped in our tracks, huh? response:	Hup!
context: It's the High Velocity Life Fiber Jammer. It spins tiny Life Fibers at high speed to-\It's a big, rubber barrier!\- Ow... - Sanageyama!\That's what you get for running ahead by yourself!\You never learn, do you?\We have to turn off that jammer!\We're stopped in our tracks, huh?\Hup! response:	And hup!
