context: It's finally here. response:	The Okinawa training camp.
context: It's finally here.\The Okinawa training camp. response:	The sun on this southern island is calling our names
context: It's finally here.\The Okinawa training camp.\The sun on this southern island is calling our names response:	First thing in the morning and my ears are ringing...
context: It's finally here.\The Okinawa training camp.\The sun on this southern island is calling our names\First thing in the morning and my ears are ringing... response:	Why do airplanes take off so early in the morning?
context: It's finally here.\The Okinawa training camp.\The sun on this southern island is calling our names\First thing in the morning and my ears are ringing...\Why do airplanes take off so early in the morning? response:	Ibarada-senpai, you really aren't a morning person, are you?
context: It's finally here.\The Okinawa training camp.\The sun on this southern island is calling our names\First thing in the morning and my ears are ringing...\Why do airplanes take off so early in the morning?\Ibarada-senpai, you really aren't a morning person, are you? response:	Not really.
context: It's finally here.\The Okinawa training camp.\The sun on this southern island is calling our names\First thing in the morning and my ears are ringing...\Why do airplanes take off so early in the morning?\Ibarada-senpai, you really aren't a morning person, are you?\Not really. response:	And since we've got a weird outsider with us, it's even more unpleasant.
context: It's finally here.\The Okinawa training camp.\The sun on this southern island is calling our names\First thing in the morning and my ears are ringing...\Why do airplanes take off so early in the morning?\Ibarada-senpai, you really aren't a morning person, are you?\Not really.\And since we've got a weird outsider with us, it's even more unpleasant. response:	That's not very friendly, Ena.
context: The Okinawa training camp.\The sun on this southern island is calling our names\First thing in the morning and my ears are ringing...\Why do airplanes take off so early in the morning?\Ibarada-senpai, you really aren't a morning person, are you?\Not really.\And since we've got a weird outsider with us, it's even more unpleasant.\That's not very friendly, Ena. response:	We haven't been together in so long.
context: The sun on this southern island is calling our names\First thing in the morning and my ears are ringing...\Why do airplanes take off so early in the morning?\Ibarada-senpai, you really aren't a morning person, are you?\Not really.\And since we've got a weird outsider with us, it's even more unpleasant.\That's not very friendly, Ena.\We haven't been together in so long. response:	Professor, why is this manga artist with us, anyway?
context: First thing in the morning and my ears are ringing...\Why do airplanes take off so early in the morning?\Ibarada-senpai, you really aren't a morning person, are you?\Not really.\And since we've got a weird outsider with us, it's even more unpleasant.\That's not very friendly, Ena.\We haven't been together in so long.\Professor, why is this manga artist with us, anyway? response:	Huh? Because I thought having Yamamoto-kun along would be more fun.
context: Why do airplanes take off so early in the morning?\Ibarada-senpai, you really aren't a morning person, are you?\Not really.\And since we've got a weird outsider with us, it's even more unpleasant.\That's not very friendly, Ena.\We haven't been together in so long.\Professor, why is this manga artist with us, anyway?\Huh? Because I thought having Yamamoto-kun along would be more fun. response:	Don't you think that's too much luggage just for those two?
context: Ibarada-senpai, you really aren't a morning person, are you?\Not really.\And since we've got a weird outsider with us, it's even more unpleasant.\That's not very friendly, Ena.\We haven't been together in so long.\Professor, why is this manga artist with us, anyway?\Huh? Because I thought having Yamamoto-kun along would be more fun.\Don't you think that's too much luggage just for those two? response:	I see we're all here.
context: Not really.\And since we've got a weird outsider with us, it's even more unpleasant.\That's not very friendly, Ena.\We haven't been together in so long.\Professor, why is this manga artist with us, anyway?\Huh? Because I thought having Yamamoto-kun along would be more fun.\Don't you think that's too much luggage just for those two?\I see we're all here. response:	Let's go.
context: And since we've got a weird outsider with us, it's even more unpleasant.\That's not very friendly, Ena.\We haven't been together in so long.\Professor, why is this manga artist with us, anyway?\Huh? Because I thought having Yamamoto-kun along would be more fun.\Don't you think that's too much luggage just for those two?\I see we're all here.\Let's go. response:	Let's begin that experiment known as a training camp!
context: That's not very friendly, Ena.\We haven't been together in so long.\Professor, why is this manga artist with us, anyway?\Huh? Because I thought having Yamamoto-kun along would be more fun.\Don't you think that's too much luggage just for those two?\I see we're all here.\Let's go.\Let's begin that experiment known as a training camp! response:	Science Fell in Love, So I Tried to Prove It
context: We haven't been together in so long.\Professor, why is this manga artist with us, anyway?\Huh? Because I thought having Yamamoto-kun along would be more fun.\Don't you think that's too much luggage just for those two?\I see we're all here.\Let's go.\Let's begin that experiment known as a training camp!\Science Fell in Love, So I Tried to Prove It response:	The beginning of a trip always makes my heart race a little.
context: Professor, why is this manga artist with us, anyway?\Huh? Because I thought having Yamamoto-kun along would be more fun.\Don't you think that's too much luggage just for those two?\I see we're all here.\Let's go.\Let's begin that experiment known as a training camp!\Science Fell in Love, So I Tried to Prove It\The beginning of a trip always makes my heart race a little. response:	Proof 9 Science-types Fell in Love, So They Tried Attending a Training Camp in Okinawa.
context: Huh? Because I thought having Yamamoto-kun along would be more fun.\Don't you think that's too much luggage just for those two?\I see we're all here.\Let's go.\Let's begin that experiment known as a training camp!\Science Fell in Love, So I Tried to Prove It\The beginning of a trip always makes my heart race a little.\Proof 9 Science-types Fell in Love, So They Tried Attending a Training Camp in Okinawa. response:	Makes my heart race a little...
