context: Why are you crying? response:	B-Because everyone is going to go away...
context: Why are you crying?\B-Because everyone is going to go away... response:	Mama, Papa, and my precious little sister, too...
context: Why are you crying?\B-Because everyone is going to go away...\Mama, Papa, and my precious little sister, too... response:	You remembered.
context: Why are you crying?\B-Because everyone is going to go away...\Mama, Papa, and my precious little sister, too...\You remembered. response:	Yeah...
context: Why are you crying?\B-Because everyone is going to go away...\Mama, Papa, and my precious little sister, too...\You remembered.\Yeah... response:	I'm sorry. I...
context: Why are you crying?\B-Because everyone is going to go away...\Mama, Papa, and my precious little sister, too...\You remembered.\Yeah...\I'm sorry. I... response:	Don't apologize.
context: Why are you crying?\B-Because everyone is going to go away...\Mama, Papa, and my precious little sister, too...\You remembered.\Yeah...\I'm sorry. I...\Don't apologize. response:	I'm just happy that you remembered...
context: Why are you crying?\B-Because everyone is going to go away...\Mama, Papa, and my precious little sister, too...\You remembered.\Yeah...\I'm sorry. I...\Don't apologize.\I'm just happy that you remembered... response:	Michelle...
context: B-Because everyone is going to go away...\Mama, Papa, and my precious little sister, too...\You remembered.\Yeah...\I'm sorry. I...\Don't apologize.\I'm just happy that you remembered...\Michelle... response:	Yeesh!
context: Mama, Papa, and my precious little sister, too...\You remembered.\Yeah...\I'm sorry. I...\Don't apologize.\I'm just happy that you remembered...\Michelle...\Yeesh! response:	This thing should be totally destroyed by now...
context: You remembered.\Yeah...\I'm sorry. I...\Don't apologize.\I'm just happy that you remembered...\Michelle...\Yeesh!\This thing should be totally destroyed by now... response:	Warren, what's going on?
context: Yeah...\I'm sorry. I...\Don't apologize.\I'm just happy that you remembered...\Michelle...\Yeesh!\This thing should be totally destroyed by now...\Warren, what's going on? response:	Half of those chains are still intact!
context: I'm sorry. I...\Don't apologize.\I'm just happy that you remembered...\Michelle...\Yeesh!\This thing should be totally destroyed by now...\Warren, what's going on?\Half of those chains are still intact! response:	Hurry, everyone!
context: Don't apologize.\I'm just happy that you remembered...\Michelle...\Yeesh!\This thing should be totally destroyed by now...\Warren, what's going on?\Half of those chains are still intact!\Hurry, everyone! response:	Oh, no! This is taking too long!
context: I'm just happy that you remembered...\Michelle...\Yeesh!\This thing should be totally destroyed by now...\Warren, what's going on?\Half of those chains are still intact!\Hurry, everyone!\Oh, no! This is taking too long! response:	But all we can do is cut through them one at a time!
context: Michelle...\Yeesh!\This thing should be totally destroyed by now...\Warren, what's going on?\Half of those chains are still intact!\Hurry, everyone!\Oh, no! This is taking too long!\But all we can do is cut through them one at a time! response:	Come on, to the next one!
context: Yeesh!\This thing should be totally destroyed by now...\Warren, what's going on?\Half of those chains are still intact!\Hurry, everyone!\Oh, no! This is taking too long!\But all we can do is cut through them one at a time!\Come on, to the next one! response:	Just a little more!
