context: From One Year to the Next response:	Coffee Shop
context: From One Year to the Next\Coffee Shop response:	It'll be Christmas soon.
context: From One Year to the Next\Coffee Shop\It'll be Christmas soon. response:	That's right.
context: From One Year to the Next\Coffee Shop\It'll be Christmas soon.\That's right. response:	I'd like to do some kind of event.
context: From One Year to the Next\Coffee Shop\It'll be Christmas soon.\That's right.\I'd like to do some kind of event. response:	Something to bring in more customers.
context: From One Year to the Next\Coffee Shop\It'll be Christmas soon.\That's right.\I'd like to do some kind of event.\Something to bring in more customers. response:	Yeah...
context: From One Year to the Next\Coffee Shop\It'll be Christmas soon.\That's right.\I'd like to do some kind of event.\Something to bring in more customers.\Yeah... response:	Why don't we put on another play on Christmas Eve, then?
context: From One Year to the Next\Coffee Shop\It'll be Christmas soon.\That's right.\I'd like to do some kind of event.\Something to bring in more customers.\Yeah...\Why don't we put on another play on Christmas Eve, then? response:	It would be the Hitotose Troupe's second performance!
context: Coffee Shop\It'll be Christmas soon.\That's right.\I'd like to do some kind of event.\Something to bring in more customers.\Yeah...\Why don't we put on another play on Christmas Eve, then?\It would be the Hitotose Troupe's second performance! response:	Yeah.
context: It'll be Christmas soon.\That's right.\I'd like to do some kind of event.\Something to bring in more customers.\Yeah...\Why don't we put on another play on Christmas Eve, then?\It would be the Hitotose Troupe's second performance!\Yeah. response:	But we don't have much time until Christmas,
context: That's right.\I'd like to do some kind of event.\Something to bring in more customers.\Yeah...\Why don't we put on another play on Christmas Eve, then?\It would be the Hitotose Troupe's second performance!\Yeah.\But we don't have much time until Christmas, response:	so we probably won't be able to do one as big as last time.
context: I'd like to do some kind of event.\Something to bring in more customers.\Yeah...\Why don't we put on another play on Christmas Eve, then?\It would be the Hitotose Troupe's second performance!\Yeah.\But we don't have much time until Christmas,\so we probably won't be able to do one as big as last time. response:	We won't have time to practice.
context: Something to bring in more customers.\Yeah...\Why don't we put on another play on Christmas Eve, then?\It would be the Hitotose Troupe's second performance!\Yeah.\But we don't have much time until Christmas,\so we probably won't be able to do one as big as last time.\We won't have time to practice. response:	A short play is fine, too!
context: Yeah...\Why don't we put on another play on Christmas Eve, then?\It would be the Hitotose Troupe's second performance!\Yeah.\But we don't have much time until Christmas,\so we probably won't be able to do one as big as last time.\We won't have time to practice.\A short play is fine, too! response:	Let's do it!
context: Why don't we put on another play on Christmas Eve, then?\It would be the Hitotose Troupe's second performance!\Yeah.\But we don't have much time until Christmas,\so we probably won't be able to do one as big as last time.\We won't have time to practice.\A short play is fine, too!\Let's do it! response:	Right, Principal Hina-chan?
context: It would be the Hitotose Troupe's second performance!\Yeah.\But we don't have much time until Christmas,\so we probably won't be able to do one as big as last time.\We won't have time to practice.\A short play is fine, too!\Let's do it!\Right, Principal Hina-chan? response:	Yeah!
context: Yeah.\But we don't have much time until Christmas,\so we probably won't be able to do one as big as last time.\We won't have time to practice.\A short play is fine, too!\Let's do it!\Right, Principal Hina-chan?\Yeah! response:	I bet our second play will go even better than the first!
context: But we don't have much time until Christmas,\so we probably won't be able to do one as big as last time.\We won't have time to practice.\A short play is fine, too!\Let's do it!\Right, Principal Hina-chan?\Yeah!\I bet our second play will go even better than the first! response:	That settles it! It'll be about...
context: so we probably won't be able to do one as big as last time.\We won't have time to practice.\A short play is fine, too!\Let's do it!\Right, Principal Hina-chan?\Yeah!\I bet our second play will go even better than the first!\That settles it! It'll be about... response:	Hmm, let's see...
context: We won't have time to practice.\A short play is fine, too!\Let's do it!\Right, Principal Hina-chan?\Yeah!\I bet our second play will go even better than the first!\That settles it! It'll be about...\Hmm, let's see... response:	For the end of the year...
context: A short play is fine, too!\Let's do it!\Right, Principal Hina-chan?\Yeah!\I bet our second play will go even better than the first!\That settles it! It'll be about...\Hmm, let's see...\For the end of the year... response:	Maybe Chushingura?
context: Let's do it!\Right, Principal Hina-chan?\Yeah!\I bet our second play will go even better than the first!\That settles it! It'll be about...\Hmm, let's see...\For the end of the year...\Maybe Chushingura? response:	Since it'll be Christmas,
