context: You're here early, Inspector Ando. response:	Don't forget that HQ overrode your orders
context: You're here early, Inspector Ando.\Don't forget that HQ overrode your orders response:	to bar Salty Dog from the command room.
context: You're here early, Inspector Ando.\Don't forget that HQ overrode your orders\to bar Salty Dog from the command room. response:	I'm aware.
context: You're here early, Inspector Ando.\Don't forget that HQ overrode your orders\to bar Salty Dog from the command room.\I'm aware. response:	I'm told that Hana Mutou's precognitive abilities have been lost.
context: You're here early, Inspector Ando.\Don't forget that HQ overrode your orders\to bar Salty Dog from the command room.\I'm aware.\I'm told that Hana Mutou's precognitive abilities have been lost. response:	In other words, the Independent Attack Force your plan called for
context: You're here early, Inspector Ando.\Don't forget that HQ overrode your orders\to bar Salty Dog from the command room.\I'm aware.\I'm told that Hana Mutou's precognitive abilities have been lost.\In other words, the Independent Attack Force your plan called for response:	has been rendered useless by your own mistake.
context: You're here early, Inspector Ando.\Don't forget that HQ overrode your orders\to bar Salty Dog from the command room.\I'm aware.\I'm told that Hana Mutou's precognitive abilities have been lost.\In other words, the Independent Attack Force your plan called for\has been rendered useless by your own mistake. response:	I'll be blunt.
context: You're here early, Inspector Ando.\Don't forget that HQ overrode your orders\to bar Salty Dog from the command room.\I'm aware.\I'm told that Hana Mutou's precognitive abilities have been lost.\In other words, the Independent Attack Force your plan called for\has been rendered useless by your own mistake.\I'll be blunt. response:	We are suspicious and distrustful of the capabilities
context: Don't forget that HQ overrode your orders\to bar Salty Dog from the command room.\I'm aware.\I'm told that Hana Mutou's precognitive abilities have been lost.\In other words, the Independent Attack Force your plan called for\has been rendered useless by your own mistake.\I'll be blunt.\We are suspicious and distrustful of the capabilities response:	of your Midsummer's Knights.
context: to bar Salty Dog from the command room.\I'm aware.\I'm told that Hana Mutou's precognitive abilities have been lost.\In other words, the Independent Attack Force your plan called for\has been rendered useless by your own mistake.\I'll be blunt.\We are suspicious and distrustful of the capabilities\of your Midsummer's Knights. response:	That's rather harsh.
context: I'm aware.\I'm told that Hana Mutou's precognitive abilities have been lost.\In other words, the Independent Attack Force your plan called for\has been rendered useless by your own mistake.\I'll be blunt.\We are suspicious and distrustful of the capabilities\of your Midsummer's Knights.\That's rather harsh. response:	And there are rumors that
context: I'm told that Hana Mutou's precognitive abilities have been lost.\In other words, the Independent Attack Force your plan called for\has been rendered useless by your own mistake.\I'll be blunt.\We are suspicious and distrustful of the capabilities\of your Midsummer's Knights.\That's rather harsh.\And there are rumors that response:	your Intercept Faction is planning an even stupider operation.
context: In other words, the Independent Attack Force your plan called for\has been rendered useless by your own mistake.\I'll be blunt.\We are suspicious and distrustful of the capabilities\of your Midsummer's Knights.\That's rather harsh.\And there are rumors that\your Intercept Faction is planning an even stupider operation. response:	Then I'll be blunt, as well.
context: has been rendered useless by your own mistake.\I'll be blunt.\We are suspicious and distrustful of the capabilities\of your Midsummer's Knights.\That's rather harsh.\And there are rumors that\your Intercept Faction is planning an even stupider operation.\Then I'll be blunt, as well. response:	There are unpleasant rumors that you've been sent here
context: I'll be blunt.\We are suspicious and distrustful of the capabilities\of your Midsummer's Knights.\That's rather harsh.\And there are rumors that\your Intercept Faction is planning an even stupider operation.\Then I'll be blunt, as well.\There are unpleasant rumors that you've been sent here response:	to the Tanegashima base to arrest Hana Mutou.
context: We are suspicious and distrustful of the capabilities\of your Midsummer's Knights.\That's rather harsh.\And there are rumors that\your Intercept Faction is planning an even stupider operation.\Then I'll be blunt, as well.\There are unpleasant rumors that you've been sent here\to the Tanegashima base to arrest Hana Mutou. response:	Well, even if that's true...
context: of your Midsummer's Knights.\That's rather harsh.\And there are rumors that\your Intercept Faction is planning an even stupider operation.\Then I'll be blunt, as well.\There are unpleasant rumors that you've been sent here\to the Tanegashima base to arrest Hana Mutou.\Well, even if that's true... response:	Unfortunately, she isn't at the base right now.
context: That's rather harsh.\And there are rumors that\your Intercept Faction is planning an even stupider operation.\Then I'll be blunt, as well.\There are unpleasant rumors that you've been sent here\to the Tanegashima base to arrest Hana Mutou.\Well, even if that's true...\Unfortunately, she isn't at the base right now. response:	How's the Tenkaidou? Do you like it?
context: And there are rumors that\your Intercept Faction is planning an even stupider operation.\Then I'll be blunt, as well.\There are unpleasant rumors that you've been sent here\to the Tanegashima base to arrest Hana Mutou.\Well, even if that's true...\Unfortunately, she isn't at the base right now.\How's the Tenkaidou? Do you like it? response:	Everyone's so nice.
context: your Intercept Faction is planning an even stupider operation.\Then I'll be blunt, as well.\There are unpleasant rumors that you've been sent here\to the Tanegashima base to arrest Hana Mutou.\Well, even if that's true...\Unfortunately, she isn't at the base right now.\How's the Tenkaidou? Do you like it?\Everyone's so nice. response:	Anyone good in Tanegashima?
context: Then I'll be blunt, as well.\There are unpleasant rumors that you've been sent here\to the Tanegashima base to arrest Hana Mutou.\Well, even if that's true...\Unfortunately, she isn't at the base right now.\How's the Tenkaidou? Do you like it?\Everyone's so nice.\Anyone good in Tanegashima? response:	They're all good people.
context: There are unpleasant rumors that you've been sent here\to the Tanegashima base to arrest Hana Mutou.\Well, even if that's true...\Unfortunately, she isn't at the base right now.\How's the Tenkaidou? Do you like it?\Everyone's so nice.\Anyone good in Tanegashima?\They're all good people. response:	Is she that naIve?
context: to the Tanegashima base to arrest Hana Mutou.\Well, even if that's true...\Unfortunately, she isn't at the base right now.\How's the Tenkaidou? Do you like it?\Everyone's so nice.\Anyone good in Tanegashima?\They're all good people.\Is she that naIve? response:	Is there a boy you like?
context: Well, even if that's true...\Unfortunately, she isn't at the base right now.\How's the Tenkaidou? Do you like it?\Everyone's so nice.\Anyone good in Tanegashima?\They're all good people.\Is she that naIve?\Is there a boy you like? response:	The captain!
context: Unfortunately, she isn't at the base right now.\How's the Tenkaidou? Do you like it?\Everyone's so nice.\Anyone good in Tanegashima?\They're all good people.\Is she that naIve?\Is there a boy you like?\The captain! response:	Daichi Manatsu-kun, huh?
context: How's the Tenkaidou? Do you like it?\Everyone's so nice.\Anyone good in Tanegashima?\They're all good people.\Is she that naIve?\Is there a boy you like?\The captain!\Daichi Manatsu-kun, huh? response:	Hey, you know the boy who pilots the Nebula Engine?
context: Everyone's so nice.\Anyone good in Tanegashima?\They're all good people.\Is she that naIve?\Is there a boy you like?\The captain!\Daichi Manatsu-kun, huh?\Hey, you know the boy who pilots the Nebula Engine? response:	Teppei?
context: Anyone good in Tanegashima?\They're all good people.\Is she that naIve?\Is there a boy you like?\The captain!\Daichi Manatsu-kun, huh?\Hey, you know the boy who pilots the Nebula Engine?\Teppei? response:	Yeah!
context: They're all good people.\Is she that naIve?\Is there a boy you like?\The captain!\Daichi Manatsu-kun, huh?\Hey, you know the boy who pilots the Nebula Engine?\Teppei?\Yeah! response:	Teppei Arashi-kun.
context: Is she that naIve?\Is there a boy you like?\The captain!\Daichi Manatsu-kun, huh?\Hey, you know the boy who pilots the Nebula Engine?\Teppei?\Yeah!\Teppei Arashi-kun. response:	He's cute, isn't he?
context: Is there a boy you like?\The captain!\Daichi Manatsu-kun, huh?\Hey, you know the boy who pilots the Nebula Engine?\Teppei?\Yeah!\Teppei Arashi-kun.\He's cute, isn't he? response:	Does he have a girlfriend?
context: The captain!\Daichi Manatsu-kun, huh?\Hey, you know the boy who pilots the Nebula Engine?\Teppei?\Yeah!\Teppei Arashi-kun.\He's cute, isn't he?\Does he have a girlfriend? response:	I don't think he does.
context: Daichi Manatsu-kun, huh?\Hey, you know the boy who pilots the Nebula Engine?\Teppei?\Yeah!\Teppei Arashi-kun.\He's cute, isn't he?\Does he have a girlfriend?\I don't think he does. response:	I see!
context: Hey, you know the boy who pilots the Nebula Engine?\Teppei?\Yeah!\Teppei Arashi-kun.\He's cute, isn't he?\Does he have a girlfriend?\I don't think he does.\I see! response:	What do we do?
context: Teppei?\Yeah!\Teppei Arashi-kun.\He's cute, isn't he?\Does he have a girlfriend?\I don't think he does.\I see!\What do we do? response:	We have to go for it!
context: Yeah!\Teppei Arashi-kun.\He's cute, isn't he?\Does he have a girlfriend?\I don't think he does.\I see!\What do we do?\We have to go for it! response:	Should we?
context: Teppei Arashi-kun.\He's cute, isn't he?\Does he have a girlfriend?\I don't think he does.\I see!\What do we do?\We have to go for it!\Should we? response:	When will he be here next?
context: He's cute, isn't he?\Does he have a girlfriend?\I don't think he does.\I see!\What do we do?\We have to go for it!\Should we?\When will he be here next? response:	I wonder if the others are better now...
context: Does he have a girlfriend?\I don't think he does.\I see!\What do we do?\We have to go for it!\Should we?\When will he be here next?\I wonder if the others are better now... response:	Ta-da!
context: I don't think he does.\I see!\What do we do?\We have to go for it!\Should we?\When will he be here next?\I wonder if the others are better now...\Ta-da! response:	Snack time!
context: I see!\What do we do?\We have to go for it!\Should we?\When will he be here next?\I wonder if the others are better now...\Ta-da!\Snack time! response:	Nice!
context: What do we do?\We have to go for it!\Should we?\When will he be here next?\I wonder if the others are better now...\Ta-da!\Snack time!\Nice! response:	I'm so glad everyone's feeling better.
context: We have to go for it!\Should we?\When will he be here next?\I wonder if the others are better now...\Ta-da!\Snack time!\Nice!\I'm so glad everyone's feeling better. response:	Yeah!
context: Should we?\When will he be here next?\I wonder if the others are better now...\Ta-da!\Snack time!\Nice!\I'm so glad everyone's feeling better.\Yeah! response:	Spitz to Doghouse.
context: When will he be here next?\I wonder if the others are better now...\Ta-da!\Snack time!\Nice!\I'm so glad everyone's feeling better.\Yeah!\Spitz to Doghouse. response:	Hana Mutou is not currently at the Tanegashima base.
context: I wonder if the others are better now...\Ta-da!\Snack time!\Nice!\I'm so glad everyone's feeling better.\Yeah!\Spitz to Doghouse.\Hana Mutou is not currently at the Tanegashima base. response:	Hana Mutou, pilot of the Flare Engine that defeated the Kiltgang Type-5,
context: Ta-da!\Snack time!\Nice!\I'm so glad everyone's feeling better.\Yeah!\Spitz to Doghouse.\Hana Mutou is not currently at the Tanegashima base.\Hana Mutou, pilot of the Flare Engine that defeated the Kiltgang Type-5, response:	is evidently aboard the Tenkaidou.
context: Snack time!\Nice!\I'm so glad everyone's feeling better.\Yeah!\Spitz to Doghouse.\Hana Mutou is not currently at the Tanegashima base.\Hana Mutou, pilot of the Flare Engine that defeated the Kiltgang Type-5,\is evidently aboard the Tenkaidou. response:	Over.
context: Nice!\I'm so glad everyone's feeling better.\Yeah!\Spitz to Doghouse.\Hana Mutou is not currently at the Tanegashima base.\Hana Mutou, pilot of the Flare Engine that defeated the Kiltgang Type-5,\is evidently aboard the Tenkaidou.\Over. response:	We have not received such information from our agent aboard the Tenkaidou.
context: I'm so glad everyone's feeling better.\Yeah!\Spitz to Doghouse.\Hana Mutou is not currently at the Tanegashima base.\Hana Mutou, pilot of the Flare Engine that defeated the Kiltgang Type-5,\is evidently aboard the Tenkaidou.\Over.\We have not received such information from our agent aboard the Tenkaidou. response:	They got us.
