context: *Episode 1 response:	*Prologue
context: *Episode 1\*Prologue response:	*test of courage
context: *Episode 1\*Prologue\*test of courage response:	*Participants
context: *Episode 1\*Prologue\*test of courage\*Participants response:	*Organizer: Kazehaya
context: *Episode 1\*Prologue\*test of courage\*Participants\*Organizer: Kazehaya response:	*Fee: 200 yen
context: *Episode 1\*Prologue\*test of courage\*Participants\*Organizer: Kazehaya\*Fee: 200 yen response:	*No lights
context: *Episode 1\*Prologue\*test of courage\*Participants\*Organizer: Kazehaya\*Fee: 200 yen\*No lights response:	*You lose
context: *Episode 1\*Prologue\*test of courage\*Participants\*Organizer: Kazehaya\*Fee: 200 yen\*No lights\*You lose response:	*You're going alone!
context: *Prologue\*test of courage\*Participants\*Organizer: Kazehaya\*Fee: 200 yen\*No lights\*You lose\*You're going alone! response:	*No groups of three
context: *test of courage\*Participants\*Organizer: Kazehaya\*Fee: 200 yen\*No lights\*You lose\*You're going alone!\*No groups of three response:	*No following other pairs
context: *Participants\*Organizer: Kazehaya\*Fee: 200 yen\*No lights\*You lose\*You're going alone!\*No groups of three\*No following other pairs response:	*Honor
context: *Organizer: Kazehaya\*Fee: 200 yen\*No lights\*You lose\*You're going alone!\*No groups of three\*No following other pairs\*Honor response:	*Compassion
context: *Fee: 200 yen\*No lights\*You lose\*You're going alone!\*No groups of three\*No following other pairs\*Honor\*Compassion response:	*Justice
context: *No lights\*You lose\*You're going alone!\*No groups of three\*No following other pairs\*Honor\*Compassion\*Justice response:	I heard it's bad.
context: *You lose\*You're going alone!\*No groups of three\*No following other pairs\*Honor\*Compassion\*Justice\I heard it's bad. response:	You meet eyes with her for three seconds, and...
context: *You're going alone!\*No groups of three\*No following other pairs\*Honor\*Compassion\*Justice\I heard it's bad.\You meet eyes with her for three seconds, and... response:	I know!
context: *No groups of three\*No following other pairs\*Honor\*Compassion\*Justice\I heard it's bad.\You meet eyes with her for three seconds, and...\I know! response:	Something bad happens a week later.
context: *No following other pairs\*Honor\*Compassion\*Justice\I heard it's bad.\You meet eyes with her for three seconds, and...\I know!\Something bad happens a week later. response:	Yeah.
context: *Honor\*Compassion\*Justice\I heard it's bad.\You meet eyes with her for three seconds, and...\I know!\Something bad happens a week later.\Yeah. response:	I'm scared.
context: *Compassion\*Justice\I heard it's bad.\You meet eyes with her for three seconds, and...\I know!\Something bad happens a week later.\Yeah.\I'm scared. response:	Seriously.
context: *Justice\I heard it's bad.\You meet eyes with her for three seconds, and...\I know!\Something bad happens a week later.\Yeah.\I'm scared.\Seriously. response:	So Yuka met eyes with her and she got a cold.
context: I heard it's bad.\You meet eyes with her for three seconds, and...\I know!\Something bad happens a week later.\Yeah.\I'm scared.\Seriously.\So Yuka met eyes with her and she got a cold. response:	It's the real deal.
context: You meet eyes with her for three seconds, and...\I know!\Something bad happens a week later.\Yeah.\I'm scared.\Seriously.\So Yuka met eyes with her and she got a cold.\It's the real deal. response:	Hey...
context: I know!\Something bad happens a week later.\Yeah.\I'm scared.\Seriously.\So Yuka met eyes with her and she got a cold.\It's the real deal.\Hey... response:	You dropped this.
context: Something bad happens a week later.\Yeah.\I'm scared.\Seriously.\So Yuka met eyes with her and she got a cold.\It's the real deal.\Hey...\You dropped this. response:	I'm sorry, I'm sorry!
context: Yeah.\I'm scared.\Seriously.\So Yuka met eyes with her and she got a cold.\It's the real deal.\Hey...\You dropped this.\I'm sorry, I'm sorry! response:	Everyone apologizes to me for some reason.
context: I'm scared.\Seriously.\So Yuka met eyes with her and she got a cold.\It's the real deal.\Hey...\You dropped this.\I'm sorry, I'm sorry!\Everyone apologizes to me for some reason. response:	I heard she's got a really strong psychic aura. She's attracting something.
context: Seriously.\So Yuka met eyes with her and she got a cold.\It's the real deal.\Hey...\You dropped this.\I'm sorry, I'm sorry!\Everyone apologizes to me for some reason.\I heard she's got a really strong psychic aura. She's attracting something. response:	I mean, even her name is Sadako, like from Ringu.
context: So Yuka met eyes with her and she got a cold.\It's the real deal.\Hey...\You dropped this.\I'm sorry, I'm sorry!\Everyone apologizes to me for some reason.\I heard she's got a really strong psychic aura. She's attracting something.\I mean, even her name is Sadako, like from Ringu. response:	Her parents gave her a pretty blunt name, huh?
context: It's the real deal.\Hey...\You dropped this.\I'm sorry, I'm sorry!\Everyone apologizes to me for some reason.\I heard she's got a really strong psychic aura. She's attracting something.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh? response:	Go ahead, I'm done.
context: Hey...\You dropped this.\I'm sorry, I'm sorry!\Everyone apologizes to me for some reason.\I heard she's got a really strong psychic aura. She's attracting something.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh?\Go ahead, I'm done. response:	I don't mean to burst your bubble, but I can't see ghosts or anything.
context: You dropped this.\I'm sorry, I'm sorry!\Everyone apologizes to me for some reason.\I heard she's got a really strong psychic aura. She's attracting something.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh?\Go ahead, I'm done.\I don't mean to burst your bubble, but I can't see ghosts or anything. response:	And my name's not Sadako, it's Sawako.
context: I'm sorry, I'm sorry!\Everyone apologizes to me for some reason.\I heard she's got a really strong psychic aura. She's attracting something.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh?\Go ahead, I'm done.\I don't mean to burst your bubble, but I can't see ghosts or anything.\And my name's not Sadako, it's Sawako. response:	It's written as breezy child. Sawako.
context: Everyone apologizes to me for some reason.\I heard she's got a really strong psychic aura. She's attracting something.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh?\Go ahead, I'm done.\I don't mean to burst your bubble, but I can't see ghosts or anything.\And my name's not Sadako, it's Sawako.\It's written as breezy child. Sawako. response:	For some reason, everyone's afraid of me.
