context: Regarding the Hayase laboratory... response:	We have identified a researcher we believe was involved in his core research.
context: Regarding the Hayase laboratory...\We have identified a researcher we believe was involved in his core research. response:	I see.
context: Regarding the Hayase laboratory...\We have identified a researcher we believe was involved in his core research.\I see. response:	Disheartened Faraday
context: Regarding the Hayase laboratory...\We have identified a researcher we believe was involved in his core research.\I see.\Disheartened Faraday response:	Thanks.
context: Regarding the Hayase laboratory...\We have identified a researcher we believe was involved in his core research.\I see.\Disheartened Faraday\Thanks. response:	How did it go?
context: Regarding the Hayase laboratory...\We have identified a researcher we believe was involved in his core research.\I see.\Disheartened Faraday\Thanks.\How did it go? response:	I'm banned from club activities for a week.
context: Regarding the Hayase laboratory...\We have identified a researcher we believe was involved in his core research.\I see.\Disheartened Faraday\Thanks.\How did it go?\I'm banned from club activities for a week. response:	Banned from the club?!
context: Regarding the Hayase laboratory...\We have identified a researcher we believe was involved in his core research.\I see.\Disheartened Faraday\Thanks.\How did it go?\I'm banned from club activities for a week.\Banned from the club?! response:	In the meantime, I have to do these problems
context: We have identified a researcher we believe was involved in his core research.\I see.\Disheartened Faraday\Thanks.\How did it go?\I'm banned from club activities for a week.\Banned from the club?!\In the meantime, I have to do these problems response:	Intermediate English Problems by Level In the meantime, I have to do these problems
context: I see.\Disheartened Faraday\Thanks.\How did it go?\I'm banned from club activities for a week.\Banned from the club?!\In the meantime, I have to do these problems\Intermediate English Problems by Level In the meantime, I have to do these problems response:	Intermediate English Problems by Level and memorize all the important vocab on the list.
context: Disheartened Faraday\Thanks.\How did it go?\I'm banned from club activities for a week.\Banned from the club?!\In the meantime, I have to do these problems\Intermediate English Problems by Level In the meantime, I have to do these problems\Intermediate English Problems by Level and memorize all the important vocab on the list. response:	and memorize all the important vocab on the list.
context: Thanks.\How did it go?\I'm banned from club activities for a week.\Banned from the club?!\In the meantime, I have to do these problems\Intermediate English Problems by Level In the meantime, I have to do these problems\Intermediate English Problems by Level and memorize all the important vocab on the list.\and memorize all the important vocab on the list. response:	It's nonsense! I'm out for a whole week!
context: How did it go?\I'm banned from club activities for a week.\Banned from the club?!\In the meantime, I have to do these problems\Intermediate English Problems by Level In the meantime, I have to do these problems\Intermediate English Problems by Level and memorize all the important vocab on the list.\and memorize all the important vocab on the list.\It's nonsense! I'm out for a whole week! response:	Well, you did fail every subject on your quiz...
context: I'm banned from club activities for a week.\Banned from the club?!\In the meantime, I have to do these problems\Intermediate English Problems by Level In the meantime, I have to do these problems\Intermediate English Problems by Level and memorize all the important vocab on the list.\and memorize all the important vocab on the list.\It's nonsense! I'm out for a whole week!\Well, you did fail every subject on your quiz... response:	Even Mari only failed one.
context: Banned from the club?!\In the meantime, I have to do these problems\Intermediate English Problems by Level In the meantime, I have to do these problems\Intermediate English Problems by Level and memorize all the important vocab on the list.\and memorize all the important vocab on the list.\It's nonsense! I'm out for a whole week!\Well, you did fail every subject on your quiz...\Even Mari only failed one. response:	Stupid Hayase!
context: In the meantime, I have to do these problems\Intermediate English Problems by Level In the meantime, I have to do these problems\Intermediate English Problems by Level and memorize all the important vocab on the list.\and memorize all the important vocab on the list.\It's nonsense! I'm out for a whole week!\Well, you did fail every subject on your quiz...\Even Mari only failed one.\Stupid Hayase! response:	That traitor!
context: Intermediate English Problems by Level In the meantime, I have to do these problems\Intermediate English Problems by Level and memorize all the important vocab on the list.\and memorize all the important vocab on the list.\It's nonsense! I'm out for a whole week!\Well, you did fail every subject on your quiz...\Even Mari only failed one.\Stupid Hayase!\That traitor! response:	Sis, is your nose itchy?
context: Intermediate English Problems by Level and memorize all the important vocab on the list.\and memorize all the important vocab on the list.\It's nonsense! I'm out for a whole week!\Well, you did fail every subject on your quiz...\Even Mari only failed one.\Stupid Hayase!\That traitor!\Sis, is your nose itchy? response:	I'm fine!
context: and memorize all the important vocab on the list.\It's nonsense! I'm out for a whole week!\Well, you did fail every subject on your quiz...\Even Mari only failed one.\Stupid Hayase!\That traitor!\Sis, is your nose itchy?\I'm fine! response:	Catching a cold?
context: It's nonsense! I'm out for a whole week!\Well, you did fail every subject on your quiz...\Even Mari only failed one.\Stupid Hayase!\That traitor!\Sis, is your nose itchy?\I'm fine!\Catching a cold? response:	I don't think so...
context: Well, you did fail every subject on your quiz...\Even Mari only failed one.\Stupid Hayase!\That traitor!\Sis, is your nose itchy?\I'm fine!\Catching a cold?\I don't think so... response:	It's more like someone's spreading rumors about me.
context: Even Mari only failed one.\Stupid Hayase!\That traitor!\Sis, is your nose itchy?\I'm fine!\Catching a cold?\I don't think so...\It's more like someone's spreading rumors about me. response:	Rumors?
context: Stupid Hayase!\That traitor!\Sis, is your nose itchy?\I'm fine!\Catching a cold?\I don't think so...\It's more like someone's spreading rumors about me.\Rumors? response:	Darn it...
context: That traitor!\Sis, is your nose itchy?\I'm fine!\Catching a cold?\I don't think so...\It's more like someone's spreading rumors about me.\Rumors?\Darn it... response:	I don't have time to study right now!
context: Sis, is your nose itchy?\I'm fine!\Catching a cold?\I don't think so...\It's more like someone's spreading rumors about me.\Rumors?\Darn it...\I don't have time to study right now! response:	What are you talking about?
context: I'm fine!\Catching a cold?\I don't think so...\It's more like someone's spreading rumors about me.\Rumors?\Darn it...\I don't have time to study right now!\What are you talking about? response:	Hey, give that back!
context: Catching a cold?\I don't think so...\It's more like someone's spreading rumors about me.\Rumors?\Darn it...\I don't have time to study right now!\What are you talking about?\Hey, give that back! response:	We have a tournament next week!
context: I don't think so...\It's more like someone's spreading rumors about me.\Rumors?\Darn it...\I don't have time to study right now!\What are you talking about?\Hey, give that back!\We have a tournament next week! response:	Which is more important, school or soccer?
context: It's more like someone's spreading rumors about me.\Rumors?\Darn it...\I don't have time to study right now!\What are you talking about?\Hey, give that back!\We have a tournament next week!\Which is more important, school or soccer? response:	Soccer, duh!
context: Rumors?\Darn it...\I don't have time to study right now!\What are you talking about?\Hey, give that back!\We have a tournament next week!\Which is more important, school or soccer?\Soccer, duh! response:	Soccer's 1!
context: Darn it...\I don't have time to study right now!\What are you talking about?\Hey, give that back!\We have a tournament next week!\Which is more important, school or soccer?\Soccer, duh!\Soccer's 1! response:	I'm exhausted. You don't care about school at all?
context: I don't have time to study right now!\What are you talking about?\Hey, give that back!\We have a tournament next week!\Which is more important, school or soccer?\Soccer, duh!\Soccer's 1!\I'm exhausted. You don't care about school at all? response:	Hey, I'm trying to become a pro soccer player.
context: What are you talking about?\Hey, give that back!\We have a tournament next week!\Which is more important, school or soccer?\Soccer, duh!\Soccer's 1!\I'm exhausted. You don't care about school at all?\Hey, I'm trying to become a pro soccer player. response:	I don't need to study!
context: Hey, give that back!\We have a tournament next week!\Which is more important, school or soccer?\Soccer, duh!\Soccer's 1!\I'm exhausted. You don't care about school at all?\Hey, I'm trying to become a pro soccer player.\I don't need to study! response:	A pro soccer player?
context: We have a tournament next week!\Which is more important, school or soccer?\Soccer, duh!\Soccer's 1!\I'm exhausted. You don't care about school at all?\Hey, I'm trying to become a pro soccer player.\I don't need to study!\A pro soccer player? response:	What team are you gonna join?
context: Which is more important, school or soccer?\Soccer, duh!\Soccer's 1!\I'm exhausted. You don't care about school at all?\Hey, I'm trying to become a pro soccer player.\I don't need to study!\A pro soccer player?\What team are you gonna join? response:	I'll join a J1 team, of course.
context: Soccer, duh!\Soccer's 1!\I'm exhausted. You don't care about school at all?\Hey, I'm trying to become a pro soccer player.\I don't need to study!\A pro soccer player?\What team are you gonna join?\I'll join a J1 team, of course. response:	Then I'll go overseas!
context: Soccer's 1!\I'm exhausted. You don't care about school at all?\Hey, I'm trying to become a pro soccer player.\I don't need to study!\A pro soccer player?\What team are you gonna join?\I'll join a J1 team, of course.\Then I'll go overseas! response:	Italy or France, maybe.
context: I'm exhausted. You don't care about school at all?\Hey, I'm trying to become a pro soccer player.\I don't need to study!\A pro soccer player?\What team are you gonna join?\I'll join a J1 team, of course.\Then I'll go overseas!\Italy or France, maybe. response:	You dummy!
context: Hey, I'm trying to become a pro soccer player.\I don't need to study!\A pro soccer player?\What team are you gonna join?\I'll join a J1 team, of course.\Then I'll go overseas!\Italy or France, maybe.\You dummy! response:	If you want to join a foreign team,
context: I don't need to study!\A pro soccer player?\What team are you gonna join?\I'll join a J1 team, of course.\Then I'll go overseas!\Italy or France, maybe.\You dummy!\If you want to join a foreign team, response:	you need to know how to speak foreign languages!
context: A pro soccer player?\What team are you gonna join?\I'll join a J1 team, of course.\Then I'll go overseas!\Italy or France, maybe.\You dummy!\If you want to join a foreign team,\you need to know how to speak foreign languages! response:	English is the most basic of basics!
context: What team are you gonna join?\I'll join a J1 team, of course.\Then I'll go overseas!\Italy or France, maybe.\You dummy!\If you want to join a foreign team,\you need to know how to speak foreign languages!\English is the most basic of basics! response:	You can't even handle English, but you want to go to Italy? France?
context: I'll join a J1 team, of course.\Then I'll go overseas!\Italy or France, maybe.\You dummy!\If you want to join a foreign team,\you need to know how to speak foreign languages!\English is the most basic of basics!\You can't even handle English, but you want to go to Italy? France? response:	Don't make me laugh!
context: Then I'll go overseas!\Italy or France, maybe.\You dummy!\If you want to join a foreign team,\you need to know how to speak foreign languages!\English is the most basic of basics!\You can't even handle English, but you want to go to Italy? France?\Don't make me laugh! response:	Th-Then... I'll just stick with a Japanese team.
context: Italy or France, maybe.\You dummy!\If you want to join a foreign team,\you need to know how to speak foreign languages!\English is the most basic of basics!\You can't even handle English, but you want to go to Italy? France?\Don't make me laugh!\Th-Then... I'll just stick with a Japanese team. response:	And when you go overseas for the World Cup, what will you do then?!
context: You dummy!\If you want to join a foreign team,\you need to know how to speak foreign languages!\English is the most basic of basics!\You can't even handle English, but you want to go to Italy? France?\Don't make me laugh!\Th-Then... I'll just stick with a Japanese team.\And when you go overseas for the World Cup, what will you do then?! response:	Oh, I see! I know!
context: If you want to join a foreign team,\you need to know how to speak foreign languages!\English is the most basic of basics!\You can't even handle English, but you want to go to Italy? France?\Don't make me laugh!\Th-Then... I'll just stick with a Japanese team.\And when you go overseas for the World Cup, what will you do then?!\Oh, I see! I know! response:	You're not interested in being a good enough player to be chosen for the World Cup, right?
context: you need to know how to speak foreign languages!\English is the most basic of basics!\You can't even handle English, but you want to go to Italy? France?\Don't make me laugh!\Th-Then... I'll just stick with a Japanese team.\And when you go overseas for the World Cup, what will you do then?!\Oh, I see! I know!\You're not interested in being a good enough player to be chosen for the World Cup, right? response:	Then I guess it's only natural that you suck at English.
context: English is the most basic of basics!\You can't even handle English, but you want to go to Italy? France?\Don't make me laugh!\Th-Then... I'll just stick with a Japanese team.\And when you go overseas for the World Cup, what will you do then?!\Oh, I see! I know!\You're not interested in being a good enough player to be chosen for the World Cup, right?\Then I guess it's only natural that you suck at English. response:	Sh-Shut up!
context: You can't even handle English, but you want to go to Italy? France?\Don't make me laugh!\Th-Then... I'll just stick with a Japanese team.\And when you go overseas for the World Cup, what will you do then?!\Oh, I see! I know!\You're not interested in being a good enough player to be chosen for the World Cup, right?\Then I guess it's only natural that you suck at English.\Sh-Shut up! response:	You're only hurting yourself by not studying.
context: Don't make me laugh!\Th-Then... I'll just stick with a Japanese team.\And when you go overseas for the World Cup, what will you do then?!\Oh, I see! I know!\You're not interested in being a good enough player to be chosen for the World Cup, right?\Then I guess it's only natural that you suck at English.\Sh-Shut up!\You're only hurting yourself by not studying. response:	Studying should come first, and soccer second!
context: Th-Then... I'll just stick with a Japanese team.\And when you go overseas for the World Cup, what will you do then?!\Oh, I see! I know!\You're not interested in being a good enough player to be chosen for the World Cup, right?\Then I guess it's only natural that you suck at English.\Sh-Shut up!\You're only hurting yourself by not studying.\Studying should come first, and soccer second! response:	What's wrong with losing yourself in what you love?!
context: And when you go overseas for the World Cup, what will you do then?!\Oh, I see! I know!\You're not interested in being a good enough player to be chosen for the World Cup, right?\Then I guess it's only natural that you suck at English.\Sh-Shut up!\You're only hurting yourself by not studying.\Studying should come first, and soccer second!\What's wrong with losing yourself in what you love?! response:	Futa!
context: Oh, I see! I know!\You're not interested in being a good enough player to be chosen for the World Cup, right?\Then I guess it's only natural that you suck at English.\Sh-Shut up!\You're only hurting yourself by not studying.\Studying should come first, and soccer second!\What's wrong with losing yourself in what you love?!\Futa! response:	November 7th, 1872.
context: You're not interested in being a good enough player to be chosen for the World Cup, right?\Then I guess it's only natural that you suck at English.\Sh-Shut up!\You're only hurting yourself by not studying.\Studying should come first, and soccer second!\What's wrong with losing yourself in what you love?!\Futa!\November 7th, 1872. response:	The Mary Celeste departed from New York, heading to Italy.
context: Then I guess it's only natural that you suck at English.\Sh-Shut up!\You're only hurting yourself by not studying.\Studying should come first, and soccer second!\What's wrong with losing yourself in what you love?!\Futa!\November 7th, 1872.\The Mary Celeste departed from New York, heading to Italy. response:	Then, on December 4th, it was discovered adrift in the ocean near Portugal.
context: Sh-Shut up!\You're only hurting yourself by not studying.\Studying should come first, and soccer second!\What's wrong with losing yourself in what you love?!\Futa!\November 7th, 1872.\The Mary Celeste departed from New York, heading to Italy.\Then, on December 4th, it was discovered adrift in the ocean near Portugal. response:	There was no sign of damage to the ship,
context: You're only hurting yourself by not studying.\Studying should come first, and soccer second!\What's wrong with losing yourself in what you love?!\Futa!\November 7th, 1872.\The Mary Celeste departed from New York, heading to Italy.\Then, on December 4th, it was discovered adrift in the ocean near Portugal.\There was no sign of damage to the ship, response:	or of having being attacked by pirates.
