context: I'm sorry... I just couldn't be alone. response:	That's all right.
context: I'm sorry... I just couldn't be alone.\That's all right. response:	Thank you.
context: I'm sorry... I just couldn't be alone.\That's all right.\Thank you. response:	So, what do you intend to do now?
context: I'm sorry... I just couldn't be alone.\That's all right.\Thank you.\So, what do you intend to do now? response:	I'm thinking of going back to the village where I was born.
context: I'm sorry... I just couldn't be alone.\That's all right.\Thank you.\So, what do you intend to do now?\I'm thinking of going back to the village where I was born. response:	I see.
context: I'm sorry... I just couldn't be alone.\That's all right.\Thank you.\So, what do you intend to do now?\I'm thinking of going back to the village where I was born.\I see. response:	But, what about the Jones boy?
context: I'm sorry... I just couldn't be alone.\That's all right.\Thank you.\So, what do you intend to do now?\I'm thinking of going back to the village where I was born.\I see.\But, what about the Jones boy? response:	That doesn't matter now.
context: I'm sorry... I just couldn't be alone.\That's all right.\Thank you.\So, what do you intend to do now?\I'm thinking of going back to the village where I was born.\I see.\But, what about the Jones boy?\That doesn't matter now. response:	Kelly was worried about you and that boy until the very end.
context: That's all right.\Thank you.\So, what do you intend to do now?\I'm thinking of going back to the village where I was born.\I see.\But, what about the Jones boy?\That doesn't matter now.\Kelly was worried about you and that boy until the very end. response:	She asked me to look after you.
context: Thank you.\So, what do you intend to do now?\I'm thinking of going back to the village where I was born.\I see.\But, what about the Jones boy?\That doesn't matter now.\Kelly was worried about you and that boy until the very end.\She asked me to look after you. response:	It was rare for that old lady to ask something of me so humbly...
context: So, what do you intend to do now?\I'm thinking of going back to the village where I was born.\I see.\But, what about the Jones boy?\That doesn't matter now.\Kelly was worried about you and that boy until the very end.\She asked me to look after you.\It was rare for that old lady to ask something of me so humbly... response:	The mistress was worried?
context: I'm thinking of going back to the village where I was born.\I see.\But, what about the Jones boy?\That doesn't matter now.\Kelly was worried about you and that boy until the very end.\She asked me to look after you.\It was rare for that old lady to ask something of me so humbly...\The mistress was worried? response:	As you can see, I don't really have the means to employ a maid.
context: I see.\But, what about the Jones boy?\That doesn't matter now.\Kelly was worried about you and that boy until the very end.\She asked me to look after you.\It was rare for that old lady to ask something of me so humbly...\The mistress was worried?\As you can see, I don't really have the means to employ a maid. response:	Nor do I know anyone who can, on such short notice...
context: But, what about the Jones boy?\That doesn't matter now.\Kelly was worried about you and that boy until the very end.\She asked me to look after you.\It was rare for that old lady to ask something of me so humbly...\The mistress was worried?\As you can see, I don't really have the means to employ a maid.\Nor do I know anyone who can, on such short notice... response:	I'm sorry.
context: That doesn't matter now.\Kelly was worried about you and that boy until the very end.\She asked me to look after you.\It was rare for that old lady to ask something of me so humbly...\The mistress was worried?\As you can see, I don't really have the means to employ a maid.\Nor do I know anyone who can, on such short notice...\I'm sorry. response:	It's all right.
context: Kelly was worried about you and that boy until the very end.\She asked me to look after you.\It was rare for that old lady to ask something of me so humbly...\The mistress was worried?\As you can see, I don't really have the means to employ a maid.\Nor do I know anyone who can, on such short notice...\I'm sorry.\It's all right. response:	If only Kelly were still alive...
context: She asked me to look after you.\It was rare for that old lady to ask something of me so humbly...\The mistress was worried?\As you can see, I don't really have the means to employ a maid.\Nor do I know anyone who can, on such short notice...\I'm sorry.\It's all right.\If only Kelly were still alive... response:	Oh, I'm sorry!
context: It was rare for that old lady to ask something of me so humbly...\The mistress was worried?\As you can see, I don't really have the means to employ a maid.\Nor do I know anyone who can, on such short notice...\I'm sorry.\It's all right.\If only Kelly were still alive...\Oh, I'm sorry! response:	If I keep that up, the old lady won't be able to rest in peace.
context: The mistress was worried?\As you can see, I don't really have the means to employ a maid.\Nor do I know anyone who can, on such short notice...\I'm sorry.\It's all right.\If only Kelly were still alive...\Oh, I'm sorry!\If I keep that up, the old lady won't be able to rest in peace. response:	It was my decision. If I keep that up, the old lady won't be able to rest in peace.
context: As you can see, I don't really have the means to employ a maid.\Nor do I know anyone who can, on such short notice...\I'm sorry.\It's all right.\If only Kelly were still alive...\Oh, I'm sorry!\If I keep that up, the old lady won't be able to rest in peace.\It was my decision. If I keep that up, the old lady won't be able to rest in peace. response:	It was my decision.
context: Nor do I know anyone who can, on such short notice...\I'm sorry.\It's all right.\If only Kelly were still alive...\Oh, I'm sorry!\If I keep that up, the old lady won't be able to rest in peace.\It was my decision. If I keep that up, the old lady won't be able to rest in peace.\It was my decision. response:	I believe it's for the best.
context: I'm sorry.\It's all right.\If only Kelly were still alive...\Oh, I'm sorry!\If I keep that up, the old lady won't be able to rest in peace.\It was my decision. If I keep that up, the old lady won't be able to rest in peace.\It was my decision.\I believe it's for the best. response:	I see...
context: It's all right.\If only Kelly were still alive...\Oh, I'm sorry!\If I keep that up, the old lady won't be able to rest in peace.\It was my decision. If I keep that up, the old lady won't be able to rest in peace.\It was my decision.\I believe it's for the best.\I see... response:	Episode 11 The Past
context: If only Kelly were still alive...\Oh, I'm sorry!\If I keep that up, the old lady won't be able to rest in peace.\It was my decision. If I keep that up, the old lady won't be able to rest in peace.\It was my decision.\I believe it's for the best.\I see...\Episode 11 The Past response:	And then, Master William, without a care for who saw him, held her like this!
context: Oh, I'm sorry!\If I keep that up, the old lady won't be able to rest in peace.\It was my decision. If I keep that up, the old lady won't be able to rest in peace.\It was my decision.\I believe it's for the best.\I see...\Episode 11 The Past\And then, Master William, without a care for who saw him, held her like this! response:	Unbelievable!
context: If I keep that up, the old lady won't be able to rest in peace.\It was my decision. If I keep that up, the old lady won't be able to rest in peace.\It was my decision.\I believe it's for the best.\I see...\Episode 11 The Past\And then, Master William, without a care for who saw him, held her like this!\Unbelievable! response:	And what's more, the girl was a maid! Who would have ever guessed?
context: It was my decision. If I keep that up, the old lady won't be able to rest in peace.\It was my decision.\I believe it's for the best.\I see...\Episode 11 The Past\And then, Master William, without a care for who saw him, held her like this!\Unbelievable!\And what's more, the girl was a maid! Who would have ever guessed? response:	She's really a maid?
context: It was my decision.\I believe it's for the best.\I see...\Episode 11 The Past\And then, Master William, without a care for who saw him, held her like this!\Unbelievable!\And what's more, the girl was a maid! Who would have ever guessed?\She's really a maid? response:	So that's why he and Master Richard got into a fight!
context: I believe it's for the best.\I see...\Episode 11 The Past\And then, Master William, without a care for who saw him, held her like this!\Unbelievable!\And what's more, the girl was a maid! Who would have ever guessed?\She's really a maid?\So that's why he and Master Richard got into a fight! response:	Eh? A fight?
context: I see...\Episode 11 The Past\And then, Master William, without a care for who saw him, held her like this!\Unbelievable!\And what's more, the girl was a maid! Who would have ever guessed?\She's really a maid?\So that's why he and Master Richard got into a fight!\Eh? A fight? response:	That's right!
context: Episode 11 The Past\And then, Master William, without a care for who saw him, held her like this!\Unbelievable!\And what's more, the girl was a maid! Who would have ever guessed?\She's really a maid?\So that's why he and Master Richard got into a fight!\Eh? A fight?\That's right! response:	To think they fought over a maid!
context: And then, Master William, without a care for who saw him, held her like this!\Unbelievable!\And what's more, the girl was a maid! Who would have ever guessed?\She's really a maid?\So that's why he and Master Richard got into a fight!\Eh? A fight?\That's right!\To think they fought over a maid! response:	You can't be serious!
context: Unbelievable!\And what's more, the girl was a maid! Who would have ever guessed?\She's really a maid?\So that's why he and Master Richard got into a fight!\Eh? A fight?\That's right!\To think they fought over a maid!\You can't be serious! response:	Just think, if he were to marry her, we'd have to call that maid ma'am, eh?
context: And what's more, the girl was a maid! Who would have ever guessed?\She's really a maid?\So that's why he and Master Richard got into a fight!\Eh? A fight?\That's right!\To think they fought over a maid!\You can't be serious!\Just think, if he were to marry her, we'd have to call that maid ma'am, eh? response:	Well I certainly wouldn't.
context: She's really a maid?\So that's why he and Master Richard got into a fight!\Eh? A fight?\That's right!\To think they fought over a maid!\You can't be serious!\Just think, if he were to marry her, we'd have to call that maid ma'am, eh?\Well I certainly wouldn't. response:	Well, she might be a maid now, but what if she's a noble lady who's fallen on hard times?
context: So that's why he and Master Richard got into a fight!\Eh? A fight?\That's right!\To think they fought over a maid!\You can't be serious!\Just think, if he were to marry her, we'd have to call that maid ma'am, eh?\Well I certainly wouldn't.\Well, she might be a maid now, but what if she's a noble lady who's fallen on hard times? response:	I truly doubt that.
context: Eh? A fight?\That's right!\To think they fought over a maid!\You can't be serious!\Just think, if he were to marry her, we'd have to call that maid ma'am, eh?\Well I certainly wouldn't.\Well, she might be a maid now, but what if she's a noble lady who's fallen on hard times?\I truly doubt that. response:	But it's an utter disgrace that Master William should fall for a mere maid!
context: That's right!\To think they fought over a maid!\You can't be serious!\Just think, if he were to marry her, we'd have to call that maid ma'am, eh?\Well I certainly wouldn't.\Well, she might be a maid now, but what if she's a noble lady who's fallen on hard times?\I truly doubt that.\But it's an utter disgrace that Master William should fall for a mere maid! response:	So you say, but are you sure you're not planning to find a rich husband for yourself?
context: To think they fought over a maid!\You can't be serious!\Just think, if he were to marry her, we'd have to call that maid ma'am, eh?\Well I certainly wouldn't.\Well, she might be a maid now, but what if she's a noble lady who's fallen on hard times?\I truly doubt that.\But it's an utter disgrace that Master William should fall for a mere maid!\So you say, but are you sure you're not planning to find a rich husband for yourself? response:	If I were 20 years younger!
context: You can't be serious!\Just think, if he were to marry her, we'd have to call that maid ma'am, eh?\Well I certainly wouldn't.\Well, she might be a maid now, but what if she's a noble lady who's fallen on hard times?\I truly doubt that.\But it's an utter disgrace that Master William should fall for a mere maid!\So you say, but are you sure you're not planning to find a rich husband for yourself?\If I were 20 years younger! response:	Exactly!
context: Just think, if he were to marry her, we'd have to call that maid ma'am, eh?\Well I certainly wouldn't.\Well, she might be a maid now, but what if she's a noble lady who's fallen on hard times?\I truly doubt that.\But it's an utter disgrace that Master William should fall for a mere maid!\So you say, but are you sure you're not planning to find a rich husband for yourself?\If I were 20 years younger!\Exactly! response:	You may object, but my feelings won't change.
context: Well I certainly wouldn't.\Well, she might be a maid now, but what if she's a noble lady who's fallen on hard times?\I truly doubt that.\But it's an utter disgrace that Master William should fall for a mere maid!\So you say, but are you sure you're not planning to find a rich husband for yourself?\If I were 20 years younger!\Exactly!\You may object, but my feelings won't change. response:	If I cannot marry Emma, then I shall never marry!
context: Well, she might be a maid now, but what if she's a noble lady who's fallen on hard times?\I truly doubt that.\But it's an utter disgrace that Master William should fall for a mere maid!\So you say, but are you sure you're not planning to find a rich husband for yourself?\If I were 20 years younger!\Exactly!\You may object, but my feelings won't change.\If I cannot marry Emma, then I shall never marry! response:	Do you not realize how insular polite society is?
context: I truly doubt that.\But it's an utter disgrace that Master William should fall for a mere maid!\So you say, but are you sure you're not planning to find a rich husband for yourself?\If I were 20 years younger!\Exactly!\You may object, but my feelings won't change.\If I cannot marry Emma, then I shall never marry!\Do you not realize how insular polite society is? response:	Although fortune, land and position count, the most important thing of all is...
context: But it's an utter disgrace that Master William should fall for a mere maid!\So you say, but are you sure you're not planning to find a rich husband for yourself?\If I were 20 years younger!\Exactly!\You may object, but my feelings won't change.\If I cannot marry Emma, then I shall never marry!\Do you not realize how insular polite society is?\Although fortune, land and position count, the most important thing of all is... response:	You must be worthy of people's respect.
context: So you say, but are you sure you're not planning to find a rich husband for yourself?\If I were 20 years younger!\Exactly!\You may object, but my feelings won't change.\If I cannot marry Emma, then I shall never marry!\Do you not realize how insular polite society is?\Although fortune, land and position count, the most important thing of all is...\You must be worthy of people's respect. response:	If not, you will be rejected. The world is unforgiving.
context: If I were 20 years younger!\Exactly!\You may object, but my feelings won't change.\If I cannot marry Emma, then I shall never marry!\Do you not realize how insular polite society is?\Although fortune, land and position count, the most important thing of all is...\You must be worthy of people's respect.\If not, you will be rejected. The world is unforgiving. response:	I don't believe that marrying Emma would warrant me losing respect!
context: Exactly!\You may object, but my feelings won't change.\If I cannot marry Emma, then I shall never marry!\Do you not realize how insular polite society is?\Although fortune, land and position count, the most important thing of all is...\You must be worthy of people's respect.\If not, you will be rejected. The world is unforgiving.\I don't believe that marrying Emma would warrant me losing respect! response:	It may take some time, but I believe that people will understand in the end.
