context: Woah, Big bro must be the main character, he gets featured in the first scene! response:	It's only one of my passive abilities
context: Woah, Big bro must be the main character, he gets featured in the first scene!\It's only one of my passive abilities response:	No matter what the plot dictates
context: Woah, Big bro must be the main character, he gets featured in the first scene!\It's only one of my passive abilities\No matter what the plot dictates response:	Whenever I pee
context: Woah, Big bro must be the main character, he gets featured in the first scene!\It's only one of my passive abilities\No matter what the plot dictates\Whenever I pee response:	The camera will always be focused on me
context: Woah, Big bro must be the main character, he gets featured in the first scene!\It's only one of my passive abilities\No matter what the plot dictates\Whenever I pee\The camera will always be focused on me response:	In broad daylight
context: Woah, Big bro must be the main character, he gets featured in the first scene!\It's only one of my passive abilities\No matter what the plot dictates\Whenever I pee\The camera will always be focused on me\In broad daylight response:	Yet you... Commit crimes and hurt people!
context: Woah, Big bro must be the main character, he gets featured in the first scene!\It's only one of my passive abilities\No matter what the plot dictates\Whenever I pee\The camera will always be focused on me\In broad daylight\Yet you... Commit crimes and hurt people! response:	Where did this old hag come from
context: Woah, Big bro must be the main character, he gets featured in the first scene!\It's only one of my passive abilities\No matter what the plot dictates\Whenever I pee\The camera will always be focused on me\In broad daylight\Yet you... Commit crimes and hurt people!\Where did this old hag come from response:	Watch me slap...
context: It's only one of my passive abilities\No matter what the plot dictates\Whenever I pee\The camera will always be focused on me\In broad daylight\Yet you... Commit crimes and hurt people!\Where did this old hag come from\Watch me slap... response:	Woah, big bro is so godly!
context: No matter what the plot dictates\Whenever I pee\The camera will always be focused on me\In broad daylight\Yet you... Commit crimes and hurt people!\Where did this old hag come from\Watch me slap...\Woah, big bro is so godly! response:	Just as I said
context: Whenever I pee\The camera will always be focused on me\In broad daylight\Yet you... Commit crimes and hurt people!\Where did this old hag come from\Watch me slap...\Woah, big bro is so godly!\Just as I said response:	I'll kill you is one blow!
context: The camera will always be focused on me\In broad daylight\Yet you... Commit crimes and hurt people!\Where did this old hag come from\Watch me slap...\Woah, big bro is so godly!\Just as I said\I'll kill you is one blow! response:	I'll kill this monster!
context: In broad daylight\Yet you... Commit crimes and hurt people!\Where did this old hag come from\Watch me slap...\Woah, big bro is so godly!\Just as I said\I'll kill you is one blow!\I'll kill this monster! response:	I don't want this!
context: Yet you... Commit crimes and hurt people!\Where did this old hag come from\Watch me slap...\Woah, big bro is so godly!\Just as I said\I'll kill you is one blow!\I'll kill this monster!\I don't want this! response:	Who is this person?
context: Where did this old hag come from\Watch me slap...\Woah, big bro is so godly!\Just as I said\I'll kill you is one blow!\I'll kill this monster!\I don't want this!\Who is this person? response:	She even found my weak point
context: Watch me slap...\Woah, big bro is so godly!\Just as I said\I'll kill you is one blow!\I'll kill this monster!\I don't want this!\Who is this person?\She even found my weak point response:	Go to hell!
context: Woah, big bro is so godly!\Just as I said\I'll kill you is one blow!\I'll kill this monster!\I don't want this!\Who is this person?\She even found my weak point\Go to hell! response:	You're... A stray spirit?
context: Just as I said\I'll kill you is one blow!\I'll kill this monster!\I don't want this!\Who is this person?\She even found my weak point\Go to hell!\You're... A stray spirit? response:	The naturel enemy of monsters for thousands of years
