context: What's happened so far! response:	This is our sister,
context: What's happened so far!\This is our sister, response:	Miyazawa Yukino, 10th grade!
context: What's happened so far!\This is our sister,\Miyazawa Yukino, 10th grade! response:	At first glance, she's elegant and graceful, blessed with both beauty and wit.
context: What's happened so far!\This is our sister,\Miyazawa Yukino, 10th grade!\At first glance, she's elegant and graceful, blessed with both beauty and wit. response:	Although she comes from a middle-class family...
context: What's happened so far!\This is our sister,\Miyazawa Yukino, 10th grade!\At first glance, she's elegant and graceful, blessed with both beauty and wit.\Although she comes from a middle-class family... response:	But in reality,
context: What's happened so far!\This is our sister,\Miyazawa Yukino, 10th grade!\At first glance, she's elegant and graceful, blessed with both beauty and wit.\Although she comes from a middle-class family...\But in reality, response:	she lives only to show off in front of others...
context: What's happened so far!\This is our sister,\Miyazawa Yukino, 10th grade!\At first glance, she's elegant and graceful, blessed with both beauty and wit.\Although she comes from a middle-class family...\But in reality,\she lives only to show off in front of others... response:	identity behind a mask.
context: What's happened so far!\This is our sister,\Miyazawa Yukino, 10th grade!\At first glance, she's elegant and graceful, blessed with both beauty and wit.\Although she comes from a middle-class family...\But in reality,\she lives only to show off in front of others...\identity behind a mask. response:	But the other day,
context: This is our sister,\Miyazawa Yukino, 10th grade!\At first glance, she's elegant and graceful, blessed with both beauty and wit.\Although she comes from a middle-class family...\But in reality,\she lives only to show off in front of others...\identity behind a mask.\But the other day, response:	Sis screwed up and
context: Miyazawa Yukino, 10th grade!\At first glance, she's elegant and graceful, blessed with both beauty and wit.\Although she comes from a middle-class family...\But in reality,\she lives only to show off in front of others...\identity behind a mask.\But the other day,\Sis screwed up and response:	her other persona was discovered!
context: At first glance, she's elegant and graceful, blessed with both beauty and wit.\Although she comes from a middle-class family...\But in reality,\she lives only to show off in front of others...\identity behind a mask.\But the other day,\Sis screwed up and\her other persona was discovered! response:	Arima Souichirou.
context: Although she comes from a middle-class family...\But in reality,\she lives only to show off in front of others...\identity behind a mask.\But the other day,\Sis screwed up and\her other persona was discovered!\Arima Souichirou. response:	He gets excellent grades,
context: But in reality,\she lives only to show off in front of others...\identity behind a mask.\But the other day,\Sis screwed up and\her other persona was discovered!\Arima Souichirou.\He gets excellent grades, response:	is good at every sport and is generally a sociable guy who would never make any enemies.
context: she lives only to show off in front of others...\identity behind a mask.\But the other day,\Sis screwed up and\her other persona was discovered!\Arima Souichirou.\He gets excellent grades,\is good at every sport and is generally a sociable guy who would never make any enemies. response:	And he's a thoroughbred from a famous family of doctors dating back to the Edo Period.
context: identity behind a mask.\But the other day,\Sis screwed up and\her other persona was discovered!\Arima Souichirou.\He gets excellent grades,\is good at every sport and is generally a sociable guy who would never make any enemies.\And he's a thoroughbred from a famous family of doctors dating back to the Edo Period. response:	But he's quite a scoundrel himseIf!
context: But the other day,\Sis screwed up and\her other persona was discovered!\Arima Souichirou.\He gets excellent grades,\is good at every sport and is generally a sociable guy who would never make any enemies.\And he's a thoroughbred from a famous family of doctors dating back to the Edo Period.\But he's quite a scoundrel himseIf! response:	He schemed to make Sis help him with his work by mercilessly exploiting her weakness!
context: Sis screwed up and\her other persona was discovered!\Arima Souichirou.\He gets excellent grades,\is good at every sport and is generally a sociable guy who would never make any enemies.\And he's a thoroughbred from a famous family of doctors dating back to the Edo Period.\But he's quite a scoundrel himseIf!\He schemed to make Sis help him with his work by mercilessly exploiting her weakness! response:	Combined with feeling love for the first time,
context: her other persona was discovered!\Arima Souichirou.\He gets excellent grades,\is good at every sport and is generally a sociable guy who would never make any enemies.\And he's a thoroughbred from a famous family of doctors dating back to the Edo Period.\But he's quite a scoundrel himseIf!\He schemed to make Sis help him with his work by mercilessly exploiting her weakness!\Combined with feeling love for the first time, response:	Sis was falling fast into big trouble.
context: Arima Souichirou.\He gets excellent grades,\is good at every sport and is generally a sociable guy who would never make any enemies.\And he's a thoroughbred from a famous family of doctors dating back to the Edo Period.\But he's quite a scoundrel himseIf!\He schemed to make Sis help him with his work by mercilessly exploiting her weakness!\Combined with feeling love for the first time,\Sis was falling fast into big trouble. response:	She finally snapped after a period of total ineffectiveness, but...
context: He gets excellent grades,\is good at every sport and is generally a sociable guy who would never make any enemies.\And he's a thoroughbred from a famous family of doctors dating back to the Edo Period.\But he's quite a scoundrel himseIf!\He schemed to make Sis help him with his work by mercilessly exploiting her weakness!\Combined with feeling love for the first time,\Sis was falling fast into big trouble.\She finally snapped after a period of total ineffectiveness, but... response:	However... After much fuss, they made peace.
context: is good at every sport and is generally a sociable guy who would never make any enemies.\And he's a thoroughbred from a famous family of doctors dating back to the Edo Period.\But he's quite a scoundrel himseIf!\He schemed to make Sis help him with his work by mercilessly exploiting her weakness!\Combined with feeling love for the first time,\Sis was falling fast into big trouble.\She finally snapped after a period of total ineffectiveness, but...\However... After much fuss, they made peace. response:	Since they both have reputations to protect...
context: And he's a thoroughbred from a famous family of doctors dating back to the Edo Period.\But he's quite a scoundrel himseIf!\He schemed to make Sis help him with his work by mercilessly exploiting her weakness!\Combined with feeling love for the first time,\Sis was falling fast into big trouble.\She finally snapped after a period of total ineffectiveness, but...\However... After much fuss, they made peace.\Since they both have reputations to protect... response:	But, however...!
context: But he's quite a scoundrel himseIf!\He schemed to make Sis help him with his work by mercilessly exploiting her weakness!\Combined with feeling love for the first time,\Sis was falling fast into big trouble.\She finally snapped after a period of total ineffectiveness, but...\However... After much fuss, they made peace.\Since they both have reputations to protect...\But, however...! response:	What's wrong? Does it hurt somewhere?
context: He schemed to make Sis help him with his work by mercilessly exploiting her weakness!\Combined with feeling love for the first time,\Sis was falling fast into big trouble.\She finally snapped after a period of total ineffectiveness, but...\However... After much fuss, they made peace.\Since they both have reputations to protect...\But, however...!\What's wrong? Does it hurt somewhere? response:	Why'd I remember that all of a sudden?
context: Combined with feeling love for the first time,\Sis was falling fast into big trouble.\She finally snapped after a period of total ineffectiveness, but...\However... After much fuss, they made peace.\Since they both have reputations to protect...\But, however...!\What's wrong? Does it hurt somewhere?\Why'd I remember that all of a sudden? response:	I'd forgotten it long ago...
context: Sis was falling fast into big trouble.\She finally snapped after a period of total ineffectiveness, but...\However... After much fuss, they made peace.\Since they both have reputations to protect...\But, however...!\What's wrong? Does it hurt somewhere?\Why'd I remember that all of a sudden?\I'd forgotten it long ago... response:	I think Arima's been acting weird lately.
context: She finally snapped after a period of total ineffectiveness, but...\However... After much fuss, they made peace.\Since they both have reputations to protect...\But, however...!\What's wrong? Does it hurt somewhere?\Why'd I remember that all of a sudden?\I'd forgotten it long ago...\I think Arima's been acting weird lately. response:	Oh, you're still here. Work?
context: However... After much fuss, they made peace.\Since they both have reputations to protect...\But, however...!\What's wrong? Does it hurt somewhere?\Why'd I remember that all of a sudden?\I'd forgotten it long ago...\I think Arima's been acting weird lately.\Oh, you're still here. Work? response:	Yeah.
context: Since they both have reputations to protect...\But, however...!\What's wrong? Does it hurt somewhere?\Why'd I remember that all of a sudden?\I'd forgotten it long ago...\I think Arima's been acting weird lately.\Oh, you're still here. Work?\Yeah. response:	You, too?
context: But, however...!\What's wrong? Does it hurt somewhere?\Why'd I remember that all of a sudden?\I'd forgotten it long ago...\I think Arima's been acting weird lately.\Oh, you're still here. Work?\Yeah.\You, too? response:	Yup, but I just finished.
context: What's wrong? Does it hurt somewhere?\Why'd I remember that all of a sudden?\I'd forgotten it long ago...\I think Arima's been acting weird lately.\Oh, you're still here. Work?\Yeah.\You, too?\Yup, but I just finished. response:	If it's taking long, I can help out. After all, today's a half-day.
context: Why'd I remember that all of a sudden?\I'd forgotten it long ago...\I think Arima's been acting weird lately.\Oh, you're still here. Work?\Yeah.\You, too?\Yup, but I just finished.\If it's taking long, I can help out. After all, today's a half-day. response:	That's okay. I'm almost finished.
context: I'd forgotten it long ago...\I think Arima's been acting weird lately.\Oh, you're still here. Work?\Yeah.\You, too?\Yup, but I just finished.\If it's taking long, I can help out. After all, today's a half-day.\That's okay. I'm almost finished. response:	I'd better get going to practice. Later, Miyazawa.
context: I think Arima's been acting weird lately.\Oh, you're still here. Work?\Yeah.\You, too?\Yup, but I just finished.\If it's taking long, I can help out. After all, today's a half-day.\That's okay. I'm almost finished.\I'd better get going to practice. Later, Miyazawa. response:	Definitely weird.
context: Oh, you're still here. Work?\Yeah.\You, too?\Yup, but I just finished.\If it's taking long, I can help out. After all, today's a half-day.\That's okay. I'm almost finished.\I'd better get going to practice. Later, Miyazawa.\Definitely weird. response:	Why is he keeping me at a distance?
context: Yeah.\You, too?\Yup, but I just finished.\If it's taking long, I can help out. After all, today's a half-day.\That's okay. I'm almost finished.\I'd better get going to practice. Later, Miyazawa.\Definitely weird.\Why is he keeping me at a distance? response:	We were getting along great until last week...
context: You, too?\Yup, but I just finished.\If it's taking long, I can help out. After all, today's a half-day.\That's okay. I'm almost finished.\I'd better get going to practice. Later, Miyazawa.\Definitely weird.\Why is he keeping me at a distance?\We were getting along great until last week... response:	Hey, Miyazawa.
context: Yup, but I just finished.\If it's taking long, I can help out. After all, today's a half-day.\That's okay. I'm almost finished.\I'd better get going to practice. Later, Miyazawa.\Definitely weird.\Why is he keeping me at a distance?\We were getting along great until last week...\Hey, Miyazawa. response:	Want to form a study group?
context: If it's taking long, I can help out. After all, today's a half-day.\That's okay. I'm almost finished.\I'd better get going to practice. Later, Miyazawa.\Definitely weird.\Why is he keeping me at a distance?\We were getting along great until last week...\Hey, Miyazawa.\Want to form a study group? response:	Our school has lots of tests, right?
context: That's okay. I'm almost finished.\I'd better get going to practice. Later, Miyazawa.\Definitely weird.\Why is he keeping me at a distance?\We were getting along great until last week...\Hey, Miyazawa.\Want to form a study group?\Our school has lots of tests, right? response:	If we cooperate, I think we
context: I'd better get going to practice. Later, Miyazawa.\Definitely weird.\Why is he keeping me at a distance?\We were getting along great until last week...\Hey, Miyazawa.\Want to form a study group?\Our school has lots of tests, right?\If we cooperate, I think we response:	might both be able to do better.
context: Definitely weird.\Why is he keeping me at a distance?\We were getting along great until last week...\Hey, Miyazawa.\Want to form a study group?\Our school has lots of tests, right?\If we cooperate, I think we\might both be able to do better. response:	I see! That's a wonderful idea.
context: Why is he keeping me at a distance?\We were getting along great until last week...\Hey, Miyazawa.\Want to form a study group?\Our school has lots of tests, right?\If we cooperate, I think we\might both be able to do better.\I see! That's a wonderful idea. response:	Cooperation is such a beautiful thing!
