context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	This doesn't look good.
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\This doesn't look good. response:	Put your backs into it, men!
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\This doesn't look good.\Put your backs into it, men! response:	Yes, sir!
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\This doesn't look good.\Put your backs into it, men!\Yes, sir! response:	What's that whistling sound I keep hearing?
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\This doesn't look good.\Put your backs into it, men!\Yes, sir!\What's that whistling sound I keep hearing? response:	It sounds like birds...
context: Mushi-Shi\Just for you\Like I used to\This doesn't look good.\Put your backs into it, men!\Yes, sir!\What's that whistling sound I keep hearing?\It sounds like birds... response:	Huh?
context: Just for you\Like I used to\This doesn't look good.\Put your backs into it, men!\Yes, sir!\What's that whistling sound I keep hearing?\It sounds like birds...\Huh? response:	Finally, a nice breeze is blowing.
context: Like I used to\This doesn't look good.\Put your backs into it, men!\Yes, sir!\What's that whistling sound I keep hearing?\It sounds like birds...\Huh?\Finally, a nice breeze is blowing. response:	The Wind Raiser
context: This doesn't look good.\Put your backs into it, men!\Yes, sir!\What's that whistling sound I keep hearing?\It sounds like birds...\Huh?\Finally, a nice breeze is blowing.\The Wind Raiser response:	Well, that's a neat trick.
context: Put your backs into it, men!\Yes, sir!\What's that whistling sound I keep hearing?\It sounds like birds...\Huh?\Finally, a nice breeze is blowing.\The Wind Raiser\Well, that's a neat trick. response:	You seem to have complete control over the wind.
context: Yes, sir!\What's that whistling sound I keep hearing?\It sounds like birds...\Huh?\Finally, a nice breeze is blowing.\The Wind Raiser\Well, that's a neat trick.\You seem to have complete control over the wind. response:	Are you a stowaway?
context: What's that whistling sound I keep hearing?\It sounds like birds...\Huh?\Finally, a nice breeze is blowing.\The Wind Raiser\Well, that's a neat trick.\You seem to have complete control over the wind.\Are you a stowaway? response:	Nah, not at all.
context: It sounds like birds...\Huh?\Finally, a nice breeze is blowing.\The Wind Raiser\Well, that's a neat trick.\You seem to have complete control over the wind.\Are you a stowaway?\Nah, not at all. response:	I made a deal with your captain at the last harbor.
context: Huh?\Finally, a nice breeze is blowing.\The Wind Raiser\Well, that's a neat trick.\You seem to have complete control over the wind.\Are you a stowaway?\Nah, not at all.\I made a deal with your captain at the last harbor. response:	I bartered some of this tonic in exchange for passage.
context: Finally, a nice breeze is blowing.\The Wind Raiser\Well, that's a neat trick.\You seem to have complete control over the wind.\Are you a stowaway?\Nah, not at all.\I made a deal with your captain at the last harbor.\I bartered some of this tonic in exchange for passage. response:	Traveling by ship is pretty nice, after all.
context: The Wind Raiser\Well, that's a neat trick.\You seem to have complete control over the wind.\Are you a stowaway?\Nah, not at all.\I made a deal with your captain at the last harbor.\I bartered some of this tonic in exchange for passage.\Traveling by ship is pretty nice, after all. response:	So you can see them too?
context: Well, that's a neat trick.\You seem to have complete control over the wind.\Are you a stowaway?\Nah, not at all.\I made a deal with your captain at the last harbor.\I bartered some of this tonic in exchange for passage.\Traveling by ship is pretty nice, after all.\So you can see them too? response:	Yeah.
context: You seem to have complete control over the wind.\Are you a stowaway?\Nah, not at all.\I made a deal with your captain at the last harbor.\I bartered some of this tonic in exchange for passage.\Traveling by ship is pretty nice, after all.\So you can see them too?\Yeah. response:	They're Torikaze, or Wind Bird mushi.
context: Are you a stowaway?\Nah, not at all.\I made a deal with your captain at the last harbor.\I bartered some of this tonic in exchange for passage.\Traveling by ship is pretty nice, after all.\So you can see them too?\Yeah.\They're Torikaze, or Wind Bird mushi. response:	We mushi-shi sometimes use a stone whistle like this to lure mushi to us.
context: Nah, not at all.\I made a deal with your captain at the last harbor.\I bartered some of this tonic in exchange for passage.\Traveling by ship is pretty nice, after all.\So you can see them too?\Yeah.\They're Torikaze, or Wind Bird mushi.\We mushi-shi sometimes use a stone whistle like this to lure mushi to us. response:	Did someone teach you how to whistle like that?
context: I made a deal with your captain at the last harbor.\I bartered some of this tonic in exchange for passage.\Traveling by ship is pretty nice, after all.\So you can see them too?\Yeah.\They're Torikaze, or Wind Bird mushi.\We mushi-shi sometimes use a stone whistle like this to lure mushi to us.\Did someone teach you how to whistle like that? response:	Nah.
context: I bartered some of this tonic in exchange for passage.\Traveling by ship is pretty nice, after all.\So you can see them too?\Yeah.\They're Torikaze, or Wind Bird mushi.\We mushi-shi sometimes use a stone whistle like this to lure mushi to us.\Did someone teach you how to whistle like that?\Nah. response:	I get bored, so I just whistle a lot.
context: Traveling by ship is pretty nice, after all.\So you can see them too?\Yeah.\They're Torikaze, or Wind Bird mushi.\We mushi-shi sometimes use a stone whistle like this to lure mushi to us.\Did someone teach you how to whistle like that?\Nah.\I get bored, so I just whistle a lot. response:	One day, these guys responded to me.
context: So you can see them too?\Yeah.\They're Torikaze, or Wind Bird mushi.\We mushi-shi sometimes use a stone whistle like this to lure mushi to us.\Did someone teach you how to whistle like that?\Nah.\I get bored, so I just whistle a lot.\One day, these guys responded to me. response:	Really? That's a bit impressive.
context: Yeah.\They're Torikaze, or Wind Bird mushi.\We mushi-shi sometimes use a stone whistle like this to lure mushi to us.\Did someone teach you how to whistle like that?\Nah.\I get bored, so I just whistle a lot.\One day, these guys responded to me.\Really? That's a bit impressive. response:	How do you do it?
context: They're Torikaze, or Wind Bird mushi.\We mushi-shi sometimes use a stone whistle like this to lure mushi to us.\Did someone teach you how to whistle like that?\Nah.\I get bored, so I just whistle a lot.\One day, these guys responded to me.\Really? That's a bit impressive.\How do you do it? response:	That one was Blow stronger.
context: We mushi-shi sometimes use a stone whistle like this to lure mushi to us.\Did someone teach you how to whistle like that?\Nah.\I get bored, so I just whistle a lot.\One day, these guys responded to me.\Really? That's a bit impressive.\How do you do it?\That one was Blow stronger. response:	Rest.
context: Did someone teach you how to whistle like that?\Nah.\I get bored, so I just whistle a lot.\One day, these guys responded to me.\Really? That's a bit impressive.\How do you do it?\That one was Blow stronger.\Rest. response:	Wow. That's amazing.
context: Nah.\I get bored, so I just whistle a lot.\One day, these guys responded to me.\Really? That's a bit impressive.\How do you do it?\That one was Blow stronger.\Rest.\Wow. That's amazing. response:	So, like this?
context: I get bored, so I just whistle a lot.\One day, these guys responded to me.\Really? That's a bit impressive.\How do you do it?\That one was Blow stronger.\Rest.\Wow. That's amazing.\So, like this? response:	Yours sounds a bit off.
context: One day, these guys responded to me.\Really? That's a bit impressive.\How do you do it?\That one was Blow stronger.\Rest.\Wow. That's amazing.\So, like this?\Yours sounds a bit off. response:	And anyway, they won't obey if it's completely against what the flock wants.
context: Really? That's a bit impressive.\How do you do it?\That one was Blow stronger.\Rest.\Wow. That's amazing.\So, like this?\Yours sounds a bit off.\And anyway, they won't obey if it's completely against what the flock wants. response:	They have their own needs and wants, after all.
context: How do you do it?\That one was Blow stronger.\Rest.\Wow. That's amazing.\So, like this?\Yours sounds a bit off.\And anyway, they won't obey if it's completely against what the flock wants.\They have their own needs and wants, after all. response:	Well, I'm in awe.
context: That one was Blow stronger.\Rest.\Wow. That's amazing.\So, like this?\Yours sounds a bit off.\And anyway, they won't obey if it's completely against what the flock wants.\They have their own needs and wants, after all.\Well, I'm in awe. response:	But you only whistle during the day, right?
context: Rest.\Wow. That's amazing.\So, like this?\Yours sounds a bit off.\And anyway, they won't obey if it's completely against what the flock wants.\They have their own needs and wants, after all.\Well, I'm in awe.\But you only whistle during the day, right? response:	Yeah.
context: Wow. That's amazing.\So, like this?\Yours sounds a bit off.\And anyway, they won't obey if it's completely against what the flock wants.\They have their own needs and wants, after all.\Well, I'm in awe.\But you only whistle during the day, right?\Yeah. response:	At night, these guys disappear back to their nests or something.
context: So, like this?\Yours sounds a bit off.\And anyway, they won't obey if it's completely against what the flock wants.\They have their own needs and wants, after all.\Well, I'm in awe.\But you only whistle during the day, right?\Yeah.\At night, these guys disappear back to their nests or something. response:	Good. You must never whistle like that at night.
context: Yours sounds a bit off.\And anyway, they won't obey if it's completely against what the flock wants.\They have their own needs and wants, after all.\Well, I'm in awe.\But you only whistle during the day, right?\Yeah.\At night, these guys disappear back to their nests or something.\Good. You must never whistle like that at night. response:	Why not?
context: And anyway, they won't obey if it's completely against what the flock wants.\They have their own needs and wants, after all.\Well, I'm in awe.\But you only whistle during the day, right?\Yeah.\At night, these guys disappear back to their nests or something.\Good. You must never whistle like that at night.\Why not? response:	It's likely something bad will happen if you do.
