context: Hey, you! response:	How are All Might's classes?
context: Hey, you!\How are All Might's classes? response:	Uh, excuse me, I have to go to the nurse's office!
context: Hey, you!\How are All Might's classes?\Uh, excuse me, I have to go to the nurse's office! response:	Will you tell us about what the Symbol of Peace is like as a teacher?!
context: Hey, you!\How are All Might's classes?\Uh, excuse me, I have to go to the nurse's office!\Will you tell us about what the Symbol of Peace is like as a teacher?! response:	Wh-What he's like?
context: Hey, you!\How are All Might's classes?\Uh, excuse me, I have to go to the nurse's office!\Will you tell us about what the Symbol of Peace is like as a teacher?!\Wh-What he's like? response:	Um...
context: Hey, you!\How are All Might's classes?\Uh, excuse me, I have to go to the nurse's office!\Will you tell us about what the Symbol of Peace is like as a teacher?!\Wh-What he's like?\Um... response:	He's very muscular!
context: Hey, you!\How are All Might's classes?\Uh, excuse me, I have to go to the nurse's office!\Will you tell us about what the Symbol of Peace is like as a teacher?!\Wh-What he's like?\Um...\He's very muscular! response:	What do you think of All Might as a teacher?!
context: Hey, you!\How are All Might's classes?\Uh, excuse me, I have to go to the nurse's office!\Will you tell us about what the Symbol of Peace is like as a teacher?!\Wh-What he's like?\Um...\He's very muscular!\What do you think of All Might as a teacher?! response:	He made me recognize anew that I attend an educational institution that is the best of the best.
context: How are All Might's classes?\Uh, excuse me, I have to go to the nurse's office!\Will you tell us about what the Symbol of Peace is like as a teacher?!\Wh-What he's like?\Um...\He's very muscular!\What do you think of All Might as a teacher?!\He made me recognize anew that I attend an educational institution that is the best of the best. response:	Of course, his dignity and character go without saying,
context: Uh, excuse me, I have to go to the nurse's office!\Will you tell us about what the Symbol of Peace is like as a teacher?!\Wh-What he's like?\Um...\He's very muscular!\What do you think of All Might as a teacher?!\He made me recognize anew that I attend an educational institution that is the best of the best.\Of course, his dignity and character go without saying, response:	but we students are constantly able to see his humorous side.
context: Will you tell us about what the Symbol of Peace is like as a teacher?!\Wh-What he's like?\Um...\He's very muscular!\What do you think of All Might as a teacher?!\He made me recognize anew that I attend an educational institution that is the best of the best.\Of course, his dignity and character go without saying,\but we students are constantly able to see his humorous side. response:	It is a unique opportunity to learn about being a top hero directly from one.
context: Wh-What he's like?\Um...\He's very muscular!\What do you think of All Might as a teacher?!\He made me recognize anew that I attend an educational institution that is the best of the best.\Of course, his dignity and character go without saying,\but we students are constantly able to see his humorous side.\It is a unique opportunity to learn about being a top hero directly from one. response:	Excuse me!
context: Um...\He's very muscular!\What do you think of All Might as a teacher?!\He made me recognize anew that I attend an educational institution that is the best of the best.\Of course, his dignity and character go without saying,\but we students are constantly able to see his humorous side.\It is a unique opportunity to learn about being a top hero directly from one.\Excuse me! response:	Can you tell me about All Migh
context: He's very muscular!\What do you think of All Might as a teacher?!\He made me recognize anew that I attend an educational institution that is the best of the best.\Of course, his dignity and character go without saying,\but we students are constantly able to see his humorous side.\It is a unique opportunity to learn about being a top hero directly from one.\Excuse me!\Can you tell me about All Migh response:	Oh? You're the one who was caught by the sludge villain...
context: What do you think of All Might as a teacher?!\He made me recognize anew that I attend an educational institution that is the best of the best.\Of course, his dignity and character go without saying,\but we students are constantly able to see his humorous side.\It is a unique opportunity to learn about being a top hero directly from one.\Excuse me!\Can you tell me about All Migh\Oh? You're the one who was caught by the sludge villain... response:	Stop it!
context: He made me recognize anew that I attend an educational institution that is the best of the best.\Of course, his dignity and character go without saying,\but we students are constantly able to see his humorous side.\It is a unique opportunity to learn about being a top hero directly from one.\Excuse me!\Can you tell me about All Migh\Oh? You're the one who was caught by the sludge villain...\Stop it! response:	Um, about All Might...
context: Of course, his dignity and character go without saying,\but we students are constantly able to see his humorous side.\It is a unique opportunity to learn about being a top hero directly from one.\Excuse me!\Can you tell me about All Migh\Oh? You're the one who was caught by the sludge villain...\Stop it!\Um, about All Might... response:	Wow, you're scruffy...
context: but we students are constantly able to see his humorous side.\It is a unique opportunity to learn about being a top hero directly from one.\Excuse me!\Can you tell me about All Migh\Oh? You're the one who was caught by the sludge villain...\Stop it!\Um, about All Might...\Wow, you're scruffy... response:	What's your deal?!
context: It is a unique opportunity to learn about being a top hero directly from one.\Excuse me!\Can you tell me about All Migh\Oh? You're the one who was caught by the sludge villain...\Stop it!\Um, about All Might...\Wow, you're scruffy...\What's your deal?! response:	He's not on duty today.
context: Excuse me!\Can you tell me about All Migh\Oh? You're the one who was caught by the sludge villain...\Stop it!\Um, about All Might...\Wow, you're scruffy...\What's your deal?!\He's not on duty today. response:	You are disturbing the classes, please leave.
context: Can you tell me about All Migh\Oh? You're the one who was caught by the sludge villain...\Stop it!\Um, about All Might...\Wow, you're scruffy...\What's your deal?!\He's not on duty today.\You are disturbing the classes, please leave. response:	I would like to speak directly with All Might
context: Oh? You're the one who was caught by the sludge villain...\Stop it!\Um, about All Might...\Wow, you're scruffy...\What's your deal?!\He's not on duty today.\You are disturbing the classes, please leave.\I would like to speak directly with All Might response:	I feel like I've seen him before...
context: Stop it!\Um, about All Might...\Wow, you're scruffy...\What's your deal?!\He's not on duty today.\You are disturbing the classes, please leave.\I would like to speak directly with All Might\I feel like I've seen him before... response:	Don't you think you're too scruffy?!
context: Um, about All Might...\Wow, you're scruffy...\What's your deal?!\He's not on duty today.\You are disturbing the classes, please leave.\I would like to speak directly with All Might\I feel like I've seen him before...\Don't you think you're too scruffy?! response:	I can't believe All Might was able to work as a hero with all this.
context: Wow, you're scruffy...\What's your deal?!\He's not on duty today.\You are disturbing the classes, please leave.\I would like to speak directly with All Might\I feel like I've seen him before...\Don't you think you're too scruffy?!\I can't believe All Might was able to work as a hero with all this. response:	Hey!
context: What's your deal?!\He's not on duty today.\You are disturbing the classes, please leave.\I would like to speak directly with All Might\I feel like I've seen him before...\Don't you think you're too scruffy?!\I can't believe All Might was able to work as a hero with all this.\Hey! response:	Let me see All Might just for a little
context: He's not on duty today.\You are disturbing the classes, please leave.\I would like to speak directly with All Might\I feel like I've seen him before...\Don't you think you're too scruffy?!\I can't believe All Might was able to work as a hero with all this.\Hey!\Let me see All Might just for a little response:	Just a little time is fine! Just let me see All Might
context: You are disturbing the classes, please leave.\I would like to speak directly with All Might\I feel like I've seen him before...\Don't you think you're too scruffy?!\I can't believe All Might was able to work as a hero with all this.\Hey!\Let me see All Might just for a little\Just a little time is fine! Just let me see All Might response:	Ah, stupid!
context: I would like to speak directly with All Might\I feel like I've seen him before...\Don't you think you're too scruffy?!\I can't believe All Might was able to work as a hero with all this.\Hey!\Let me see All Might just for a little\Just a little time is fine! Just let me see All Might\Ah, stupid! response:	Wh-What the...?!
context: I feel like I've seen him before...\Don't you think you're too scruffy?!\I can't believe All Might was able to work as a hero with all this.\Hey!\Let me see All Might just for a little\Just a little time is fine! Just let me see All Might\Ah, stupid!\Wh-What the...?! response:	It's the U.A. Barrier.
context: Don't you think you're too scruffy?!\I can't believe All Might was able to work as a hero with all this.\Hey!\Let me see All Might just for a little\Just a little time is fine! Just let me see All Might\Ah, stupid!\Wh-What the...?!\It's the U.A. Barrier. response:	That's what we call it.
context: I can't believe All Might was able to work as a hero with all this.\Hey!\Let me see All Might just for a little\Just a little time is fine! Just let me see All Might\Ah, stupid!\Wh-What the...?!\It's the U.A. Barrier.\That's what we call it. response:	That's so lame!
context: Hey!\Let me see All Might just for a little\Just a little time is fine! Just let me see All Might\Ah, stupid!\Wh-What the...?!\It's the U.A. Barrier.\That's what we call it.\That's so lame! response:	What the heck is that?
context: Let me see All Might just for a little\Just a little time is fine! Just let me see All Might\Ah, stupid!\Wh-What the...?!\It's the U.A. Barrier.\That's what we call it.\That's so lame!\What the heck is that? response:	If someone tries to get in without a student ID or a pass to enter,
context: Just a little time is fine! Just let me see All Might\Ah, stupid!\Wh-What the...?!\It's the U.A. Barrier.\That's what we call it.\That's so lame!\What the heck is that?\If someone tries to get in without a student ID or a pass to enter, response:	the security system kicks in.
context: Ah, stupid!\Wh-What the...?!\It's the U.A. Barrier.\That's what we call it.\That's so lame!\What the heck is that?\If someone tries to get in without a student ID or a pass to enter,\the security system kicks in. response:	Apparently, there are sensors all over the school.
context: Wh-What the...?!\It's the U.A. Barrier.\That's what we call it.\That's so lame!\What the heck is that?\If someone tries to get in without a student ID or a pass to enter,\the security system kicks in.\Apparently, there are sensors all over the school. response:	What the heck?!
context: It's the U.A. Barrier.\That's what we call it.\That's so lame!\What the heck is that?\If someone tries to get in without a student ID or a pass to enter,\the security system kicks in.\Apparently, there are sensors all over the school.\What the heck?! response:	They think they're so high and mighty!
context: That's what we call it.\That's so lame!\What the heck is that?\If someone tries to get in without a student ID or a pass to enter,\the security system kicks in.\Apparently, there are sensors all over the school.\What the heck?!\They think they're so high and mighty! response:	They could at least give a brief comment!
context: That's so lame!\What the heck is that?\If someone tries to get in without a student ID or a pass to enter,\the security system kicks in.\Apparently, there are sensors all over the school.\What the heck?!\They think they're so high and mighty!\They could at least give a brief comment! response:	You said it, seriously!
context: What the heck is that?\If someone tries to get in without a student ID or a pass to enter,\the security system kicks in.\Apparently, there are sensors all over the school.\What the heck?!\They think they're so high and mighty!\They could at least give a brief comment!\You said it, seriously! response:	We've been here for two days, and they still won't say anything!
context: If someone tries to get in without a student ID or a pass to enter,\the security system kicks in.\Apparently, there are sensors all over the school.\What the heck?!\They think they're so high and mighty!\They could at least give a brief comment!\You said it, seriously!\We've been here for two days, and they still won't say anything! response:	The news that All Might had been hired as a teacher at U.A.
context: the security system kicks in.\Apparently, there are sensors all over the school.\What the heck?!\They think they're so high and mighty!\They could at least give a brief comment!\You said it, seriously!\We've been here for two days, and they still won't say anything!\The news that All Might had been hired as a teacher at U.A. response:	surprised the nation...
