context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha. response:	Unless he masters Tetsusaiga...
context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha.\Unless he masters Tetsusaiga... response:	Inuyasha will once again transform into a demon.
context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha.\Unless he masters Tetsusaiga...\Inuyasha will once again transform into a demon. response:	Unable to bear it any longer, Inuyasha...
context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha.\Unless he masters Tetsusaiga...\Inuyasha will once again transform into a demon.\Unable to bear it any longer, Inuyasha... response:	seeks Old Totosai's counsel...
context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha.\Unless he masters Tetsusaiga...\Inuyasha will once again transform into a demon.\Unable to bear it any longer, Inuyasha...\seeks Old Totosai's counsel... response:	for a way to make Tetsusaiga lighter to wield.
context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha.\Unless he masters Tetsusaiga...\Inuyasha will once again transform into a demon.\Unable to bear it any longer, Inuyasha...\seeks Old Totosai's counsel...\for a way to make Tetsusaiga lighter to wield. response:	The answer lay in defeating Ryukotsusei...
context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha.\Unless he masters Tetsusaiga...\Inuyasha will once again transform into a demon.\Unable to bear it any longer, Inuyasha...\seeks Old Totosai's counsel...\for a way to make Tetsusaiga lighter to wield.\The answer lay in defeating Ryukotsusei... response:	the demon who was put under seal by Inuyasha's father.
context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha.\Unless he masters Tetsusaiga...\Inuyasha will once again transform into a demon.\Unable to bear it any longer, Inuyasha...\seeks Old Totosai's counsel...\for a way to make Tetsusaiga lighter to wield.\The answer lay in defeating Ryukotsusei...\the demon who was put under seal by Inuyasha's father. response:	There's only one way to stop the reawakened Ryukotsusei.
context: Unless he masters Tetsusaiga...\Inuyasha will once again transform into a demon.\Unable to bear it any longer, Inuyasha...\seeks Old Totosai's counsel...\for a way to make Tetsusaiga lighter to wield.\The answer lay in defeating Ryukotsusei...\the demon who was put under seal by Inuyasha's father.\There's only one way to stop the reawakened Ryukotsusei. response:	He must use Backlash Wave.
context: Inuyasha will once again transform into a demon.\Unable to bear it any longer, Inuyasha...\seeks Old Totosai's counsel...\for a way to make Tetsusaiga lighter to wield.\The answer lay in defeating Ryukotsusei...\the demon who was put under seal by Inuyasha's father.\There's only one way to stop the reawakened Ryukotsusei.\He must use Backlash Wave. response:	Backlash Wave?
context: Unable to bear it any longer, Inuyasha...\seeks Old Totosai's counsel...\for a way to make Tetsusaiga lighter to wield.\The answer lay in defeating Ryukotsusei...\the demon who was put under seal by Inuyasha's father.\There's only one way to stop the reawakened Ryukotsusei.\He must use Backlash Wave.\Backlash Wave? response:	It is the ultimate technique of Tetsusaiga.
context: seeks Old Totosai's counsel...\for a way to make Tetsusaiga lighter to wield.\The answer lay in defeating Ryukotsusei...\the demon who was put under seal by Inuyasha's father.\There's only one way to stop the reawakened Ryukotsusei.\He must use Backlash Wave.\Backlash Wave?\It is the ultimate technique of Tetsusaiga. response:	But...
context: for a way to make Tetsusaiga lighter to wield.\The answer lay in defeating Ryukotsusei...\the demon who was put under seal by Inuyasha's father.\There's only one way to stop the reawakened Ryukotsusei.\He must use Backlash Wave.\Backlash Wave?\It is the ultimate technique of Tetsusaiga.\But... response:	Inuyasha can barely wield Tetsusaiga, not to mention the Wind Scar!
context: The answer lay in defeating Ryukotsusei...\the demon who was put under seal by Inuyasha's father.\There's only one way to stop the reawakened Ryukotsusei.\He must use Backlash Wave.\Backlash Wave?\It is the ultimate technique of Tetsusaiga.\But...\Inuyasha can barely wield Tetsusaiga, not to mention the Wind Scar! response:	Let alone the ultimate technique...
context: the demon who was put under seal by Inuyasha's father.\There's only one way to stop the reawakened Ryukotsusei.\He must use Backlash Wave.\Backlash Wave?\It is the ultimate technique of Tetsusaiga.\But...\Inuyasha can barely wield Tetsusaiga, not to mention the Wind Scar!\Let alone the ultimate technique... response:	Not dead yet, huh?
context: There's only one way to stop the reawakened Ryukotsusei.\He must use Backlash Wave.\Backlash Wave?\It is the ultimate technique of Tetsusaiga.\But...\Inuyasha can barely wield Tetsusaiga, not to mention the Wind Scar!\Let alone the ultimate technique...\Not dead yet, huh? response:	I'll put you at ease.
context: He must use Backlash Wave.\Backlash Wave?\It is the ultimate technique of Tetsusaiga.\But...\Inuyasha can barely wield Tetsusaiga, not to mention the Wind Scar!\Let alone the ultimate technique...\Not dead yet, huh?\I'll put you at ease. response:	Inuyasha doesn't have Tetsusaiga!
context: Backlash Wave?\It is the ultimate technique of Tetsusaiga.\But...\Inuyasha can barely wield Tetsusaiga, not to mention the Wind Scar!\Let alone the ultimate technique...\Not dead yet, huh?\I'll put you at ease.\Inuyasha doesn't have Tetsusaiga! response:	Inuyasha, wake up!
context: It is the ultimate technique of Tetsusaiga.\But...\Inuyasha can barely wield Tetsusaiga, not to mention the Wind Scar!\Let alone the ultimate technique...\Not dead yet, huh?\I'll put you at ease.\Inuyasha doesn't have Tetsusaiga!\Inuyasha, wake up! response:	Inuyasha!
context: But...\Inuyasha can barely wield Tetsusaiga, not to mention the Wind Scar!\Let alone the ultimate technique...\Not dead yet, huh?\I'll put you at ease.\Inuyasha doesn't have Tetsusaiga!\Inuyasha, wake up!\Inuyasha! response:	Inuyasha!
context: Inuyasha can barely wield Tetsusaiga, not to mention the Wind Scar!\Let alone the ultimate technique...\Not dead yet, huh?\I'll put you at ease.\Inuyasha doesn't have Tetsusaiga!\Inuyasha, wake up!\Inuyasha!\Inuyasha! response:	K-Kagome...
context: Let alone the ultimate technique...\Not dead yet, huh?\I'll put you at ease.\Inuyasha doesn't have Tetsusaiga!\Inuyasha, wake up!\Inuyasha!\Inuyasha!\K-Kagome... response:	What is this evil aura?
context: Not dead yet, huh?\I'll put you at ease.\Inuyasha doesn't have Tetsusaiga!\Inuyasha, wake up!\Inuyasha!\Inuyasha!\K-Kagome...\What is this evil aura? response:	It's entirely different from before.
context: I'll put you at ease.\Inuyasha doesn't have Tetsusaiga!\Inuyasha, wake up!\Inuyasha!\Inuyasha!\K-Kagome...\What is this evil aura?\It's entirely different from before. response:	So, his demon blood has awakened.
context: Inuyasha doesn't have Tetsusaiga!\Inuyasha, wake up!\Inuyasha!\Inuyasha!\K-Kagome...\What is this evil aura?\It's entirely different from before.\So, his demon blood has awakened. response:	So be it. It'll make it more fun.
context: Inuyasha, wake up!\Inuyasha!\Inuyasha!\K-Kagome...\What is this evil aura?\It's entirely different from before.\So, his demon blood has awakened.\So be it. It'll make it more fun. response:	No! Inuyasha has transformed.
context: Inuyasha!\Inuyasha!\K-Kagome...\What is this evil aura?\It's entirely different from before.\So, his demon blood has awakened.\So be it. It'll make it more fun.\No! Inuyasha has transformed. response:	Inuyasha!
context: Inuyasha!\K-Kagome...\What is this evil aura?\It's entirely different from before.\So, his demon blood has awakened.\So be it. It'll make it more fun.\No! Inuyasha has transformed.\Inuyasha! response:	No, Inuyasha! Change back!
context: K-Kagome...\What is this evil aura?\It's entirely different from before.\So, his demon blood has awakened.\So be it. It'll make it more fun.\No! Inuyasha has transformed.\Inuyasha!\No, Inuyasha! Change back! response:	What'll you do, Inuyasha?
context: What is this evil aura?\It's entirely different from before.\So, his demon blood has awakened.\So be it. It'll make it more fun.\No! Inuyasha has transformed.\Inuyasha!\No, Inuyasha! Change back!\What'll you do, Inuyasha? response:	If you stay transformed and battle Ryukotsusei with those claws...
context: It's entirely different from before.\So, his demon blood has awakened.\So be it. It'll make it more fun.\No! Inuyasha has transformed.\Inuyasha!\No, Inuyasha! Change back!\What'll you do, Inuyasha?\If you stay transformed and battle Ryukotsusei with those claws... response:	you will come out of this alive.
context: So, his demon blood has awakened.\So be it. It'll make it more fun.\No! Inuyasha has transformed.\Inuyasha!\No, Inuyasha! Change back!\What'll you do, Inuyasha?\If you stay transformed and battle Ryukotsusei with those claws...\you will come out of this alive. response:	However, Tetsusaiga will...
context: So be it. It'll make it more fun.\No! Inuyasha has transformed.\Inuyasha!\No, Inuyasha! Change back!\What'll you do, Inuyasha?\If you stay transformed and battle Ryukotsusei with those claws...\you will come out of this alive.\However, Tetsusaiga will... response:	Tetsusaiga will never become lighter for you.
context: No! Inuyasha has transformed.\Inuyasha!\No, Inuyasha! Change back!\What'll you do, Inuyasha?\If you stay transformed and battle Ryukotsusei with those claws...\you will come out of this alive.\However, Tetsusaiga will...\Tetsusaiga will never become lighter for you. response:	Little man, stop acting cocky!
context: Inuyasha!\No, Inuyasha! Change back!\What'll you do, Inuyasha?\If you stay transformed and battle Ryukotsusei with those claws...\you will come out of this alive.\However, Tetsusaiga will...\Tetsusaiga will never become lighter for you.\Little man, stop acting cocky! response:	A-Amazing!
context: No, Inuyasha! Change back!\What'll you do, Inuyasha?\If you stay transformed and battle Ryukotsusei with those claws...\you will come out of this alive.\However, Tetsusaiga will...\Tetsusaiga will never become lighter for you.\Little man, stop acting cocky!\A-Amazing! response:	He pushed back Ryukotsusei's huge body!
