context: Hey, Izuna. response:	What, please?
context: Hey, Izuna.\What, please? response:	When's the last time you thought a game was fun?
context: Hey, Izuna.\What, please?\When's the last time you thought a game was fun? response:	Sorry, Izuna, but you're going to lose.
context: Hey, Izuna.\What, please?\When's the last time you thought a game was fun?\Sorry, Izuna, but you're going to lose. response:	Blank doesn't lose.
context: Hey, Izuna.\What, please?\When's the last time you thought a game was fun?\Sorry, Izuna, but you're going to lose.\Blank doesn't lose. response:	This is fun!
context: Hey, Izuna.\What, please?\When's the last time you thought a game was fun?\Sorry, Izuna, but you're going to lose.\Blank doesn't lose.\This is fun! response:	What?
context: Hey, Izuna.\What, please?\When's the last time you thought a game was fun?\Sorry, Izuna, but you're going to lose.\Blank doesn't lose.\This is fun!\What? response:	A double jump? You've gotta be kidding!
context: Hey, Izuna.\What, please?\When's the last time you thought a game was fun?\Sorry, Izuna, but you're going to lose.\Blank doesn't lose.\This is fun!\What?\A double jump? You've gotta be kidding! response:	Cheater!
context: What, please?\When's the last time you thought a game was fun?\Sorry, Izuna, but you're going to lose.\Blank doesn't lose.\This is fun!\What?\A double jump? You've gotta be kidding!\Cheater! response:	I-Is that...
context: When's the last time you thought a game was fun?\Sorry, Izuna, but you're going to lose.\Blank doesn't lose.\This is fun!\What?\A double jump? You've gotta be kidding!\Cheater!\I-Is that... response:	The ability that only a few Warbeasts possess
context: Sorry, Izuna, but you're going to lose.\Blank doesn't lose.\This is fun!\What?\A double jump? You've gotta be kidding!\Cheater!\I-Is that...\The ability that only a few Warbeasts possess response:	to overcome their own physical limits...
context: Blank doesn't lose.\This is fun!\What?\A double jump? You've gotta be kidding!\Cheater!\I-Is that...\The ability that only a few Warbeasts possess\to overcome their own physical limits... response:	Blood Destruction?
context: This is fun!\What?\A double jump? You've gotta be kidding!\Cheater!\I-Is that...\The ability that only a few Warbeasts possess\to overcome their own physical limits...\Blood Destruction? response:	I won't lose!
context: What?\A double jump? You've gotta be kidding!\Cheater!\I-Is that...\The ability that only a few Warbeasts possess\to overcome their own physical limits...\Blood Destruction?\I won't lose! response:	Now, then...
context: A double jump? You've gotta be kidding!\Cheater!\I-Is that...\The ability that only a few Warbeasts possess\to overcome their own physical limits...\Blood Destruction?\I won't lose!\Now, then... response:	Rule Number 10
context: Cheater!\I-Is that...\The ability that only a few Warbeasts possess\to overcome their own physical limits...\Blood Destruction?\I won't lose!\Now, then...\Rule Number 10 response:	That's not just a double jump!
context: I-Is that...\The ability that only a few Warbeasts possess\to overcome their own physical limits...\Blood Destruction?\I won't lose!\Now, then...\Rule Number 10\That's not just a double jump! response:	That's a bug!
context: The ability that only a few Warbeasts possess\to overcome their own physical limits...\Blood Destruction?\I won't lose!\Now, then...\Rule Number 10\That's not just a double jump!\That's a bug! response:	I can't predict what she'll do!
context: to overcome their own physical limits...\Blood Destruction?\I won't lose!\Now, then...\Rule Number 10\That's not just a double jump!\That's a bug!\I can't predict what she'll do! response:	Beyond physical limits, huh?
context: Blood Destruction?\I won't lose!\Now, then...\Rule Number 10\That's not just a double jump!\That's a bug!\I can't predict what she'll do!\Beyond physical limits, huh? response:	So this is her real cheat, huh?
context: I won't lose!\Now, then...\Rule Number 10\That's not just a double jump!\That's a bug!\I can't predict what she'll do!\Beyond physical limits, huh?\So this is her real cheat, huh? response:	The difference between their strengths is overwhelming.
context: Now, then...\Rule Number 10\That's not just a double jump!\That's a bug!\I can't predict what she'll do!\Beyond physical limits, huh?\So this is her real cheat, huh?\The difference between their strengths is overwhelming. response:	This battle is already over.
context: Rule Number 10\That's not just a double jump!\That's a bug!\I can't predict what she'll do!\Beyond physical limits, huh?\So this is her real cheat, huh?\The difference between their strengths is overwhelming.\This battle is already over. response:	I predicted this to a certain extent,
context: That's not just a double jump!\That's a bug!\I can't predict what she'll do!\Beyond physical limits, huh?\So this is her real cheat, huh?\The difference between their strengths is overwhelming.\This battle is already over.\I predicted this to a certain extent, response:	but I never expected all this.
context: That's a bug!\I can't predict what she'll do!\Beyond physical limits, huh?\So this is her real cheat, huh?\The difference between their strengths is overwhelming.\This battle is already over.\I predicted this to a certain extent,\but I never expected all this. response:	I can't calculate what to do...
context: I can't predict what she'll do!\Beyond physical limits, huh?\So this is her real cheat, huh?\The difference between their strengths is overwhelming.\This battle is already over.\I predicted this to a certain extent,\but I never expected all this.\I can't calculate what to do... response:	I told you she's going beyond physical limits, didn't I?
context: Beyond physical limits, huh?\So this is her real cheat, huh?\The difference between their strengths is overwhelming.\This battle is already over.\I predicted this to a certain extent,\but I never expected all this.\I can't calculate what to do...\I told you she's going beyond physical limits, didn't I? response:	So physics equations won't help you.
context: So this is her real cheat, huh?\The difference between their strengths is overwhelming.\This battle is already over.\I predicted this to a certain extent,\but I never expected all this.\I can't calculate what to do...\I told you she's going beyond physical limits, didn't I?\So physics equations won't help you. response:	Brother...
