context: Yeah! The ocean! response:	The ocean!
context: Yeah! The ocean!\The ocean! response:	Rika's gonna draw.
context: Yeah! The ocean!\The ocean!\Rika's gonna draw. response:	Hey, that's my textbook!
context: Yeah! The ocean!\The ocean!\Rika's gonna draw.\Hey, that's my textbook! response:	This one is yours, Rika.
context: Yeah! The ocean!\The ocean!\Rika's gonna draw.\Hey, that's my textbook!\This one is yours, Rika. response:	Here!
context: Yeah! The ocean!\The ocean!\Rika's gonna draw.\Hey, that's my textbook!\This one is yours, Rika.\Here! response:	Textbook?
context: Yeah! The ocean!\The ocean!\Rika's gonna draw.\Hey, that's my textbook!\This one is yours, Rika.\Here!\Textbook? response:	Mari, are you going to study while we're at the beach?
context: Yeah! The ocean!\The ocean!\Rika's gonna draw.\Hey, that's my textbook!\This one is yours, Rika.\Here!\Textbook?\Mari, are you going to study while we're at the beach? response:	Well, if I feel like it.
context: The ocean!\Rika's gonna draw.\Hey, that's my textbook!\This one is yours, Rika.\Here!\Textbook?\Mari, are you going to study while we're at the beach?\Well, if I feel like it. response:	No way!
context: Rika's gonna draw.\Hey, that's my textbook!\This one is yours, Rika.\Here!\Textbook?\Mari, are you going to study while we're at the beach?\Well, if I feel like it.\No way! response:	Bringing study stuff on a summer fun day? Who even...
context: Hey, that's my textbook!\This one is yours, Rika.\Here!\Textbook?\Mari, are you going to study while we're at the beach?\Well, if I feel like it.\No way!\Bringing study stuff on a summer fun day? Who even... response:	Everyone enjoys themselves in different ways.
context: This one is yours, Rika.\Here!\Textbook?\Mari, are you going to study while we're at the beach?\Well, if I feel like it.\No way!\Bringing study stuff on a summer fun day? Who even...\Everyone enjoys themselves in different ways. response:	Right, Mari?
context: Here!\Textbook?\Mari, are you going to study while we're at the beach?\Well, if I feel like it.\No way!\Bringing study stuff on a summer fun day? Who even...\Everyone enjoys themselves in different ways.\Right, Mari? response:	Yeah!
context: Textbook?\Mari, are you going to study while we're at the beach?\Well, if I feel like it.\No way!\Bringing study stuff on a summer fun day? Who even...\Everyone enjoys themselves in different ways.\Right, Mari?\Yeah! response:	I'm sure Mari will do a lot of studying,
context: Mari, are you going to study while we're at the beach?\Well, if I feel like it.\No way!\Bringing study stuff on a summer fun day? Who even...\Everyone enjoys themselves in different ways.\Right, Mari?\Yeah!\I'm sure Mari will do a lot of studying, response:	and become a researcher just like her father!
context: Well, if I feel like it.\No way!\Bringing study stuff on a summer fun day? Who even...\Everyone enjoys themselves in different ways.\Right, Mari?\Yeah!\I'm sure Mari will do a lot of studying,\and become a researcher just like her father! response:	Huh? I don't know about that.
context: No way!\Bringing study stuff on a summer fun day? Who even...\Everyone enjoys themselves in different ways.\Right, Mari?\Yeah!\I'm sure Mari will do a lot of studying,\and become a researcher just like her father!\Huh? I don't know about that. response:	Well, we're almost there!
context: Bringing study stuff on a summer fun day? Who even...\Everyone enjoys themselves in different ways.\Right, Mari?\Yeah!\I'm sure Mari will do a lot of studying,\and become a researcher just like her father!\Huh? I don't know about that.\Well, we're almost there! response:	Episode 8 Bell's Decision
context: Everyone enjoys themselves in different ways.\Right, Mari?\Yeah!\I'm sure Mari will do a lot of studying,\and become a researcher just like her father!\Huh? I don't know about that.\Well, we're almost there!\Episode 8 Bell's Decision response:	It's so big!
context: Right, Mari?\Yeah!\I'm sure Mari will do a lot of studying,\and become a researcher just like her father!\Huh? I don't know about that.\Well, we're almost there!\Episode 8 Bell's Decision\It's so big! response:	Isn't it extravagant?
context: Yeah!\I'm sure Mari will do a lot of studying,\and become a researcher just like her father!\Huh? I don't know about that.\Well, we're almost there!\Episode 8 Bell's Decision\It's so big!\Isn't it extravagant? response:	Are you sure we can stay in this house?
