context: My lord, you must return. response:	Enough, Tsunamoto.
context: My lord, you must return.\Enough, Tsunamoto. response:	Kojuro will look after the castle.
context: My lord, you must return.\Enough, Tsunamoto.\Kojuro will look after the castle. response:	But what if Ieyasu's men come while you're away?
context: My lord, you must return.\Enough, Tsunamoto.\Kojuro will look after the castle.\But what if Ieyasu's men come while you're away? response:	I'm going because that old man's useless.
context: My lord, you must return.\Enough, Tsunamoto.\Kojuro will look after the castle.\But what if Ieyasu's men come while you're away?\I'm going because that old man's useless. response:	But more importantly,
context: My lord, you must return.\Enough, Tsunamoto.\Kojuro will look after the castle.\But what if Ieyasu's men come while you're away?\I'm going because that old man's useless.\But more importantly, response:	why is he sending the priestess he's been hiding back to Izumo?
context: My lord, you must return.\Enough, Tsunamoto.\Kojuro will look after the castle.\But what if Ieyasu's men come while you're away?\I'm going because that old man's useless.\But more importantly,\why is he sending the priestess he's been hiding back to Izumo? response:	Sanada Yukimura knows more than he lets on.
context: My lord, you must return.\Enough, Tsunamoto.\Kojuro will look after the castle.\But what if Ieyasu's men come while you're away?\I'm going because that old man's useless.\But more importantly,\why is he sending the priestess he's been hiding back to Izumo?\Sanada Yukimura knows more than he lets on. response:	What's so important in Izumo that you and Sanada are doing this?
context: Enough, Tsunamoto.\Kojuro will look after the castle.\But what if Ieyasu's men come while you're away?\I'm going because that old man's useless.\But more importantly,\why is he sending the priestess he's been hiding back to Izumo?\Sanada Yukimura knows more than he lets on.\What's so important in Izumo that you and Sanada are doing this? response:	The Kushimitama.
context: Kojuro will look after the castle.\But what if Ieyasu's men come while you're away?\I'm going because that old man's useless.\But more importantly,\why is he sending the priestess he's been hiding back to Izumo?\Sanada Yukimura knows more than he lets on.\What's so important in Izumo that you and Sanada are doing this?\The Kushimitama. response:	The Kushimitama?
context: But what if Ieyasu's men come while you're away?\I'm going because that old man's useless.\But more importantly,\why is he sending the priestess he's been hiding back to Izumo?\Sanada Yukimura knows more than he lets on.\What's so important in Izumo that you and Sanada are doing this?\The Kushimitama.\The Kushimitama? response:	It's a relic that houses the soul of the gods.
context: I'm going because that old man's useless.\But more importantly,\why is he sending the priestess he's been hiding back to Izumo?\Sanada Yukimura knows more than he lets on.\What's so important in Izumo that you and Sanada are doing this?\The Kushimitama.\The Kushimitama?\It's a relic that houses the soul of the gods. response:	The gods?
