context: Stop, Kohaku! response:	What's happened, Kohaku?!
context: Stop, Kohaku!\What's happened, Kohaku?! response:	The thread...of a spider!
context: Stop, Kohaku!\What's happened, Kohaku?!\The thread...of a spider! response:	Why that!
context: Stop, Kohaku!\What's happened, Kohaku?!\The thread...of a spider!\Why that! response:	Damn!
context: Stop, Kohaku!\What's happened, Kohaku?!\The thread...of a spider!\Why that!\Damn! response:	Sister...
context: Stop, Kohaku!\What's happened, Kohaku?!\The thread...of a spider!\Why that!\Damn!\Sister... response:	Ko... ha... ku?
context: Stop, Kohaku!\What's happened, Kohaku?!\The thread...of a spider!\Why that!\Damn!\Sister...\Ko... ha... ku? response:	Sister!
context: Stop, Kohaku!\What's happened, Kohaku?!\The thread...of a spider!\Why that!\Damn!\Sister...\Ko... ha... ku?\Sister! response:	Kohaku!
context: What's happened, Kohaku?!\The thread...of a spider!\Why that!\Damn!\Sister...\Ko... ha... ku?\Sister!\Kohaku! response:	A white baboon?!
context: The thread...of a spider!\Why that!\Damn!\Sister...\Ko... ha... ku?\Sister!\Kohaku!\A white baboon?! response:	Yes.
context: Why that!\Damn!\Sister...\Ko... ha... ku?\Sister!\Kohaku!\A white baboon?!\Yes. response:	It's Naraku!
context: Damn!\Sister...\Ko... ha... ku?\Sister!\Kohaku!\A white baboon?!\Yes.\It's Naraku! response:	Tell me in detail.
context: Sister...\Ko... ha... ku?\Sister!\Kohaku!\A white baboon?!\Yes.\It's Naraku!\Tell me in detail. response:	The slain bodies of countless villagers...
context: Ko... ha... ku?\Sister!\Kohaku!\A white baboon?!\Yes.\It's Naraku!\Tell me in detail.\The slain bodies of countless villagers... response:	and the half-demon who attacked them...
context: Sister!\Kohaku!\A white baboon?!\Yes.\It's Naraku!\Tell me in detail.\The slain bodies of countless villagers...\and the half-demon who attacked them... response:	His name is Inuyasha.
context: Kohaku!\A white baboon?!\Yes.\It's Naraku!\Tell me in detail.\The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha. response:	Inuyasha seeks the power of the Sacred Jewel...
context: A white baboon?!\Yes.\It's Naraku!\Tell me in detail.\The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel... response:	to turn himself into a full-fledged demon.
context: Yes.\It's Naraku!\Tell me in detail.\The slain bodies of countless villagers...\and the half-demon who attacked them...\His name is Inuyasha.\Inuyasha seeks the power of the Sacred Jewel...\to turn himself into a full-fledged demon. response:	Sacred Jewel?
