context: Why the hell are you empty?! response:	Taking it out on the shampoo won't get you anywhere.
context: Why the hell are you empty?!\Taking it out on the shampoo won't get you anywhere. response:	She's right! Please, just calm down.
context: Why the hell are you empty?!\Taking it out on the shampoo won't get you anywhere.\She's right! Please, just calm down. response:	Why are you so far away?!
context: Why the hell are you empty?!\Taking it out on the shampoo won't get you anywhere.\She's right! Please, just calm down.\Why are you so far away?! response:	Busted!
context: Why the hell are you empty?!\Taking it out on the shampoo won't get you anywhere.\She's right! Please, just calm down.\Why are you so far away?!\Busted! response:	I-It's just a coincidence!
context: Why the hell are you empty?!\Taking it out on the shampoo won't get you anywhere.\She's right! Please, just calm down.\Why are you so far away?!\Busted!\I-It's just a coincidence! response:	R-Right! Just an unfortunate coincidence!
context: Why the hell are you empty?!\Taking it out on the shampoo won't get you anywhere.\She's right! Please, just calm down.\Why are you so far away?!\Busted!\I-It's just a coincidence!\R-Right! Just an unfortunate coincidence! response:	Loneliness makes my cheeks wet
context: Why the hell are you empty?!\Taking it out on the shampoo won't get you anywhere.\She's right! Please, just calm down.\Why are you so far away?!\Busted!\I-It's just a coincidence!\R-Right! Just an unfortunate coincidence!\Loneliness makes my cheeks wet response:	Loneliness makes my cheeks wet
context: Taking it out on the shampoo won't get you anywhere.\She's right! Please, just calm down.\Why are you so far away?!\Busted!\I-It's just a coincidence!\R-Right! Just an unfortunate coincidence!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet response:	kodoku ga hoho wo nurasu nurasu kedo
context: She's right! Please, just calm down.\Why are you so far away?!\Busted!\I-It's just a coincidence!\R-Right! Just an unfortunate coincidence!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo response:	kodoku ga hoho wo nurasu nurasu kedo
context: Why are you so far away?!\Busted!\I-It's just a coincidence!\R-Right! Just an unfortunate coincidence!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo response:	But when the dawn emerges in silence
context: Busted!\I-It's just a coincidence!\R-Right! Just an unfortunate coincidence!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence response:	But when the dawn emerges in silence
context: I-It's just a coincidence!\R-Right! Just an unfortunate coincidence!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence response:	yoake no kehai ga shizuka ni michite
context: R-Right! Just an unfortunate coincidence!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite response:	yoake no kehai ga shizuka ni michite
