context: I'm so sorry. response:	I set my alarm to a wrong time'
context: I'm so sorry.\I set my alarm to a wrong time' response:	G'morning.
context: I'm so sorry.\I set my alarm to a wrong time'\G'morning. response:	G'morning, Father.
context: I'm so sorry.\I set my alarm to a wrong time'\G'morning.\G'morning, Father. response:	G'morning, Touya, Sakura'
context: I'm so sorry.\I set my alarm to a wrong time'\G'morning.\G'morning, Father.\G'morning, Touya, Sakura' response:	Oh? I thought today's breakfast is my'
context: I'm so sorry.\I set my alarm to a wrong time'\G'morning.\G'morning, Father.\G'morning, Touya, Sakura'\Oh? I thought today's breakfast is my' response:	We just ate. This is yours.
context: I'm so sorry.\I set my alarm to a wrong time'\G'morning.\G'morning, Father.\G'morning, Touya, Sakura'\Oh? I thought today's breakfast is my'\We just ate. This is yours. response:	It's ready. Eat.
context: I'm so sorry.\I set my alarm to a wrong time'\G'morning.\G'morning, Father.\G'morning, Touya, Sakura'\Oh? I thought today's breakfast is my'\We just ate. This is yours.\It's ready. Eat. response:	Thank you.
context: I set my alarm to a wrong time'\G'morning.\G'morning, Father.\G'morning, Touya, Sakura'\Oh? I thought today's breakfast is my'\We just ate. This is yours.\It's ready. Eat.\Thank you. response:	You didn't sleep much last night, did you?
context: G'morning.\G'morning, Father.\G'morning, Touya, Sakura'\Oh? I thought today's breakfast is my'\We just ate. This is yours.\It's ready. Eat.\Thank you.\You didn't sleep much last night, did you? response:	From today on, let us do the housework.
context: G'morning, Father.\G'morning, Touya, Sakura'\Oh? I thought today's breakfast is my'\We just ate. This is yours.\It's ready. Eat.\Thank you.\You didn't sleep much last night, did you?\From today on, let us do the housework. response:	The academic meeting is next week, right?
context: G'morning, Touya, Sakura'\Oh? I thought today's breakfast is my'\We just ate. This is yours.\It's ready. Eat.\Thank you.\You didn't sleep much last night, did you?\From today on, let us do the housework.\The academic meeting is next week, right? response:	Thank you. And thanks for the food.
context: Oh? I thought today's breakfast is my'\We just ate. This is yours.\It's ready. Eat.\Thank you.\You didn't sleep much last night, did you?\From today on, let us do the housework.\The academic meeting is next week, right?\Thank you. And thanks for the food. response:	Here's your lunch.
context: We just ate. This is yours.\It's ready. Eat.\Thank you.\You didn't sleep much last night, did you?\From today on, let us do the housework.\The academic meeting is next week, right?\Thank you. And thanks for the food.\Here's your lunch. response:	Oh? Lunch? This'
context: It's ready. Eat.\Thank you.\You didn't sleep much last night, did you?\From today on, let us do the housework.\The academic meeting is next week, right?\Thank you. And thanks for the food.\Here's your lunch.\Oh? Lunch? This' response:	Somehow I felt confident today.
context: Thank you.\You didn't sleep much last night, did you?\From today on, let us do the housework.\The academic meeting is next week, right?\Thank you. And thanks for the food.\Here's your lunch.\Oh? Lunch? This'\Somehow I felt confident today. response:	Thank you.
context: You didn't sleep much last night, did you?\From today on, let us do the housework.\The academic meeting is next week, right?\Thank you. And thanks for the food.\Here's your lunch.\Oh? Lunch? This'\Somehow I felt confident today.\Thank you. response:	I won't be as busy next week.
context: From today on, let us do the housework.\The academic meeting is next week, right?\Thank you. And thanks for the food.\Here's your lunch.\Oh? Lunch? This'\Somehow I felt confident today.\Thank you.\I won't be as busy next week. response:	Don't worry about it.
context: The academic meeting is next week, right?\Thank you. And thanks for the food.\Here's your lunch.\Oh? Lunch? This'\Somehow I felt confident today.\Thank you.\I won't be as busy next week.\Don't worry about it. response:	Isn't it about time already?
context: Thank you. And thanks for the food.\Here's your lunch.\Oh? Lunch? This'\Somehow I felt confident today.\Thank you.\I won't be as busy next week.\Don't worry about it.\Isn't it about time already? response:	Oh?! Then, I gotta go.
context: Here's your lunch.\Oh? Lunch? This'\Somehow I felt confident today.\Thank you.\I won't be as busy next week.\Don't worry about it.\Isn't it about time already?\Oh?! Then, I gotta go. response:	Take care.
