context: Thanks for helping out today. response:	Sota's been eating me out of house and home, so shopping's been rough.
context: Thanks for helping out today.\Sota's been eating me out of house and home, so shopping's been rough. response:	He's a growing boy.
context: Thanks for helping out today.\Sota's been eating me out of house and home, so shopping's been rough.\He's a growing boy. response:	100 Courage! Hurricane Star!
context: Thanks for helping out today.\Sota's been eating me out of house and home, so shopping's been rough.\He's a growing boy.\100 Courage! Hurricane Star! response:	J Yeah, brave and courageous Hurricane Star! J
context: Thanks for helping out today.\Sota's been eating me out of house and home, so shopping's been rough.\He's a growing boy.\100 Courage! Hurricane Star!\J Yeah, brave and courageous Hurricane Star! J response:	J Now go, fight! J
context: Thanks for helping out today.\Sota's been eating me out of house and home, so shopping's been rough.\He's a growing boy.\100 Courage! Hurricane Star!\J Yeah, brave and courageous Hurricane Star! J\J Now go, fight! J response:	J Believe in yourself and your friends! Let's go! J
context: Thanks for helping out today.\Sota's been eating me out of house and home, so shopping's been rough.\He's a growing boy.\100 Courage! Hurricane Star!\J Yeah, brave and courageous Hurricane Star! J\J Now go, fight! J\J Believe in yourself and your friends! Let's go! J response:	That's from an anime.
context: Thanks for helping out today.\Sota's been eating me out of house and home, so shopping's been rough.\He's a growing boy.\100 Courage! Hurricane Star!\J Yeah, brave and courageous Hurricane Star! J\J Now go, fight! J\J Believe in yourself and your friends! Let's go! J\That's from an anime. response:	W-Was I singing along?!
context: Sota's been eating me out of house and home, so shopping's been rough.\He's a growing boy.\100 Courage! Hurricane Star!\J Yeah, brave and courageous Hurricane Star! J\J Now go, fight! J\J Believe in yourself and your friends! Let's go! J\That's from an anime.\W-Was I singing along?! response:	Yup. You're a good singer, Hori-san.
context: He's a growing boy.\100 Courage! Hurricane Star!\J Yeah, brave and courageous Hurricane Star! J\J Now go, fight! J\J Believe in yourself and your friends! Let's go! J\That's from an anime.\W-Was I singing along?!\Yup. You're a good singer, Hori-san. response:	I'm so not!
context: 100 Courage! Hurricane Star!\J Yeah, brave and courageous Hurricane Star! J\J Now go, fight! J\J Believe in yourself and your friends! Let's go! J\That's from an anime.\W-Was I singing along?!\Yup. You're a good singer, Hori-san.\I'm so not! response:	I can't believe I was singing that in public... I gotta pay attention.
context: J Yeah, brave and courageous Hurricane Star! J\J Now go, fight! J\J Believe in yourself and your friends! Let's go! J\That's from an anime.\W-Was I singing along?!\Yup. You're a good singer, Hori-san.\I'm so not!\I can't believe I was singing that in public... I gotta pay attention. response:	What's wrong with liking anime music?
context: J Now go, fight! J\J Believe in yourself and your friends! Let's go! J\That's from an anime.\W-Was I singing along?!\Yup. You're a good singer, Hori-san.\I'm so not!\I can't believe I was singing that in public... I gotta pay attention.\What's wrong with liking anime music? response:	I'm not into it, but Sota is.
