context: OP response:	Eyecatch
context: OP\Eyecatch response:	Insert Song
context: OP\Eyecatch\Insert Song response:	End of Insert song
context: OP\Eyecatch\Insert Song\End of Insert song response:	ED
context: OP\Eyecatch\Insert Song\End of Insert song\ED response:	I've said it plenty of times already, but it's not a good idea to be serialized while you're still going to school.
context: OP\Eyecatch\Insert Song\End of Insert song\ED\I've said it plenty of times already, but it's not a good idea to be serialized while you're still going to school. response:	Niizuma-san is doing it, isn't he?
context: OP\Eyecatch\Insert Song\End of Insert song\ED\I've said it plenty of times already, but it's not a good idea to be serialized while you're still going to school.\Niizuma-san is doing it, isn't he? response:	And by himself!
context: OP\Eyecatch\Insert Song\End of Insert song\ED\I've said it plenty of times already, but it's not a good idea to be serialized while you're still going to school.\Niizuma-san is doing it, isn't he?\And by himself! response:	All right, but I have two conditions.
context: Eyecatch\Insert Song\End of Insert song\ED\I've said it plenty of times already, but it's not a good idea to be serialized while you're still going to school.\Niizuma-san is doing it, isn't he?\And by himself!\All right, but I have two conditions. response:	Conditions?
context: Insert Song\End of Insert song\ED\I've said it plenty of times already, but it's not a good idea to be serialized while you're still going to school.\Niizuma-san is doing it, isn't he?\And by himself!\All right, but I have two conditions.\Conditions? response:	Firstly, for the next Golden Future Cup, submit this as a one-shot and get good results.
context: End of Insert song\ED\I've said it plenty of times already, but it's not a good idea to be serialized while you're still going to school.\Niizuma-san is doing it, isn't he?\And by himself!\All right, but I have two conditions.\Conditions?\Firstly, for the next Golden Future Cup, submit this as a one-shot and get good results. response:	Golden Future Cup?
context: ED\I've said it plenty of times already, but it's not a good idea to be serialized while you're still going to school.\Niizuma-san is doing it, isn't he?\And by himself!\All right, but I have two conditions.\Conditions?\Firstly, for the next Golden Future Cup, submit this as a one-shot and get good results.\Golden Future Cup? response:	That's in the summer, isn't it?
context: I've said it plenty of times already, but it's not a good idea to be serialized while you're still going to school.\Niizuma-san is doing it, isn't he?\And by himself!\All right, but I have two conditions.\Conditions?\Firstly, for the next Golden Future Cup, submit this as a one-shot and get good results.\Golden Future Cup?\That's in the summer, isn't it? response:	And I have something for you to do until then.
context: Niizuma-san is doing it, isn't he?\And by himself!\All right, but I have two conditions.\Conditions?\Firstly, for the next Golden Future Cup, submit this as a one-shot and get good results.\Golden Future Cup?\That's in the summer, isn't it?\And I have something for you to do until then. response:	At the pace of one every two weeks...
context: And by himself!\All right, but I have two conditions.\Conditions?\Firstly, for the next Golden Future Cup, submit this as a one-shot and get good results.\Golden Future Cup?\That's in the summer, isn't it?\And I have something for you to do until then.\At the pace of one every two weeks... response:	write and bring in mangas 19 pages long each.
context: All right, but I have two conditions.\Conditions?\Firstly, for the next Golden Future Cup, submit this as a one-shot and get good results.\Golden Future Cup?\That's in the summer, isn't it?\And I have something for you to do until then.\At the pace of one every two weeks...\write and bring in mangas 19 pages long each. response:	Even without having serialization decided?
context: Conditions?\Firstly, for the next Golden Future Cup, submit this as a one-shot and get good results.\Golden Future Cup?\That's in the summer, isn't it?\And I have something for you to do until then.\At the pace of one every two weeks...\write and bring in mangas 19 pages long each.\Even without having serialization decided? response:	That's right.
