context: 'Transformed At Last!! Son Goku, the Legendary Super Saiyan' response:	It's all completely changed.
context: 'Transformed At Last!! Son Goku, the Legendary Super Saiyan'\It's all completely changed. response:	Where's Father?
context: 'Transformed At Last!! Son Goku, the Legendary Super Saiyan'\It's all completely changed.\Where's Father? response:	Where's Piccolo-san?
context: 'Transformed At Last!! Son Goku, the Legendary Super Saiyan'\It's all completely changed.\Where's Father?\Where's Piccolo-san? response:	Father and Piccolo were right nearby. You don't think they got caught in the middle of it, do you?
context: 'Transformed At Last!! Son Goku, the Legendary Super Saiyan'\It's all completely changed.\Where's Father?\Where's Piccolo-san?\Father and Piccolo were right nearby. You don't think they got caught in the middle of it, do you? response:	They couldn't have been!
context: 'Transformed At Last!! Son Goku, the Legendary Super Saiyan'\It's all completely changed.\Where's Father?\Where's Piccolo-san?\Father and Piccolo were right nearby. You don't think they got caught in the middle of it, do you?\They couldn't have been! response:	I don't feel their Ki...
context: 'Transformed At Last!! Son Goku, the Legendary Super Saiyan'\It's all completely changed.\Where's Father?\Where's Piccolo-san?\Father and Piccolo were right nearby. You don't think they got caught in the middle of it, do you?\They couldn't have been!\I don't feel their Ki... response:	That's just because we've lost our powers of concentration.
context: 'Transformed At Last!! Son Goku, the Legendary Super Saiyan'\It's all completely changed.\Where's Father?\Where's Piccolo-san?\Father and Piccolo were right nearby. You don't think they got caught in the middle of it, do you?\They couldn't have been!\I don't feel their Ki...\That's just because we've lost our powers of concentration. response:	Piccolo was there with him! They're not about to die!
context: It's all completely changed.\Where's Father?\Where's Piccolo-san?\Father and Piccolo were right nearby. You don't think they got caught in the middle of it, do you?\They couldn't have been!\I don't feel their Ki...\That's just because we've lost our powers of concentration.\Piccolo was there with him! They're not about to die! response:	Kuririn-san, over there...
context: Where's Father?\Where's Piccolo-san?\Father and Piccolo were right nearby. You don't think they got caught in the middle of it, do you?\They couldn't have been!\I don't feel their Ki...\That's just because we've lost our powers of concentration.\Piccolo was there with him! They're not about to die!\Kuririn-san, over there... response:	P- Piccolo-san!
context: Where's Piccolo-san?\Father and Piccolo were right nearby. You don't think they got caught in the middle of it, do you?\They couldn't have been!\I don't feel their Ki...\That's just because we've lost our powers of concentration.\Piccolo was there with him! They're not about to die!\Kuririn-san, over there...\P- Piccolo-san! response:	-It's Goku! -Father! He's alive!
context: Father and Piccolo were right nearby. You don't think they got caught in the middle of it, do you?\They couldn't have been!\I don't feel their Ki...\That's just because we've lost our powers of concentration.\Piccolo was there with him! They're not about to die!\Kuririn-san, over there...\P- Piccolo-san!\-It's Goku! -Father! He's alive! response:	-We did it, we did it! -Just like I told you, right!?
