context: There, there... response:	Y- Yamucha...
context: There, there...\Y- Yamucha... response:	Pu-erh!
context: There, there...\Y- Yamucha...\Pu-erh! response:	Hey, Pu-erh!
context: There, there...\Y- Yamucha...\Pu-erh!\Hey, Pu-erh! response:	Stay with me! Hey!
context: There, there...\Y- Yamucha...\Pu-erh!\Hey, Pu-erh!\Stay with me! Hey! response:	Pu-erh too, huh?
context: There, there...\Y- Yamucha...\Pu-erh!\Hey, Pu-erh!\Stay with me! Hey!\Pu-erh too, huh? response:	My, my, the sofa is going to be all full at this rate.
context: There, there...\Y- Yamucha...\Pu-erh!\Hey, Pu-erh!\Stay with me! Hey!\Pu-erh too, huh?\My, my, the sofa is going to be all full at this rate. response:	Come on, Bulma, take heart.
context: There, there...\Y- Yamucha...\Pu-erh!\Hey, Pu-erh!\Stay with me! Hey!\Pu-erh too, huh?\My, my, the sofa is going to be all full at this rate.\Come on, Bulma, take heart. response:	What are you talking about!? How can I be calm with Yamucha dying!?
context: Y- Yamucha...\Pu-erh!\Hey, Pu-erh!\Stay with me! Hey!\Pu-erh too, huh?\My, my, the sofa is going to be all full at this rate.\Come on, Bulma, take heart.\What are you talking about!? How can I be calm with Yamucha dying!? response:	You don't have to worry about Yamucha.
context: Pu-erh!\Hey, Pu-erh!\Stay with me! Hey!\Pu-erh too, huh?\My, my, the sofa is going to be all full at this rate.\Come on, Bulma, take heart.\What are you talking about!? How can I be calm with Yamucha dying!?\You don't have to worry about Yamucha. response:	This is the first time Yamucha has died, right?
context: Hey, Pu-erh!\Stay with me! Hey!\Pu-erh too, huh?\My, my, the sofa is going to be all full at this rate.\Come on, Bulma, take heart.\What are you talking about!? How can I be calm with Yamucha dying!?\You don't have to worry about Yamucha.\This is the first time Yamucha has died, right? response:	We can always bring him back to life with the Dragon Balls, can't we?
context: Stay with me! Hey!\Pu-erh too, huh?\My, my, the sofa is going to be all full at this rate.\Come on, Bulma, take heart.\What are you talking about!? How can I be calm with Yamucha dying!?\You don't have to worry about Yamucha.\This is the first time Yamucha has died, right?\We can always bring him back to life with the Dragon Balls, can't we? response:	That's right! That's right, isn't it?
context: Pu-erh too, huh?\My, my, the sofa is going to be all full at this rate.\Come on, Bulma, take heart.\What are you talking about!? How can I be calm with Yamucha dying!?\You don't have to worry about Yamucha.\This is the first time Yamucha has died, right?\We can always bring him back to life with the Dragon Balls, can't we?\That's right! That's right, isn't it? response:	Yes, that's right!
context: My, my, the sofa is going to be all full at this rate.\Come on, Bulma, take heart.\What are you talking about!? How can I be calm with Yamucha dying!?\You don't have to worry about Yamucha.\This is the first time Yamucha has died, right?\We can always bring him back to life with the Dragon Balls, can't we?\That's right! That's right, isn't it?\Yes, that's right! response:	You dirty old man!
context: Come on, Bulma, take heart.\What are you talking about!? How can I be calm with Yamucha dying!?\You don't have to worry about Yamucha.\This is the first time Yamucha has died, right?\We can always bring him back to life with the Dragon Balls, can't we?\That's right! That's right, isn't it?\Yes, that's right!\You dirty old man! response:	What a pathetic Saibaiman- ending in a draw!
context: What are you talking about!? How can I be calm with Yamucha dying!?\You don't have to worry about Yamucha.\This is the first time Yamucha has died, right?\We can always bring him back to life with the Dragon Balls, can't we?\That's right! That's right, isn't it?\Yes, that's right!\You dirty old man!\What a pathetic Saibaiman- ending in a draw! response:	What did he think he was doing, against scum like that!?
context: You don't have to worry about Yamucha.\This is the first time Yamucha has died, right?\We can always bring him back to life with the Dragon Balls, can't we?\That's right! That's right, isn't it?\Yes, that's right!\You dirty old man!\What a pathetic Saibaiman- ending in a draw!\What did he think he was doing, against scum like that!? response:	Hey, clean that up. He's dirtying up the place.
context: This is the first time Yamucha has died, right?\We can always bring him back to life with the Dragon Balls, can't we?\That's right! That's right, isn't it?\Yes, that's right!\You dirty old man!\What a pathetic Saibaiman- ending in a draw!\What did he think he was doing, against scum like that!?\Hey, clean that up. He's dirtying up the place. response:	That pile of filth.
context: We can always bring him back to life with the Dragon Balls, can't we?\That's right! That's right, isn't it?\Yes, that's right!\You dirty old man!\What a pathetic Saibaiman- ending in a draw!\What did he think he was doing, against scum like that!?\Hey, clean that up. He's dirtying up the place.\That pile of filth. response:	You dirty bastard!
context: That's right! That's right, isn't it?\Yes, that's right!\You dirty old man!\What a pathetic Saibaiman- ending in a draw!\What did he think he was doing, against scum like that!?\Hey, clean that up. He's dirtying up the place.\That pile of filth.\You dirty bastard! response:	Get back, everyone!
context: Yes, that's right!\You dirty old man!\What a pathetic Saibaiman- ending in a draw!\What did he think he was doing, against scum like that!?\Hey, clean that up. He's dirtying up the place.\That pile of filth.\You dirty bastard!\Get back, everyone! response:	Let me show you the results of my training!
context: You dirty old man!\What a pathetic Saibaiman- ending in a draw!\What did he think he was doing, against scum like that!?\Hey, clean that up. He's dirtying up the place.\That pile of filth.\You dirty bastard!\Get back, everyone!\Let me show you the results of my training! response:	Go!
context: What a pathetic Saibaiman- ending in a draw!\What did he think he was doing, against scum like that!?\Hey, clean that up. He's dirtying up the place.\That pile of filth.\You dirty bastard!\Get back, everyone!\Let me show you the results of my training!\Go! response:	What is that-
context: What did he think he was doing, against scum like that!?\Hey, clean that up. He's dirtying up the place.\That pile of filth.\You dirty bastard!\Get back, everyone!\Let me show you the results of my training!\Go!\What is that- response:	slow-moving blast?
context: Hey, clean that up. He's dirtying up the place.\That pile of filth.\You dirty bastard!\Get back, everyone!\Let me show you the results of my training!\Go!\What is that-\slow-moving blast? response:	We'll be caught in the blast!
context: That pile of filth.\You dirty bastard!\Get back, everyone!\Let me show you the results of my training!\Go!\What is that-\slow-moving blast?\We'll be caught in the blast! response:	It's got tremendous energy, but almost no speed at all.
context: You dirty bastard!\Get back, everyone!\Let me show you the results of my training!\Go!\What is that-\slow-moving blast?\We'll be caught in the blast!\It's got tremendous energy, but almost no speed at all. response:	It's like it's saying, Get out of the way!
context: Get back, everyone!\Let me show you the results of my training!\Go!\What is that-\slow-moving blast?\We'll be caught in the blast!\It's got tremendous energy, but almost no speed at all.\It's like it's saying, Get out of the way! response:	You did it!
context: Let me show you the results of my training!\Go!\What is that-\slow-moving blast?\We'll be caught in the blast!\It's got tremendous energy, but almost no speed at all.\It's like it's saying, Get out of the way!\You did it! response:	He did it! He did it!
context: Go!\What is that-\slow-moving blast?\We'll be caught in the blast!\It's got tremendous energy, but almost no speed at all.\It's like it's saying, Get out of the way!\You did it!\He did it! He did it! response:	H- hold on, B- Bulma... L- let me go...
context: What is that-\slow-moving blast?\We'll be caught in the blast!\It's got tremendous energy, but almost no speed at all.\It's like it's saying, Get out of the way!\You did it!\He did it! He did it!\H- hold on, B- Bulma... L- let me go... response:	I- incredible!
context: slow-moving blast?\We'll be caught in the blast!\It's got tremendous energy, but almost no speed at all.\It's like it's saying, Get out of the way!\You did it!\He did it! He did it!\H- hold on, B- Bulma... L- let me go...\I- incredible! response:	Kuririn, are you okay?
context: We'll be caught in the blast!\It's got tremendous energy, but almost no speed at all.\It's like it's saying, Get out of the way!\You did it!\He did it! He did it!\H- hold on, B- Bulma... L- let me go...\I- incredible!\Kuririn, are you okay? response:	Yeah. But I missed one of them.
context: It's got tremendous energy, but almost no speed at all.\It's like it's saying, Get out of the way!\You did it!\He did it! He did it!\H- hold on, B- Bulma... L- let me go...\I- incredible!\Kuririn, are you okay?\Yeah. But I missed one of them. response:	Burn in hell!
context: It's like it's saying, Get out of the way!\You did it!\He did it! He did it!\H- hold on, B- Bulma... L- let me go...\I- incredible!\Kuririn, are you okay?\Yeah. But I missed one of them.\Burn in hell! response:	Just what you'd expect from Piccolo.
context: You did it!\He did it! He did it!\H- hold on, B- Bulma... L- let me go...\I- incredible!\Kuririn, are you okay?\Yeah. But I missed one of them.\Burn in hell!\Just what you'd expect from Piccolo. response:	l shudder to think about him becoming my enemy again someday.
context: He did it! He did it!\H- hold on, B- Bulma... L- let me go...\I- incredible!\Kuririn, are you okay?\Yeah. But I missed one of them.\Burn in hell!\Just what you'd expect from Piccolo.\l shudder to think about him becoming my enemy again someday. response:	Thank you, Piccolo- san.
context: H- hold on, B- Bulma... L- let me go...\I- incredible!\Kuririn, are you okay?\Yeah. But I missed one of them.\Burn in hell!\Just what you'd expect from Piccolo.\l shudder to think about him becoming my enemy again someday.\Thank you, Piccolo- san. response:	Don't get the wrong idea. You think I would save you?
context: I- incredible!\Kuririn, are you okay?\Yeah. But I missed one of them.\Burn in hell!\Just what you'd expect from Piccolo.\l shudder to think about him becoming my enemy again someday.\Thank you, Piccolo- san.\Don't get the wrong idea. You think I would save you? response:	I was just warming up for the marvelous battle that is about to get underway.
context: Kuririn, are you okay?\Yeah. But I missed one of them.\Burn in hell!\Just what you'd expect from Piccolo.\l shudder to think about him becoming my enemy again someday.\Thank you, Piccolo- san.\Don't get the wrong idea. You think I would save you?\I was just warming up for the marvelous battle that is about to get underway. response:	Assuming that's the kind of fight it turns out to be...
context: Yeah. But I missed one of them.\Burn in hell!\Just what you'd expect from Piccolo.\l shudder to think about him becoming my enemy again someday.\Thank you, Piccolo- san.\Don't get the wrong idea. You think I would save you?\I was just warming up for the marvelous battle that is about to get underway.\Assuming that's the kind of fight it turns out to be... response:	Well then, as you wish, how about we put an end to the games?
context: Burn in hell!\Just what you'd expect from Piccolo.\l shudder to think about him becoming my enemy again someday.\Thank you, Piccolo- san.\Don't get the wrong idea. You think I would save you?\I was just warming up for the marvelous battle that is about to get underway.\Assuming that's the kind of fight it turns out to be...\Well then, as you wish, how about we put an end to the games? response:	This means it's time for the real thing!
context: Just what you'd expect from Piccolo.\l shudder to think about him becoming my enemy again someday.\Thank you, Piccolo- san.\Don't get the wrong idea. You think I would save you?\I was just warming up for the marvelous battle that is about to get underway.\Assuming that's the kind of fight it turns out to be...\Well then, as you wish, how about we put an end to the games?\This means it's time for the real thing! response:	lmpossible! lt had hardly any effect on him at all!
