context: Serara, the girl we saved in Susukino, response:	belongs to Marielle's guild, the Crescent Moon Alliance.
context: Serara, the girl we saved in Susukino,\belongs to Marielle's guild, the Crescent Moon Alliance. response:	A guild is a team comprised of many players.
context: Serara, the girl we saved in Susukino,\belongs to Marielle's guild, the Crescent Moon Alliance.\A guild is a team comprised of many players. response:	Guilds offer many advantages that parties,
context: Serara, the girl we saved in Susukino,\belongs to Marielle's guild, the Crescent Moon Alliance.\A guild is a team comprised of many players.\Guilds offer many advantages that parties, response:	which are more provisional, don't have.
context: Serara, the girl we saved in Susukino,\belongs to Marielle's guild, the Crescent Moon Alliance.\A guild is a team comprised of many players.\Guilds offer many advantages that parties,\which are more provisional, don't have. response:	For example, a shared vault in the game's bank,
context: Serara, the girl we saved in Susukino,\belongs to Marielle's guild, the Crescent Moon Alliance.\A guild is a team comprised of many players.\Guilds offer many advantages that parties,\which are more provisional, don't have.\For example, a shared vault in the game's bank, response:	and a dedicated communication system.
context: Serara, the girl we saved in Susukino,\belongs to Marielle's guild, the Crescent Moon Alliance.\A guild is a team comprised of many players.\Guilds offer many advantages that parties,\which are more provisional, don't have.\For example, a shared vault in the game's bank,\and a dedicated communication system. response:	And most important, potential use of a guild hall,
context: Serara, the girl we saved in Susukino,\belongs to Marielle's guild, the Crescent Moon Alliance.\A guild is a team comprised of many players.\Guilds offer many advantages that parties,\which are more provisional, don't have.\For example, a shared vault in the game's bank,\and a dedicated communication system.\And most important, potential use of a guild hall, response:	located here, at the Guild Building.
context: belongs to Marielle's guild, the Crescent Moon Alliance.\A guild is a team comprised of many players.\Guilds offer many advantages that parties,\which are more provisional, don't have.\For example, a shared vault in the game's bank,\and a dedicated communication system.\And most important, potential use of a guild hall,\located here, at the Guild Building. response:	These halls can be purchased or rented, and are divided into several ranks.
context: A guild is a team comprised of many players.\Guilds offer many advantages that parties,\which are more provisional, don't have.\For example, a shared vault in the game's bank,\and a dedicated communication system.\And most important, potential use of a guild hall,\located here, at the Guild Building.\These halls can be purchased or rented, and are divided into several ranks. response:	Normally, you select a hall based on your guild's size.
context: Guilds offer many advantages that parties,\which are more provisional, don't have.\For example, a shared vault in the game's bank,\and a dedicated communication system.\And most important, potential use of a guild hall,\located here, at the Guild Building.\These halls can be purchased or rented, and are divided into several ranks.\Normally, you select a hall based on your guild's size. response:	The Crescent Moon Alliance uses what's known as a rank-B hall, consisting of seven rooms.
