context: I've had this image in my head since I was a child. response:	An image of a landscape you could find anywhere.
context: I've had this image in my head since I was a child.\An image of a landscape you could find anywhere. response:	A scene from a dream that I have all the time.
context: I've had this image in my head since I was a child.\An image of a landscape you could find anywhere.\A scene from a dream that I have all the time. response:	But I've never been there.
context: I've had this image in my head since I was a child.\An image of a landscape you could find anywhere.\A scene from a dream that I have all the time.\But I've never been there. response:	I've been told it's because I've undergone In-Grove's Anti-Feminus.
context: I've had this image in my head since I was a child.\An image of a landscape you could find anywhere.\A scene from a dream that I have all the time.\But I've never been there.\I've been told it's because I've undergone In-Grove's Anti-Feminus. response:	But it didn't really matter why.
context: I've had this image in my head since I was a child.\An image of a landscape you could find anywhere.\A scene from a dream that I have all the time.\But I've never been there.\I've been told it's because I've undergone In-Grove's Anti-Feminus.\But it didn't really matter why. response:	I just wanted to search for something.
context: I've had this image in my head since I was a child.\An image of a landscape you could find anywhere.\A scene from a dream that I have all the time.\But I've never been there.\I've been told it's because I've undergone In-Grove's Anti-Feminus.\But it didn't really matter why.\I just wanted to search for something. response:	That's why I went on this trip.
context: I've had this image in my head since I was a child.\An image of a landscape you could find anywhere.\A scene from a dream that I have all the time.\But I've never been there.\I've been told it's because I've undergone In-Grove's Anti-Feminus.\But it didn't really matter why.\I just wanted to search for something.\That's why I went on this trip. response:	Huh? An emergency?
context: An image of a landscape you could find anywhere.\A scene from a dream that I have all the time.\But I've never been there.\I've been told it's because I've undergone In-Grove's Anti-Feminus.\But it didn't really matter why.\I just wanted to search for something.\That's why I went on this trip.\Huh? An emergency? response:	I'm hitting debris? Why?
context: A scene from a dream that I have all the time.\But I've never been there.\I've been told it's because I've undergone In-Grove's Anti-Feminus.\But it didn't really matter why.\I just wanted to search for something.\That's why I went on this trip.\Huh? An emergency?\I'm hitting debris? Why? response:	There aren't any cleaners this far out...
context: But I've never been there.\I've been told it's because I've undergone In-Grove's Anti-Feminus.\But it didn't really matter why.\I just wanted to search for something.\That's why I went on this trip.\Huh? An emergency?\I'm hitting debris? Why?\There aren't any cleaners this far out... response:	Please...
context: I've been told it's because I've undergone In-Grove's Anti-Feminus.\But it didn't really matter why.\I just wanted to search for something.\That's why I went on this trip.\Huh? An emergency?\I'm hitting debris? Why?\There aren't any cleaners this far out...\Please... response:	Rinon!
context: But it didn't really matter why.\I just wanted to search for something.\That's why I went on this trip.\Huh? An emergency?\I'm hitting debris? Why?\There aren't any cleaners this far out...\Please...\Rinon! response:	Take control of the ship!
context: I just wanted to search for something.\That's why I went on this trip.\Huh? An emergency?\I'm hitting debris? Why?\There aren't any cleaners this far out...\Please...\Rinon!\Take control of the ship! response:	Make a short jump as soon as the ship is stable!
context: That's why I went on this trip.\Huh? An emergency?\I'm hitting debris? Why?\There aren't any cleaners this far out...\Please...\Rinon!\Take control of the ship!\Make a short jump as soon as the ship is stable! response:	Please!
