context: TS response:	Even if it's really an aftereffect of Nirvash's weapon,
context: TS\Even if it's really an aftereffect of Nirvash's weapon, response:	it's weird that it's still there after a week.
context: TS\Even if it's really an aftereffect of Nirvash's weapon,\it's weird that it's still there after a week. response:	Quartz Gun. That's what we call it.
context: TS\Even if it's really an aftereffect of Nirvash's weapon,\it's weird that it's still there after a week.\Quartz Gun. That's what we call it. response:	You heard the man.
context: TS\Even if it's really an aftereffect of Nirvash's weapon,\it's weird that it's still there after a week.\Quartz Gun. That's what we call it.\You heard the man. response:	But don't you think it's weird?
context: TS\Even if it's really an aftereffect of Nirvash's weapon,\it's weird that it's still there after a week.\Quartz Gun. That's what we call it.\You heard the man.\But don't you think it's weird? response:	Since ancient times, this light has been sighted near the Norwegian Vester islands.
context: TS\Even if it's really an aftereffect of Nirvash's weapon,\it's weird that it's still there after a week.\Quartz Gun. That's what we call it.\You heard the man.\But don't you think it's weird?\Since ancient times, this light has been sighted near the Norwegian Vester islands. response:	It's known as the North Pole Light.
context: TS\Even if it's really an aftereffect of Nirvash's weapon,\it's weird that it's still there after a week.\Quartz Gun. That's what we call it.\You heard the man.\But don't you think it's weird?\Since ancient times, this light has been sighted near the Norwegian Vester islands.\It's known as the North Pole Light. response:	Legends say that it was first seen in the age of the Vikings.
context: Even if it's really an aftereffect of Nirvash's weapon,\it's weird that it's still there after a week.\Quartz Gun. That's what we call it.\You heard the man.\But don't you think it's weird?\Since ancient times, this light has been sighted near the Norwegian Vester islands.\It's known as the North Pole Light.\Legends say that it was first seen in the age of the Vikings. response:	What is the problem then?
context: it's weird that it's still there after a week.\Quartz Gun. That's what we call it.\You heard the man.\But don't you think it's weird?\Since ancient times, this light has been sighted near the Norwegian Vester islands.\It's known as the North Pole Light.\Legends say that it was first seen in the age of the Vikings.\What is the problem then? response:	Don't you think it's conceivable that the Quartz Gun damaged not only the present, but the past as well?
context: Quartz Gun. That's what we call it.\You heard the man.\But don't you think it's weird?\Since ancient times, this light has been sighted near the Norwegian Vester islands.\It's known as the North Pole Light.\Legends say that it was first seen in the age of the Vikings.\What is the problem then?\Don't you think it's conceivable that the Quartz Gun damaged not only the present, but the past as well? response:	What are you saying?
context: You heard the man.\But don't you think it's weird?\Since ancient times, this light has been sighted near the Norwegian Vester islands.\It's known as the North Pole Light.\Legends say that it was first seen in the age of the Vikings.\What is the problem then?\Don't you think it's conceivable that the Quartz Gun damaged not only the present, but the past as well?\What are you saying? response:	If the past was affected, we would've experienced changes too.
context: But don't you think it's weird?\Since ancient times, this light has been sighted near the Norwegian Vester islands.\It's known as the North Pole Light.\Legends say that it was first seen in the age of the Vikings.\What is the problem then?\Don't you think it's conceivable that the Quartz Gun damaged not only the present, but the past as well?\What are you saying?\If the past was affected, we would've experienced changes too. response:	We might have experienced them already.
context: Since ancient times, this light has been sighted near the Norwegian Vester islands.\It's known as the North Pole Light.\Legends say that it was first seen in the age of the Vikings.\What is the problem then?\Don't you think it's conceivable that the Quartz Gun damaged not only the present, but the past as well?\What are you saying?\If the past was affected, we would've experienced changes too.\We might have experienced them already. response:	Then this world, inclusive of our memories, is a continuation of the changed past.
context: It's known as the North Pole Light.\Legends say that it was first seen in the age of the Vikings.\What is the problem then?\Don't you think it's conceivable that the Quartz Gun damaged not only the present, but the past as well?\What are you saying?\If the past was affected, we would've experienced changes too.\We might have experienced them already.\Then this world, inclusive of our memories, is a continuation of the changed past. response:	There's no way for us to confirm the changes, though.
context: Legends say that it was first seen in the age of the Vikings.\What is the problem then?\Don't you think it's conceivable that the Quartz Gun damaged not only the present, but the past as well?\What are you saying?\If the past was affected, we would've experienced changes too.\We might have experienced them already.\Then this world, inclusive of our memories, is a continuation of the changed past.\There's no way for us to confirm the changes, though. response:	Ao, what are you doing?
context: What is the problem then?\Don't you think it's conceivable that the Quartz Gun damaged not only the present, but the past as well?\What are you saying?\If the past was affected, we would've experienced changes too.\We might have experienced them already.\Then this world, inclusive of our memories, is a continuation of the changed past.\There's no way for us to confirm the changes, though.\Ao, what are you doing? response:	I was wondering, if what you just said
context: Don't you think it's conceivable that the Quartz Gun damaged not only the present, but the past as well?\What are you saying?\If the past was affected, we would've experienced changes too.\We might have experienced them already.\Then this world, inclusive of our memories, is a continuation of the changed past.\There's no way for us to confirm the changes, though.\Ao, what are you doing?\I was wondering, if what you just said response:	Children don't need to worry about it.
context: What are you saying?\If the past was affected, we would've experienced changes too.\We might have experienced them already.\Then this world, inclusive of our memories, is a continuation of the changed past.\There's no way for us to confirm the changes, though.\Ao, what are you doing?\I was wondering, if what you just said\Children don't need to worry about it. response:	Ao, leave it to us.
context: If the past was affected, we would've experienced changes too.\We might have experienced them already.\Then this world, inclusive of our memories, is a continuation of the changed past.\There's no way for us to confirm the changes, though.\Ao, what are you doing?\I was wondering, if what you just said\Children don't need to worry about it.\Ao, leave it to us. response:	The consequences were unexpected,
context: We might have experienced them already.\Then this world, inclusive of our memories, is a continuation of the changed past.\There's no way for us to confirm the changes, though.\Ao, what are you doing?\I was wondering, if what you just said\Children don't need to worry about it.\Ao, leave it to us.\The consequences were unexpected, response:	but you made the right choice when you decided to fire the weapon.
