context: This is the depths' second layer... response:	We did it, Reg!
context: This is the depths' second layer...\We did it, Reg! response:	We've survived our final lesson!
context: This is the depths' second layer...\We did it, Reg!\We've survived our final lesson! response:	Is that so?
context: This is the depths' second layer...\We did it, Reg!\We've survived our final lesson!\Is that so? response:	Sure is!
context: This is the depths' second layer...\We did it, Reg!\We've survived our final lesson!\Is that so?\Sure is! response:	Leader, we pulled it off!
context: This is the depths' second layer...\We did it, Reg!\We've survived our final lesson!\Is that so?\Sure is!\Leader, we pulled it off! response:	It hasn't really hit me yet...
context: This is the depths' second layer...\We did it, Reg!\We've survived our final lesson!\Is that so?\Sure is!\Leader, we pulled it off!\It hasn't really hit me yet... response:	Did we really get away from them?
context: This is the depths' second layer...\We did it, Reg!\We've survived our final lesson!\Is that so?\Sure is!\Leader, we pulled it off!\It hasn't really hit me yet...\Did we really get away from them? response:	That's right!
context: We did it, Reg!\We've survived our final lesson!\Is that so?\Sure is!\Leader, we pulled it off!\It hasn't really hit me yet...\Did we really get away from them?\That's right! response:	We don't have to worry about anyone pursuing us anymore!
context: We've survived our final lesson!\Is that so?\Sure is!\Leader, we pulled it off!\It hasn't really hit me yet...\Did we really get away from them?\That's right!\We don't have to worry about anyone pursuing us anymore! response:	Let's hurry on, Reg. It might be calling all of its buddies over here.
context: Is that so?\Sure is!\Leader, we pulled it off!\It hasn't really hit me yet...\Did we really get away from them?\That's right!\We don't have to worry about anyone pursuing us anymore!\Let's hurry on, Reg. It might be calling all of its buddies over here. response:	Yeah...
context: Sure is!\Leader, we pulled it off!\It hasn't really hit me yet...\Did we really get away from them?\That's right!\We don't have to worry about anyone pursuing us anymore!\Let's hurry on, Reg. It might be calling all of its buddies over here.\Yeah... response:	They must prepare themselves for what's to come.
context: Leader, we pulled it off!\It hasn't really hit me yet...\Did we really get away from them?\That's right!\We don't have to worry about anyone pursuing us anymore!\Let's hurry on, Reg. It might be calling all of its buddies over here.\Yeah...\They must prepare themselves for what's to come. response:	In this place that transcends the ordinary, they themselves are outsiders,
context: It hasn't really hit me yet...\Did we really get away from them?\That's right!\We don't have to worry about anyone pursuing us anymore!\Let's hurry on, Reg. It might be calling all of its buddies over here.\Yeah...\They must prepare themselves for what's to come.\In this place that transcends the ordinary, they themselves are outsiders, response:	the enemy,
context: Did we really get away from them?\That's right!\We don't have to worry about anyone pursuing us anymore!\Let's hurry on, Reg. It might be calling all of its buddies over here.\Yeah...\They must prepare themselves for what's to come.\In this place that transcends the ordinary, they themselves are outsiders,\the enemy, response:	the prey...
context: That's right!\We don't have to worry about anyone pursuing us anymore!\Let's hurry on, Reg. It might be calling all of its buddies over here.\Yeah...\They must prepare themselves for what's to come.\In this place that transcends the ordinary, they themselves are outsiders,\the enemy,\the prey... response:	They're a threat.
context: We don't have to worry about anyone pursuing us anymore!\Let's hurry on, Reg. It might be calling all of its buddies over here.\Yeah...\They must prepare themselves for what's to come.\In this place that transcends the ordinary, they themselves are outsiders,\the enemy,\the prey...\They're a threat. response:	These leaves sure are huge...
context: Let's hurry on, Reg. It might be calling all of its buddies over here.\Yeah...\They must prepare themselves for what's to come.\In this place that transcends the ordinary, they themselves are outsiders,\the enemy,\the prey...\They're a threat.\These leaves sure are huge... response:	Yeah, and the smell of the greenery has gotten stronger.
context: Yeah...\They must prepare themselves for what's to come.\In this place that transcends the ordinary, they themselves are outsiders,\the enemy,\the prey...\They're a threat.\These leaves sure are huge...\Yeah, and the smell of the greenery has gotten stronger. response:	Also, while it's nice that the leaves help hide us, they totally block the view of our surroundings.
context: They must prepare themselves for what's to come.\In this place that transcends the ordinary, they themselves are outsiders,\the enemy,\the prey...\They're a threat.\These leaves sure are huge...\Yeah, and the smell of the greenery has gotten stronger.\Also, while it's nice that the leaves help hide us, they totally block the view of our surroundings. response:	Listen, Reg.
context: In this place that transcends the ordinary, they themselves are outsiders,\the enemy,\the prey...\They're a threat.\These leaves sure are huge...\Yeah, and the smell of the greenery has gotten stronger.\Also, while it's nice that the leaves help hide us, they totally block the view of our surroundings.\Listen, Reg. response:	These trees might be big, but they're similar to amagiri.
context: the enemy,\the prey...\They're a threat.\These leaves sure are huge...\Yeah, and the smell of the greenery has gotten stronger.\Also, while it's nice that the leaves help hide us, they totally block the view of our surroundings.\Listen, Reg.\These trees might be big, but they're similar to amagiri. response:	Amagiri?
context: the prey...\They're a threat.\These leaves sure are huge...\Yeah, and the smell of the greenery has gotten stronger.\Also, while it's nice that the leaves help hide us, they totally block the view of our surroundings.\Listen, Reg.\These trees might be big, but they're similar to amagiri.\Amagiri? response:	Right.
context: They're a threat.\These leaves sure are huge...\Yeah, and the smell of the greenery has gotten stronger.\Also, while it's nice that the leaves help hide us, they totally block the view of our surroundings.\Listen, Reg.\These trees might be big, but they're similar to amagiri.\Amagiri?\Right. response:	Here, look!
context: These leaves sure are huge...\Yeah, and the smell of the greenery has gotten stronger.\Also, while it's nice that the leaves help hide us, they totally block the view of our surroundings.\Listen, Reg.\These trees might be big, but they're similar to amagiri.\Amagiri?\Right.\Here, look! response:	Amagiri sprouts always point toward the north of the Abyss...
context: Yeah, and the smell of the greenery has gotten stronger.\Also, while it's nice that the leaves help hide us, they totally block the view of our surroundings.\Listen, Reg.\These trees might be big, but they're similar to amagiri.\Amagiri?\Right.\Here, look!\Amagiri sprouts always point toward the north of the Abyss... response:	just like these do.
context: Also, while it's nice that the leaves help hide us, they totally block the view of our surroundings.\Listen, Reg.\These trees might be big, but they're similar to amagiri.\Amagiri?\Right.\Here, look!\Amagiri sprouts always point toward the north of the Abyss...\just like these do. response:	The branches similarly always point toward the center of the Abyss.
context: Listen, Reg.\These trees might be big, but they're similar to amagiri.\Amagiri?\Right.\Here, look!\Amagiri sprouts always point toward the north of the Abyss...\just like these do.\The branches similarly always point toward the center of the Abyss. response:	Oh...
context: These trees might be big, but they're similar to amagiri.\Amagiri?\Right.\Here, look!\Amagiri sprouts always point toward the north of the Abyss...\just like these do.\The branches similarly always point toward the center of the Abyss.\Oh... response:	So, they're helpful when it's hard to make out your surroundings.
context: Amagiri?\Right.\Here, look!\Amagiri sprouts always point toward the north of the Abyss...\just like these do.\The branches similarly always point toward the center of the Abyss.\Oh...\So, they're helpful when it's hard to make out your surroundings. response:	There's an old saying that goes: If you get lost, just follow the amagiri.
context: Right.\Here, look!\Amagiri sprouts always point toward the north of the Abyss...\just like these do.\The branches similarly always point toward the center of the Abyss.\Oh...\So, they're helpful when it's hard to make out your surroundings.\There's an old saying that goes: If you get lost, just follow the amagiri. response:	Whoa, you sound pretty smart right now, Riko...
context: Here, look!\Amagiri sprouts always point toward the north of the Abyss...\just like these do.\The branches similarly always point toward the center of the Abyss.\Oh...\So, they're helpful when it's hard to make out your surroundings.\There's an old saying that goes: If you get lost, just follow the amagiri.\Whoa, you sound pretty smart right now, Riko... response:	nothing like when we were back in Orth!
context: Amagiri sprouts always point toward the north of the Abyss...\just like these do.\The branches similarly always point toward the center of the Abyss.\Oh...\So, they're helpful when it's hard to make out your surroundings.\There's an old saying that goes: If you get lost, just follow the amagiri.\Whoa, you sound pretty smart right now, Riko...\nothing like when we were back in Orth! response:	Wait... That's a compliment, right?
context: just like these do.\The branches similarly always point toward the center of the Abyss.\Oh...\So, they're helpful when it's hard to make out your surroundings.\There's an old saying that goes: If you get lost, just follow the amagiri.\Whoa, you sound pretty smart right now, Riko...\nothing like when we were back in Orth!\Wait... That's a compliment, right? response:	Let's see...
context: The branches similarly always point toward the center of the Abyss.\Oh...\So, they're helpful when it's hard to make out your surroundings.\There's an old saying that goes: If you get lost, just follow the amagiri.\Whoa, you sound pretty smart right now, Riko...\nothing like when we were back in Orth!\Wait... That's a compliment, right?\Let's see... response:	We're supposed to descend from around here, right?
context: Oh...\So, they're helpful when it's hard to make out your surroundings.\There's an old saying that goes: If you get lost, just follow the amagiri.\Whoa, you sound pretty smart right now, Riko...\nothing like when we were back in Orth!\Wait... That's a compliment, right?\Let's see...\We're supposed to descend from around here, right? response:	We really need to head to Seeker Camp, the monitoring base down here.
