context: Naminanakai Public Hospital response:	Episode Fourteen: The Promised Day
context: Naminanakai Public Hospital\Episode Fourteen: The Promised Day response:	Naminanakai Public Hospital
context: Naminanakai Public Hospital\Episode Fourteen: The Promised Day\Naminanakai Public Hospital response:	Oh, Chisaki-chan.
context: Naminanakai Public Hospital\Episode Fourteen: The Promised Day\Naminanakai Public Hospital\Oh, Chisaki-chan. response:	Must be hard, every day.
context: Naminanakai Public Hospital\Episode Fourteen: The Promised Day\Naminanakai Public Hospital\Oh, Chisaki-chan.\Must be hard, every day. response:	No... my school is nearby, so...
context: Naminanakai Public Hospital\Episode Fourteen: The Promised Day\Naminanakai Public Hospital\Oh, Chisaki-chan.\Must be hard, every day.\No... my school is nearby, so... response:	Kihara Isamu
context: Naminanakai Public Hospital\Episode Fourteen: The Promised Day\Naminanakai Public Hospital\Oh, Chisaki-chan.\Must be hard, every day.\No... my school is nearby, so...\Kihara Isamu response:	There's some left over again.
context: Naminanakai Public Hospital\Episode Fourteen: The Promised Day\Naminanakai Public Hospital\Oh, Chisaki-chan.\Must be hard, every day.\No... my school is nearby, so...\Kihara Isamu\There's some left over again. response:	He doesn't seem to have much of an appetite lately.
context: Episode Fourteen: The Promised Day\Naminanakai Public Hospital\Oh, Chisaki-chan.\Must be hard, every day.\No... my school is nearby, so...\Kihara Isamu\There's some left over again.\He doesn't seem to have much of an appetite lately. response:	I see...
context: Naminanakai Public Hospital\Oh, Chisaki-chan.\Must be hard, every day.\No... my school is nearby, so...\Kihara Isamu\There's some left over again.\He doesn't seem to have much of an appetite lately.\I see... response:	You should come here once you're done with nursing school.
context: Oh, Chisaki-chan.\Must be hard, every day.\No... my school is nearby, so...\Kihara Isamu\There's some left over again.\He doesn't seem to have much of an appetite lately.\I see...\You should come here once you're done with nursing school. response:	It'd be a huge help, having someone as reliable as you here.
context: Must be hard, every day.\No... my school is nearby, so...\Kihara Isamu\There's some left over again.\He doesn't seem to have much of an appetite lately.\I see...\You should come here once you're done with nursing school.\It'd be a huge help, having someone as reliable as you here. response:	Right...
context: No... my school is nearby, so...\Kihara Isamu\There's some left over again.\He doesn't seem to have much of an appetite lately.\I see...\You should come here once you're done with nursing school.\It'd be a huge help, having someone as reliable as you here.\Right... response:	South 412 Yamaguchi Youhei Kihara Isamu Tanaka Masaru Kitagawa Kyosuke
context: Kihara Isamu\There's some left over again.\He doesn't seem to have much of an appetite lately.\I see...\You should come here once you're done with nursing school.\It'd be a huge help, having someone as reliable as you here.\Right...\South 412 Yamaguchi Youhei Kihara Isamu Tanaka Masaru Kitagawa Kyosuke response:	Grandpa, you have to eat!
context: There's some left over again.\He doesn't seem to have much of an appetite lately.\I see...\You should come here once you're done with nursing school.\It'd be a huge help, having someone as reliable as you here.\Right...\South 412 Yamaguchi Youhei Kihara Isamu Tanaka Masaru Kitagawa Kyosuke\Grandpa, you have to eat! response:	There's no flavor.
context: He doesn't seem to have much of an appetite lately.\I see...\You should come here once you're done with nursing school.\It'd be a huge help, having someone as reliable as you here.\Right...\South 412 Yamaguchi Youhei Kihara Isamu Tanaka Masaru Kitagawa Kyosuke\Grandpa, you have to eat!\There's no flavor. response:	Once you're out of the hospital, you can eat whatever you want as much as you like.
context: I see...\You should come here once you're done with nursing school.\It'd be a huge help, having someone as reliable as you here.\Right...\South 412 Yamaguchi Youhei Kihara Isamu Tanaka Masaru Kitagawa Kyosuke\Grandpa, you have to eat!\There's no flavor.\Once you're out of the hospital, you can eat whatever you want as much as you like. response:	All right, I'm going to wipe you down.
context: You should come here once you're done with nursing school.\It'd be a huge help, having someone as reliable as you here.\Right...\South 412 Yamaguchi Youhei Kihara Isamu Tanaka Masaru Kitagawa Kyosuke\Grandpa, you have to eat!\There's no flavor.\Once you're out of the hospital, you can eat whatever you want as much as you like.\All right, I'm going to wipe you down. response:	Sea Salt
context: It'd be a huge help, having someone as reliable as you here.\Right...\South 412 Yamaguchi Youhei Kihara Isamu Tanaka Masaru Kitagawa Kyosuke\Grandpa, you have to eat!\There's no flavor.\Once you're out of the hospital, you can eat whatever you want as much as you like.\All right, I'm going to wipe you down.\Sea Salt response:	Today's the Tomoebi.
context: Right...\South 412 Yamaguchi Youhei Kihara Isamu Tanaka Masaru Kitagawa Kyosuke\Grandpa, you have to eat!\There's no flavor.\Once you're out of the hospital, you can eat whatever you want as much as you like.\All right, I'm going to wipe you down.\Sea Salt\Today's the Tomoebi. response:	Tomoebi...
context: South 412 Yamaguchi Youhei Kihara Isamu Tanaka Masaru Kitagawa Kyosuke\Grandpa, you have to eat!\There's no flavor.\Once you're out of the hospital, you can eat whatever you want as much as you like.\All right, I'm going to wipe you down.\Sea Salt\Today's the Tomoebi.\Tomoebi... response:	We all have to be together.
context: Grandpa, you have to eat!\There's no flavor.\Once you're out of the hospital, you can eat whatever you want as much as you like.\All right, I'm going to wipe you down.\Sea Salt\Today's the Tomoebi.\Tomoebi...\We all have to be together. response:	Someone important's coming, huh?
context: There's no flavor.\Once you're out of the hospital, you can eat whatever you want as much as you like.\All right, I'm going to wipe you down.\Sea Salt\Today's the Tomoebi.\Tomoebi...\We all have to be together.\Someone important's coming, huh? response:	Oh... Yes.
context: Once you're out of the hospital, you can eat whatever you want as much as you like.\All right, I'm going to wipe you down.\Sea Salt\Today's the Tomoebi.\Tomoebi...\We all have to be together.\Someone important's coming, huh?\Oh... Yes. response:	Apparently a professor from Tsumugu's lab.
context: All right, I'm going to wipe you down.\Sea Salt\Today's the Tomoebi.\Tomoebi...\We all have to be together.\Someone important's coming, huh?\Oh... Yes.\Apparently a professor from Tsumugu's lab. response:	There.
context: Sea Salt\Today's the Tomoebi.\Tomoebi...\We all have to be together.\Someone important's coming, huh?\Oh... Yes.\Apparently a professor from Tsumugu's lab.\There. response:	If he's from the city, he probably won't like country cooking.
context: Today's the Tomoebi.\Tomoebi...\We all have to be together.\Someone important's coming, huh?\Oh... Yes.\Apparently a professor from Tsumugu's lab.\There.\If he's from the city, he probably won't like country cooking. response:	Go buy some alcohol and meat with that.
context: Tomoebi...\We all have to be together.\Someone important's coming, huh?\Oh... Yes.\Apparently a professor from Tsumugu's lab.\There.\If he's from the city, he probably won't like country cooking.\Go buy some alcohol and meat with that. response:	Okay.
context: We all have to be together.\Someone important's coming, huh?\Oh... Yes.\Apparently a professor from Tsumugu's lab.\There.\If he's from the city, he probably won't like country cooking.\Go buy some alcohol and meat with that.\Okay. response:	Oshiooshi Station Front
context: Someone important's coming, huh?\Oh... Yes.\Apparently a professor from Tsumugu's lab.\There.\If he's from the city, he probably won't like country cooking.\Go buy some alcohol and meat with that.\Okay.\Oshiooshi Station Front response:	Hey, Chisaki.
context: Oh... Yes.\Apparently a professor from Tsumugu's lab.\There.\If he's from the city, he probably won't like country cooking.\Go buy some alcohol and meat with that.\Okay.\Oshiooshi Station Front\Hey, Chisaki. response:	Sayama-kun.
context: Apparently a professor from Tsumugu's lab.\There.\If he's from the city, he probably won't like country cooking.\Go buy some alcohol and meat with that.\Okay.\Oshiooshi Station Front\Hey, Chisaki.\Sayama-kun. response:	I'll give you a lift.
context: There.\If he's from the city, he probably won't like country cooking.\Go buy some alcohol and meat with that.\Okay.\Oshiooshi Station Front\Hey, Chisaki.\Sayama-kun.\I'll give you a lift. response:	I was thinking about stopping by Saya Mart on my way home.
context: If he's from the city, he probably won't like country cooking.\Go buy some alcohol and meat with that.\Okay.\Oshiooshi Station Front\Hey, Chisaki.\Sayama-kun.\I'll give you a lift.\I was thinking about stopping by Saya Mart on my way home. response:	That's perfect, then.
context: Go buy some alcohol and meat with that.\Okay.\Oshiooshi Station Front\Hey, Chisaki.\Sayama-kun.\I'll give you a lift.\I was thinking about stopping by Saya Mart on my way home.\That's perfect, then. response:	Apparently Egawa's getting married.
context: Okay.\Oshiooshi Station Front\Hey, Chisaki.\Sayama-kun.\I'll give you a lift.\I was thinking about stopping by Saya Mart on my way home.\That's perfect, then.\Apparently Egawa's getting married. response:	What?!
context: Oshiooshi Station Front\Hey, Chisaki.\Sayama-kun.\I'll give you a lift.\I was thinking about stopping by Saya Mart on my way home.\That's perfect, then.\Apparently Egawa's getting married.\What?! response:	He knocked a girl up.
context: Hey, Chisaki.\Sayama-kun.\I'll give you a lift.\I was thinking about stopping by Saya Mart on my way home.\That's perfect, then.\Apparently Egawa's getting married.\What?!\He knocked a girl up. response:	K-Knoc
context: Sayama-kun.\I'll give you a lift.\I was thinking about stopping by Saya Mart on my way home.\That's perfect, then.\Apparently Egawa's getting married.\What?!\He knocked a girl up.\K-Knoc response:	B-But what about college?
context: I'll give you a lift.\I was thinking about stopping by Saya Mart on my way home.\That's perfect, then.\Apparently Egawa's getting married.\What?!\He knocked a girl up.\K-Knoc\B-But what about college? response:	Apparently the girl's dad is the president of some company,
context: I was thinking about stopping by Saya Mart on my way home.\That's perfect, then.\Apparently Egawa's getting married.\What?!\He knocked a girl up.\K-Knoc\B-But what about college?\Apparently the girl's dad is the president of some company, response:	so he's going to quit school and work at her dad's company.
context: That's perfect, then.\Apparently Egawa's getting married.\What?!\He knocked a girl up.\K-Knoc\B-But what about college?\Apparently the girl's dad is the president of some company,\so he's going to quit school and work at her dad's company. response:	Talk about a surprise.
context: Apparently Egawa's getting married.\What?!\He knocked a girl up.\K-Knoc\B-But what about college?\Apparently the girl's dad is the president of some company,\so he's going to quit school and work at her dad's company.\Talk about a surprise. response:	That's this year's biggest surprise.
context: What?!\He knocked a girl up.\K-Knoc\B-But what about college?\Apparently the girl's dad is the president of some company,\so he's going to quit school and work at her dad's company.\Talk about a surprise.\That's this year's biggest surprise. response:	He said he'd be back for the coming-of-age ceremony,
context: He knocked a girl up.\K-Knoc\B-But what about college?\Apparently the girl's dad is the president of some company,\so he's going to quit school and work at her dad's company.\Talk about a surprise.\That's this year's biggest surprise.\He said he'd be back for the coming-of-age ceremony, response:	so we're all gonna tease him.
context: K-Knoc\B-But what about college?\Apparently the girl's dad is the president of some company,\so he's going to quit school and work at her dad's company.\Talk about a surprise.\That's this year's biggest surprise.\He said he'd be back for the coming-of-age ceremony,\so we're all gonna tease him. response:	Everyone's changed so much...
context: B-But what about college?\Apparently the girl's dad is the president of some company,\so he's going to quit school and work at her dad's company.\Talk about a surprise.\That's this year's biggest surprise.\He said he'd be back for the coming-of-age ceremony,\so we're all gonna tease him.\Everyone's changed so much... response:	and it's only been five years.
context: Apparently the girl's dad is the president of some company,\so he's going to quit school and work at her dad's company.\Talk about a surprise.\That's this year's biggest surprise.\He said he'd be back for the coming-of-age ceremony,\so we're all gonna tease him.\Everyone's changed so much...\and it's only been five years. response:	I think you've changed the most.
context: so he's going to quit school and work at her dad's company.\Talk about a surprise.\That's this year's biggest surprise.\He said he'd be back for the coming-of-age ceremony,\so we're all gonna tease him.\Everyone's changed so much...\and it's only been five years.\I think you've changed the most. response:	Huh?
context: Talk about a surprise.\That's this year's biggest surprise.\He said he'd be back for the coming-of-age ceremony,\so we're all gonna tease him.\Everyone's changed so much...\and it's only been five years.\I think you've changed the most.\Huh? response:	I dunno...
context: That's this year's biggest surprise.\He said he'd be back for the coming-of-age ceremony,\so we're all gonna tease him.\Everyone's changed so much...\and it's only been five years.\I think you've changed the most.\Huh?\I dunno... response:	There's a rumor going around like you're some lonely housewife.
context: He said he'd be back for the coming-of-age ceremony,\so we're all gonna tease him.\Everyone's changed so much...\and it's only been five years.\I think you've changed the most.\Huh?\I dunno...\There's a rumor going around like you're some lonely housewife. response:	It's oddly hot.
context: so we're all gonna tease him.\Everyone's changed so much...\and it's only been five years.\I think you've changed the most.\Huh?\I dunno...\There's a rumor going around like you're some lonely housewife.\It's oddly hot. response:	Wh-What?!
