context: /** TS by scol **/ response:	/** Full box motion **/
context: /** TS by scol **/\/** Full box motion **/ response:	/** larger motion **/
context: /** TS by scol **/\/** Full box motion **/\/** larger motion **/ response:	/** top row **/
context: /** TS by scol **/\/** Full box motion **/\/** larger motion **/\/** top row **/ response:	/** Box end **/
context: /** TS by scol **/\/** Full box motion **/\/** larger motion **/\/** top row **/\/** Box end **/ response:	Recieving a call
context: /** TS by scol **/\/** Full box motion **/\/** larger motion **/\/** top row **/\/** Box end **/\Recieving a call response:	Mashiro Kayoko
context: /** TS by scol **/\/** Full box motion **/\/** larger motion **/\/** top row **/\/** Box end **/\Recieving a call\Mashiro Kayoko response:	I talked to your father.
context: /** TS by scol **/\/** Full box motion **/\/** larger motion **/\/** top row **/\/** Box end **/\Recieving a call\Mashiro Kayoko\I talked to your father. response:	Y-Yeah?
context: /** Full box motion **/\/** larger motion **/\/** top row **/\/** Box end **/\Recieving a call\Mashiro Kayoko\I talked to your father.\Y-Yeah? response:	Let him do it.
context: /** larger motion **/\/** top row **/\/** Box end **/\Recieving a call\Mashiro Kayoko\I talked to your father.\Y-Yeah?\Let him do it. response:	Men have their dreams.
context: /** top row **/\/** Box end **/\Recieving a call\Mashiro Kayoko\I talked to your father.\Y-Yeah?\Let him do it.\Men have their dreams. response:	Is what he said.
context: /** Box end **/\Recieving a call\Mashiro Kayoko\I talked to your father.\Y-Yeah?\Let him do it.\Men have their dreams.\Is what he said. response:	Nobuhiro's room, his workplace has been left the same as it was when he died.
context: Recieving a call\Mashiro Kayoko\I talked to your father.\Y-Yeah?\Let him do it.\Men have their dreams.\Is what he said.\Nobuhiro's room, his workplace has been left the same as it was when he died. response:	I'll show you a name, so come.
context: Mashiro Kayoko\I talked to your father.\Y-Yeah?\Let him do it.\Men have their dreams.\Is what he said.\Nobuhiro's room, his workplace has been left the same as it was when he died.\I'll show you a name, so come. response:	Huh?
context: I talked to your father.\Y-Yeah?\Let him do it.\Men have their dreams.\Is what he said.\Nobuhiro's room, his workplace has been left the same as it was when he died.\I'll show you a name, so come.\Huh? response:	I got my uncle's workplace!
context: Y-Yeah?\Let him do it.\Men have their dreams.\Is what he said.\Nobuhiro's room, his workplace has been left the same as it was when he died.\I'll show you a name, so come.\Huh?\I got my uncle's workplace! response:	I got the workplace that my uncle left after he died!
context: Let him do it.\Men have their dreams.\Is what he said.\Nobuhiro's room, his workplace has been left the same as it was when he died.\I'll show you a name, so come.\Huh?\I got my uncle's workplace!\I got the workplace that my uncle left after he died! response:	Translator TLc
context: Men have their dreams.\Is what he said.\Nobuhiro's room, his workplace has been left the same as it was when he died.\I'll show you a name, so come.\Huh?\I got my uncle's workplace!\I got the workplace that my uncle left after he died!\Translator TLc response:	kewl0210 Chrno
context: Is what he said.\Nobuhiro's room, his workplace has been left the same as it was when he died.\I'll show you a name, so come.\Huh?\I got my uncle's workplace!\I got the workplace that my uncle left after he died!\Translator TLc\kewl0210 Chrno response:	Timing Edit
context: Nobuhiro's room, his workplace has been left the same as it was when he died.\I'll show you a name, so come.\Huh?\I got my uncle's workplace!\I got the workplace that my uncle left after he died!\Translator TLc\kewl0210 Chrno\Timing Edit response:	GeRi, Leet_Garaa bobo343
context: I'll show you a name, so come.\Huh?\I got my uncle's workplace!\I got the workplace that my uncle left after he died!\Translator TLc\kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343 response:	Typesetting Karaoke
context: Huh?\I got my uncle's workplace!\I got the workplace that my uncle left after he died!\Translator TLc\kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke response:	scol, Kme Jecht, Kme, pablo212
context: I got my uncle's workplace!\I got the workplace that my uncle left after he died!\Translator TLc\kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme, pablo212 response:	Mistral
context: I got the workplace that my uncle left after he died!\Translator TLc\kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme, pablo212\Mistral response:	QC
context: Translator TLc\kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme, pablo212\Mistral\QC response:	pablo212
context: kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme, pablo212\Mistral\QC\pablo212 response:	Encode
context: Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme, pablo212\Mistral\QC\pablo212\Encode response:	Parents and Children
context: GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme, pablo212\Mistral\QC\pablo212\Encode\Parents and Children response:	It's this condo?
context: Typesetting Karaoke\scol, Kme Jecht, Kme, pablo212\Mistral\QC\pablo212\Encode\Parents and Children\It's this condo? response:	Yeah, 9th floor.
context: scol, Kme Jecht, Kme, pablo212\Mistral\QC\pablo212\Encode\Parents and Children\It's this condo?\Yeah, 9th floor. response:	I'm kinda nervous.
context: Mistral\QC\pablo212\Encode\Parents and Children\It's this condo?\Yeah, 9th floor.\I'm kinda nervous. response:	E-Excuse u-
context: QC\pablo212\Encode\Parents and Children\It's this condo?\Yeah, 9th floor.\I'm kinda nervous.\E-Excuse u- response:	What is all this?
context: pablo212\Encode\Parents and Children\It's this condo?\Yeah, 9th floor.\I'm kinda nervous.\E-Excuse u-\What is all this? response:	It's full of hero figures!
context: Encode\Parents and Children\It's this condo?\Yeah, 9th floor.\I'm kinda nervous.\E-Excuse u-\What is all this?\It's full of hero figures! response:	Uncle wrote nothing but hero manga, so he could buy these as business expenses.
context: Parents and Children\It's this condo?\Yeah, 9th floor.\I'm kinda nervous.\E-Excuse u-\What is all this?\It's full of hero figures!\Uncle wrote nothing but hero manga, so he could buy these as business expenses. response:	A gag hero manga, though.
context: It's this condo?\Yeah, 9th floor.\I'm kinda nervous.\E-Excuse u-\What is all this?\It's full of hero figures!\Uncle wrote nothing but hero manga, so he could buy these as business expenses.\A gag hero manga, though. response:	Are you making fun of him?
context: Yeah, 9th floor.\I'm kinda nervous.\E-Excuse u-\What is all this?\It's full of hero figures!\Uncle wrote nothing but hero manga, so he could buy these as business expenses.\A gag hero manga, though.\Are you making fun of him? response:	I'm respecting him.
context: I'm kinda nervous.\E-Excuse u-\What is all this?\It's full of hero figures!\Uncle wrote nothing but hero manga, so he could buy these as business expenses.\A gag hero manga, though.\Are you making fun of him?\I'm respecting him. response:	Take one out and have a look at what's behind it.
context: E-Excuse u-\What is all this?\It's full of hero figures!\Uncle wrote nothing but hero manga, so he could buy these as business expenses.\A gag hero manga, though.\Are you making fun of him?\I'm respecting him.\Take one out and have a look at what's behind it. response:	Ooh, Jack!
context: What is all this?\It's full of hero figures!\Uncle wrote nothing but hero manga, so he could buy these as business expenses.\A gag hero manga, though.\Are you making fun of him?\I'm respecting him.\Take one out and have a look at what's behind it.\Ooh, Jack! response:	TL note: Jack is a parody of Jump the magazine the Bakuman manga is serialized in.
context: It's full of hero figures!\Uncle wrote nothing but hero manga, so he could buy these as business expenses.\A gag hero manga, though.\Are you making fun of him?\I'm respecting him.\Take one out and have a look at what's behind it.\Ooh, Jack!\TL note: Jack is a parody of Jump the magazine the Bakuman manga is serialized in. response:	'96, they sure are old!
context: Uncle wrote nothing but hero manga, so he could buy these as business expenses.\A gag hero manga, though.\Are you making fun of him?\I'm respecting him.\Take one out and have a look at what's behind it.\Ooh, Jack!\TL note: Jack is a parody of Jump the magazine the Bakuman manga is serialized in.\'96, they sure are old! response:	But I'm gonna read'em later.
context: A gag hero manga, though.\Are you making fun of him?\I'm respecting him.\Take one out and have a look at what's behind it.\Ooh, Jack!\TL note: Jack is a parody of Jump the magazine the Bakuman manga is serialized in.\'96, they sure are old!\But I'm gonna read'em later. response:	It looks like he got all the Jacks from when he was serialized.
