context: Halloween? response:	Yeah, Halloween!
context: Halloween?\Yeah, Halloween! response:	Your place sells Japanese sweets...
context: Halloween?\Yeah, Halloween!\Your place sells Japanese sweets... response:	That's got nothing to do with Halloween.
context: Halloween?\Yeah, Halloween!\Your place sells Japanese sweets...\That's got nothing to do with Halloween. response:	Actually, we decided to hold a fair and make Western-style Japanese sweets.
context: Halloween?\Yeah, Halloween!\Your place sells Japanese sweets...\That's got nothing to do with Halloween.\Actually, we decided to hold a fair and make Western-style Japanese sweets. response:	Then those are Western sweets...
context: Halloween?\Yeah, Halloween!\Your place sells Japanese sweets...\That's got nothing to do with Halloween.\Actually, we decided to hold a fair and make Western-style Japanese sweets.\Then those are Western sweets... response:	You think so?
context: Halloween?\Yeah, Halloween!\Your place sells Japanese sweets...\That's got nothing to do with Halloween.\Actually, we decided to hold a fair and make Western-style Japanese sweets.\Then those are Western sweets...\You think so? response:	Anyway, they're already made, and the fair is tomorrow, so I was thinking maybe you could come try some?
context: Halloween?\Yeah, Halloween!\Your place sells Japanese sweets...\That's got nothing to do with Halloween.\Actually, we decided to hold a fair and make Western-style Japanese sweets.\Then those are Western sweets...\You think so?\Anyway, they're already made, and the fair is tomorrow, so I was thinking maybe you could come try some? response:	After school maybe?
context: Yeah, Halloween!\Your place sells Japanese sweets...\That's got nothing to do with Halloween.\Actually, we decided to hold a fair and make Western-style Japanese sweets.\Then those are Western sweets...\You think so?\Anyway, they're already made, and the fair is tomorrow, so I was thinking maybe you could come try some?\After school maybe? response:	Yeah, sure...
context: Your place sells Japanese sweets...\That's got nothing to do with Halloween.\Actually, we decided to hold a fair and make Western-style Japanese sweets.\Then those are Western sweets...\You think so?\Anyway, they're already made, and the fair is tomorrow, so I was thinking maybe you could come try some?\After school maybe?\Yeah, sure... response:	Great!
context: That's got nothing to do with Halloween.\Actually, we decided to hold a fair and make Western-style Japanese sweets.\Then those are Western sweets...\You think so?\Anyway, they're already made, and the fair is tomorrow, so I was thinking maybe you could come try some?\After school maybe?\Yeah, sure...\Great! response:	It's really something, so look forward to it!
context: Actually, we decided to hold a fair and make Western-style Japanese sweets.\Then those are Western sweets...\You think so?\Anyway, they're already made, and the fair is tomorrow, so I was thinking maybe you could come try some?\After school maybe?\Yeah, sure...\Great!\It's really something, so look forward to it! response:	Tamura-san!
context: Then those are Western sweets...\You think so?\Anyway, they're already made, and the fair is tomorrow, so I was thinking maybe you could come try some?\After school maybe?\Yeah, sure...\Great!\It's really something, so look forward to it!\Tamura-san! response:	Okay!
