context: Hello! response:	I'm Katsuki Yuri.
context: Hello!\I'm Katsuki Yuri. response:	Now that the Russian Punk, Yurio,
context: Hello!\I'm Katsuki Yuri.\Now that the Russian Punk, Yurio, response:	has come in pursuit of my coach, Victor, all hell's broken loose.
context: Hello!\I'm Katsuki Yuri.\Now that the Russian Punk, Yurio,\has come in pursuit of my coach, Victor, all hell's broken loose. response:	The Hot Springs on Ice event is now being held so that Yurio and I can face off!
context: Hello!\I'm Katsuki Yuri.\Now that the Russian Punk, Yurio,\has come in pursuit of my coach, Victor, all hell's broken loose.\The Hot Springs on Ice event is now being held so that Yurio and I can face off! response:	Hasetsu Exhibition Hot Springs on Ice Presented by Victor Nikiforov
context: Hello!\I'm Katsuki Yuri.\Now that the Russian Punk, Yurio,\has come in pursuit of my coach, Victor, all hell's broken loose.\The Hot Springs on Ice event is now being held so that Yurio and I can face off!\Hasetsu Exhibition Hot Springs on Ice Presented by Victor Nikiforov response:	If Yurio wins, Victor will go back to Russia and be Yurio's coach.
context: Hello!\I'm Katsuki Yuri.\Now that the Russian Punk, Yurio,\has come in pursuit of my coach, Victor, all hell's broken loose.\The Hot Springs on Ice event is now being held so that Yurio and I can face off!\Hasetsu Exhibition Hot Springs on Ice Presented by Victor Nikiforov\If Yurio wins, Victor will go back to Russia and be Yurio's coach. response:	If I win, Victor will stay in Japan and be my coach.
context: Hello!\I'm Katsuki Yuri.\Now that the Russian Punk, Yurio,\has come in pursuit of my coach, Victor, all hell's broken loose.\The Hot Springs on Ice event is now being held so that Yurio and I can face off!\Hasetsu Exhibition Hot Springs on Ice Presented by Victor Nikiforov\If Yurio wins, Victor will go back to Russia and be Yurio's coach.\If I win, Victor will stay in Japan and be my coach. response:	So I'm gonna give it all the eros I've got!
context: I'm Katsuki Yuri.\Now that the Russian Punk, Yurio,\has come in pursuit of my coach, Victor, all hell's broken loose.\The Hot Springs on Ice event is now being held so that Yurio and I can face off!\Hasetsu Exhibition Hot Springs on Ice Presented by Victor Nikiforov\If Yurio wins, Victor will go back to Russia and be Yurio's coach.\If I win, Victor will stay in Japan and be my coach.\So I'm gonna give it all the eros I've got! response:	Third Skate I Am Eros, and Eros Is Me?! Face-Off! Hot Springs on Ice
context: Now that the Russian Punk, Yurio,\has come in pursuit of my coach, Victor, all hell's broken loose.\The Hot Springs on Ice event is now being held so that Yurio and I can face off!\Hasetsu Exhibition Hot Springs on Ice Presented by Victor Nikiforov\If Yurio wins, Victor will go back to Russia and be Yurio's coach.\If I win, Victor will stay in Japan and be my coach.\So I'm gonna give it all the eros I've got!\Third Skate I Am Eros, and Eros Is Me?! Face-Off! Hot Springs on Ice response:	I Am Eros, and Eros Is Me?!
context: has come in pursuit of my coach, Victor, all hell's broken loose.\The Hot Springs on Ice event is now being held so that Yurio and I can face off!\Hasetsu Exhibition Hot Springs on Ice Presented by Victor Nikiforov\If Yurio wins, Victor will go back to Russia and be Yurio's coach.\If I win, Victor will stay in Japan and be my coach.\So I'm gonna give it all the eros I've got!\Third Skate I Am Eros, and Eros Is Me?! Face-Off! Hot Springs on Ice\I Am Eros, and Eros Is Me?! response:	Face-off! Hot Springs on Ice.
context: The Hot Springs on Ice event is now being held so that Yurio and I can face off!\Hasetsu Exhibition Hot Springs on Ice Presented by Victor Nikiforov\If Yurio wins, Victor will go back to Russia and be Yurio's coach.\If I win, Victor will stay in Japan and be my coach.\So I'm gonna give it all the eros I've got!\Third Skate I Am Eros, and Eros Is Me?! Face-Off! Hot Springs on Ice\I Am Eros, and Eros Is Me?!\Face-off! Hot Springs on Ice. response:	First, Yurio's On Love: Agape.
context: Hasetsu Exhibition Hot Springs on Ice Presented by Victor Nikiforov\If Yurio wins, Victor will go back to Russia and be Yurio's coach.\If I win, Victor will stay in Japan and be my coach.\So I'm gonna give it all the eros I've got!\Third Skate I Am Eros, and Eros Is Me?! Face-Off! Hot Springs on Ice\I Am Eros, and Eros Is Me?!\Face-off! Hot Springs on Ice.\First, Yurio's On Love: Agape. response:	Agape... Unconditional love.
context: If Yurio wins, Victor will go back to Russia and be Yurio's coach.\If I win, Victor will stay in Japan and be my coach.\So I'm gonna give it all the eros I've got!\Third Skate I Am Eros, and Eros Is Me?! Face-Off! Hot Springs on Ice\I Am Eros, and Eros Is Me?!\Face-off! Hot Springs on Ice.\First, Yurio's On Love: Agape.\Agape... Unconditional love. response:	God's infinite love is self-sacrificing and uncalculating.
context: If I win, Victor will stay in Japan and be my coach.\So I'm gonna give it all the eros I've got!\Third Skate I Am Eros, and Eros Is Me?! Face-Off! Hot Springs on Ice\I Am Eros, and Eros Is Me?!\Face-off! Hot Springs on Ice.\First, Yurio's On Love: Agape.\Agape... Unconditional love.\God's infinite love is self-sacrificing and uncalculating. response:	Crap, this is hard.
context: So I'm gonna give it all the eros I've got!\Third Skate I Am Eros, and Eros Is Me?! Face-Off! Hot Springs on Ice\I Am Eros, and Eros Is Me?!\Face-off! Hot Springs on Ice.\First, Yurio's On Love: Agape.\Agape... Unconditional love.\God's infinite love is self-sacrificing and uncalculating.\Crap, this is hard. response:	Victor can pull it off,
context: Third Skate I Am Eros, and Eros Is Me?! Face-Off! Hot Springs on Ice\I Am Eros, and Eros Is Me?!\Face-off! Hot Springs on Ice.\First, Yurio's On Love: Agape.\Agape... Unconditional love.\God's infinite love is self-sacrificing and uncalculating.\Crap, this is hard.\Victor can pull it off, response:	but I wonder how Yurio will do it.
context: I Am Eros, and Eros Is Me?!\Face-off! Hot Springs on Ice.\First, Yurio's On Love: Agape.\Agape... Unconditional love.\God's infinite love is self-sacrificing and uncalculating.\Crap, this is hard.\Victor can pull it off,\but I wonder how Yurio will do it. response:	Kind of like that. What do you think?
context: Face-off! Hot Springs on Ice.\First, Yurio's On Love: Agape.\Agape... Unconditional love.\God's infinite love is self-sacrificing and uncalculating.\Crap, this is hard.\Victor can pull it off,\but I wonder how Yurio will do it.\Kind of like that. What do you think? response:	Yeah, I pretty much got it.
context: First, Yurio's On Love: Agape.\Agape... Unconditional love.\God's infinite love is self-sacrificing and uncalculating.\Crap, this is hard.\Victor can pull it off,\but I wonder how Yurio will do it.\Kind of like that. What do you think?\Yeah, I pretty much got it. response:	Huh?!
context: Agape... Unconditional love.\God's infinite love is self-sacrificing and uncalculating.\Crap, this is hard.\Victor can pull it off,\but I wonder how Yurio will do it.\Kind of like that. What do you think?\Yeah, I pretty much got it.\Huh?! response:	Wow... That was amazing.
context: God's infinite love is self-sacrificing and uncalculating.\Crap, this is hard.\Victor can pull it off,\but I wonder how Yurio will do it.\Kind of like that. What do you think?\Yeah, I pretty much got it.\Huh?!\Wow... That was amazing. response:	Hey, who's that chick?
context: Crap, this is hard.\Victor can pull it off,\but I wonder how Yurio will do it.\Kind of like that. What do you think?\Yeah, I pretty much got it.\Huh?!\Wow... That was amazing.\Hey, who's that chick? response:	Oh, she's one of the staff here, Yuko-san.
context: Victor can pull it off,\but I wonder how Yurio will do it.\Kind of like that. What do you think?\Yeah, I pretty much got it.\Huh?!\Wow... That was amazing.\Hey, who's that chick?\Oh, she's one of the staff here, Yuko-san. response:	Sorry for interrupting your practice.
context: but I wonder how Yurio will do it.\Kind of like that. What do you think?\Yeah, I pretty much got it.\Huh?!\Wow... That was amazing.\Hey, who's that chick?\Oh, she's one of the staff here, Yuko-san.\Sorry for interrupting your practice. response:	It was so wonderful, I couldn't help myself.
context: Kind of like that. What do you think?\Yeah, I pretty much got it.\Huh?!\Wow... That was amazing.\Hey, who's that chick?\Oh, she's one of the staff here, Yuko-san.\Sorry for interrupting your practice.\It was so wonderful, I couldn't help myself. response:	Okay, Yuri. You're next.
context: Yeah, I pretty much got it.\Huh?!\Wow... That was amazing.\Hey, who's that chick?\Oh, she's one of the staff here, Yuko-san.\Sorry for interrupting your practice.\It was so wonderful, I couldn't help myself.\Okay, Yuri. You're next. response:	Let's go!
context: Huh?!\Wow... That was amazing.\Hey, who's that chick?\Oh, she's one of the staff here, Yuko-san.\Sorry for interrupting your practice.\It was so wonderful, I couldn't help myself.\Okay, Yuri. You're next.\Let's go! response:	O-Okay.
context: Wow... That was amazing.\Hey, who's that chick?\Oh, she's one of the staff here, Yuko-san.\Sorry for interrupting your practice.\It was so wonderful, I couldn't help myself.\Okay, Yuri. You're next.\Let's go!\O-Okay. response:	Choreography that Victor did for me alone...
context: Hey, who's that chick?\Oh, she's one of the staff here, Yuko-san.\Sorry for interrupting your practice.\It was so wonderful, I couldn't help myself.\Okay, Yuri. You're next.\Let's go!\O-Okay.\Choreography that Victor did for me alone... response:	On Love: Eros.
context: Oh, she's one of the staff here, Yuko-san.\Sorry for interrupting your practice.\It was so wonderful, I couldn't help myself.\Okay, Yuri. You're next.\Let's go!\O-Okay.\Choreography that Victor did for me alone...\On Love: Eros. response:	Spurt
context: Sorry for interrupting your practice.\It was so wonderful, I couldn't help myself.\Okay, Yuri. You're next.\Let's go!\O-Okay.\Choreography that Victor did for me alone...\On Love: Eros.\Spurt response:	Eros... Sexual love.
context: It was so wonderful, I couldn't help myself.\Okay, Yuri. You're next.\Let's go!\O-Okay.\Choreography that Victor did for me alone...\On Love: Eros.\Spurt\Eros... Sexual love. response:	Pleasure followed by pleasure.
context: Okay, Yuri. You're next.\Let's go!\O-Okay.\Choreography that Victor did for me alone...\On Love: Eros.\Spurt\Eros... Sexual love.\Pleasure followed by pleasure. response:	One just drowns in it.
context: Let's go!\O-Okay.\Choreography that Victor did for me alone...\On Love: Eros.\Spurt\Eros... Sexual love.\Pleasure followed by pleasure.\One just drowns in it. response:	D-Damn, he's so hot!
context: O-Okay.\Choreography that Victor did for me alone...\On Love: Eros.\Spurt\Eros... Sexual love.\Pleasure followed by pleasure.\One just drowns in it.\D-Damn, he's so hot! response:	What the... Are you sick?
