context: An enormous evil power is about to be revived. response:	Finally, the time for the final battle is here.
context: An enormous evil power is about to be revived.\Finally, the time for the final battle is here. response:	O sacred moonlight, please give me strength.
context: An enormous evil power is about to be revived.\Finally, the time for the final battle is here.\O sacred moonlight, please give me strength. response:	Jupiter, Mercury, Venus, and Mars,
context: An enormous evil power is about to be revived.\Finally, the time for the final battle is here.\O sacred moonlight, please give me strength.\Jupiter, Mercury, Venus, and Mars, response:	we will always be together!
context: An enormous evil power is about to be revived.\Finally, the time for the final battle is here.\O sacred moonlight, please give me strength.\Jupiter, Mercury, Venus, and Mars,\we will always be together! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: An enormous evil power is about to be revived.\Finally, the time for the final battle is here.\O sacred moonlight, please give me strength.\Jupiter, Mercury, Venus, and Mars,\we will always be together!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: An enormous evil power is about to be revived.\Finally, the time for the final battle is here.\O sacred moonlight, please give me strength.\Jupiter, Mercury, Venus, and Mars,\we will always be together!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: An enormous evil power is about to be revived.\Finally, the time for the final battle is here.\O sacred moonlight, please give me strength.\Jupiter, Mercury, Venus, and Mars,\we will always be together!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: Finally, the time for the final battle is here.\O sacred moonlight, please give me strength.\Jupiter, Mercury, Venus, and Mars,\we will always be together!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: O sacred moonlight, please give me strength.\Jupiter, Mercury, Venus, and Mars,\we will always be together!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: Jupiter, Mercury, Venus, and Mars,\we will always be together!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
