context: Kimi ni Todoke response:	Episode 11 TL
context: Kimi ni Todoke\Episode 11 TL response:	Kokoro
context: Kimi ni Todoke\Episode 11 TL\Kokoro response:	masshiro PAGE mekuru
context: Kimi ni Todoke\Episode 11 TL\Kokoro\masshiro PAGE mekuru response:	I walk through the white pages of my storybook
context: Kimi ni Todoke\Episode 11 TL\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook response:	Incoming Text
context: Kimi ni Todoke\Episode 11 TL\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text response:	Incoming Text
context: Kimi ni Todoke\Episode 11 TL\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text response:	tobidasu irodoru hajikeru
context: Kimi ni Todoke\Episode 11 TL\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru response:	just waiting to be painted
context: Episode 11 TL\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted response:	mangekyou no fuukei
context: Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei response:	with a kaleidoscope of my experiences.
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences. response:	From
context: I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences.\From response:	Me
context: Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences.\From\Me response:	To
context: Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences.\From\Me\To response:	You
context: tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences.\From\Me\To\You response:	kizukeba STORY wa mada
context: just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences.\From\Me\To\You\kizukeba STORY wa mada response:	This story has only
context: mangekyou no fuukei\with a kaleidoscope of my experiences.\From\Me\To\You\kizukeba STORY wa mada\This story has only response:	kizukeba STORY wa mada
context: with a kaleidoscope of my experiences.\From\Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada response:	This story has only
context: From\Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only response:	gikochinaku hajimatta bakkari
context: Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari response:	just barely begun
context: To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun response:	gikochinaku hajimatta bakkari
context: You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari response:	just barely begun
context: kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun response:	gikochinaku hajimatta bakkari
context: This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari response:	just barely begun
context: kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun response:	shinkokyuu wo mou ikkai
context: This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai response:	I take a deep breath
context: gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath response:	shinkokyuu wo mou ikkai
context: just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai response:	I take a deep breath
