context: Ichika likes you. response:	What do you want?
context: Ichika likes you.\What do you want? response:	Must be rough, eh, Uesugi-kun?
context: Ichika likes you.\What do you want?\Must be rough, eh, Uesugi-kun? response:	Tutoring the Nakanos.
context: Ichika likes you.\What do you want?\Must be rough, eh, Uesugi-kun?\Tutoring the Nakanos. response:	How did you know about that?
context: Ichika likes you.\What do you want?\Must be rough, eh, Uesugi-kun?\Tutoring the Nakanos.\How did you know about that? response:	My dad's the president of this high school.
context: Ichika likes you.\What do you want?\Must be rough, eh, Uesugi-kun?\Tutoring the Nakanos.\How did you know about that?\My dad's the president of this high school. response:	We and their father have been in a very friendly relationship.
context: Ichika likes you.\What do you want?\Must be rough, eh, Uesugi-kun?\Tutoring the Nakanos.\How did you know about that?\My dad's the president of this high school.\We and their father have been in a very friendly relationship. response:	Damn elite cabals.
context: Ichika likes you.\What do you want?\Must be rough, eh, Uesugi-kun?\Tutoring the Nakanos.\How did you know about that?\My dad's the president of this high school.\We and their father have been in a very friendly relationship.\Damn elite cabals. response:	I can't imagine you'd have the time to be tutoring right now, though.
context: What do you want?\Must be rough, eh, Uesugi-kun?\Tutoring the Nakanos.\How did you know about that?\My dad's the president of this high school.\We and their father have been in a very friendly relationship.\Damn elite cabals.\I can't imagine you'd have the time to be tutoring right now, though. response:	Now that you've fallen from the top of our grade,
context: Must be rough, eh, Uesugi-kun?\Tutoring the Nakanos.\How did you know about that?\My dad's the president of this high school.\We and their father have been in a very friendly relationship.\Damn elite cabals.\I can't imagine you'd have the time to be tutoring right now, though.\Now that you've fallen from the top of our grade, response:	there've been discussions that I ought to take over.
context: Tutoring the Nakanos.\How did you know about that?\My dad's the president of this high school.\We and their father have been in a very friendly relationship.\Damn elite cabals.\I can't imagine you'd have the time to be tutoring right now, though.\Now that you've fallen from the top of our grade,\there've been discussions that I ought to take over. response:	I've finally taken the top position in our grade from you!
context: How did you know about that?\My dad's the president of this high school.\We and their father have been in a very friendly relationship.\Damn elite cabals.\I can't imagine you'd have the time to be tutoring right now, though.\Now that you've fallen from the top of our grade,\there've been discussions that I ought to take over.\I've finally taken the top position in our grade from you! response:	Yes!
context: My dad's the president of this high school.\We and their father have been in a very friendly relationship.\Damn elite cabals.\I can't imagine you'd have the time to be tutoring right now, though.\Now that you've fallen from the top of our grade,\there've been discussions that I ought to take over.\I've finally taken the top position in our grade from you!\Yes! response:	I win! I win!
context: We and their father have been in a very friendly relationship.\Damn elite cabals.\I can't imagine you'd have the time to be tutoring right now, though.\Now that you've fallen from the top of our grade,\there've been discussions that I ought to take over.\I've finally taken the top position in our grade from you!\Yes!\I win! I win! response:	Yes! Oh, yes!
