context: 'Cause I'm better than you! response:	I can't see you even if I tried.
context: 'Cause I'm better than you!\I can't see you even if I tried. response:	You're so lucky, Kacchan.
context: 'Cause I'm better than you!\I can't see you even if I tried.\You're so lucky, Kacchan. response:	Your Quirk's so cool!
context: 'Cause I'm better than you!\I can't see you even if I tried.\You're so lucky, Kacchan.\Your Quirk's so cool! response:	I hope I get mine soon, too.
context: 'Cause I'm better than you!\I can't see you even if I tried.\You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too. response:	No matter what Quirk you get, you'll never beat me.
context: 'Cause I'm better than you!\I can't see you even if I tried.\You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me. response:	He's just a pebble!
context: 'Cause I'm better than you!\I can't see you even if I tried.\You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\He's just a pebble! response:	Until a little while ago...
context: 'Cause I'm better than you!\I can't see you even if I tried.\You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\He's just a pebble!\Until a little while ago... response:	You have got a flashy Quirk there, don't you?!
context: I can't see you even if I tried.\You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\He's just a pebble!\Until a little while ago...\You have got a flashy Quirk there, don't you?! response:	Hey!
context: You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\He's just a pebble!\Until a little while ago...\You have got a flashy Quirk there, don't you?!\Hey! response:	You tricked me, didn't you?!
context: Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\He's just a pebble!\Until a little while ago...\You have got a flashy Quirk there, don't you?!\Hey!\You tricked me, didn't you?! response:	Was it fun tricking me all this time?!
context: I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\He's just a pebble!\Until a little while ago...\You have got a flashy Quirk there, don't you?!\Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?! response:	Try and get me with it!
context: No matter what Quirk you get, you'll never beat me.\He's just a pebble!\Until a little while ago...\You have got a flashy Quirk there, don't you?!\Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?!\Try and get me with it! response:	'Cause I'm way above you!
context: He's just a pebble!\Until a little while ago...\You have got a flashy Quirk there, don't you?!\Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?!\Try and get me with it!\'Cause I'm way above you! response:	What the?
context: Until a little while ago...\You have got a flashy Quirk there, don't you?!\Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?!\Try and get me with it!\'Cause I'm way above you!\What the? response:	Improvised special move
context: You have got a flashy Quirk there, don't you?!\Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?!\Try and get me with it!\'Cause I'm way above you!\What the?\Improvised special move response:	Comet Home Run!
context: Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?!\Try and get me with it!\'Cause I'm way above you!\What the?\Improvised special move\Comet Home Run! response:	You call that a home run?!
context: You tricked me, didn't you?!\Was it fun tricking me all this time?!\Try and get me with it!\'Cause I'm way above you!\What the?\Improvised special move\Comet Home Run!\You call that a home run?! response:	Retrieved!
context: Was it fun tricking me all this time?!\Try and get me with it!\'Cause I'm way above you!\What the?\Improvised special move\Comet Home Run!\You call that a home run?!\Retrieved! response:	From the start, you were...
context: Try and get me with it!\'Cause I'm way above you!\What the?\Improvised special move\Comet Home Run!\You call that a home run?!\Retrieved!\From the start, you were... response:	I wasn't...
context: 'Cause I'm way above you!\What the?\Improvised special move\Comet Home Run!\You call that a home run?!\Retrieved!\From the start, you were...\I wasn't... response:	Because I can't use it...
context: What the?\Improvised special move\Comet Home Run!\You call that a home run?!\Retrieved!\From the start, you were...\I wasn't...\Because I can't use it... response:	Because my body...
context: Improvised special move\Comet Home Run!\You call that a home run?!\Retrieved!\From the start, you were...\I wasn't...\Because I can't use it...\Because my body... response:	Mr. Aizawa too...
context: Comet Home Run!\You call that a home run?!\Retrieved!\From the start, you were...\I wasn't...\Because I can't use it...\Because my body...\Mr. Aizawa too... response:	But...
context: You call that a home run?!\Retrieved!\From the start, you were...\I wasn't...\Because I can't use it...\Because my body...\Mr. Aizawa too...\But... response:	Someone told me...
context: Retrieved!\From the start, you were...\I wasn't...\Because I can't use it...\Because my body...\Mr. Aizawa too...\But...\Someone told me... response:	You can become a hero...
context: From the start, you were...\I wasn't...\Because I can't use it...\Because my body...\Mr. Aizawa too...\But...\Someone told me...\You can become a hero... response:	That's why...
context: I wasn't...\Because I can't use it...\Because my body...\Mr. Aizawa too...\But...\Someone told me...\You can become a hero...\That's why... response:	I'm going...!
context: Because I can't use it...\Because my body...\Mr. Aizawa too...\But...\Someone told me...\You can become a hero...\That's why...\I'm going...! response:	Indoor person-to-person combat training...
context: Because my body...\Mr. Aizawa too...\But...\Someone told me...\You can become a hero...\That's why...\I'm going...!\Indoor person-to-person combat training... response:	Uraraka?!
context: Mr. Aizawa too...\But...\Someone told me...\You can become a hero...\That's why...\I'm going...!\Indoor person-to-person combat training...\Uraraka?! response:	Hero team...
context: But...\Someone told me...\You can become a hero...\That's why...\I'm going...!\Indoor person-to-person combat training...\Uraraka?!\Hero team... response:	What the heck?
context: Someone told me...\You can become a hero...\That's why...\I'm going...!\Indoor person-to-person combat training...\Uraraka?!\Hero team...\What the heck? response:	The losers are practically uninjured...
