context: What are you thinking?! response:	You won't get your way!
context: What are you thinking?!\You won't get your way! response:	Hinata, you're running too far away!
context: What are you thinking?!\You won't get your way!\Hinata, you're running too far away! response:	Shoyo, I don't think that's a scheming face...
context: What are you thinking?!\You won't get your way!\Hinata, you're running too far away!\Shoyo, I don't think that's a scheming face... response:	I think he's actually smiling, maybe...
context: What are you thinking?!\You won't get your way!\Hinata, you're running too far away!\Shoyo, I don't think that's a scheming face...\I think he's actually smiling, maybe... response:	Don't say maybe, Nishinoya!
context: What are you thinking?!\You won't get your way!\Hinata, you're running too far away!\Shoyo, I don't think that's a scheming face...\I think he's actually smiling, maybe...\Don't say maybe, Nishinoya! response:	Hinata, I'll kill you!
context: What are you thinking?!\You won't get your way!\Hinata, you're running too far away!\Shoyo, I don't think that's a scheming face...\I think he's actually smiling, maybe...\Don't say maybe, Nishinoya!\Hinata, I'll kill you! response:	Kageyama's actually trying to smile...
context: What are you thinking?!\You won't get your way!\Hinata, you're running too far away!\Shoyo, I don't think that's a scheming face...\I think he's actually smiling, maybe...\Don't say maybe, Nishinoya!\Hinata, I'll kill you!\Kageyama's actually trying to smile... response:	Use the signs I told you about. We're changing our plan.
context: You won't get your way!\Hinata, you're running too far away!\Shoyo, I don't think that's a scheming face...\I think he's actually smiling, maybe...\Don't say maybe, Nishinoya!\Hinata, I'll kill you!\Kageyama's actually trying to smile...\Use the signs I told you about. We're changing our plan. response:	Thanks!
context: Hinata, you're running too far away!\Shoyo, I don't think that's a scheming face...\I think he's actually smiling, maybe...\Don't say maybe, Nishinoya!\Hinata, I'll kill you!\Kageyama's actually trying to smile...\Use the signs I told you about. We're changing our plan.\Thanks! response:	Did Sugawara-san tell you about the signs?
context: Shoyo, I don't think that's a scheming face...\I think he's actually smiling, maybe...\Don't say maybe, Nishinoya!\Hinata, I'll kill you!\Kageyama's actually trying to smile...\Use the signs I told you about. We're changing our plan.\Thanks!\Did Sugawara-san tell you about the signs? response:	I heard it in between sets.
context: I think he's actually smiling, maybe...\Don't say maybe, Nishinoya!\Hinata, I'll kill you!\Kageyama's actually trying to smile...\Use the signs I told you about. We're changing our plan.\Thanks!\Did Sugawara-san tell you about the signs?\I heard it in between sets. response:	All right!
context: Don't say maybe, Nishinoya!\Hinata, I'll kill you!\Kageyama's actually trying to smile...\Use the signs I told you about. We're changing our plan.\Thanks!\Did Sugawara-san tell you about the signs?\I heard it in between sets.\All right! response:	Let's keep it going!
context: Hinata, I'll kill you!\Kageyama's actually trying to smile...\Use the signs I told you about. We're changing our plan.\Thanks!\Did Sugawara-san tell you about the signs?\I heard it in between sets.\All right!\Let's keep it going! response:	Heck yeah!
context: Kageyama's actually trying to smile...\Use the signs I told you about. We're changing our plan.\Thanks!\Did Sugawara-san tell you about the signs?\I heard it in between sets.\All right!\Let's keep it going!\Heck yeah! response:	Go, go, go! Go, go, Seijoh!
