context: Board: Zange-chan Original CD Debut!! response:	TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.
context: Board: Zange-chan Original CD Debut!!\TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life. response:	Hey, darling.
context: Board: Zange-chan Original CD Debut!!\TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.\Hey, darling. response:	The girl that ran away from home, how long is she going to stay here?
context: Board: Zange-chan Original CD Debut!!\TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.\Hey, darling.\The girl that ran away from home, how long is she going to stay here? response:	Let's wait and see for the time being.
context: Board: Zange-chan Original CD Debut!!\TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.\Hey, darling.\The girl that ran away from home, how long is she going to stay here?\Let's wait and see for the time being. response:	She said she's Obaa-chan's friend.
context: Board: Zange-chan Original CD Debut!!\TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.\Hey, darling.\The girl that ran away from home, how long is she going to stay here?\Let's wait and see for the time being.\She said she's Obaa-chan's friend. response:	How are you feeling? Are you able to go home?
context: Board: Zange-chan Original CD Debut!!\TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.\Hey, darling.\The girl that ran away from home, how long is she going to stay here?\Let's wait and see for the time being.\She said she's Obaa-chan's friend.\How are you feeling? Are you able to go home? response:	Shall I help you make a call?
context: Board: Zange-chan Original CD Debut!!\TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.\Hey, darling.\The girl that ran away from home, how long is she going to stay here?\Let's wait and see for the time being.\She said she's Obaa-chan's friend.\How are you feeling? Are you able to go home?\Shall I help you make a call? response:	Your family must be worried about you.
context: TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.\Hey, darling.\The girl that ran away from home, how long is she going to stay here?\Let's wait and see for the time being.\She said she's Obaa-chan's friend.\How are you feeling? Are you able to go home?\Shall I help you make a call?\Your family must be worried about you. response:	I'm ashamed...
context: Hey, darling.\The girl that ran away from home, how long is she going to stay here?\Let's wait and see for the time being.\She said she's Obaa-chan's friend.\How are you feeling? Are you able to go home?\Shall I help you make a call?\Your family must be worried about you.\I'm ashamed... response:	I can't believe...
context: The girl that ran away from home, how long is she going to stay here?\Let's wait and see for the time being.\She said she's Obaa-chan's friend.\How are you feeling? Are you able to go home?\Shall I help you make a call?\Your family must be worried about you.\I'm ashamed...\I can't believe... response:	I've been walking a tightrope all this while.
context: Let's wait and see for the time being.\She said she's Obaa-chan's friend.\How are you feeling? Are you able to go home?\Shall I help you make a call?\Your family must be worried about you.\I'm ashamed...\I can't believe...\I've been walking a tightrope all this while. response:	I can't believe...
context: She said she's Obaa-chan's friend.\How are you feeling? Are you able to go home?\Shall I help you make a call?\Your family must be worried about you.\I'm ashamed...\I can't believe...\I've been walking a tightrope all this while.\I can't believe... response:	I've always taken for granted that he'll take care of me...
context: How are you feeling? Are you able to go home?\Shall I help you make a call?\Your family must be worried about you.\I'm ashamed...\I can't believe...\I've been walking a tightrope all this while.\I can't believe...\I've always taken for granted that he'll take care of me... response:	I can't say that...
context: Shall I help you make a call?\Your family must be worried about you.\I'm ashamed...\I can't believe...\I've been walking a tightrope all this while.\I can't believe...\I've always taken for granted that he'll take care of me...\I can't say that... response:	You can think about it after you've calmed down.
context: Your family must be worried about you.\I'm ashamed...\I can't believe...\I've been walking a tightrope all this while.\I can't believe...\I've always taken for granted that he'll take care of me...\I can't say that...\You can think about it after you've calmed down. response:	Let's go to the living room.
context: I'm ashamed...\I can't believe...\I've been walking a tightrope all this while.\I can't believe...\I've always taken for granted that he'll take care of me...\I can't say that...\You can think about it after you've calmed down.\Let's go to the living room. response:	We have cake. Shall I pour some tea for you?
context: I can't believe...\I've been walking a tightrope all this while.\I can't believe...\I've always taken for granted that he'll take care of me...\I can't say that...\You can think about it after you've calmed down.\Let's go to the living room.\We have cake. Shall I pour some tea for you? response:	She left?
context: I've been walking a tightrope all this while.\I can't believe...\I've always taken for granted that he'll take care of me...\I can't say that...\You can think about it after you've calmed down.\Let's go to the living room.\We have cake. Shall I pour some tea for you?\She left? response:	Why?
context: I can't believe...\I've always taken for granted that he'll take care of me...\I can't say that...\You can think about it after you've calmed down.\Let's go to the living room.\We have cake. Shall I pour some tea for you?\She left?\Why? response:	Hey... Have you gone to look for her?
context: I've always taken for granted that he'll take care of me...\I can't say that...\You can think about it after you've calmed down.\Let's go to the living room.\We have cake. Shall I pour some tea for you?\She left?\Why?\Hey... Have you gone to look for her? response:	I couldn't find her.
context: I can't say that...\You can think about it after you've calmed down.\Let's go to the living room.\We have cake. Shall I pour some tea for you?\She left?\Why?\Hey... Have you gone to look for her?\I couldn't find her. response:	Eh? You couldn't?
context: You can think about it after you've calmed down.\Let's go to the living room.\We have cake. Shall I pour some tea for you?\She left?\Why?\Hey... Have you gone to look for her?\I couldn't find her.\Eh? You couldn't? response:	Have you gone to the police?
context: Let's go to the living room.\We have cake. Shall I pour some tea for you?\She left?\Why?\Hey... Have you gone to look for her?\I couldn't find her.\Eh? You couldn't?\Have you gone to the police? response:	Just forget about it.
context: We have cake. Shall I pour some tea for you?\She left?\Why?\Hey... Have you gone to look for her?\I couldn't find her.\Eh? You couldn't?\Have you gone to the police?\Just forget about it. response:	What do you mean, forget about it?
context: She left?\Why?\Hey... Have you gone to look for her?\I couldn't find her.\Eh? You couldn't?\Have you gone to the police?\Just forget about it.\What do you mean, forget about it? response:	Jin!
