context: Shepherd 2, you're going too fast. Where are you right now? response:	I can't find Hound 4... Sasayama.
context: Shepherd 2, you're going too fast. Where are you right now?\I can't find Hound 4... Sasayama. response:	What's going on? Where did he go?
context: Shepherd 2, you're going too fast. Where are you right now?\I can't find Hound 4... Sasayama.\What's going on? Where did he go? response:	Calm down, Kougami!
context: Shepherd 2, you're going too fast. Where are you right now?\I can't find Hound 4... Sasayama.\What's going on? Where did he go?\Calm down, Kougami! response:	Things are getting out of control.
context: Shepherd 2, you're going too fast. Where are you right now?\I can't find Hound 4... Sasayama.\What's going on? Where did he go?\Calm down, Kougami!\Things are getting out of control. response:	Come back for now!
context: Shepherd 2, you're going too fast. Where are you right now?\I can't find Hound 4... Sasayama.\What's going on? Where did he go?\Calm down, Kougami!\Things are getting out of control.\Come back for now! response:	I'll bring Sasayama back!
context: Shepherd 2, you're going too fast. Where are you right now?\I can't find Hound 4... Sasayama.\What's going on? Where did he go?\Calm down, Kougami!\Things are getting out of control.\Come back for now!\I'll bring Sasayama back! response:	Sasayama?
context: Shepherd 2, you're going too fast. Where are you right now?\I can't find Hound 4... Sasayama.\What's going on? Where did he go?\Calm down, Kougami!\Things are getting out of control.\Come back for now!\I'll bring Sasayama back!\Sasayama? response:	My head is full of things
context: I can't find Hound 4... Sasayama.\What's going on? Where did he go?\Calm down, Kougami!\Things are getting out of control.\Come back for now!\I'll bring Sasayama back!\Sasayama?\My head is full of things response:	My head is full of things
context: What's going on? Where did he go?\Calm down, Kougami!\Things are getting out of control.\Come back for now!\I'll bring Sasayama back!\Sasayama?\My head is full of things\My head is full of things response:	that I can never tell anybody of
context: Calm down, Kougami!\Things are getting out of control.\Come back for now!\I'll bring Sasayama back!\Sasayama?\My head is full of things\My head is full of things\that I can never tell anybody of response:	that I can never tell anybody of
context: Things are getting out of control.\Come back for now!\I'll bring Sasayama back!\Sasayama?\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of response:	In this perfect world
context: Come back for now!\I'll bring Sasayama back!\Sasayama?\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world response:	In this perfect world
context: I'll bring Sasayama back!\Sasayama?\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world response:	I roam, a lost being
context: Sasayama?\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being response:	I roam, a lost being
context: My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being response:	This world is impossibly hard on me
context: My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me response:	This world is impossibly hard on me
context: that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me response:	It's an illusion that plays out before my eyes
context: that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes response:	It's an illusion that plays out before my eyes
context: In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes response:	Can I find its faults?
context: In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults? response:	Can I find its faults?
context: I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults? response:	Plastic, all is plastic
context: I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic response:	Plastic, all is plastic
context: This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic response:	Nobody is allowed to be insane
context: This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane response:	Nobody is allowed to be insane
context: It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane response:	You're made of plastic too, like this beautiful world
context: It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world response:	You're made of plastic too, like this beautiful world
context: Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world response:	In this beautiful world
context: Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world response:	In this beautiful world
context: Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world response:	there is something
context: Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something response:	there is something
context: Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something response:	that obscures all light for me
context: Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me response:	that obscures all light for me
context: You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me response:	My heart tries to break out
context: You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out response:	My heart tries to break out
context: In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out response:	and finds no answer
context: In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer response:	and finds no answer
context: there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer response:	Secret kills for you
context: there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you response:	Secret kills for you
context: My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you response:	The secret remains for you
context: My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you response:	The secret remains for you
context: and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you response:	Don't show me a dark future
context: and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future response:	Don't show me a dark future
context: Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future response:	nor a world of pretense
context: Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense response:	nor a world of pretense
context: Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense response:	Keep our motion secret
context: Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret response:	Keep our motion secret
context: The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret response:	06: Return of the Psychotic Prince
context: The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\06: Return of the Psychotic Prince response:	Looks like she's working hard, huh?
context: Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\06: Return of the Psychotic Prince\Looks like she's working hard, huh? response:	She's still inexperienced, so she acts unprofessionally rather often.
context: Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\06: Return of the Psychotic Prince\Looks like she's working hard, huh?\She's still inexperienced, so she acts unprofessionally rather often. response:	But it's true that she's an excellent employee.
context: nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\06: Return of the Psychotic Prince\Looks like she's working hard, huh?\She's still inexperienced, so she acts unprofessionally rather often.\But it's true that she's an excellent employee. response:	I think she has a promising future.
context: nor a world of pretense\Keep our motion secret\Keep our motion secret\06: Return of the Psychotic Prince\Looks like she's working hard, huh?\She's still inexperienced, so she acts unprofessionally rather often.\But it's true that she's an excellent employee.\I think she has a promising future. response:	I hope so.
context: Keep our motion secret\Keep our motion secret\06: Return of the Psychotic Prince\Looks like she's working hard, huh?\She's still inexperienced, so she acts unprofessionally rather often.\But it's true that she's an excellent employee.\I think she has a promising future.\I hope so. response:	There's still at least a chance she'll end up in an unfortunate state similar to that of your partner,
context: Keep our motion secret\06: Return of the Psychotic Prince\Looks like she's working hard, huh?\She's still inexperienced, so she acts unprofessionally rather often.\But it's true that she's an excellent employee.\I think she has a promising future.\I hope so.\There's still at least a chance she'll end up in an unfortunate state similar to that of your partner, response:	who started the same year as you.
context: 06: Return of the Psychotic Prince\Looks like she's working hard, huh?\She's still inexperienced, so she acts unprofessionally rather often.\But it's true that she's an excellent employee.\I think she has a promising future.\I hope so.\There's still at least a chance she'll end up in an unfortunate state similar to that of your partner,\who started the same year as you. response:	Yes, Chief.
context: Looks like she's working hard, huh?\She's still inexperienced, so she acts unprofessionally rather often.\But it's true that she's an excellent employee.\I think she has a promising future.\I hope so.\There's still at least a chance she'll end up in an unfortunate state similar to that of your partner,\who started the same year as you.\Yes, Chief. response:	You Inspectors have very demanding jobs.
context: She's still inexperienced, so she acts unprofessionally rather often.\But it's true that she's an excellent employee.\I think she has a promising future.\I hope so.\There's still at least a chance she'll end up in an unfortunate state similar to that of your partner,\who started the same year as you.\Yes, Chief.\You Inspectors have very demanding jobs. response:	But you must keep a firm and unyielding spirit to pursue your duties,
context: But it's true that she's an excellent employee.\I think she has a promising future.\I hope so.\There's still at least a chance she'll end up in an unfortunate state similar to that of your partner,\who started the same year as you.\Yes, Chief.\You Inspectors have very demanding jobs.\But you must keep a firm and unyielding spirit to pursue your duties, response:	even up against the distorted minds of criminals and Enforcers.
context: I think she has a promising future.\I hope so.\There's still at least a chance she'll end up in an unfortunate state similar to that of your partner,\who started the same year as you.\Yes, Chief.\You Inspectors have very demanding jobs.\But you must keep a firm and unyielding spirit to pursue your duties,\even up against the distorted minds of criminals and Enforcers. response:	You should be on your guard too, Ginoza.
context: I hope so.\There's still at least a chance she'll end up in an unfortunate state similar to that of your partner,\who started the same year as you.\Yes, Chief.\You Inspectors have very demanding jobs.\But you must keep a firm and unyielding spirit to pursue your duties,\even up against the distorted minds of criminals and Enforcers.\You should be on your guard too, Ginoza. response:	Science has yet to prove a causal relationship between genetics and Crime Coefficients.
context: There's still at least a chance she'll end up in an unfortunate state similar to that of your partner,\who started the same year as you.\Yes, Chief.\You Inspectors have very demanding jobs.\But you must keep a firm and unyielding spirit to pursue your duties,\even up against the distorted minds of criminals and Enforcers.\You should be on your guard too, Ginoza.\Science has yet to prove a causal relationship between genetics and Crime Coefficients. response:	However, science has also yet to prove that there is no relationship.
context: who started the same year as you.\Yes, Chief.\You Inspectors have very demanding jobs.\But you must keep a firm and unyielding spirit to pursue your duties,\even up against the distorted minds of criminals and Enforcers.\You should be on your guard too, Ginoza.\Science has yet to prove a causal relationship between genetics and Crime Coefficients.\However, science has also yet to prove that there is no relationship. response:	I hope that you won't make the same mistake as your father.
