context: Izanami no Mikoto. response:	Drawing on negative human emotions for strength,
context: Izanami no Mikoto.\Drawing on negative human emotions for strength, response:	she is the goddess of death who threatened...
context: Izanami no Mikoto.\Drawing on negative human emotions for strength,\she is the goddess of death who threatened... response:	That's Isanami?
context: Izanami no Mikoto.\Drawing on negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami? response:	Hello again.
context: Izanami no Mikoto.\Drawing on negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami?\Hello again. response:	Is everyone here?
context: Izanami no Mikoto.\Drawing on negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami?\Hello again.\Is everyone here? response:	If you've gathered us here, then...
context: Izanami no Mikoto.\Drawing on negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami?\Hello again.\Is everyone here?\If you've gathered us here, then... response:	It's time.
context: Izanami no Mikoto.\Drawing on negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami?\Hello again.\Is everyone here?\If you've gathered us here, then...\It's time. response:	The world is about to shift dramatically.
context: Drawing on negative human emotions for strength,\she is the goddess of death who threatened...\That's Isanami?\Hello again.\Is everyone here?\If you've gathered us here, then...\It's time.\The world is about to shift dramatically. response:	Tokugawa and Toyotomi will clash soon.
context: she is the goddess of death who threatened...\That's Isanami?\Hello again.\Is everyone here?\If you've gathered us here, then...\It's time.\The world is about to shift dramatically.\Tokugawa and Toyotomi will clash soon. response:	And one of them will rule the world.
context: That's Isanami?\Hello again.\Is everyone here?\If you've gathered us here, then...\It's time.\The world is about to shift dramatically.\Tokugawa and Toyotomi will clash soon.\And one of them will rule the world. response:	Whoever claims the throne,
context: Hello again.\Is everyone here?\If you've gathered us here, then...\It's time.\The world is about to shift dramatically.\Tokugawa and Toyotomi will clash soon.\And one of them will rule the world.\Whoever claims the throne, response:	we'll be the ones ruling from the shadows.
context: Is everyone here?\If you've gathered us here, then...\It's time.\The world is about to shift dramatically.\Tokugawa and Toyotomi will clash soon.\And one of them will rule the world.\Whoever claims the throne,\we'll be the ones ruling from the shadows. response:	That goes without saying.
context: If you've gathered us here, then...\It's time.\The world is about to shift dramatically.\Tokugawa and Toyotomi will clash soon.\And one of them will rule the world.\Whoever claims the throne,\we'll be the ones ruling from the shadows.\That goes without saying. response:	However, we'll need power to do that.
context: It's time.\The world is about to shift dramatically.\Tokugawa and Toyotomi will clash soon.\And one of them will rule the world.\Whoever claims the throne,\we'll be the ones ruling from the shadows.\That goes without saying.\However, we'll need power to do that. response:	A power great enough to turn this world on its head.
context: The world is about to shift dramatically.\Tokugawa and Toyotomi will clash soon.\And one of them will rule the world.\Whoever claims the throne,\we'll be the ones ruling from the shadows.\That goes without saying.\However, we'll need power to do that.\A power great enough to turn this world on its head. response:	We tried to gather all the information we could to take that power,
context: Tokugawa and Toyotomi will clash soon.\And one of them will rule the world.\Whoever claims the throne,\we'll be the ones ruling from the shadows.\That goes without saying.\However, we'll need power to do that.\A power great enough to turn this world on its head.\We tried to gather all the information we could to take that power, response:	but we have enough.
context: And one of them will rule the world.\Whoever claims the throne,\we'll be the ones ruling from the shadows.\That goes without saying.\However, we'll need power to do that.\A power great enough to turn this world on its head.\We tried to gather all the information we could to take that power,\but we have enough. response:	We must simply capture the priestess and the Kushimitama.
context: Whoever claims the throne,\we'll be the ones ruling from the shadows.\That goes without saying.\However, we'll need power to do that.\A power great enough to turn this world on its head.\We tried to gather all the information we could to take that power,\but we have enough.\We must simply capture the priestess and the Kushimitama. response:	We'll eliminate the worthless eyesores guarding her.
context: we'll be the ones ruling from the shadows.\That goes without saying.\However, we'll need power to do that.\A power great enough to turn this world on its head.\We tried to gather all the information we could to take that power,\but we have enough.\We must simply capture the priestess and the Kushimitama.\We'll eliminate the worthless eyesores guarding her. response:	The Start of Tragedy
context: That goes without saying.\However, we'll need power to do that.\A power great enough to turn this world on its head.\We tried to gather all the information we could to take that power,\but we have enough.\We must simply capture the priestess and the Kushimitama.\We'll eliminate the worthless eyesores guarding her.\The Start of Tragedy response:	Isanami is Izanami no Mikoto?
context: However, we'll need power to do that.\A power great enough to turn this world on its head.\We tried to gather all the information we could to take that power,\but we have enough.\We must simply capture the priestess and the Kushimitama.\We'll eliminate the worthless eyesores guarding her.\The Start of Tragedy\Isanami is Izanami no Mikoto? response:	I cannot believe the Kushimitama has been suppressing Isanami's power.
context: A power great enough to turn this world on its head.\We tried to gather all the information we could to take that power,\but we have enough.\We must simply capture the priestess and the Kushimitama.\We'll eliminate the worthless eyesores guarding her.\The Start of Tragedy\Isanami is Izanami no Mikoto?\I cannot believe the Kushimitama has been suppressing Isanami's power. response:	Does Isanami know?
context: We tried to gather all the information we could to take that power,\but we have enough.\We must simply capture the priestess and the Kushimitama.\We'll eliminate the worthless eyesores guarding her.\The Start of Tragedy\Isanami is Izanami no Mikoto?\I cannot believe the Kushimitama has been suppressing Isanami's power.\Does Isanami know? response:	She overheard us.
context: but we have enough.\We must simply capture the priestess and the Kushimitama.\We'll eliminate the worthless eyesores guarding her.\The Start of Tragedy\Isanami is Izanami no Mikoto?\I cannot believe the Kushimitama has been suppressing Isanami's power.\Does Isanami know?\She overheard us. response:	Isanami!
