context: Here we come! response:	It's the start of Inuyasha!
context: Here we come!\It's the start of Inuyasha! response:	We're going to gatherevery shard of the Sacred Jewel...
context: Here we come!\It's the start of Inuyasha!\We're going to gatherevery shard of the Sacred Jewel... response:	And I'll destroy Naraku with my Tetsusaiga!
context: Here we come!\It's the start of Inuyasha!\We're going to gatherevery shard of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga! response:	Koga and Sesshomaru...
context: Here we come!\It's the start of Inuyasha!\We're going to gatherevery shard of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Koga and Sesshomaru... response:	They seem to be total opposites,
context: Here we come!\It's the start of Inuyasha!\We're going to gatherevery shard of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Koga and Sesshomaru...\They seem to be total opposites, response:	but they have one thing in common.
context: Here we come!\It's the start of Inuyasha!\We're going to gatherevery shard of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Koga and Sesshomaru...\They seem to be total opposites,\but they have one thing in common. response:	They're both on really bad terms with Inuyasha.
context: Here we come!\It's the start of Inuyasha!\We're going to gatherevery shard of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Koga and Sesshomaru...\They seem to be total opposites,\but they have one thing in common.\They're both on really bad terms with Inuyasha. response:	Miroku, Sango, Shippo and Kirara...
context: It's the start of Inuyasha!\We're going to gatherevery shard of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Koga and Sesshomaru...\They seem to be total opposites,\but they have one thing in common.\They're both on really bad terms with Inuyasha.\Miroku, Sango, Shippo and Kirara... response:	travel back in time!
context: We're going to gatherevery shard of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Koga and Sesshomaru...\They seem to be total opposites,\but they have one thing in common.\They're both on really bad terms with Inuyasha.\Miroku, Sango, Shippo and Kirara...\travel back in time! response:	To a Feudal Fairytale!
context: And I'll destroy Naraku with my Tetsusaiga!\Koga and Sesshomaru...\They seem to be total opposites,\but they have one thing in common.\They're both on really bad terms with Inuyasha.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale! response:	Inuyasha!
