context: Hey, Umaru. response:	What kind of cake should we have for Christmas?
context: Hey, Umaru.\What kind of cake should we have for Christmas? response:	I'm hanging out with friends this year, so don't worry about it.
context: Hey, Umaru.\What kind of cake should we have for Christmas?\I'm hanging out with friends this year, so don't worry about it. response:	O-oh...
context: Hey, Umaru.\What kind of cake should we have for Christmas?\I'm hanging out with friends this year, so don't worry about it.\O-oh... response:	Big Brother! If you're gonna make a cake again next year, you should make a Santa doll too!
context: Hey, Umaru.\What kind of cake should we have for Christmas?\I'm hanging out with friends this year, so don't worry about it.\O-oh...\Big Brother! If you're gonna make a cake again next year, you should make a Santa doll too! response:	On second thought, I WILL have cake on the 25th so go on, make one!
context: Hey, Umaru.\What kind of cake should we have for Christmas?\I'm hanging out with friends this year, so don't worry about it.\O-oh...\Big Brother! If you're gonna make a cake again next year, you should make a Santa doll too!\On second thought, I WILL have cake on the 25th so go on, make one! response:	R-really?
context: Hey, Umaru.\What kind of cake should we have for Christmas?\I'm hanging out with friends this year, so don't worry about it.\O-oh...\Big Brother! If you're gonna make a cake again next year, you should make a Santa doll too!\On second thought, I WILL have cake on the 25th so go on, make one!\R-really? response:	Dude, you're making a cake from scratch?
context: Hey, Umaru.\What kind of cake should we have for Christmas?\I'm hanging out with friends this year, so don't worry about it.\O-oh...\Big Brother! If you're gonna make a cake again next year, you should make a Santa doll too!\On second thought, I WILL have cake on the 25th so go on, make one!\R-really?\Dude, you're making a cake from scratch? response:	You're better than most DADS.
context: What kind of cake should we have for Christmas?\I'm hanging out with friends this year, so don't worry about it.\O-oh...\Big Brother! If you're gonna make a cake again next year, you should make a Santa doll too!\On second thought, I WILL have cake on the 25th so go on, make one!\R-really?\Dude, you're making a cake from scratch?\You're better than most DADS. response:	Well, I enjoy it...
context: I'm hanging out with friends this year, so don't worry about it.\O-oh...\Big Brother! If you're gonna make a cake again next year, you should make a Santa doll too!\On second thought, I WILL have cake on the 25th so go on, make one!\R-really?\Dude, you're making a cake from scratch?\You're better than most DADS.\Well, I enjoy it... response:	Taihei, if little Tanukichi wasn't around, you'd have nothing to do and just shrivel up, huh?
context: O-oh...\Big Brother! If you're gonna make a cake again next year, you should make a Santa doll too!\On second thought, I WILL have cake on the 25th so go on, make one!\R-really?\Dude, you're making a cake from scratch?\You're better than most DADS.\Well, I enjoy it...\Taihei, if little Tanukichi wasn't around, you'd have nothing to do and just shrivel up, huh? response:	Anyway, it looks like we won't have to work overtime today, so how about we go somewhere?
context: Big Brother! If you're gonna make a cake again next year, you should make a Santa doll too!\On second thought, I WILL have cake on the 25th so go on, make one!\R-really?\Dude, you're making a cake from scratch?\You're better than most DADS.\Well, I enjoy it...\Taihei, if little Tanukichi wasn't around, you'd have nothing to do and just shrivel up, huh?\Anyway, it looks like we won't have to work overtime today, so how about we go somewhere? response:	And you're overdue to join us, Alex.
context: On second thought, I WILL have cake on the 25th so go on, make one!\R-really?\Dude, you're making a cake from scratch?\You're better than most DADS.\Well, I enjoy it...\Taihei, if little Tanukichi wasn't around, you'd have nothing to do and just shrivel up, huh?\Anyway, it looks like we won't have to work overtime today, so how about we go somewhere?\And you're overdue to join us, Alex. response:	I'm going to a Christmas concert of anime songs. Would you like to come with me?
context: R-really?\Dude, you're making a cake from scratch?\You're better than most DADS.\Well, I enjoy it...\Taihei, if little Tanukichi wasn't around, you'd have nothing to do and just shrivel up, huh?\Anyway, it looks like we won't have to work overtime today, so how about we go somewhere?\And you're overdue to join us, Alex.\I'm going to a Christmas concert of anime songs. Would you like to come with me? response:	Tanoshiku nareba ii desu wa If you can enjoy yourself, that will be good indeed!
context: Dude, you're making a cake from scratch?\You're better than most DADS.\Well, I enjoy it...\Taihei, if little Tanukichi wasn't around, you'd have nothing to do and just shrivel up, huh?\Anyway, it looks like we won't have to work overtime today, so how about we go somewhere?\And you're overdue to join us, Alex.\I'm going to a Christmas concert of anime songs. Would you like to come with me?\Tanoshiku nareba ii desu wa If you can enjoy yourself, that will be good indeed! response:	Woo-hoo!
context: You're better than most DADS.\Well, I enjoy it...\Taihei, if little Tanukichi wasn't around, you'd have nothing to do and just shrivel up, huh?\Anyway, it looks like we won't have to work overtime today, so how about we go somewhere?\And you're overdue to join us, Alex.\I'm going to a Christmas concert of anime songs. Would you like to come with me?\Tanoshiku nareba ii desu wa If you can enjoy yourself, that will be good indeed!\Woo-hoo! response:	Sore nara kitto kachi desu wa Do that, and you're sure to win indeed!
context: Well, I enjoy it...\Taihei, if little Tanukichi wasn't around, you'd have nothing to do and just shrivel up, huh?\Anyway, it looks like we won't have to work overtime today, so how about we go somewhere?\And you're overdue to join us, Alex.\I'm going to a Christmas concert of anime songs. Would you like to come with me?\Tanoshiku nareba ii desu wa If you can enjoy yourself, that will be good indeed!\Woo-hoo!\Sore nara kitto kachi desu wa Do that, and you're sure to win indeed! response:	Woo-hoo!
context: Taihei, if little Tanukichi wasn't around, you'd have nothing to do and just shrivel up, huh?\Anyway, it looks like we won't have to work overtime today, so how about we go somewhere?\And you're overdue to join us, Alex.\I'm going to a Christmas concert of anime songs. Would you like to come with me?\Tanoshiku nareba ii desu wa If you can enjoy yourself, that will be good indeed!\Woo-hoo!\Sore nara kitto kachi desu wa Do that, and you're sure to win indeed!\Woo-hoo! response:	Just us three?
context: Anyway, it looks like we won't have to work overtime today, so how about we go somewhere?\And you're overdue to join us, Alex.\I'm going to a Christmas concert of anime songs. Would you like to come with me?\Tanoshiku nareba ii desu wa If you can enjoy yourself, that will be good indeed!\Woo-hoo!\Sore nara kitto kachi desu wa Do that, and you're sure to win indeed!\Woo-hoo!\Just us three? response:	Christmas will be kinda boring without Tanukichi around.
context: And you're overdue to join us, Alex.\I'm going to a Christmas concert of anime songs. Would you like to come with me?\Tanoshiku nareba ii desu wa If you can enjoy yourself, that will be good indeed!\Woo-hoo!\Sore nara kitto kachi desu wa Do that, and you're sure to win indeed!\Woo-hoo!\Just us three?\Christmas will be kinda boring without Tanukichi around. response:	No, we SHOULD go to that concert.
context: I'm going to a Christmas concert of anime songs. Would you like to come with me?\Tanoshiku nareba ii desu wa If you can enjoy yourself, that will be good indeed!\Woo-hoo!\Sore nara kitto kachi desu wa Do that, and you're sure to win indeed!\Woo-hoo!\Just us three?\Christmas will be kinda boring without Tanukichi around.\No, we SHOULD go to that concert. response:	Huh? For real?
context: Tanoshiku nareba ii desu wa If you can enjoy yourself, that will be good indeed!\Woo-hoo!\Sore nara kitto kachi desu wa Do that, and you're sure to win indeed!\Woo-hoo!\Just us three?\Christmas will be kinda boring without Tanukichi around.\No, we SHOULD go to that concert.\Huh? For real? response:	Yes, please!
context: Woo-hoo!\Sore nara kitto kachi desu wa Do that, and you're sure to win indeed!\Woo-hoo!\Just us three?\Christmas will be kinda boring without Tanukichi around.\No, we SHOULD go to that concert.\Huh? For real?\Yes, please! response:	O-okay...
context: Sore nara kitto kachi desu wa Do that, and you're sure to win indeed!\Woo-hoo!\Just us three?\Christmas will be kinda boring without Tanukichi around.\No, we SHOULD go to that concert.\Huh? For real?\Yes, please!\O-okay... response:	It's Christmas indeed!
context: Woo-hoo!\Just us three?\Christmas will be kinda boring without Tanukichi around.\No, we SHOULD go to that concert.\Huh? For real?\Yes, please!\O-okay...\It's Christmas indeed! response:	Where should we go?
context: Just us three?\Christmas will be kinda boring without Tanukichi around.\No, we SHOULD go to that concert.\Huh? For real?\Yes, please!\O-okay...\It's Christmas indeed!\Where should we go? response:	I-I'm fine with wherever!
context: Christmas will be kinda boring without Tanukichi around.\No, we SHOULD go to that concert.\Huh? For real?\Yes, please!\O-okay...\It's Christmas indeed!\Where should we go?\I-I'm fine with wherever! response:	Hey, Ebina, you're okay with not going back to Akita this year?
context: No, we SHOULD go to that concert.\Huh? For real?\Yes, please!\O-okay...\It's Christmas indeed!\Where should we go?\I-I'm fine with wherever!\Hey, Ebina, you're okay with not going back to Akita this year? response:	Yes, it's fine.
context: Huh? For real?\Yes, please!\O-okay...\It's Christmas indeed!\Where should we go?\I-I'm fine with wherever!\Hey, Ebina, you're okay with not going back to Akita this year?\Yes, it's fine. response:	I've gone back because I felt sad ringing in the new year alone...
context: Yes, please!\O-okay...\It's Christmas indeed!\Where should we go?\I-I'm fine with wherever!\Hey, Ebina, you're okay with not going back to Akita this year?\Yes, it's fine.\I've gone back because I felt sad ringing in the new year alone... response:	But with all the fun we've been having together, I haven't felt lonely at all.
context: O-okay...\It's Christmas indeed!\Where should we go?\I-I'm fine with wherever!\Hey, Ebina, you're okay with not going back to Akita this year?\Yes, it's fine.\I've gone back because I felt sad ringing in the new year alone...\But with all the fun we've been having together, I haven't felt lonely at all. response:	And we shall have fun indeed!
context: It's Christmas indeed!\Where should we go?\I-I'm fine with wherever!\Hey, Ebina, you're okay with not going back to Akita this year?\Yes, it's fine.\I've gone back because I felt sad ringing in the new year alone...\But with all the fun we've been having together, I haven't felt lonely at all.\And we shall have fun indeed! response:	The reason being... it is indeed Christmas!
context: Where should we go?\I-I'm fine with wherever!\Hey, Ebina, you're okay with not going back to Akita this year?\Yes, it's fine.\I've gone back because I felt sad ringing in the new year alone...\But with all the fun we've been having together, I haven't felt lonely at all.\And we shall have fun indeed!\The reason being... it is indeed Christmas! response:	Sylphin is pretty excited, huh? It's Christmas! Christmas! Indeed!
context: I-I'm fine with wherever!\Hey, Ebina, you're okay with not going back to Akita this year?\Yes, it's fine.\I've gone back because I felt sad ringing in the new year alone...\But with all the fun we've been having together, I haven't felt lonely at all.\And we shall have fun indeed!\The reason being... it is indeed Christmas!\Sylphin is pretty excited, huh? It's Christmas! Christmas! Indeed! response:	What a child... It's Christmas! Christmas! Indeed!
context: Hey, Ebina, you're okay with not going back to Akita this year?\Yes, it's fine.\I've gone back because I felt sad ringing in the new year alone...\But with all the fun we've been having together, I haven't felt lonely at all.\And we shall have fun indeed!\The reason being... it is indeed Christmas!\Sylphin is pretty excited, huh? It's Christmas! Christmas! Indeed!\What a child... It's Christmas! Christmas! Indeed! response:	Don't you celebrate Christmas at home? Now you, Ebina!
