context: Hey, isn't he super hot? response:	Oh, wow. He's so my type.
context: Hey, isn't he super hot?\Oh, wow. He's so my type. response:	How often do you see someone that hot?
context: Hey, isn't he super hot?\Oh, wow. He's so my type.\How often do you see someone that hot? response:	Maybe I'll try talking to him.
context: Hey, isn't he super hot?\Oh, wow. He's so my type.\How often do you see someone that hot?\Maybe I'll try talking to him. response:	Huh? You're just going to get burned.
context: Hey, isn't he super hot?\Oh, wow. He's so my type.\How often do you see someone that hot?\Maybe I'll try talking to him.\Huh? You're just going to get burned. response:	Hey, that guy looks super strong.
context: Hey, isn't he super hot?\Oh, wow. He's so my type.\How often do you see someone that hot?\Maybe I'll try talking to him.\Huh? You're just going to get burned.\Hey, that guy looks super strong. response:	Oh, wow. He's so my role model.
context: Hey, isn't he super hot?\Oh, wow. He's so my type.\How often do you see someone that hot?\Maybe I'll try talking to him.\Huh? You're just going to get burned.\Hey, that guy looks super strong.\Oh, wow. He's so my role model. response:	How often do you run into someone that built?
context: Hey, isn't he super hot?\Oh, wow. He's so my type.\How often do you see someone that hot?\Maybe I'll try talking to him.\Huh? You're just going to get burned.\Hey, that guy looks super strong.\Oh, wow. He's so my role model.\How often do you run into someone that built? response:	Maybe I'll try sparring with him.
context: Oh, wow. He's so my type.\How often do you see someone that hot?\Maybe I'll try talking to him.\Huh? You're just going to get burned.\Hey, that guy looks super strong.\Oh, wow. He's so my role model.\How often do you run into someone that built?\Maybe I'll try sparring with him. response:	Huh? You're just going to get burned.
context: How often do you see someone that hot?\Maybe I'll try talking to him.\Huh? You're just going to get burned.\Hey, that guy looks super strong.\Oh, wow. He's so my role model.\How often do you run into someone that built?\Maybe I'll try sparring with him.\Huh? You're just going to get burned. response:	Hey! Suna!
context: Maybe I'll try talking to him.\Huh? You're just going to get burned.\Hey, that guy looks super strong.\Oh, wow. He's so my role model.\How often do you run into someone that built?\Maybe I'll try sparring with him.\Huh? You're just going to get burned.\Hey! Suna! response:	We were on the same train.
context: Huh? You're just going to get burned.\Hey, that guy looks super strong.\Oh, wow. He's so my role model.\How often do you run into someone that built?\Maybe I'll try sparring with him.\Huh? You're just going to get burned.\Hey! Suna!\We were on the same train. response:	I didn't realize you were on it.
context: Hey, that guy looks super strong.\Oh, wow. He's so my role model.\How often do you run into someone that built?\Maybe I'll try sparring with him.\Huh? You're just going to get burned.\Hey! Suna!\We were on the same train.\I didn't realize you were on it. response:	I could totally see you, though.
context: Oh, wow. He's so my role model.\How often do you run into someone that built?\Maybe I'll try sparring with him.\Huh? You're just going to get burned.\Hey! Suna!\We were on the same train.\I didn't realize you were on it.\I could totally see you, though. response:	They're friends?
context: How often do you run into someone that built?\Maybe I'll try sparring with him.\Huh? You're just going to get burned.\Hey! Suna!\We were on the same train.\I didn't realize you were on it.\I could totally see you, though.\They're friends? response:	No way!
context: Maybe I'll try sparring with him.\Huh? You're just going to get burned.\Hey! Suna!\We were on the same train.\I didn't realize you were on it.\I could totally see you, though.\They're friends?\No way! response:	My Boyfriend
context: Huh? You're just going to get burned.\Hey! Suna!\We were on the same train.\I didn't realize you were on it.\I could totally see you, though.\They're friends?\No way!\My Boyfriend response:	I'm Gouda Takeo, a first-year in high school.
context: Hey! Suna!\We were on the same train.\I didn't realize you were on it.\I could totally see you, though.\They're friends?\No way!\My Boyfriend\I'm Gouda Takeo, a first-year in high school. response:	This guy's my friend, Sunakawa Makoto.
context: We were on the same train.\I didn't realize you were on it.\I could totally see you, though.\They're friends?\No way!\My Boyfriend\I'm Gouda Takeo, a first-year in high school.\This guy's my friend, Sunakawa Makoto. response:	I've known him since we were three.
context: I didn't realize you were on it.\I could totally see you, though.\They're friends?\No way!\My Boyfriend\I'm Gouda Takeo, a first-year in high school.\This guy's my friend, Sunakawa Makoto.\I've known him since we were three. response:	Suna, it's spring.
context: I could totally see you, though.\They're friends?\No way!\My Boyfriend\I'm Gouda Takeo, a first-year in high school.\This guy's my friend, Sunakawa Makoto.\I've known him since we were three.\Suna, it's spring. response:	Yeah.
context: They're friends?\No way!\My Boyfriend\I'm Gouda Takeo, a first-year in high school.\This guy's my friend, Sunakawa Makoto.\I've known him since we were three.\Suna, it's spring.\Yeah. response:	It's spring in Japan, but I'm experiencing spring, too.
context: No way!\My Boyfriend\I'm Gouda Takeo, a first-year in high school.\This guy's my friend, Sunakawa Makoto.\I've known him since we were three.\Suna, it's spring.\Yeah.\It's spring in Japan, but I'm experiencing spring, too. response:	After all, for the first time in my life, I have a girlfriend!
context: My Boyfriend\I'm Gouda Takeo, a first-year in high school.\This guy's my friend, Sunakawa Makoto.\I've known him since we were three.\Suna, it's spring.\Yeah.\It's spring in Japan, but I'm experiencing spring, too.\After all, for the first time in my life, I have a girlfriend! response:	Spring's awesome...
context: I'm Gouda Takeo, a first-year in high school.\This guy's my friend, Sunakawa Makoto.\I've known him since we were three.\Suna, it's spring.\Yeah.\It's spring in Japan, but I'm experiencing spring, too.\After all, for the first time in my life, I have a girlfriend!\Spring's awesome... response:	Oops.
