context: Shigeo, wait! Remain calm! response:	Look into my eyes!
context: Shigeo, wait! Remain calm!\Look into my eyes! response:	I can tell these aren't real bodies!
context: Shigeo, wait! Remain calm!\Look into my eyes!\I can tell these aren't real bodies! response:	They're dummies!
context: Shigeo, wait! Remain calm!\Look into my eyes!\I can tell these aren't real bodies!\They're dummies! response:	Some esper probably put them here to fool you!
context: Shigeo, wait! Remain calm!\Look into my eyes!\I can tell these aren't real bodies!\They're dummies!\Some esper probably put them here to fool you! response:	Come on, Dimple.
context: Shigeo, wait! Remain calm!\Look into my eyes!\I can tell these aren't real bodies!\They're dummies!\Some esper probably put them here to fool you!\Come on, Dimple. response:	Does a psychic power like that really exist?
context: Shigeo, wait! Remain calm!\Look into my eyes!\I can tell these aren't real bodies!\They're dummies!\Some esper probably put them here to fool you!\Come on, Dimple.\Does a psychic power like that really exist? response:	J-Just think about everything you've seen! It's completely possible!
context: Shigeo, wait! Remain calm!\Look into my eyes!\I can tell these aren't real bodies!\They're dummies!\Some esper probably put them here to fool you!\Come on, Dimple.\Does a psychic power like that really exist?\J-Just think about everything you've seen! It's completely possible! response:	No, I know it's out there!
context: Look into my eyes!\I can tell these aren't real bodies!\They're dummies!\Some esper probably put them here to fool you!\Come on, Dimple.\Does a psychic power like that really exist?\J-Just think about everything you've seen! It's completely possible!\No, I know it's out there! response:	I found them.
context: I can tell these aren't real bodies!\They're dummies!\Some esper probably put them here to fool you!\Come on, Dimple.\Does a psychic power like that really exist?\J-Just think about everything you've seen! It's completely possible!\No, I know it's out there!\I found them. response:	Did he just learn how to do that?
context: They're dummies!\Some esper probably put them here to fool you!\Come on, Dimple.\Does a psychic power like that really exist?\J-Just think about everything you've seen! It's completely possible!\No, I know it's out there!\I found them.\Did he just learn how to do that? response:	That's gotta be our guy!
context: Some esper probably put them here to fool you!\Come on, Dimple.\Does a psychic power like that really exist?\J-Just think about everything you've seen! It's completely possible!\No, I know it's out there!\I found them.\Did he just learn how to do that?\That's gotta be our guy! response:	Dimple...
context: Come on, Dimple.\Does a psychic power like that really exist?\J-Just think about everything you've seen! It's completely possible!\No, I know it's out there!\I found them.\Did he just learn how to do that?\That's gotta be our guy!\Dimple... response:	Thank you for stopping me.
context: Does a psychic power like that really exist?\J-Just think about everything you've seen! It's completely possible!\No, I know it's out there!\I found them.\Did he just learn how to do that?\That's gotta be our guy!\Dimple...\Thank you for stopping me. response:	We can't relax just yet. We're going after them, aren't we?
context: J-Just think about everything you've seen! It's completely possible!\No, I know it's out there!\I found them.\Did he just learn how to do that?\That's gotta be our guy!\Dimple...\Thank you for stopping me.\We can't relax just yet. We're going after them, aren't we? response:	Of course. I'm going to get all three of them back right now.
context: No, I know it's out there!\I found them.\Did he just learn how to do that?\That's gotta be our guy!\Dimple...\Thank you for stopping me.\We can't relax just yet. We're going after them, aren't we?\Of course. I'm going to get all three of them back right now. response:	Whoever did this won't get away with it.
context: I found them.\Did he just learn how to do that?\That's gotta be our guy!\Dimple...\Thank you for stopping me.\We can't relax just yet. We're going after them, aren't we?\Of course. I'm going to get all three of them back right now.\Whoever did this won't get away with it. response:	No matter how far they run, I will make them pay.
context: Did he just learn how to do that?\That's gotta be our guy!\Dimple...\Thank you for stopping me.\We can't relax just yet. We're going after them, aren't we?\Of course. I'm going to get all three of them back right now.\Whoever did this won't get away with it.\No matter how far they run, I will make them pay. response:	Obsession
context: That's gotta be our guy!\Dimple...\Thank you for stopping me.\We can't relax just yet. We're going after them, aren't we?\Of course. I'm going to get all three of them back right now.\Whoever did this won't get away with it.\No matter how far they run, I will make them pay.\Obsession response:	Kill
context: Dimple...\Thank you for stopping me.\We can't relax just yet. We're going after them, aren't we?\Of course. I'm going to get all three of them back right now.\Whoever did this won't get away with it.\No matter how far they run, I will make them pay.\Obsession\Kill response:	Is there a point to setting the place on fire?
context: Thank you for stopping me.\We can't relax just yet. We're going after them, aren't we?\Of course. I'm going to get all three of them back right now.\Whoever did this won't get away with it.\No matter how far they run, I will make them pay.\Obsession\Kill\Is there a point to setting the place on fire? response:	Makes it obvious that it's been dealt with.
context: We can't relax just yet. We're going after them, aren't we?\Of course. I'm going to get all three of them back right now.\Whoever did this won't get away with it.\No matter how far they run, I will make them pay.\Obsession\Kill\Is there a point to setting the place on fire?\Makes it obvious that it's been dealt with. response:	What was that?
context: Of course. I'm going to get all three of them back right now.\Whoever did this won't get away with it.\No matter how far they run, I will make them pay.\Obsession\Kill\Is there a point to setting the place on fire?\Makes it obvious that it's been dealt with.\What was that? response:	A meteor?
context: Whoever did this won't get away with it.\No matter how far they run, I will make them pay.\Obsession\Kill\Is there a point to setting the place on fire?\Makes it obvious that it's been dealt with.\What was that?\A meteor? response:	Who the hell is that?
context: No matter how far they run, I will make them pay.\Obsession\Kill\Is there a point to setting the place on fire?\Makes it obvious that it's been dealt with.\What was that?\A meteor?\Who the hell is that? response:	(Get ready, wake your psyche up, MOB!)
context: Obsession\Kill\Is there a point to setting the place on fire?\Makes it obvious that it's been dealt with.\What was that?\A meteor?\Who the hell is that?\(Get ready, wake your psyche up, MOB!) response:	(Get ready, dig your anger up, MOB!)
context: Kill\Is there a point to setting the place on fire?\Makes it obvious that it's been dealt with.\What was that?\A meteor?\Who the hell is that?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!) response:	(Get ready, wake your psyche up, MOB!)
context: Is there a point to setting the place on fire?\Makes it obvious that it's been dealt with.\What was that?\A meteor?\Who the hell is that?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!) response:	(Get ready!)
context: Makes it obvious that it's been dealt with.\What was that?\A meteor?\Who the hell is that?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!) response:	Coming down, could you fill your satisfaction?
context: What was that?\A meteor?\Who the hell is that?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction? response:	You're a MOB. Can't you feel your own frustration?
context: A meteor?\Who the hell is that?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration? response:	Coming down, could you fill your satisfaction?
context: Who the hell is that?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction? response:	You're a MOB. What do you want to be?
context: (Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be? response:	Wear your overflowing emotions on your sleeve and break it down.
context: (Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down. response:	What do you see once you go beyond your limits?
context: (Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits? response:	(99.9! 99.9!)
context: (Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!) response:	The mysterious percentage.
context: Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage. response:	Cryin' my life, cryin' my psyche,
context: You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche, response:	cryin' my heart in such commonplaces!
context: Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces! response:	Is that your ideal? Is that your mind?
context: You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind? response:	It all begins when it hits 100.
context: Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100. response:	The MOB is alive. The MOB is high.
context: What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high. response:	The MOB is staying frustrated, aren't you?
context: (99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you? response:	Is that your ideal? Is that your mind? Right now...
context: The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now... response:	Your life is your own.
context: Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own. response:	(Get ready, wake your psyche up, MOB!)
context: cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!) response:	Mob Psycho
