context: If Inari keeps using that divine power, then... response:	my divinitymy very godliness itselfwill move into her.
context: If Inari keeps using that divine power, then...\my divinitymy very godliness itselfwill move into her. response:	Miss Inari!
context: If Inari keeps using that divine power, then...\my divinitymy very godliness itselfwill move into her.\Miss Inari! response:	Please hurry! It's Lady Uka!
context: If Inari keeps using that divine power, then...\my divinitymy very godliness itselfwill move into her.\Miss Inari!\Please hurry! It's Lady Uka! response:	Lady Uka is fadin' away?
context: If Inari keeps using that divine power, then...\my divinitymy very godliness itselfwill move into her.\Miss Inari!\Please hurry! It's Lady Uka!\Lady Uka is fadin' away? response:	What do you mean?
context: If Inari keeps using that divine power, then...\my divinitymy very godliness itselfwill move into her.\Miss Inari!\Please hurry! It's Lady Uka!\Lady Uka is fadin' away?\What do you mean? response:	Her divine being grows fainter every time you use that power.
context: If Inari keeps using that divine power, then...\my divinitymy very godliness itselfwill move into her.\Miss Inari!\Please hurry! It's Lady Uka!\Lady Uka is fadin' away?\What do you mean?\Her divine being grows fainter every time you use that power. response:	Great Amaterasu has said the same about using such power in that way.
context: If Inari keeps using that divine power, then...\my divinitymy very godliness itselfwill move into her.\Miss Inari!\Please hurry! It's Lady Uka!\Lady Uka is fadin' away?\What do you mean?\Her divine being grows fainter every time you use that power.\Great Amaterasu has said the same about using such power in that way. response:	But why would Lady Uka keep somethin' so important from me?
context: my divinitymy very godliness itselfwill move into her.\Miss Inari!\Please hurry! It's Lady Uka!\Lady Uka is fadin' away?\What do you mean?\Her divine being grows fainter every time you use that power.\Great Amaterasu has said the same about using such power in that way.\But why would Lady Uka keep somethin' so important from me? response:	Miss Inari! This way!
context: Miss Inari!\Please hurry! It's Lady Uka!\Lady Uka is fadin' away?\What do you mean?\Her divine being grows fainter every time you use that power.\Great Amaterasu has said the same about using such power in that way.\But why would Lady Uka keep somethin' so important from me?\Miss Inari! This way! response:	Let's go, Miss Inari!
context: Please hurry! It's Lady Uka!\Lady Uka is fadin' away?\What do you mean?\Her divine being grows fainter every time you use that power.\Great Amaterasu has said the same about using such power in that way.\But why would Lady Uka keep somethin' so important from me?\Miss Inari! This way!\Let's go, Miss Inari! response:	Has something happened to Uka?
context: Lady Uka is fadin' away?\What do you mean?\Her divine being grows fainter every time you use that power.\Great Amaterasu has said the same about using such power in that way.\But why would Lady Uka keep somethin' so important from me?\Miss Inari! This way!\Let's go, Miss Inari!\Has something happened to Uka? response:	Humans can't handle godly powers.
context: What do you mean?\Her divine being grows fainter every time you use that power.\Great Amaterasu has said the same about using such power in that way.\But why would Lady Uka keep somethin' so important from me?\Miss Inari! This way!\Let's go, Miss Inari!\Has something happened to Uka?\Humans can't handle godly powers. response:	I know you knew that much, Uka!
context: Her divine being grows fainter every time you use that power.\Great Amaterasu has said the same about using such power in that way.\But why would Lady Uka keep somethin' so important from me?\Miss Inari! This way!\Let's go, Miss Inari!\Has something happened to Uka?\Humans can't handle godly powers.\I know you knew that much, Uka! response:	This is all because I gave you my divine power.
context: Great Amaterasu has said the same about using such power in that way.\But why would Lady Uka keep somethin' so important from me?\Miss Inari! This way!\Let's go, Miss Inari!\Has something happened to Uka?\Humans can't handle godly powers.\I know you knew that much, Uka!\This is all because I gave you my divine power. response:	You've been the one protectin' me all this time.
context: But why would Lady Uka keep somethin' so important from me?\Miss Inari! This way!\Let's go, Miss Inari!\Has something happened to Uka?\Humans can't handle godly powers.\I know you knew that much, Uka!\This is all because I gave you my divine power.\You've been the one protectin' me all this time. response:	Why do you hold mortal ties in such high regard?
context: Miss Inari! This way!\Let's go, Miss Inari!\Has something happened to Uka?\Humans can't handle godly powers.\I know you knew that much, Uka!\This is all because I gave you my divine power.\You've been the one protectin' me all this time.\Why do you hold mortal ties in such high regard? response:	I just wanted you to be a normal girl.
context: Let's go, Miss Inari!\Has something happened to Uka?\Humans can't handle godly powers.\I know you knew that much, Uka!\This is all because I gave you my divine power.\You've been the one protectin' me all this time.\Why do you hold mortal ties in such high regard?\I just wanted you to be a normal girl. response:	Lady Uka, I... I...
context: Has something happened to Uka?\Humans can't handle godly powers.\I know you knew that much, Uka!\This is all because I gave you my divine power.\You've been the one protectin' me all this time.\Why do you hold mortal ties in such high regard?\I just wanted you to be a normal girl.\Lady Uka, I... I... response:	Do you really think Inari can respond to those feelings of yours?
context: Humans can't handle godly powers.\I know you knew that much, Uka!\This is all because I gave you my divine power.\You've been the one protectin' me all this time.\Why do you hold mortal ties in such high regard?\I just wanted you to be a normal girl.\Lady Uka, I... I...\Do you really think Inari can respond to those feelings of yours? response:	But I also wanted to stay friends with you, so I...
context: I know you knew that much, Uka!\This is all because I gave you my divine power.\You've been the one protectin' me all this time.\Why do you hold mortal ties in such high regard?\I just wanted you to be a normal girl.\Lady Uka, I... I...\Do you really think Inari can respond to those feelings of yours?\But I also wanted to stay friends with you, so I... response:	Now I'll protect you!
context: This is all because I gave you my divine power.\You've been the one protectin' me all this time.\Why do you hold mortal ties in such high regard?\I just wanted you to be a normal girl.\Lady Uka, I... I...\Do you really think Inari can respond to those feelings of yours?\But I also wanted to stay friends with you, so I...\Now I'll protect you! response:	I'm sorry, Inari.
context: You've been the one protectin' me all this time.\Why do you hold mortal ties in such high regard?\I just wanted you to be a normal girl.\Lady Uka, I... I...\Do you really think Inari can respond to those feelings of yours?\But I also wanted to stay friends with you, so I...\Now I'll protect you!\I'm sorry, Inari. response:	Lady Uka, you can have your divine power back.
context: Why do you hold mortal ties in such high regard?\I just wanted you to be a normal girl.\Lady Uka, I... I...\Do you really think Inari can respond to those feelings of yours?\But I also wanted to stay friends with you, so I...\Now I'll protect you!\I'm sorry, Inari.\Lady Uka, you can have your divine power back. response:	Uka...
context: I just wanted you to be a normal girl.\Lady Uka, I... I...\Do you really think Inari can respond to those feelings of yours?\But I also wanted to stay friends with you, so I...\Now I'll protect you!\I'm sorry, Inari.\Lady Uka, you can have your divine power back.\Uka... response:	I'll rescue you. You can count on it!
context: Lady Uka, I... I...\Do you really think Inari can respond to those feelings of yours?\But I also wanted to stay friends with you, so I...\Now I'll protect you!\I'm sorry, Inari.\Lady Uka, you can have your divine power back.\Uka...\I'll rescue you. You can count on it! response:	All we can do from here is watch.
context: Do you really think Inari can respond to those feelings of yours?\But I also wanted to stay friends with you, so I...\Now I'll protect you!\I'm sorry, Inari.\Lady Uka, you can have your divine power back.\Uka...\I'll rescue you. You can count on it!\All we can do from here is watch. response:	You know that as well as I do.
context: But I also wanted to stay friends with you, so I...\Now I'll protect you!\I'm sorry, Inari.\Lady Uka, you can have your divine power back.\Uka...\I'll rescue you. You can count on it!\All we can do from here is watch.\You know that as well as I do. response:	Why am I here
context: Now I'll protect you!\I'm sorry, Inari.\Lady Uka, you can have your divine power back.\Uka...\I'll rescue you. You can count on it!\All we can do from here is watch.\You know that as well as I do.\Why am I here response:	Why am I here
context: I'm sorry, Inari.\Lady Uka, you can have your divine power back.\Uka...\I'll rescue you. You can count on it!\All we can do from here is watch.\You know that as well as I do.\Why am I here\Why am I here response:	Why am I here
context: Lady Uka, you can have your divine power back.\Uka...\I'll rescue you. You can count on it!\All we can do from here is watch.\You know that as well as I do.\Why am I here\Why am I here\Why am I here response:	watashi wa naze koko ni ite
context: Uka...\I'll rescue you. You can count on it!\All we can do from here is watch.\You know that as well as I do.\Why am I here\Why am I here\Why am I here\watashi wa naze koko ni ite response:	watashi wa naze koko ni ite
context: I'll rescue you. You can count on it!\All we can do from here is watch.\You know that as well as I do.\Why am I here\Why am I here\Why am I here\watashi wa naze koko ni ite\watashi wa naze koko ni ite response:	watashi wa naze koko ni ite
context: All we can do from here is watch.\You know that as well as I do.\Why am I here\Why am I here\Why am I here\watashi wa naze koko ni ite\watashi wa naze koko ni ite\watashi wa naze koko ni ite response:	if I don't know how to love
context: You know that as well as I do.\Why am I here\Why am I here\Why am I here\watashi wa naze koko ni ite\watashi wa naze koko ni ite\watashi wa naze koko ni ite\if I don't know how to love response:	if I don't know how to love
context: Why am I here\Why am I here\Why am I here\watashi wa naze koko ni ite\watashi wa naze koko ni ite\watashi wa naze koko ni ite\if I don't know how to love\if I don't know how to love response:	if I don't know how to love
context: Why am I here\Why am I here\watashi wa naze koko ni ite\watashi wa naze koko ni ite\watashi wa naze koko ni ite\if I don't know how to love\if I don't know how to love\if I don't know how to love response:	aisuru sube mo shiranaide
context: Why am I here\watashi wa naze koko ni ite\watashi wa naze koko ni ite\watashi wa naze koko ni ite\if I don't know how to love\if I don't know how to love\if I don't know how to love\aisuru sube mo shiranaide response:	aisuru sube mo shiranaide
context: watashi wa naze koko ni ite\watashi wa naze koko ni ite\watashi wa naze koko ni ite\if I don't know how to love\if I don't know how to love\if I don't know how to love\aisuru sube mo shiranaide\aisuru sube mo shiranaide response:	aisuru sube mo shiranaide
context: watashi wa naze koko ni ite\watashi wa naze koko ni ite\if I don't know how to love\if I don't know how to love\if I don't know how to love\aisuru sube mo shiranaide\aisuru sube mo shiranaide\aisuru sube mo shiranaide response:	I lived my life dreaming of salvation
context: watashi wa naze koko ni ite\if I don't know how to love\if I don't know how to love\if I don't know how to love\aisuru sube mo shiranaide\aisuru sube mo shiranaide\aisuru sube mo shiranaide\I lived my life dreaming of salvation response:	I lived my life dreaming of salvation
context: if I don't know how to love\if I don't know how to love\if I don't know how to love\aisuru sube mo shiranaide\aisuru sube mo shiranaide\aisuru sube mo shiranaide\I lived my life dreaming of salvation\I lived my life dreaming of salvation response:	I lived my life dreaming of salvation
context: if I don't know how to love\if I don't know how to love\aisuru sube mo shiranaide\aisuru sube mo shiranaide\aisuru sube mo shiranaide\I lived my life dreaming of salvation\I lived my life dreaming of salvation\I lived my life dreaming of salvation response:	sukuwareru toki wo yume mite ikiteita
context: if I don't know how to love\aisuru sube mo shiranaide\aisuru sube mo shiranaide\aisuru sube mo shiranaide\I lived my life dreaming of salvation\I lived my life dreaming of salvation\I lived my life dreaming of salvation\sukuwareru toki wo yume mite ikiteita response:	sukuwareru toki wo yume mite ikiteita
context: aisuru sube mo shiranaide\aisuru sube mo shiranaide\aisuru sube mo shiranaide\I lived my life dreaming of salvation\I lived my life dreaming of salvation\I lived my life dreaming of salvation\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita response:	sukuwareru toki wo yume mite ikiteita
context: aisuru sube mo shiranaide\aisuru sube mo shiranaide\I lived my life dreaming of salvation\I lived my life dreaming of salvation\I lived my life dreaming of salvation\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita response:	I rode my bicycle home past endless willows
context: aisuru sube mo shiranaide\I lived my life dreaming of salvation\I lived my life dreaming of salvation\I lived my life dreaming of salvation\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\I rode my bicycle home past endless willows response:	I rode my bicycle home past endless willows
context: I lived my life dreaming of salvation\I lived my life dreaming of salvation\I lived my life dreaming of salvation\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows response:	I rode my bicycle home past endless willows
context: I lived my life dreaming of salvation\I lived my life dreaming of salvation\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows response:	unmei no kodou ni makasete yanagi no michi wo nukete
context: I lived my life dreaming of salvation\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\unmei no kodou ni makasete yanagi no michi wo nukete response:	unmei no kodou ni makasete yanagi no michi wo nukete
context: sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete response:	unmei no kodou ni makasete yanagi no michi wo nukete
context: sukuwareru toki wo yume mite ikiteita\sukuwareru toki wo yume mite ikiteita\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete response:	and left my life to the vagaries of fate
context: sukuwareru toki wo yume mite ikiteita\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\and left my life to the vagaries of fate response:	and left my life to the vagaries of fate
context: I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\and left my life to the vagaries of fate\and left my life to the vagaries of fate response:	and left my life to the vagaries of fate
context: I rode my bicycle home past endless willows\I rode my bicycle home past endless willows\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\and left my life to the vagaries of fate\and left my life to the vagaries of fate\and left my life to the vagaries of fate response:	jitensha de kaetta
context: I rode my bicycle home past endless willows\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\and left my life to the vagaries of fate\and left my life to the vagaries of fate\and left my life to the vagaries of fate\jitensha de kaetta response:	jitensha de kaetta
context: unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\and left my life to the vagaries of fate\and left my life to the vagaries of fate\and left my life to the vagaries of fate\jitensha de kaetta\jitensha de kaetta response:	jitensha de kaetta
context: unmei no kodou ni makasete yanagi no michi wo nukete\unmei no kodou ni makasete yanagi no michi wo nukete\and left my life to the vagaries of fate\and left my life to the vagaries of fate\and left my life to the vagaries of fate\jitensha de kaetta\jitensha de kaetta\jitensha de kaetta response:	The waves of life
context: unmei no kodou ni makasete yanagi no michi wo nukete\and left my life to the vagaries of fate\and left my life to the vagaries of fate\and left my life to the vagaries of fate\jitensha de kaetta\jitensha de kaetta\jitensha de kaetta\The waves of life response:	The waves of life
context: and left my life to the vagaries of fate\and left my life to the vagaries of fate\and left my life to the vagaries of fate\jitensha de kaetta\jitensha de kaetta\jitensha de kaetta\The waves of life\The waves of life response:	The waves of life
context: and left my life to the vagaries of fate\and left my life to the vagaries of fate\jitensha de kaetta\jitensha de kaetta\jitensha de kaetta\The waves of life\The waves of life\The waves of life response:	chiisana dekigoto ni
context: and left my life to the vagaries of fate\jitensha de kaetta\jitensha de kaetta\jitensha de kaetta\The waves of life\The waves of life\The waves of life\chiisana dekigoto ni response:	chiisana dekigoto ni
context: jitensha de kaetta\jitensha de kaetta\jitensha de kaetta\The waves of life\The waves of life\The waves of life\chiisana dekigoto ni\chiisana dekigoto ni response:	chiisana dekigoto ni
context: jitensha de kaetta\jitensha de kaetta\The waves of life\The waves of life\The waves of life\chiisana dekigoto ni\chiisana dekigoto ni\chiisana dekigoto ni response:	Saga Inari Shrine
context: jitensha de kaetta\The waves of life\The waves of life\The waves of life\chiisana dekigoto ni\chiisana dekigoto ni\chiisana dekigoto ni\Saga Inari Shrine response:	Saga Inari Shrine
context: The waves of life\The waves of life\The waves of life\chiisana dekigoto ni\chiisana dekigoto ni\chiisana dekigoto ni\Saga Inari Shrine\Saga Inari Shrine response:	Saga Inari Shrine
context: The waves of life\The waves of life\chiisana dekigoto ni\chiisana dekigoto ni\chiisana dekigoto ni\Saga Inari Shrine\Saga Inari Shrine\Saga Inari Shrine response:	break on the little things around me
context: The waves of life\chiisana dekigoto ni\chiisana dekigoto ni\chiisana dekigoto ni\Saga Inari Shrine\Saga Inari Shrine\Saga Inari Shrine\break on the little things around me response:	break on the little things around me
