context: Time has really flown. Has it already been three years? response:	Wataya Family Grave
context: Time has really flown. Has it already been three years?\Wataya Family Grave response:	I can still hear Master Wataya's voice sometimes.
context: Time has really flown. Has it already been three years?\Wataya Family Grave\I can still hear Master Wataya's voice sometimes. response:	Arata, it's getting hot, so let's head back.
context: Time has really flown. Has it already been three years?\Wataya Family Grave\I can still hear Master Wataya's voice sometimes.\Arata, it's getting hot, so let's head back. response:	W-Wait!
context: Time has really flown. Has it already been three years?\Wataya Family Grave\I can still hear Master Wataya's voice sometimes.\Arata, it's getting hot, so let's head back.\W-Wait! response:	I just put those sandwiches there as an offering.
context: Time has really flown. Has it already been three years?\Wataya Family Grave\I can still hear Master Wataya's voice sometimes.\Arata, it's getting hot, so let's head back.\W-Wait!\I just put those sandwiches there as an offering. response:	I can understand why Grandpa and Dad never got along.
context: Time has really flown. Has it already been three years?\Wataya Family Grave\I can still hear Master Wataya's voice sometimes.\Arata, it's getting hot, so let's head back.\W-Wait!\I just put those sandwiches there as an offering.\I can understand why Grandpa and Dad never got along. response:	Your grandpa didn't like me
context: Time has really flown. Has it already been three years?\Wataya Family Grave\I can still hear Master Wataya's voice sometimes.\Arata, it's getting hot, so let's head back.\W-Wait!\I just put those sandwiches there as an offering.\I can understand why Grandpa and Dad never got along.\Your grandpa didn't like me response:	because I wasn't interested in karuta!
context: Wataya Family Grave\I can still hear Master Wataya's voice sometimes.\Arata, it's getting hot, so let's head back.\W-Wait!\I just put those sandwiches there as an offering.\I can understand why Grandpa and Dad never got along.\Your grandpa didn't like me\because I wasn't interested in karuta! response:	Your quarrels were the reason you took
context: I can still hear Master Wataya's voice sometimes.\Arata, it's getting hot, so let's head back.\W-Wait!\I just put those sandwiches there as an offering.\I can understand why Grandpa and Dad never got along.\Your grandpa didn't like me\because I wasn't interested in karuta!\Your quarrels were the reason you took response:	a job in Tokyo and forced Arata to switch schools.
context: Arata, it's getting hot, so let's head back.\W-Wait!\I just put those sandwiches there as an offering.\I can understand why Grandpa and Dad never got along.\Your grandpa didn't like me\because I wasn't interested in karuta!\Your quarrels were the reason you took\a job in Tokyo and forced Arata to switch schools. response:	B-But!
