context: And it's been really dry lately, right? response:	So Yumiko brought this little humidifier to school,
context: And it's been really dry lately, right?\So Yumiko brought this little humidifier to school, response:	and it was spitting out a ton of steam all through class!
context: And it's been really dry lately, right?\So Yumiko brought this little humidifier to school,\and it was spitting out a ton of steam all through class! response:	You know, those new ones powered by... USJ? USA? That kind!
context: And it's been really dry lately, right?\So Yumiko brought this little humidifier to school,\and it was spitting out a ton of steam all through class!\You know, those new ones powered by... USJ? USA? That kind! response:	That slight smile hasn't changed since that day.
context: And it's been really dry lately, right?\So Yumiko brought this little humidifier to school,\and it was spitting out a ton of steam all through class!\You know, those new ones powered by... USJ? USA? That kind!\That slight smile hasn't changed since that day. response:	Our days haven't changed.
context: And it's been really dry lately, right?\So Yumiko brought this little humidifier to school,\and it was spitting out a ton of steam all through class!\You know, those new ones powered by... USJ? USA? That kind!\That slight smile hasn't changed since that day.\Our days haven't changed. response:	I'd love to have one of those in my room.
context: And it's been really dry lately, right?\So Yumiko brought this little humidifier to school,\and it was spitting out a ton of steam all through class!\You know, those new ones powered by... USJ? USA? That kind!\That slight smile hasn't changed since that day.\Our days haven't changed.\I'd love to have one of those in my room. response:	Right, Hikki?
context: And it's been really dry lately, right?\So Yumiko brought this little humidifier to school,\and it was spitting out a ton of steam all through class!\You know, those new ones powered by... USJ? USA? That kind!\That slight smile hasn't changed since that day.\Our days haven't changed.\I'd love to have one of those in my room.\Right, Hikki? response:	Days spent just trying not to run away...
context: So Yumiko brought this little humidifier to school,\and it was spitting out a ton of steam all through class!\You know, those new ones powered by... USJ? USA? That kind!\That slight smile hasn't changed since that day.\Our days haven't changed.\I'd love to have one of those in my room.\Right, Hikki?\Days spent just trying not to run away... response:	Earth to Hikki!
context: and it was spitting out a ton of steam all through class!\You know, those new ones powered by... USJ? USA? That kind!\That slight smile hasn't changed since that day.\Our days haven't changed.\I'd love to have one of those in my room.\Right, Hikki?\Days spent just trying not to run away...\Earth to Hikki! response:	I'm listening. And it's USB.
context: You know, those new ones powered by... USJ? USA? That kind!\That slight smile hasn't changed since that day.\Our days haven't changed.\I'd love to have one of those in my room.\Right, Hikki?\Days spent just trying not to run away...\Earth to Hikki!\I'm listening. And it's USB. response:	Why should humidifiers have to get their power from America?
context: That slight smile hasn't changed since that day.\Our days haven't changed.\I'd love to have one of those in my room.\Right, Hikki?\Days spent just trying not to run away...\Earth to Hikki!\I'm listening. And it's USB.\Why should humidifiers have to get their power from America? response:	Yeah, that's it! USB!
context: Our days haven't changed.\I'd love to have one of those in my room.\Right, Hikki?\Days spent just trying not to run away...\Earth to Hikki!\I'm listening. And it's USB.\Why should humidifiers have to get their power from America?\Yeah, that's it! USB! response:	Cell phones these days can be charged with that USB thing, too.
context: I'd love to have one of those in my room.\Right, Hikki?\Days spent just trying not to run away...\Earth to Hikki!\I'm listening. And it's USB.\Why should humidifiers have to get their power from America?\Yeah, that's it! USB!\Cell phones these days can be charged with that USB thing, too. response:	Anyway, what should we do for Christmas?
context: Right, Hikki?\Days spent just trying not to run away...\Earth to Hikki!\I'm listening. And it's USB.\Why should humidifiers have to get their power from America?\Yeah, that's it! USB!\Cell phones these days can be charged with that USB thing, too.\Anyway, what should we do for Christmas? response:	I'll be busy getting ready for the new year.
context: Days spent just trying not to run away...\Earth to Hikki!\I'm listening. And it's USB.\Why should humidifiers have to get their power from America?\Yeah, that's it! USB!\Cell phones these days can be charged with that USB thing, too.\Anyway, what should we do for Christmas?\I'll be busy getting ready for the new year. response:	To keep from making the things we've lost into excuses,
context: Earth to Hikki!\I'm listening. And it's USB.\Why should humidifiers have to get their power from America?\Yeah, that's it! USB!\Cell phones these days can be charged with that USB thing, too.\Anyway, what should we do for Christmas?\I'll be busy getting ready for the new year.\To keep from making the things we've lost into excuses, response:	Yeah, but...
context: I'm listening. And it's USB.\Why should humidifiers have to get their power from America?\Yeah, that's it! USB!\Cell phones these days can be charged with that USB thing, too.\Anyway, what should we do for Christmas?\I'll be busy getting ready for the new year.\To keep from making the things we've lost into excuses,\Yeah, but... response:	we steel ourselves more than usual,
context: Why should humidifiers have to get their power from America?\Yeah, that's it! USB!\Cell phones these days can be charged with that USB thing, too.\Anyway, what should we do for Christmas?\I'll be busy getting ready for the new year.\To keep from making the things we've lost into excuses,\Yeah, but...\we steel ourselves more than usual, response:	trying harder than usual to act the same as usual.
context: Yeah, that's it! USB!\Cell phones these days can be charged with that USB thing, too.\Anyway, what should we do for Christmas?\I'll be busy getting ready for the new year.\To keep from making the things we've lost into excuses,\Yeah, but...\we steel ourselves more than usual,\trying harder than usual to act the same as usual. response:	Christmas, huh? I know about Ebina, but...
context: Cell phones these days can be charged with that USB thing, too.\Anyway, what should we do for Christmas?\I'll be busy getting ready for the new year.\To keep from making the things we've lost into excuses,\Yeah, but...\we steel ourselves more than usual,\trying harder than usual to act the same as usual.\Christmas, huh? I know about Ebina, but... response:	What about you guys?
context: Anyway, what should we do for Christmas?\I'll be busy getting ready for the new year.\To keep from making the things we've lost into excuses,\Yeah, but...\we steel ourselves more than usual,\trying harder than usual to act the same as usual.\Christmas, huh? I know about Ebina, but...\What about you guys? response:	I'll have to pass, too.
context: I'll be busy getting ready for the new year.\To keep from making the things we've lost into excuses,\Yeah, but...\we steel ourselves more than usual,\trying harder than usual to act the same as usual.\Christmas, huh? I know about Ebina, but...\What about you guys?\I'll have to pass, too. response:	H-Hayato...
