context: A perfect serve receive... response:	Could he be...
context: A perfect serve receive...\Could he be... response:	He's shorter than me.
context: A perfect serve receive...\Could he be...\He's shorter than me. response:	Huh? Hey, what did you just say?
context: A perfect serve receive...\Could he be...\He's shorter than me.\Huh? Hey, what did you just say? response:	I-I'm sorry.
context: A perfect serve receive...\Could he be...\He's shorter than me.\Huh? Hey, what did you just say?\I-I'm sorry. response:	Um... how tall are you?
context: A perfect serve receive...\Could he be...\He's shorter than me.\Huh? Hey, what did you just say?\I-I'm sorry.\Um... how tall are you? response:	I'm 159 centimeters.
context: A perfect serve receive...\Could he be...\He's shorter than me.\Huh? Hey, what did you just say?\I-I'm sorry.\Um... how tall are you?\I'm 159 centimeters. response:	In the 150s!
context: A perfect serve receive...\Could he be...\He's shorter than me.\Huh? Hey, what did you just say?\I-I'm sorry.\Um... how tall are you?\I'm 159 centimeters.\In the 150s! response:	Wow...
context: Could he be...\He's shorter than me.\Huh? Hey, what did you just say?\I-I'm sorry.\Um... how tall are you?\I'm 159 centimeters.\In the 150s!\Wow... response:	Wh-What?
context: He's shorter than me.\Huh? Hey, what did you just say?\I-I'm sorry.\Um... how tall are you?\I'm 159 centimeters.\In the 150s!\Wow...\Wh-What? response:	It's the first time I've looked down at someone
context: Huh? Hey, what did you just say?\I-I'm sorry.\Um... how tall are you?\I'm 159 centimeters.\In the 150s!\Wow...\Wh-What?\It's the first time I've looked down at someone response:	since I started high school club activities.
context: I-I'm sorry.\Um... how tall are you?\I'm 159 centimeters.\In the 150s!\Wow...\Wh-What?\It's the first time I've looked down at someone\since I started high school club activities. response:	Don't weep with joy about it!
context: Um... how tall are you?\I'm 159 centimeters.\In the 150s!\Wow...\Wh-What?\It's the first time I've looked down at someone\since I started high school club activities.\Don't weep with joy about it! response:	You're not looking that far down!
context: I'm 159 centimeters.\In the 150s!\Wow...\Wh-What?\It's the first time I've looked down at someone\since I started high school club activities.\Don't weep with joy about it!\You're not looking that far down! response:	Hey! Noya-san.
context: In the 150s!\Wow...\Wh-What?\It's the first time I've looked down at someone\since I started high school club activities.\Don't weep with joy about it!\You're not looking that far down!\Hey! Noya-san. response:	Hey, Ryu.
context: Wow...\Wh-What?\It's the first time I've looked down at someone\since I started high school club activities.\Don't weep with joy about it!\You're not looking that far down!\Hey! Noya-san.\Hey, Ryu. response:	Nishinoya.
context: Wh-What?\It's the first time I've looked down at someone\since I started high school club activities.\Don't weep with joy about it!\You're not looking that far down!\Hey! Noya-san.\Hey, Ryu.\Nishinoya. response:	Hi.
context: It's the first time I've looked down at someone\since I started high school club activities.\Don't weep with joy about it!\You're not looking that far down!\Hey! Noya-san.\Hey, Ryu.\Nishinoya.\Hi. response:	Let me introduce you.
context: since I started high school club activities.\Don't weep with joy about it!\You're not looking that far down!\Hey! Noya-san.\Hey, Ryu.\Nishinoya.\Hi.\Let me introduce you. response:	This is Nishinoya, second-year.
context: Don't weep with joy about it!\You're not looking that far down!\Hey! Noya-san.\Hey, Ryu.\Nishinoya.\Hi.\Let me introduce you.\This is Nishinoya, second-year. response:	Hi.
context: You're not looking that far down!\Hey! Noya-san.\Hey, Ryu.\Nishinoya.\Hi.\Let me introduce you.\This is Nishinoya, second-year.\Hi. response:	Hi. You guys are first-years, huh?
context: Hey! Noya-san.\Hey, Ryu.\Nishinoya.\Hi.\Let me introduce you.\This is Nishinoya, second-year.\Hi.\Hi. You guys are first-years, huh? response:	You, the guy doing serves.
context: Hey, Ryu.\Nishinoya.\Hi.\Let me introduce you.\This is Nishinoya, second-year.\Hi.\Hi. You guys are first-years, huh?\You, the guy doing serves. response:	The tall guy with the nasty glare.
context: Nishinoya.\Hi.\Let me introduce you.\This is Nishinoya, second-year.\Hi.\Hi. You guys are first-years, huh?\You, the guy doing serves.\The tall guy with the nasty glare. response:	What junior high are you from?
context: Hi.\Let me introduce you.\This is Nishinoya, second-year.\Hi.\Hi. You guys are first-years, huh?\You, the guy doing serves.\The tall guy with the nasty glare.\What junior high are you from? response:	Kitagawa Daiichi.
context: Let me introduce you.\This is Nishinoya, second-year.\Hi.\Hi. You guys are first-years, huh?\You, the guy doing serves.\The tall guy with the nasty glare.\What junior high are you from?\Kitagawa Daiichi. response:	Seriously?
context: This is Nishinoya, second-year.\Hi.\Hi. You guys are first-years, huh?\You, the guy doing serves.\The tall guy with the nasty glare.\What junior high are you from?\Kitagawa Daiichi.\Seriously? response:	That's a power school. No wonder you serve like that.
context: Hi.\Hi. You guys are first-years, huh?\You, the guy doing serves.\The tall guy with the nasty glare.\What junior high are you from?\Kitagawa Daiichi.\Seriously?\That's a power school. No wonder you serve like that. response:	We played against you guys and lost 2 to 1.
context: Hi. You guys are first-years, huh?\You, the guy doing serves.\The tall guy with the nasty glare.\What junior high are you from?\Kitagawa Daiichi.\Seriously?\That's a power school. No wonder you serve like that.\We played against you guys and lost 2 to 1. response:	Your serve was amazing then, too.
context: You, the guy doing serves.\The tall guy with the nasty glare.\What junior high are you from?\Kitagawa Daiichi.\Seriously?\That's a power school. No wonder you serve like that.\We played against you guys and lost 2 to 1.\Your serve was amazing then, too. response:	Noisy as ever.
context: The tall guy with the nasty glare.\What junior high are you from?\Kitagawa Daiichi.\Seriously?\That's a power school. No wonder you serve like that.\We played against you guys and lost 2 to 1.\Your serve was amazing then, too.\Noisy as ever. response:	What junior high were you at, Nishinoya-san?
context: What junior high are you from?\Kitagawa Daiichi.\Seriously?\That's a power school. No wonder you serve like that.\We played against you guys and lost 2 to 1.\Your serve was amazing then, too.\Noisy as ever.\What junior high were you at, Nishinoya-san? response:	Chidoriyama.
context: Kitagawa Daiichi.\Seriously?\That's a power school. No wonder you serve like that.\We played against you guys and lost 2 to 1.\Your serve was amazing then, too.\Noisy as ever.\What junior high were you at, Nishinoya-san?\Chidoriyama. response:	That's a power school.
context: Seriously?\That's a power school. No wonder you serve like that.\We played against you guys and lost 2 to 1.\Your serve was amazing then, too.\Noisy as ever.\What junior high were you at, Nishinoya-san?\Chidoriyama.\That's a power school. response:	Why did you come to Karasuno?
context: That's a power school. No wonder you serve like that.\We played against you guys and lost 2 to 1.\Your serve was amazing then, too.\Noisy as ever.\What junior high were you at, Nishinoya-san?\Chidoriyama.\That's a power school.\Why did you come to Karasuno? response:	Because you heard coach Ukai was coming back?
context: We played against you guys and lost 2 to 1.\Your serve was amazing then, too.\Noisy as ever.\What junior high were you at, Nishinoya-san?\Chidoriyama.\That's a power school.\Why did you come to Karasuno?\Because you heard coach Ukai was coming back? response:	No... I came to Karasuno because...
context: Your serve was amazing then, too.\Noisy as ever.\What junior high were you at, Nishinoya-san?\Chidoriyama.\That's a power school.\Why did you come to Karasuno?\Because you heard coach Ukai was coming back?\No... I came to Karasuno because... response:	Because I like the girl's uniform.
context: Noisy as ever.\What junior high were you at, Nishinoya-san?\Chidoriyama.\That's a power school.\Why did you come to Karasuno?\Because you heard coach Ukai was coming back?\No... I came to Karasuno because...\Because I like the girl's uniform. response:	Intensely.
context: What junior high were you at, Nishinoya-san?\Chidoriyama.\That's a power school.\Why did you come to Karasuno?\Because you heard coach Ukai was coming back?\No... I came to Karasuno because...\Because I like the girl's uniform.\Intensely. response:	And the girls have lived up to my expectations.
context: Chidoriyama.\That's a power school.\Why did you come to Karasuno?\Because you heard coach Ukai was coming back?\No... I came to Karasuno because...\Because I like the girl's uniform.\Intensely.\And the girls have lived up to my expectations. response:	And above all...
context: That's a power school.\Why did you come to Karasuno?\Because you heard coach Ukai was coming back?\No... I came to Karasuno because...\Because I like the girl's uniform.\Intensely.\And the girls have lived up to my expectations.\And above all... response:	because of the boy's uniform. In black!
context: Why did you come to Karasuno?\Because you heard coach Ukai was coming back?\No... I came to Karasuno because...\Because I like the girl's uniform.\Intensely.\And the girls have lived up to my expectations.\And above all...\because of the boy's uniform. In black! response:	I wore a blazer in junior high, so I admired this uniform.
context: Because you heard coach Ukai was coming back?\No... I came to Karasuno because...\Because I like the girl's uniform.\Intensely.\And the girls have lived up to my expectations.\And above all...\because of the boy's uniform. In black!\I wore a blazer in junior high, so I admired this uniform. response:	It's not brown or grey, but black!
context: No... I came to Karasuno because...\Because I like the girl's uniform.\Intensely.\And the girls have lived up to my expectations.\And above all...\because of the boy's uniform. In black!\I wore a blazer in junior high, so I admired this uniform.\It's not brown or grey, but black! response:	I know what you mean.
context: Because I like the girl's uniform.\Intensely.\And the girls have lived up to my expectations.\And above all...\because of the boy's uniform. In black!\I wore a blazer in junior high, so I admired this uniform.\It's not brown or grey, but black!\I know what you mean. response:	Karasuno has black uniforms, and the girl's uniform is cute.
context: Intensely.\And the girls have lived up to my expectations.\And above all...\because of the boy's uniform. In black!\I wore a blazer in junior high, so I admired this uniform.\It's not brown or grey, but black!\I know what you mean.\Karasuno has black uniforms, and the girl's uniform is cute. response:	The school's close to home. It was a no-brainer.
context: And the girls have lived up to my expectations.\And above all...\because of the boy's uniform. In black!\I wore a blazer in junior high, so I admired this uniform.\It's not brown or grey, but black!\I know what you mean.\Karasuno has black uniforms, and the girl's uniform is cute.\The school's close to home. It was a no-brainer. response:	Kiyoko-san! I've come to see you!
context: And above all...\because of the boy's uniform. In black!\I wore a blazer in junior high, so I admired this uniform.\It's not brown or grey, but black!\I know what you mean.\Karasuno has black uniforms, and the girl's uniform is cute.\The school's close to home. It was a no-brainer.\Kiyoko-san! I've come to see you! response:	He's like a hurricane, as usual.
context: because of the boy's uniform. In black!\I wore a blazer in junior high, so I admired this uniform.\It's not brown or grey, but black!\I know what you mean.\Karasuno has black uniforms, and the girl's uniform is cute.\The school's close to home. It was a no-brainer.\Kiyoko-san! I've come to see you!\He's like a hurricane, as usual. response:	A guerilla downpour.
context: I wore a blazer in junior high, so I admired this uniform.\It's not brown or grey, but black!\I know what you mean.\Karasuno has black uniforms, and the girl's uniform is cute.\The school's close to home. It was a no-brainer.\Kiyoko-san! I've come to see you!\He's like a hurricane, as usual.\A guerilla downpour. response:	Quite the noisemaker, isn't he?
context: It's not brown or grey, but black!\I know what you mean.\Karasuno has black uniforms, and the girl's uniform is cute.\The school's close to home. It was a no-brainer.\Kiyoko-san! I've come to see you!\He's like a hurricane, as usual.\A guerilla downpour.\Quite the noisemaker, isn't he? response:	Yet when he plays, he's surprisingly...
context: I know what you mean.\Karasuno has black uniforms, and the girl's uniform is cute.\The school's close to home. It was a no-brainer.\Kiyoko-san! I've come to see you!\He's like a hurricane, as usual.\A guerilla downpour.\Quite the noisemaker, isn't he?\Yet when he plays, he's surprisingly... response:	And? Where's Asahi-san? Did he come back?
context: Karasuno has black uniforms, and the girl's uniform is cute.\The school's close to home. It was a no-brainer.\Kiyoko-san! I've come to see you!\He's like a hurricane, as usual.\A guerilla downpour.\Quite the noisemaker, isn't he?\Yet when he plays, he's surprisingly...\And? Where's Asahi-san? Did he come back? response:	No.
context: The school's close to home. It was a no-brainer.\Kiyoko-san! I've come to see you!\He's like a hurricane, as usual.\A guerilla downpour.\Quite the noisemaker, isn't he?\Yet when he plays, he's surprisingly...\And? Where's Asahi-san? Did he come back?\No. response:	That wimp!
context: Kiyoko-san! I've come to see you!\He's like a hurricane, as usual.\A guerilla downpour.\Quite the noisemaker, isn't he?\Yet when he plays, he's surprisingly...\And? Where's Asahi-san? Did he come back?\No.\That wimp! response:	Hey, Noya! Don't talk like that about your senpai!
