context: Koizumi. response:	Can't you pull a better face than that?
context: Koizumi.\Can't you pull a better face than that? response:	What?
context: Koizumi.\Can't you pull a better face than that?\What? response:	But...
context: Koizumi.\Can't you pull a better face than that?\What?\But... response:	Do you have a fever again?
context: Koizumi.\Can't you pull a better face than that?\What?\But...\Do you have a fever again? response:	It's not like that.
context: Koizumi.\Can't you pull a better face than that?\What?\But...\Do you have a fever again?\It's not like that. response:	Ah... Not like that... Not like that...
context: Koizumi.\Can't you pull a better face than that?\What?\But...\Do you have a fever again?\It's not like that.\Ah... Not like that... Not like that... response:	Don't laugh.
context: Koizumi.\Can't you pull a better face than that?\What?\But...\Do you have a fever again?\It's not like that.\Ah... Not like that... Not like that...\Don't laugh. response:	Then...
context: Can't you pull a better face than that?\What?\But...\Do you have a fever again?\It's not like that.\Ah... Not like that... Not like that...\Don't laugh.\Then... response:	Am I still dreaming?
context: What?\But...\Do you have a fever again?\It's not like that.\Ah... Not like that... Not like that...\Don't laugh.\Then...\Am I still dreaming? response:	Sudden Downturn! The First Date is the Beginning of Misfortune
context: But...\Do you have a fever again?\It's not like that.\Ah... Not like that... Not like that...\Don't laugh.\Then...\Am I still dreaming?\Sudden Downturn! The First Date is the Beginning of Misfortune response:	I thought my heart was going to burst.
context: Do you have a fever again?\It's not like that.\Ah... Not like that... Not like that...\Don't laugh.\Then...\Am I still dreaming?\Sudden Downturn! The First Date is the Beginning of Misfortune\I thought my heart was going to burst. response:	I couldn't sleep at all last night.
context: It's not like that.\Ah... Not like that... Not like that...\Don't laugh.\Then...\Am I still dreaming?\Sudden Downturn! The First Date is the Beginning of Misfortune\I thought my heart was going to burst.\I couldn't sleep at all last night. response:	At this rate, I'll die of heart failure, thanks to Otani.
context: Ah... Not like that... Not like that...\Don't laugh.\Then...\Am I still dreaming?\Sudden Downturn! The First Date is the Beginning of Misfortune\I thought my heart was going to burst.\I couldn't sleep at all last night.\At this rate, I'll die of heart failure, thanks to Otani. response:	Risa, do you have summer classes again today?
context: Don't laugh.\Then...\Am I still dreaming?\Sudden Downturn! The First Date is the Beginning of Misfortune\I thought my heart was going to burst.\I couldn't sleep at all last night.\At this rate, I'll die of heart failure, thanks to Otani.\Risa, do you have summer classes again today? response:	You've really got to get it together, don't you?
context: Then...\Am I still dreaming?\Sudden Downturn! The First Date is the Beginning of Misfortune\I thought my heart was going to burst.\I couldn't sleep at all last night.\At this rate, I'll die of heart failure, thanks to Otani.\Risa, do you have summer classes again today?\You've really got to get it together, don't you? response:	Your future will be something to look forward to.
context: Am I still dreaming?\Sudden Downturn! The First Date is the Beginning of Misfortune\I thought my heart was going to burst.\I couldn't sleep at all last night.\At this rate, I'll die of heart failure, thanks to Otani.\Risa, do you have summer classes again today?\You've really got to get it together, don't you?\Your future will be something to look forward to. response:	I'm just... no good without you, Koizumi.
context: Sudden Downturn! The First Date is the Beginning of Misfortune\I thought my heart was going to burst.\I couldn't sleep at all last night.\At this rate, I'll die of heart failure, thanks to Otani.\Risa, do you have summer classes again today?\You've really got to get it together, don't you?\Your future will be something to look forward to.\I'm just... no good without you, Koizumi. response:	So this and that really weren't dreams.
context: I thought my heart was going to burst.\I couldn't sleep at all last night.\At this rate, I'll die of heart failure, thanks to Otani.\Risa, do you have summer classes again today?\You've really got to get it together, don't you?\Your future will be something to look forward to.\I'm just... no good without you, Koizumi.\So this and that really weren't dreams. response:	What are you, some old geezer? Your bangs are completely flat!
context: I couldn't sleep at all last night.\At this rate, I'll die of heart failure, thanks to Otani.\Risa, do you have summer classes again today?\You've really got to get it together, don't you?\Your future will be something to look forward to.\I'm just... no good without you, Koizumi.\So this and that really weren't dreams.\What are you, some old geezer? Your bangs are completely flat! response:	Well, I was wearing a hat, so...
context: At this rate, I'll die of heart failure, thanks to Otani.\Risa, do you have summer classes again today?\You've really got to get it together, don't you?\Your future will be something to look forward to.\I'm just... no good without you, Koizumi.\So this and that really weren't dreams.\What are you, some old geezer? Your bangs are completely flat!\Well, I was wearing a hat, so... response:	Good morning!
context: Risa, do you have summer classes again today?\You've really got to get it together, don't you?\Your future will be something to look forward to.\I'm just... no good without you, Koizumi.\So this and that really weren't dreams.\What are you, some old geezer? Your bangs are completely flat!\Well, I was wearing a hat, so...\Good morning! response:	Good morning.
context: You've really got to get it together, don't you?\Your future will be something to look forward to.\I'm just... no good without you, Koizumi.\So this and that really weren't dreams.\What are you, some old geezer? Your bangs are completely flat!\Well, I was wearing a hat, so...\Good morning!\Good morning. response:	Good... morn...
context: Your future will be something to look forward to.\I'm just... no good without you, Koizumi.\So this and that really weren't dreams.\What are you, some old geezer? Your bangs are completely flat!\Well, I was wearing a hat, so...\Good morning!\Good morning.\Good... morn... response:	Hey, look.
context: I'm just... no good without you, Koizumi.\So this and that really weren't dreams.\What are you, some old geezer? Your bangs are completely flat!\Well, I was wearing a hat, so...\Good morning!\Good morning.\Good... morn...\Hey, look. response:	Wha-What are you doing wearing that, you idiot?!
context: So this and that really weren't dreams.\What are you, some old geezer? Your bangs are completely flat!\Well, I was wearing a hat, so...\Good morning!\Good morning.\Good... morn...\Hey, look.\Wha-What are you doing wearing that, you idiot?! response:	What? Then just when am I supposed to wear it?
context: What are you, some old geezer? Your bangs are completely flat!\Well, I was wearing a hat, so...\Good morning!\Good morning.\Good... morn...\Hey, look.\Wha-What are you doing wearing that, you idiot?!\What? Then just when am I supposed to wear it? response:	Risa, good morning.
context: Well, I was wearing a hat, so...\Good morning!\Good morning.\Good... morn...\Hey, look.\Wha-What are you doing wearing that, you idiot?!\What? Then just when am I supposed to wear it?\Risa, good morning. response:	Good morning.
