context: What we have here is a model that was made of it. response:	The real one was made of valuable things like gold,
context: What we have here is a model that was made of it.\The real one was made of valuable things like gold, response:	silver, and ivory.
context: What we have here is a model that was made of it.\The real one was made of valuable things like gold,\silver, and ivory. response:	At Tomoeda elementary
context: What we have here is a model that was made of it.\The real one was made of valuable things like gold,\silver, and ivory.\At Tomoeda elementary response:	every term we have a special lesson
context: What we have here is a model that was made of it.\The real one was made of valuable things like gold,\silver, and ivory.\At Tomoeda elementary\every term we have a special lesson response:	where people's parents
context: What we have here is a model that was made of it.\The real one was made of valuable things like gold,\silver, and ivory.\At Tomoeda elementary\every term we have a special lesson\where people's parents response:	talk about their own jobs.
context: What we have here is a model that was made of it.\The real one was made of valuable things like gold,\silver, and ivory.\At Tomoeda elementary\every term we have a special lesson\where people's parents\talk about their own jobs. response:	So, how was such a large pyramid constructed?
context: What we have here is a model that was made of it.\The real one was made of valuable things like gold,\silver, and ivory.\At Tomoeda elementary\every term we have a special lesson\where people's parents\talk about their own jobs.\So, how was such a large pyramid constructed? response:	Yes, today is my dad's turn.
context: The real one was made of valuable things like gold,\silver, and ivory.\At Tomoeda elementary\every term we have a special lesson\where people's parents\talk about their own jobs.\So, how was such a large pyramid constructed?\Yes, today is my dad's turn. response:	He is a college professor.
context: silver, and ivory.\At Tomoeda elementary\every term we have a special lesson\where people's parents\talk about their own jobs.\So, how was such a large pyramid constructed?\Yes, today is my dad's turn.\He is a college professor. response:	This is actually the first time
context: At Tomoeda elementary\every term we have a special lesson\where people's parents\talk about their own jobs.\So, how was such a large pyramid constructed?\Yes, today is my dad's turn.\He is a college professor.\This is actually the first time response:	I have had a class with him.
context: every term we have a special lesson\where people's parents\talk about their own jobs.\So, how was such a large pyramid constructed?\Yes, today is my dad's turn.\He is a college professor.\This is actually the first time\I have had a class with him. response:	I always thought archaeology
context: where people's parents\talk about their own jobs.\So, how was such a large pyramid constructed?\Yes, today is my dad's turn.\He is a college professor.\This is actually the first time\I have had a class with him.\I always thought archaeology response:	seemed difficult,
context: talk about their own jobs.\So, how was such a large pyramid constructed?\Yes, today is my dad's turn.\He is a college professor.\This is actually the first time\I have had a class with him.\I always thought archaeology\seemed difficult, response:	but it seems sorta fun.
context: So, how was such a large pyramid constructed?\Yes, today is my dad's turn.\He is a college professor.\This is actually the first time\I have had a class with him.\I always thought archaeology\seemed difficult,\but it seems sorta fun. response:	In Giza
context: Yes, today is my dad's turn.\He is a college professor.\This is actually the first time\I have had a class with him.\I always thought archaeology\seemed difficult,\but it seems sorta fun.\In Giza response:	the biggest of all the pyramids
context: He is a college professor.\This is actually the first time\I have had a class with him.\I always thought archaeology\seemed difficult,\but it seems sorta fun.\In Giza\the biggest of all the pyramids response:	was said to have taken forty years.
context: This is actually the first time\I have had a class with him.\I always thought archaeology\seemed difficult,\but it seems sorta fun.\In Giza\the biggest of all the pyramids\was said to have taken forty years. response:	There may be some that took longer than that to build.
context: I have had a class with him.\I always thought archaeology\seemed difficult,\but it seems sorta fun.\In Giza\the biggest of all the pyramids\was said to have taken forty years.\There may be some that took longer than that to build. response:	This pyramid is said to have used 2,700,000 stones.
context: I always thought archaeology\seemed difficult,\but it seems sorta fun.\In Giza\the biggest of all the pyramids\was said to have taken forty years.\There may be some that took longer than that to build.\This pyramid is said to have used 2,700,000 stones. response:	Your father is wonderful.
context: seemed difficult,\but it seems sorta fun.\In Giza\the biggest of all the pyramids\was said to have taken forty years.\There may be some that took longer than that to build.\This pyramid is said to have used 2,700,000 stones.\Your father is wonderful. response:	Which means
context: but it seems sorta fun.\In Giza\the biggest of all the pyramids\was said to have taken forty years.\There may be some that took longer than that to build.\This pyramid is said to have used 2,700,000 stones.\Your father is wonderful.\Which means response:	he was a king with great power over the people'
context: In Giza\the biggest of all the pyramids\was said to have taken forty years.\There may be some that took longer than that to build.\This pyramid is said to have used 2,700,000 stones.\Your father is wonderful.\Which means\he was a king with great power over the people' response:	Huh? I thought I had ten minutes left.
context: the biggest of all the pyramids\was said to have taken forty years.\There may be some that took longer than that to build.\This pyramid is said to have used 2,700,000 stones.\Your father is wonderful.\Which means\he was a king with great power over the people'\Huh? I thought I had ten minutes left. response:	It would be nice
context: was said to have taken forty years.\There may be some that took longer than that to build.\This pyramid is said to have used 2,700,000 stones.\Your father is wonderful.\Which means\he was a king with great power over the people'\Huh? I thought I had ten minutes left.\It would be nice response:	if class always felt this short.
context: There may be some that took longer than that to build.\This pyramid is said to have used 2,700,000 stones.\Your father is wonderful.\Which means\he was a king with great power over the people'\Huh? I thought I had ten minutes left.\It would be nice\if class always felt this short. response:	The chime before lunchtime
context: This pyramid is said to have used 2,700,000 stones.\Your father is wonderful.\Which means\he was a king with great power over the people'\Huh? I thought I had ten minutes left.\It would be nice\if class always felt this short.\The chime before lunchtime response:	never seems to come
context: Your father is wonderful.\Which means\he was a king with great power over the people'\Huh? I thought I had ten minutes left.\It would be nice\if class always felt this short.\The chime before lunchtime\never seems to come response:	and the one to end breaks always comes
context: Which means\he was a king with great power over the people'\Huh? I thought I had ten minutes left.\It would be nice\if class always felt this short.\The chime before lunchtime\never seems to come\and the one to end breaks always comes response:	right away.
context: he was a king with great power over the people'\Huh? I thought I had ten minutes left.\It would be nice\if class always felt this short.\The chime before lunchtime\never seems to come\and the one to end breaks always comes\right away. response:	Is it true that there is a curse of the pharaohs?
context: Huh? I thought I had ten minutes left.\It would be nice\if class always felt this short.\The chime before lunchtime\never seems to come\and the one to end breaks always comes\right away.\Is it true that there is a curse of the pharaohs? response:	That's a difficult question.
context: It would be nice\if class always felt this short.\The chime before lunchtime\never seems to come\and the one to end breaks always comes\right away.\Is it true that there is a curse of the pharaohs?\That's a difficult question. response:	They say many people who have disturbed the graves of kings
context: if class always felt this short.\The chime before lunchtime\never seems to come\and the one to end breaks always comes\right away.\Is it true that there is a curse of the pharaohs?\That's a difficult question.\They say many people who have disturbed the graves of kings response:	have been cursed.
context: The chime before lunchtime\never seems to come\and the one to end breaks always comes\right away.\Is it true that there is a curse of the pharaohs?\That's a difficult question.\They say many people who have disturbed the graves of kings\have been cursed. response:	But then pyramids were not always graves.
context: never seems to come\and the one to end breaks always comes\right away.\Is it true that there is a curse of the pharaohs?\That's a difficult question.\They say many people who have disturbed the graves of kings\have been cursed.\But then pyramids were not always graves. response:	Eh?
context: and the one to end breaks always comes\right away.\Is it true that there is a curse of the pharaohs?\That's a difficult question.\They say many people who have disturbed the graves of kings\have been cursed.\But then pyramids were not always graves.\Eh? response:	There was one king in Egypt
context: right away.\Is it true that there is a curse of the pharaohs?\That's a difficult question.\They say many people who have disturbed the graves of kings\have been cursed.\But then pyramids were not always graves.\Eh?\There was one king in Egypt response:	who was said to have made at least five pyramids.
context: Is it true that there is a curse of the pharaohs?\That's a difficult question.\They say many people who have disturbed the graves of kings\have been cursed.\But then pyramids were not always graves.\Eh?\There was one king in Egypt\who was said to have made at least five pyramids. response:	Five?
context: That's a difficult question.\They say many people who have disturbed the graves of kings\have been cursed.\But then pyramids were not always graves.\Eh?\There was one king in Egypt\who was said to have made at least five pyramids.\Five? response:	Strange isn't it,
context: They say many people who have disturbed the graves of kings\have been cursed.\But then pyramids were not always graves.\Eh?\There was one king in Egypt\who was said to have made at least five pyramids.\Five?\Strange isn't it, response:	to have five graves?
context: have been cursed.\But then pyramids were not always graves.\Eh?\There was one king in Egypt\who was said to have made at least five pyramids.\Five?\Strange isn't it,\to have five graves? response:	But then there are many pyramids with people in them.
context: But then pyramids were not always graves.\Eh?\There was one king in Egypt\who was said to have made at least five pyramids.\Five?\Strange isn't it,\to have five graves?\But then there are many pyramids with people in them. response:	What were they made for?
context: Eh?\There was one king in Egypt\who was said to have made at least five pyramids.\Five?\Strange isn't it,\to have five graves?\But then there are many pyramids with people in them.\What were they made for? response:	You seem to like this sort of subject.
context: There was one king in Egypt\who was said to have made at least five pyramids.\Five?\Strange isn't it,\to have five graves?\But then there are many pyramids with people in them.\What were they made for?\You seem to like this sort of subject. response:	Yes.
context: who was said to have made at least five pyramids.\Five?\Strange isn't it,\to have five graves?\But then there are many pyramids with people in them.\What were they made for?\You seem to like this sort of subject.\Yes. response:	If you are interested come over to our house sometime.
context: Five?\Strange isn't it,\to have five graves?\But then there are many pyramids with people in them.\What were they made for?\You seem to like this sort of subject.\Yes.\If you are interested come over to our house sometime. response:	I have even more interesting examples.
context: Strange isn't it,\to have five graves?\But then there are many pyramids with people in them.\What were they made for?\You seem to like this sort of subject.\Yes.\If you are interested come over to our house sometime.\I have even more interesting examples. response:	May I?
context: to have five graves?\But then there are many pyramids with people in them.\What were they made for?\You seem to like this sort of subject.\Yes.\If you are interested come over to our house sometime.\I have even more interesting examples.\May I? response:	Of course.
