context: A Nightmare Super-Transformation!! Freeza's Battle Power of One Million response:	What kind of transformation is this? You're making us laugh!
context: A Nightmare Super-Transformation!! Freeza's Battle Power of One Million\What kind of transformation is this? You're making us laugh! response:	To think that taking that off to become more nimble is your idea of transforming...
context: A Nightmare Super-Transformation!! Freeza's Battle Power of One Million\What kind of transformation is this? You're making us laugh!\To think that taking that off to become more nimble is your idea of transforming... response:	Vegeta-san, I am so disappointed in you. And after I looked after you the way I did.
context: A Nightmare Super-Transformation!! Freeza's Battle Power of One Million\What kind of transformation is this? You're making us laugh!\To think that taking that off to become more nimble is your idea of transforming...\Vegeta-san, I am so disappointed in you. And after I looked after you the way I did. response:	If only you had peaceably submitted to me, you would not have to experience this horror now.
context: A Nightmare Super-Transformation!! Freeza's Battle Power of One Million\What kind of transformation is this? You're making us laugh!\To think that taking that off to become more nimble is your idea of transforming...\Vegeta-san, I am so disappointed in you. And after I looked after you the way I did.\If only you had peaceably submitted to me, you would not have to experience this horror now. response:	What are you babbling about? I never submitted myself to you!
context: A Nightmare Super-Transformation!! Freeza's Battle Power of One Million\What kind of transformation is this? You're making us laugh!\To think that taking that off to become more nimble is your idea of transforming...\Vegeta-san, I am so disappointed in you. And after I looked after you the way I did.\If only you had peaceably submitted to me, you would not have to experience this horror now.\What are you babbling about? I never submitted myself to you! response:	I was just pretending to submit, all the while waiting for the right moment to come along, so I could defeat you!
context: A Nightmare Super-Transformation!! Freeza's Battle Power of One Million\What kind of transformation is this? You're making us laugh!\To think that taking that off to become more nimble is your idea of transforming...\Vegeta-san, I am so disappointed in you. And after I looked after you the way I did.\If only you had peaceably submitted to me, you would not have to experience this horror now.\What are you babbling about? I never submitted myself to you!\I was just pretending to submit, all the while waiting for the right moment to come along, so I could defeat you! response:	Yes, that is one of the poor habits you Saiyajins had.
context: A Nightmare Super-Transformation!! Freeza's Battle Power of One Million\What kind of transformation is this? You're making us laugh!\To think that taking that off to become more nimble is your idea of transforming...\Vegeta-san, I am so disappointed in you. And after I looked after you the way I did.\If only you had peaceably submitted to me, you would not have to experience this horror now.\What are you babbling about? I never submitted myself to you!\I was just pretending to submit, all the while waiting for the right moment to come along, so I could defeat you!\Yes, that is one of the poor habits you Saiyajins had. response:	Take your own father,
context: What kind of transformation is this? You're making us laugh!\To think that taking that off to become more nimble is your idea of transforming...\Vegeta-san, I am so disappointed in you. And after I looked after you the way I did.\If only you had peaceably submitted to me, you would not have to experience this horror now.\What are you babbling about? I never submitted myself to you!\I was just pretending to submit, all the while waiting for the right moment to come along, so I could defeat you!\Yes, that is one of the poor habits you Saiyajins had.\Take your own father, response:	the king of Planet Vegeta, who was the same way.
context: To think that taking that off to become more nimble is your idea of transforming...\Vegeta-san, I am so disappointed in you. And after I looked after you the way I did.\If only you had peaceably submitted to me, you would not have to experience this horror now.\What are you babbling about? I never submitted myself to you!\I was just pretending to submit, all the while waiting for the right moment to come along, so I could defeat you!\Yes, that is one of the poor habits you Saiyajins had.\Take your own father,\the king of Planet Vegeta, who was the same way. response:	What's this? You say the occupation of Planet Tapp is still not complete?
context: Vegeta-san, I am so disappointed in you. And after I looked after you the way I did.\If only you had peaceably submitted to me, you would not have to experience this horror now.\What are you babbling about? I never submitted myself to you!\I was just pretending to submit, all the while waiting for the right moment to come along, so I could defeat you!\Yes, that is one of the poor habits you Saiyajins had.\Take your own father,\the king of Planet Vegeta, who was the same way.\What's this? You say the occupation of Planet Tapp is still not complete? response:	Y- Yes, sir. The Tappans' resistance is proving tougher than we anticipated.
