context: You mean... response:	Don't worry.
context: You mean...\Don't worry. response:	I'm sure I'll grant your wish.
context: You mean...\Don't worry.\I'm sure I'll grant your wish. response:	Nonoka?
context: You mean...\Don't worry.\I'm sure I'll grant your wish.\Nonoka? response:	Everyone
context: You mean...\Don't worry.\I'm sure I'll grant your wish.\Nonoka?\Everyone response:	was together.
context: You mean...\Don't worry.\I'm sure I'll grant your wish.\Nonoka?\Everyone\was together. response:	Yuzuki. Koharu. Mizusaka-kun.
context: You mean...\Don't worry.\I'm sure I'll grant your wish.\Nonoka?\Everyone\was together.\Yuzuki. Koharu. Mizusaka-kun. response:	And Togawa-san.
context: You mean...\Don't worry.\I'm sure I'll grant your wish.\Nonoka?\Everyone\was together.\Yuzuki. Koharu. Mizusaka-kun.\And Togawa-san. response:	Nonoka...
context: Don't worry.\I'm sure I'll grant your wish.\Nonoka?\Everyone\was together.\Yuzuki. Koharu. Mizusaka-kun.\And Togawa-san.\Nonoka... response:	Guys!
context: I'm sure I'll grant your wish.\Nonoka?\Everyone\was together.\Yuzuki. Koharu. Mizusaka-kun.\And Togawa-san.\Nonoka...\Guys! response:	Look, Nonoka, everyone's here.
context: Nonoka?\Everyone\was together.\Yuzuki. Koharu. Mizusaka-kun.\And Togawa-san.\Nonoka...\Guys!\Look, Nonoka, everyone's here. response:	That means...
context: Everyone\was together.\Yuzuki. Koharu. Mizusaka-kun.\And Togawa-san.\Nonoka...\Guys!\Look, Nonoka, everyone's here.\That means... response:	We're all here! We're all here! We're all here!
context: was together.\Yuzuki. Koharu. Mizusaka-kun.\And Togawa-san.\Nonoka...\Guys!\Look, Nonoka, everyone's here.\That means...\We're all here! We're all here! We're all here! response:	There's something I need to tell you.
context: Yuzuki. Koharu. Mizusaka-kun.\And Togawa-san.\Nonoka...\Guys!\Look, Nonoka, everyone's here.\That means...\We're all here! We're all here! We're all here!\There's something I need to tell you. response:	We should go back down the mountain before it gets dark.
context: And Togawa-san.\Nonoka...\Guys!\Look, Nonoka, everyone's here.\That means...\We're all here! We're all here! We're all here!\There's something I need to tell you.\We should go back down the mountain before it gets dark. response:	That's right.
context: Nonoka...\Guys!\Look, Nonoka, everyone's here.\That means...\We're all here! We're all here! We're all here!\There's something I need to tell you.\We should go back down the mountain before it gets dark.\That's right. response:	Let's meet up with the teachers first.
context: Guys!\Look, Nonoka, everyone's here.\That means...\We're all here! We're all here! We're all here!\There's something I need to tell you.\We should go back down the mountain before it gets dark.\That's right.\Let's meet up with the teachers first. response:	Okay, Nonoka?
context: Look, Nonoka, everyone's here.\That means...\We're all here! We're all here! We're all here!\There's something I need to tell you.\We should go back down the mountain before it gets dark.\That's right.\Let's meet up with the teachers first.\Okay, Nonoka? response:	Wait!
context: That means...\We're all here! We're all here! We're all here!\There's something I need to tell you.\We should go back down the mountain before it gets dark.\That's right.\Let's meet up with the teachers first.\Okay, Nonoka?\Wait! response:	I'd forgotten.
context: We're all here! We're all here! We're all here!\There's something I need to tell you.\We should go back down the mountain before it gets dark.\That's right.\Let's meet up with the teachers first.\Okay, Nonoka?\Wait!\I'd forgotten. response:	About the observatory, and about the time we all played together.
