context: I happened to witness something outrageous. response:	Isn't that what people call...
context: I happened to witness something outrageous.\Isn't that what people call... response:	a love triangle exposed?
context: I happened to witness something outrageous.\Isn't that what people call...\a love triangle exposed? response:	Min-
context: I happened to witness something outrageous.\Isn't that what people call...\a love triangle exposed?\Min- response:	Minko...
context: I happened to witness something outrageous.\Isn't that what people call...\a love triangle exposed?\Min-\Minko... response:	H-Hey...
context: I happened to witness something outrageous.\Isn't that what people call...\a love triangle exposed?\Min-\Minko...\H-Hey... response:	Shut up.
context: I happened to witness something outrageous.\Isn't that what people call...\a love triangle exposed?\Min-\Minko...\H-Hey...\Shut up. response:	Don't talk to me. Don't even breathe!
context: I happened to witness something outrageous.\Isn't that what people call...\a love triangle exposed?\Min-\Minko...\H-Hey...\Shut up.\Don't talk to me. Don't even breathe! response:	But then I'll die...
context: Isn't that what people call...\a love triangle exposed?\Min-\Minko...\H-Hey...\Shut up.\Don't talk to me. Don't even breathe!\But then I'll die... response:	Morning, Ohana.
context: a love triangle exposed?\Min-\Minko...\H-Hey...\Shut up.\Don't talk to me. Don't even breathe!\But then I'll die...\Morning, Ohana. response:	Minchi?
context: Min-\Minko...\H-Hey...\Shut up.\Don't talk to me. Don't even breathe!\But then I'll die...\Morning, Ohana.\Minchi? response:	What's wrong with her?
context: Minko...\H-Hey...\Shut up.\Don't talk to me. Don't even breathe!\But then I'll die...\Morning, Ohana.\Minchi?\What's wrong with her? response:	Has something happened, Ohana?
context: H-Hey...\Shut up.\Don't talk to me. Don't even breathe!\But then I'll die...\Morning, Ohana.\Minchi?\What's wrong with her?\Has something happened, Ohana? response:	Umm...
context: Shut up.\Don't talk to me. Don't even breathe!\But then I'll die...\Morning, Ohana.\Minchi?\What's wrong with her?\Has something happened, Ohana?\Umm... response:	Well...
context: Don't talk to me. Don't even breathe!\But then I'll die...\Morning, Ohana.\Minchi?\What's wrong with her?\Has something happened, Ohana?\Umm...\Well... response:	What?!
context: But then I'll die...\Morning, Ohana.\Minchi?\What's wrong with her?\Has something happened, Ohana?\Umm...\Well...\What?! response:	Tohru?!
context: Morning, Ohana.\Minchi?\What's wrong with her?\Has something happened, Ohana?\Umm...\Well...\What?!\Tohru?! response:	But why Fukuya?!
context: Minchi?\What's wrong with her?\Has something happened, Ohana?\Umm...\Well...\What?!\Tohru?!\But why Fukuya?! response:	I'm just so lost...
context: What's wrong with her?\Has something happened, Ohana?\Umm...\Well...\What?!\Tohru?!\But why Fukuya?!\I'm just so lost... response:	Would you mind...
context: Has something happened, Ohana?\Umm...\Well...\What?!\Tohru?!\But why Fukuya?!\I'm just so lost...\Would you mind... response:	Minko.
context: Umm...\Well...\What?!\Tohru?!\But why Fukuya?!\I'm just so lost...\Would you mind...\Minko. response:	Fetch me a grater from storage.
context: Well...\What?!\Tohru?!\But why Fukuya?!\I'm just so lost...\Would you mind...\Minko.\Fetch me a grater from storage. response:	Yes, sir.
context: What?!\Tohru?!\But why Fukuya?!\I'm just so lost...\Would you mind...\Minko.\Fetch me a grater from storage.\Yes, sir. response:	Tohru's late today, isn't he?
context: Tohru?!\But why Fukuya?!\I'm just so lost...\Would you mind...\Minko.\Fetch me a grater from storage.\Yes, sir.\Tohru's late today, isn't he? response:	He's not coming in today.
context: But why Fukuya?!\I'm just so lost...\Would you mind...\Minko.\Fetch me a grater from storage.\Yes, sir.\Tohru's late today, isn't he?\He's not coming in today. response:	What do you mean?!
context: I'm just so lost...\Would you mind...\Minko.\Fetch me a grater from storage.\Yes, sir.\Tohru's late today, isn't he?\He's not coming in today.\What do you mean?! response:	I need that grater now.
context: Would you mind...\Minko.\Fetch me a grater from storage.\Yes, sir.\Tohru's late today, isn't he?\He's not coming in today.\What do you mean?!\I need that grater now. response:	Yes, sir.
context: Minko.\Fetch me a grater from storage.\Yes, sir.\Tohru's late today, isn't he?\He's not coming in today.\What do you mean?!\I need that grater now.\Yes, sir. response:	Episode 5: A Tearful Chef Romance
context: Fetch me a grater from storage.\Yes, sir.\Tohru's late today, isn't he?\He's not coming in today.\What do you mean?!\I need that grater now.\Yes, sir.\Episode 5: A Tearful Chef Romance response:	He's been offered a better job elsewhere?!
context: Yes, sir.\Tohru's late today, isn't he?\He's not coming in today.\What do you mean?!\I need that grater now.\Yes, sir.\Episode 5: A Tearful Chef Romance\He's been offered a better job elsewhere?! response:	That's what I've concluded
context: Tohru's late today, isn't he?\He's not coming in today.\What do you mean?!\I need that grater now.\Yes, sir.\Episode 5: A Tearful Chef Romance\He's been offered a better job elsewhere?!\That's what I've concluded response:	from the information I've gathered.
context: He's not coming in today.\What do you mean?!\I need that grater now.\Yes, sir.\Episode 5: A Tearful Chef Romance\He's been offered a better job elsewhere?!\That's what I've concluded\from the information I've gathered. response:	What information?
context: What do you mean?!\I need that grater now.\Yes, sir.\Episode 5: A Tearful Chef Romance\He's been offered a better job elsewhere?!\That's what I've concluded\from the information I've gathered.\What information? response:	I always thought that
context: I need that grater now.\Yes, sir.\Episode 5: A Tearful Chef Romance\He's been offered a better job elsewhere?!\That's what I've concluded\from the information I've gathered.\What information?\I always thought that response:	I was more suited to writing a detective novel
context: Yes, sir.\Episode 5: A Tearful Chef Romance\He's been offered a better job elsewhere?!\That's what I've concluded\from the information I've gathered.\What information?\I always thought that\I was more suited to writing a detective novel response:	than erotica.
context: Episode 5: A Tearful Chef Romance\He's been offered a better job elsewhere?!\That's what I've concluded\from the information I've gathered.\What information?\I always thought that\I was more suited to writing a detective novel\than erotica. response:	In order to write my novel with
context: He's been offered a better job elsewhere?!\That's what I've concluded\from the information I've gathered.\What information?\I always thought that\I was more suited to writing a detective novel\than erotica.\In order to write my novel with response:	this shabby hot spring district as the background,
context: That's what I've concluded\from the information I've gathered.\What information?\I always thought that\I was more suited to writing a detective novel\than erotica.\In order to write my novel with\this shabby hot spring district as the background, response:	I've been gathering information
context: from the information I've gathered.\What information?\I always thought that\I was more suited to writing a detective novel\than erotica.\In order to write my novel with\this shabby hot spring district as the background,\I've been gathering information response:	about the people here and their secrets.
context: What information?\I always thought that\I was more suited to writing a detective novel\than erotica.\In order to write my novel with\this shabby hot spring district as the background,\I've been gathering information\about the people here and their secrets. response:	Wow, a detective novel...
context: I always thought that\I was more suited to writing a detective novel\than erotica.\In order to write my novel with\this shabby hot spring district as the background,\I've been gathering information\about the people here and their secrets.\Wow, a detective novel... response:	Who cares about that?!
context: I was more suited to writing a detective novel\than erotica.\In order to write my novel with\this shabby hot spring district as the background,\I've been gathering information\about the people here and their secrets.\Wow, a detective novel...\Who cares about that?! response:	We need to discuss Tohru's job offer!
context: than erotica.\In order to write my novel with\this shabby hot spring district as the background,\I've been gathering information\about the people here and their secrets.\Wow, a detective novel...\Who cares about that?!\We need to discuss Tohru's job offer! response:	Who cares?
context: In order to write my novel with\this shabby hot spring district as the background,\I've been gathering information\about the people here and their secrets.\Wow, a detective novel...\Who cares about that?!\We need to discuss Tohru's job offer!\Who cares? response:	Whatever.
context: this shabby hot spring district as the background,\I've been gathering information\about the people here and their secrets.\Wow, a detective novel...\Who cares about that?!\We need to discuss Tohru's job offer!\Who cares?\Whatever. response:	Did you know that...
context: I've been gathering information\about the people here and their secrets.\Wow, a detective novel...\Who cares about that?!\We need to discuss Tohru's job offer!\Who cares?\Whatever.\Did you know that... response:	our manager and Fukuya's manager
