context: Inferior Terran scum! Don't think that you'll get away with this! response:	The Kataphrakt that defeated Sir Vlad was orange in color, correct?
context: Inferior Terran scum! Don't think that you'll get away with this!\The Kataphrakt that defeated Sir Vlad was orange in color, correct? response:	Every last Terran is the enemy!
context: Inferior Terran scum! Don't think that you'll get away with this!\The Kataphrakt that defeated Sir Vlad was orange in color, correct?\Every last Terran is the enemy! response:	Your Sky Carrier carried the Argyre. You saw it happen, correct?
context: Inferior Terran scum! Don't think that you'll get away with this!\The Kataphrakt that defeated Sir Vlad was orange in color, correct?\Every last Terran is the enemy!\Your Sky Carrier carried the Argyre. You saw it happen, correct? response:	That's right... He was killed by that devious orange bastard!
context: Inferior Terran scum! Don't think that you'll get away with this!\The Kataphrakt that defeated Sir Vlad was orange in color, correct?\Every last Terran is the enemy!\Your Sky Carrier carried the Argyre. You saw it happen, correct?\That's right... He was killed by that devious orange bastard! response:	Only two Orbital Knights have been defeated
context: Inferior Terran scum! Don't think that you'll get away with this!\The Kataphrakt that defeated Sir Vlad was orange in color, correct?\Every last Terran is the enemy!\Your Sky Carrier carried the Argyre. You saw it happen, correct?\That's right... He was killed by that devious orange bastard!\Only two Orbital Knights have been defeated response:	by Terran units, Sir Vlad and Sir Trillram.
context: Inferior Terran scum! Don't think that you'll get away with this!\The Kataphrakt that defeated Sir Vlad was orange in color, correct?\Every last Terran is the enemy!\Your Sky Carrier carried the Argyre. You saw it happen, correct?\That's right... He was killed by that devious orange bastard!\Only two Orbital Knights have been defeated\by Terran units, Sir Vlad and Sir Trillram. response:	Also...
context: Inferior Terran scum! Don't think that you'll get away with this!\The Kataphrakt that defeated Sir Vlad was orange in color, correct?\Every last Terran is the enemy!\Your Sky Carrier carried the Argyre. You saw it happen, correct?\That's right... He was killed by that devious orange bastard!\Only two Orbital Knights have been defeated\by Terran units, Sir Vlad and Sir Trillram.\Also... response:	According to this Sky Carrier's data, the ship that it was aboard
context: The Kataphrakt that defeated Sir Vlad was orange in color, correct?\Every last Terran is the enemy!\Your Sky Carrier carried the Argyre. You saw it happen, correct?\That's right... He was killed by that devious orange bastard!\Only two Orbital Knights have been defeated\by Terran units, Sir Vlad and Sir Trillram.\Also...\According to this Sky Carrier's data, the ship that it was aboard response:	was on a south-southwesterly course.
context: Every last Terran is the enemy!\Your Sky Carrier carried the Argyre. You saw it happen, correct?\That's right... He was killed by that devious orange bastard!\Only two Orbital Knights have been defeated\by Terran units, Sir Vlad and Sir Trillram.\Also...\According to this Sky Carrier's data, the ship that it was aboard\was on a south-southwesterly course. response:	I have no hard evidence. It may merely be a coincidence.
context: Your Sky Carrier carried the Argyre. You saw it happen, correct?\That's right... He was killed by that devious orange bastard!\Only two Orbital Knights have been defeated\by Terran units, Sir Vlad and Sir Trillram.\Also...\According to this Sky Carrier's data, the ship that it was aboard\was on a south-southwesterly course.\I have no hard evidence. It may merely be a coincidence. response:	But right now, this is the only lead that I have to go on.
context: That's right... He was killed by that devious orange bastard!\Only two Orbital Knights have been defeated\by Terran units, Sir Vlad and Sir Trillram.\Also...\According to this Sky Carrier's data, the ship that it was aboard\was on a south-southwesterly course.\I have no hard evidence. It may merely be a coincidence.\But right now, this is the only lead that I have to go on. response:	That battle on Tanegashima... My big brother fought in it, too.
context: Only two Orbital Knights have been defeated\by Terran units, Sir Vlad and Sir Trillram.\Also...\According to this Sky Carrier's data, the ship that it was aboard\was on a south-southwesterly course.\I have no hard evidence. It may merely be a coincidence.\But right now, this is the only lead that I have to go on.\That battle on Tanegashima... My big brother fought in it, too. response:	He was killed in action. Murdered, rather. By you.
context: by Terran units, Sir Vlad and Sir Trillram.\Also...\According to this Sky Carrier's data, the ship that it was aboard\was on a south-southwesterly course.\I have no hard evidence. It may merely be a coincidence.\But right now, this is the only lead that I have to go on.\That battle on Tanegashima... My big brother fought in it, too.\He was killed in action. Murdered, rather. By you. response:	Magbaredge is the name of the family that adopted me.
context: Also...\According to this Sky Carrier's data, the ship that it was aboard\was on a south-southwesterly course.\I have no hard evidence. It may merely be a coincidence.\But right now, this is the only lead that I have to go on.\That battle on Tanegashima... My big brother fought in it, too.\He was killed in action. Murdered, rather. By you.\Magbaredge is the name of the family that adopted me. response:	My birth name was Humeray.
context: According to this Sky Carrier's data, the ship that it was aboard\was on a south-southwesterly course.\I have no hard evidence. It may merely be a coincidence.\But right now, this is the only lead that I have to go on.\That battle on Tanegashima... My big brother fought in it, too.\He was killed in action. Murdered, rather. By you.\Magbaredge is the name of the family that adopted me.\My birth name was Humeray. response:	Your best friend was my brother.
context: was on a south-southwesterly course.\I have no hard evidence. It may merely be a coincidence.\But right now, this is the only lead that I have to go on.\That battle on Tanegashima... My big brother fought in it, too.\He was killed in action. Murdered, rather. By you.\Magbaredge is the name of the family that adopted me.\My birth name was Humeray.\Your best friend was my brother. response:	Enemy unit overhead is in a nosedive!
context: I have no hard evidence. It may merely be a coincidence.\But right now, this is the only lead that I have to go on.\That battle on Tanegashima... My big brother fought in it, too.\He was killed in action. Murdered, rather. By you.\Magbaredge is the name of the family that adopted me.\My birth name was Humeray.\Your best friend was my brother.\Enemy unit overhead is in a nosedive! response:	Three others closing in from our flanks!
context: But right now, this is the only lead that I have to go on.\That battle on Tanegashima... My big brother fought in it, too.\He was killed in action. Murdered, rather. By you.\Magbaredge is the name of the family that adopted me.\My birth name was Humeray.\Your best friend was my brother.\Enemy unit overhead is in a nosedive!\Three others closing in from our flanks! response:	It's on a collision course with the bridge!
context: That battle on Tanegashima... My big brother fought in it, too.\He was killed in action. Murdered, rather. By you.\Magbaredge is the name of the family that adopted me.\My birth name was Humeray.\Your best friend was my brother.\Enemy unit overhead is in a nosedive!\Three others closing in from our flanks!\It's on a collision course with the bridge! response:	Direct hit! Last!
context: He was killed in action. Murdered, rather. By you.\Magbaredge is the name of the family that adopted me.\My birth name was Humeray.\Your best friend was my brother.\Enemy unit overhead is in a nosedive!\Three others closing in from our flanks!\It's on a collision course with the bridge!\Direct hit! Last! response:	We won't make it...
context: Magbaredge is the name of the family that adopted me.\My birth name was Humeray.\Your best friend was my brother.\Enemy unit overhead is in a nosedive!\Three others closing in from our flanks!\It's on a collision course with the bridge!\Direct hit! Last!\We won't make it... response:	Out of ammo?
context: My birth name was Humeray.\Your best friend was my brother.\Enemy unit overhead is in a nosedive!\Three others closing in from our flanks!\It's on a collision course with the bridge!\Direct hit! Last!\We won't make it...\Out of ammo? response:	Captain...
context: Your best friend was my brother.\Enemy unit overhead is in a nosedive!\Three others closing in from our flanks!\It's on a collision course with the bridge!\Direct hit! Last!\We won't make it...\Out of ammo?\Captain... response:	This is the end.
context: Enemy unit overhead is in a nosedive!\Three others closing in from our flanks!\It's on a collision course with the bridge!\Direct hit! Last!\We won't make it...\Out of ammo?\Captain...\This is the end. response:	What was that?!
context: Three others closing in from our flanks!\It's on a collision course with the bridge!\Direct hit! Last!\We won't make it...\Out of ammo?\Captain...\This is the end.\What was that?! response:	Huh? We're alive?
context: It's on a collision course with the bridge!\Direct hit! Last!\We won't make it...\Out of ammo?\Captain...\This is the end.\What was that?!\Huh? We're alive? response:	That's...
context: Direct hit! Last!\We won't make it...\Out of ammo?\Captain...\This is the end.\What was that?!\Huh? We're alive?\That's... response:	Damn him... How long is he going to continue making me look the fool?
context: We won't make it...\Out of ammo?\Captain...\This is the end.\What was that?!\Huh? We're alive?\That's...\Damn him... How long is he going to continue making me look the fool? response:	I'm going out in the Tharsis. Prepare me a Sky Carrier!
context: Out of ammo?\Captain...\This is the end.\What was that?!\Huh? We're alive?\That's...\Damn him... How long is he going to continue making me look the fool?\I'm going out in the Tharsis. Prepare me a Sky Carrier! response:	Abide a moment, Count Cruhteo,
context: Captain...\This is the end.\What was that?!\Huh? We're alive?\That's...\Damn him... How long is he going to continue making me look the fool?\I'm going out in the Tharsis. Prepare me a Sky Carrier!\Abide a moment, Count Cruhteo, response:	Milord Saazbaum, why do you stop me?
context: This is the end.\What was that?!\Huh? We're alive?\That's...\Damn him... How long is he going to continue making me look the fool?\I'm going out in the Tharsis. Prepare me a Sky Carrier!\Abide a moment, Count Cruhteo,\Milord Saazbaum, why do you stop me? response:	Did you not request that I capture him alive?
context: What was that?!\Huh? We're alive?\That's...\Damn him... How long is he going to continue making me look the fool?\I'm going out in the Tharsis. Prepare me a Sky Carrier!\Abide a moment, Count Cruhteo,\Milord Saazbaum, why do you stop me?\Did you not request that I capture him alive? response:	I do not wish him to notice your pursuit and alter his destination.
context: Huh? We're alive?\That's...\Damn him... How long is he going to continue making me look the fool?\I'm going out in the Tharsis. Prepare me a Sky Carrier!\Abide a moment, Count Cruhteo,\Milord Saazbaum, why do you stop me?\Did you not request that I capture him alive?\I do not wish him to notice your pursuit and alter his destination. response:	I wish to know where he intends to go.
context: That's...\Damn him... How long is he going to continue making me look the fool?\I'm going out in the Tharsis. Prepare me a Sky Carrier!\Abide a moment, Count Cruhteo,\Milord Saazbaum, why do you stop me?\Did you not request that I capture him alive?\I do not wish him to notice your pursuit and alter his destination.\I wish to know where he intends to go. response:	Meaning?
context: Damn him... How long is he going to continue making me look the fool?\I'm going out in the Tharsis. Prepare me a Sky Carrier!\Abide a moment, Count Cruhteo,\Milord Saazbaum, why do you stop me?\Did you not request that I capture him alive?\I do not wish him to notice your pursuit and alter his destination.\I wish to know where he intends to go.\Meaning? response:	Why do you think that he made use of the Audience Chamber?
context: I'm going out in the Tharsis. Prepare me a Sky Carrier!\Abide a moment, Count Cruhteo,\Milord Saazbaum, why do you stop me?\Did you not request that I capture him alive?\I do not wish him to notice your pursuit and alter his destination.\I wish to know where he intends to go.\Meaning?\Why do you think that he made use of the Audience Chamber? response:	If he is a spy, surely he has accomplices.
context: Abide a moment, Count Cruhteo,\Milord Saazbaum, why do you stop me?\Did you not request that I capture him alive?\I do not wish him to notice your pursuit and alter his destination.\I wish to know where he intends to go.\Meaning?\Why do you think that he made use of the Audience Chamber?\If he is a spy, surely he has accomplices. response:	Worry not.
context: Milord Saazbaum, why do you stop me?\Did you not request that I capture him alive?\I do not wish him to notice your pursuit and alter his destination.\I wish to know where he intends to go.\Meaning?\Why do you think that he made use of the Audience Chamber?\If he is a spy, surely he has accomplices.\Worry not. response:	I shall track him from above.
context: Did you not request that I capture him alive?\I do not wish him to notice your pursuit and alter his destination.\I wish to know where he intends to go.\Meaning?\Why do you think that he made use of the Audience Chamber?\If he is a spy, surely he has accomplices.\Worry not.\I shall track him from above. response:	Enemy reinforcements?
context: I do not wish him to notice your pursuit and alter his destination.\I wish to know where he intends to go.\Meaning?\Why do you think that he made use of the Audience Chamber?\If he is a spy, surely he has accomplices.\Worry not.\I shall track him from above.\Enemy reinforcements? response:	But it stopped the enemy attack.
context: I wish to know where he intends to go.\Meaning?\Why do you think that he made use of the Audience Chamber?\If he is a spy, surely he has accomplices.\Worry not.\I shall track him from above.\Enemy reinforcements?\But it stopped the enemy attack. response:	There's infighting?
context: Meaning?\Why do you think that he made use of the Audience Chamber?\If he is a spy, surely he has accomplices.\Worry not.\I shall track him from above.\Enemy reinforcements?\But it stopped the enemy attack.\There's infighting? response:	Who knows?
context: Why do you think that he made use of the Audience Chamber?\If he is a spy, surely he has accomplices.\Worry not.\I shall track him from above.\Enemy reinforcements?\But it stopped the enemy attack.\There's infighting?\Who knows? response:	They might just be fighting over who gets to make the kill.
context: If he is a spy, surely he has accomplices.\Worry not.\I shall track him from above.\Enemy reinforcements?\But it stopped the enemy attack.\There's infighting?\Who knows?\They might just be fighting over who gets to make the kill. response:	Either is fine.
context: Worry not.\I shall track him from above.\Enemy reinforcements?\But it stopped the enemy attack.\There's infighting?\Who knows?\They might just be fighting over who gets to make the kill.\Either is fine. response:	Even if the enemy of my enemy isn't my friend, he might still be useful.
context: I shall track him from above.\Enemy reinforcements?\But it stopped the enemy attack.\There's infighting?\Who knows?\They might just be fighting over who gets to make the kill.\Either is fine.\Even if the enemy of my enemy isn't my friend, he might still be useful. response:	What clan does this interloper belong to?
context: Enemy reinforcements?\But it stopped the enemy attack.\There's infighting?\Who knows?\They might just be fighting over who gets to make the kill.\Either is fine.\Even if the enemy of my enemy isn't my friend, he might still be useful.\What clan does this interloper belong to? response:	This area has already been laid claim to by Femieanne!
context: But it stopped the enemy attack.\There's infighting?\Who knows?\They might just be fighting over who gets to make the kill.\Either is fine.\Even if the enemy of my enemy isn't my friend, he might still be useful.\What clan does this interloper belong to?\This area has already been laid claim to by Femieanne! response:	I will not tolerate you taking liberties here!
context: There's infighting?\Who knows?\They might just be fighting over who gets to make the kill.\Either is fine.\Even if the enemy of my enemy isn't my friend, he might still be useful.\What clan does this interloper belong to?\This area has already been laid claim to by Femieanne!\I will not tolerate you taking liberties here! response:	Go, my messengers!
context: Who knows?\They might just be fighting over who gets to make the kill.\Either is fine.\Even if the enemy of my enemy isn't my friend, he might still be useful.\What clan does this interloper belong to?\This area has already been laid claim to by Femieanne!\I will not tolerate you taking liberties here!\Go, my messengers! response:	Botis' fingers!
context: They might just be fighting over who gets to make the kill.\Either is fine.\Even if the enemy of my enemy isn't my friend, he might still be useful.\What clan does this interloper belong to?\This area has already been laid claim to by Femieanne!\I will not tolerate you taking liberties here!\Go, my messengers!\Botis' fingers! response:	He'll pay!
context: Either is fine.\Even if the enemy of my enemy isn't my friend, he might still be useful.\What clan does this interloper belong to?\This area has already been laid claim to by Femieanne!\I will not tolerate you taking liberties here!\Go, my messengers!\Botis' fingers!\He'll pay! response:	Lt. Marito!
context: Even if the enemy of my enemy isn't my friend, he might still be useful.\What clan does this interloper belong to?\This area has already been laid claim to by Femieanne!\I will not tolerate you taking liberties here!\Go, my messengers!\Botis' fingers!\He'll pay!\Lt. Marito! response:	Lt. Marito! Are you all right?!
context: What clan does this interloper belong to?\This area has already been laid claim to by Femieanne!\I will not tolerate you taking liberties here!\Go, my messengers!\Botis' fingers!\He'll pay!\Lt. Marito!\Lt. Marito! Are you all right?! response:	Humeray!
context: This area has already been laid claim to by Femieanne!\I will not tolerate you taking liberties here!\Go, my messengers!\Botis' fingers!\He'll pay!\Lt. Marito!\Lt. Marito! Are you all right?!\Humeray! response:	Grab on, Humeray!
context: I will not tolerate you taking liberties here!\Go, my messengers!\Botis' fingers!\He'll pay!\Lt. Marito!\Lt. Marito! Are you all right?!\Humeray!\Grab on, Humeray! response:	Marito...
context: Go, my messengers!\Botis' fingers!\He'll pay!\Lt. Marito!\Lt. Marito! Are you all right?!\Humeray!\Grab on, Humeray!\Marito... response:	Humeray!
context: Botis' fingers!\He'll pay!\Lt. Marito!\Lt. Marito! Are you all right?!\Humeray!\Grab on, Humeray!\Marito...\Humeray! response:	I'll get you out of there, Humeray!
context: He'll pay!\Lt. Marito!\Lt. Marito! Are you all right?!\Humeray!\Grab on, Humeray!\Marito...\Humeray!\I'll get you out of there, Humeray! response:	I can't land a shot!
context: Lt. Marito!\Lt. Marito! Are you all right?!\Humeray!\Grab on, Humeray!\Marito...\Humeray!\I'll get you out of there, Humeray!\I can't land a shot! response:	They've put distance between us. Which means...
context: Lt. Marito! Are you all right?!\Humeray!\Grab on, Humeray!\Marito...\Humeray!\I'll get you out of there, Humeray!\I can't land a shot!\They've put distance between us. Which means... response:	Control! Open the well dock!
context: Humeray!\Grab on, Humeray!\Marito...\Humeray!\I'll get you out of there, Humeray!\I can't land a shot!\They've put distance between us. Which means...\Control! Open the well dock! response:	It's Mustang 22!
context: Grab on, Humeray!\Marito...\Humeray!\I'll get you out of there, Humeray!\I can't land a shot!\They've put distance between us. Which means...\Control! Open the well dock!\It's Mustang 22! response:	Captain...
context: Marito...\Humeray!\I'll get you out of there, Humeray!\I can't land a shot!\They've put distance between us. Which means...\Control! Open the well dock!\It's Mustang 22!\Captain... response:	Kaizuka's brother, huh?
context: Humeray!\I'll get you out of there, Humeray!\I can't land a shot!\They've put distance between us. Which means...\Control! Open the well dock!\It's Mustang 22!\Captain...\Kaizuka's brother, huh? response:	All right, fine.
context: I'll get you out of there, Humeray!\I can't land a shot!\They've put distance between us. Which means...\Control! Open the well dock!\It's Mustang 22!\Captain...\Kaizuka's brother, huh?\All right, fine. response:	Cover your ears!
context: I can't land a shot!\They've put distance between us. Which means...\Control! Open the well dock!\It's Mustang 22!\Captain...\Kaizuka's brother, huh?\All right, fine.\Cover your ears! response:	Cover your ears, everyone!
context: They've put distance between us. Which means...\Control! Open the well dock!\It's Mustang 22!\Captain...\Kaizuka's brother, huh?\All right, fine.\Cover your ears!\Cover your ears, everyone! response:	Mommy!
context: Control! Open the well dock!\It's Mustang 22!\Captain...\Kaizuka's brother, huh?\All right, fine.\Cover your ears!\Cover your ears, everyone!\Mommy! response:	What's that?
context: It's Mustang 22!\Captain...\Kaizuka's brother, huh?\All right, fine.\Cover your ears!\Cover your ears, everyone!\Mommy!\What's that? response:	A hidden dock?
context: Captain...\Kaizuka's brother, huh?\All right, fine.\Cover your ears!\Cover your ears, everyone!\Mommy!\What's that?\A hidden dock? response:	Engine status?
context: Kaizuka's brother, huh?\All right, fine.\Cover your ears!\Cover your ears, everyone!\Mommy!\What's that?\A hidden dock?\Engine status? response:	Still working!
context: All right, fine.\Cover your ears!\Cover your ears, everyone!\Mommy!\What's that?\A hidden dock?\Engine status?\Still working! response:	Hull status?
context: Cover your ears!\Cover your ears, everyone!\Mommy!\What's that?\A hidden dock?\Engine status?\Still working!\Hull status? response:	Holding together, barely.
context: Cover your ears, everyone!\Mommy!\What's that?\A hidden dock?\Engine status?\Still working!\Hull status?\Holding together, barely. response:	No, taking on water!
context: Mommy!\What's that?\A hidden dock?\Engine status?\Still working!\Hull status?\Holding together, barely.\No, taking on water! response:	Make a break for the dock up ahead!
context: What's that?\A hidden dock?\Engine status?\Still working!\Hull status?\Holding together, barely.\No, taking on water!\Make a break for the dock up ahead! response:	A-All ahead full!
context: A hidden dock?\Engine status?\Still working!\Hull status?\Holding together, barely.\No, taking on water!\Make a break for the dock up ahead!\A-All ahead full! response:	H-Hey! Inaho?!
context: Engine status?\Still working!\Hull status?\Holding together, barely.\No, taking on water!\Make a break for the dock up ahead!\A-All ahead full!\H-Hey! Inaho?! response:	Mustang 11! We're going, too!
context: Still working!\Hull status?\Holding together, barely.\No, taking on water!\Make a break for the dock up ahead!\A-All ahead full!\H-Hey! Inaho?!\Mustang 11! We're going, too! response:	Nao, what do you think you're doing? Don't run off like that!
context: Hull status?\Holding together, barely.\No, taking on water!\Make a break for the dock up ahead!\A-All ahead full!\H-Hey! Inaho?!\Mustang 11! We're going, too!\Nao, what do you think you're doing? Don't run off like that! response:	I could say the same to you, Yuki. Who's defending the ship?
context: Holding together, barely.\No, taking on water!\Make a break for the dock up ahead!\A-All ahead full!\H-Hey! Inaho?!\Mustang 11! We're going, too!\Nao, what do you think you're doing? Don't run off like that!\I could say the same to you, Yuki. Who's defending the ship? response:	Listen here, you...
context: No, taking on water!\Make a break for the dock up ahead!\A-All ahead full!\H-Hey! Inaho?!\Mustang 11! We're going, too!\Nao, what do you think you're doing? Don't run off like that!\I could say the same to you, Yuki. Who's defending the ship?\Listen here, you... response:	Machine gun fire. Target: the rock above the gate!
context: Make a break for the dock up ahead!\A-All ahead full!\H-Hey! Inaho?!\Mustang 11! We're going, too!\Nao, what do you think you're doing? Don't run off like that!\I could say the same to you, Yuki. Who's defending the ship?\Listen here, you...\Machine gun fire. Target: the rock above the gate! response:	But, ma'am!
context: A-All ahead full!\H-Hey! Inaho?!\Mustang 11! We're going, too!\Nao, what do you think you're doing? Don't run off like that!\I could say the same to you, Yuki. Who's defending the ship?\Listen here, you...\Machine gun fire. Target: the rock above the gate!\But, ma'am! response:	Fire!
context: H-Hey! Inaho?!\Mustang 11! We're going, too!\Nao, what do you think you're doing? Don't run off like that!\I could say the same to you, Yuki. Who's defending the ship?\Listen here, you...\Machine gun fire. Target: the rock above the gate!\But, ma'am!\Fire! response:	Guys...
context: Mustang 11! We're going, too!\Nao, what do you think you're doing? Don't run off like that!\I could say the same to you, Yuki. Who's defending the ship?\Listen here, you...\Machine gun fire. Target: the rock above the gate!\But, ma'am!\Fire!\Guys... response:	What does that orange Kataphrakt have up its sleeve?
context: Nao, what do you think you're doing? Don't run off like that!\I could say the same to you, Yuki. Who's defending the ship?\Listen here, you...\Machine gun fire. Target: the rock above the gate!\But, ma'am!\Fire!\Guys...\What does that orange Kataphrakt have up its sleeve? response:	All right, now let's deal with that Ashura over there.
context: I could say the same to you, Yuki. Who's defending the ship?\Listen here, you...\Machine gun fire. Target: the rock above the gate!\But, ma'am!\Fire!\Guys...\What does that orange Kataphrakt have up its sleeve?\All right, now let's deal with that Ashura over there. response:	The Landing Castle will soon reach airspace where we can scan the Japanese archipelago.
context: Listen here, you...\Machine gun fire. Target: the rock above the gate!\But, ma'am!\Fire!\Guys...\What does that orange Kataphrakt have up its sleeve?\All right, now let's deal with that Ashura over there.\The Landing Castle will soon reach airspace where we can scan the Japanese archipelago. response:	As soon as we enter the detection area, scan for the Sky Carrier stolen by Slaine Troyard.
context: Machine gun fire. Target: the rock above the gate!\But, ma'am!\Fire!\Guys...\What does that orange Kataphrakt have up its sleeve?\All right, now let's deal with that Ashura over there.\The Landing Castle will soon reach airspace where we can scan the Japanese archipelago.\As soon as we enter the detection area, scan for the Sky Carrier stolen by Slaine Troyard. response:	Princess Asseylum is alive.
context: But, ma'am!\Fire!\Guys...\What does that orange Kataphrakt have up its sleeve?\All right, now let's deal with that Ashura over there.\The Landing Castle will soon reach airspace where we can scan the Japanese archipelago.\As soon as we enter the detection area, scan for the Sky Carrier stolen by Slaine Troyard.\Princess Asseylum is alive. response:	I have seen her with my own two eyes.
context: Fire!\Guys...\What does that orange Kataphrakt have up its sleeve?\All right, now let's deal with that Ashura over there.\The Landing Castle will soon reach airspace where we can scan the Japanese archipelago.\As soon as we enter the detection area, scan for the Sky Carrier stolen by Slaine Troyard.\Princess Asseylum is alive.\I have seen her with my own two eyes. response:	Milord Saazbaum.
context: Guys...\What does that orange Kataphrakt have up its sleeve?\All right, now let's deal with that Ashura over there.\The Landing Castle will soon reach airspace where we can scan the Japanese archipelago.\As soon as we enter the detection area, scan for the Sky Carrier stolen by Slaine Troyard.\Princess Asseylum is alive.\I have seen her with my own two eyes.\Milord Saazbaum. response:	I have located the specified craft.
context: What does that orange Kataphrakt have up its sleeve?\All right, now let's deal with that Ashura over there.\The Landing Castle will soon reach airspace where we can scan the Japanese archipelago.\As soon as we enter the detection area, scan for the Sky Carrier stolen by Slaine Troyard.\Princess Asseylum is alive.\I have seen her with my own two eyes.\Milord Saazbaum.\I have located the specified craft. response:	It is above Tanegashima in the southwestern Japanese archipelago.
context: All right, now let's deal with that Ashura over there.\The Landing Castle will soon reach airspace where we can scan the Japanese archipelago.\As soon as we enter the detection area, scan for the Sky Carrier stolen by Slaine Troyard.\Princess Asseylum is alive.\I have seen her with my own two eyes.\Milord Saazbaum.\I have located the specified craft.\It is above Tanegashima in the southwestern Japanese archipelago. response:	It appears to be engaging Femieanne's Kataphrakt, Hellas.
context: The Landing Castle will soon reach airspace where we can scan the Japanese archipelago.\As soon as we enter the detection area, scan for the Sky Carrier stolen by Slaine Troyard.\Princess Asseylum is alive.\I have seen her with my own two eyes.\Milord Saazbaum.\I have located the specified craft.\It is above Tanegashima in the southwestern Japanese archipelago.\It appears to be engaging Femieanne's Kataphrakt, Hellas. response:	What?!
context: As soon as we enter the detection area, scan for the Sky Carrier stolen by Slaine Troyard.\Princess Asseylum is alive.\I have seen her with my own two eyes.\Milord Saazbaum.\I have located the specified craft.\It is above Tanegashima in the southwestern Japanese archipelago.\It appears to be engaging Femieanne's Kataphrakt, Hellas.\What?! response:	Tanegashima, you say?
context: Princess Asseylum is alive.\I have seen her with my own two eyes.\Milord Saazbaum.\I have located the specified craft.\It is above Tanegashima in the southwestern Japanese archipelago.\It appears to be engaging Femieanne's Kataphrakt, Hellas.\What?!\Tanegashima, you say? response:	What is this place?
context: I have seen her with my own two eyes.\Milord Saazbaum.\I have located the specified craft.\It is above Tanegashima in the southwestern Japanese archipelago.\It appears to be engaging Femieanne's Kataphrakt, Hellas.\What?!\Tanegashima, you say?\What is this place? response:	I've never heard anything about there being a base like this on Tanegashima.
context: Milord Saazbaum.\I have located the specified craft.\It is above Tanegashima in the southwestern Japanese archipelago.\It appears to be engaging Femieanne's Kataphrakt, Hellas.\What?!\Tanegashima, you say?\What is this place?\I've never heard anything about there being a base like this on Tanegashima. response:	But whatever it is, let's get everyone off the ship.
context: I have located the specified craft.\It is above Tanegashima in the southwestern Japanese archipelago.\It appears to be engaging Femieanne's Kataphrakt, Hellas.\What?!\Tanegashima, you say?\What is this place?\I've never heard anything about there being a base like this on Tanegashima.\But whatever it is, let's get everyone off the ship. response:	Lieutenant!
context: It is above Tanegashima in the southwestern Japanese archipelago.\It appears to be engaging Femieanne's Kataphrakt, Hellas.\What?!\Tanegashima, you say?\What is this place?\I've never heard anything about there being a base like this on Tanegashima.\But whatever it is, let's get everyone off the ship.\Lieutenant! response:	Are you okay?! Lt. Marito!
context: It appears to be engaging Femieanne's Kataphrakt, Hellas.\What?!\Tanegashima, you say?\What is this place?\I've never heard anything about there being a base like this on Tanegashima.\But whatever it is, let's get everyone off the ship.\Lieutenant!\Are you okay?! Lt. Marito! response:	Don't push!
context: What?!\Tanegashima, you say?\What is this place?\I've never heard anything about there being a base like this on Tanegashima.\But whatever it is, let's get everyone off the ship.\Lieutenant!\Are you okay?! Lt. Marito!\Don't push! response:	Try not to breathe in the smoke!
context: Tanegashima, you say?\What is this place?\I've never heard anything about there being a base like this on Tanegashima.\But whatever it is, let's get everyone off the ship.\Lieutenant!\Are you okay?! Lt. Marito!\Don't push!\Try not to breathe in the smoke! response:	Evacuating the noncombatants has top priority!
context: What is this place?\I've never heard anything about there being a base like this on Tanegashima.\But whatever it is, let's get everyone off the ship.\Lieutenant!\Are you okay?! Lt. Marito!\Don't push!\Try not to breathe in the smoke!\Evacuating the noncombatants has top priority! response:	Then the wounded! Leave no one behind!
context: I've never heard anything about there being a base like this on Tanegashima.\But whatever it is, let's get everyone off the ship.\Lieutenant!\Are you okay?! Lt. Marito!\Don't push!\Try not to breathe in the smoke!\Evacuating the noncombatants has top priority!\Then the wounded! Leave no one behind! response:	Yes, sir!
context: But whatever it is, let's get everyone off the ship.\Lieutenant!\Are you okay?! Lt. Marito!\Don't push!\Try not to breathe in the smoke!\Evacuating the noncombatants has top priority!\Then the wounded! Leave no one behind!\Yes, sir! response:	Matsuribi-senpai!
context: Lieutenant!\Are you okay?! Lt. Marito!\Don't push!\Try not to breathe in the smoke!\Evacuating the noncombatants has top priority!\Then the wounded! Leave no one behind!\Yes, sir!\Matsuribi-senpai! response:	Where's Mustang Platoon?
