context: Count Cruhteo? response:	Yes, his eldest son inherited his title.
context: Count Cruhteo?\Yes, his eldest son inherited his title. response:	Klancain, eh?
context: Count Cruhteo?\Yes, his eldest son inherited his title.\Klancain, eh? response:	I have heard that he is intensely loyal to the emperor.
context: Count Cruhteo?\Yes, his eldest son inherited his title.\Klancain, eh?\I have heard that he is intensely loyal to the emperor. response:	Those who have not yet submitted to me are essentially loyalists.
context: Count Cruhteo?\Yes, his eldest son inherited his title.\Klancain, eh?\I have heard that he is intensely loyal to the emperor.\Those who have not yet submitted to me are essentially loyalists. response:	If we can sway him over to our camp,
context: Count Cruhteo?\Yes, his eldest son inherited his title.\Klancain, eh?\I have heard that he is intensely loyal to the emperor.\Those who have not yet submitted to me are essentially loyalists.\If we can sway him over to our camp, response:	it would be possible to get them all to change sides at once.
context: Count Cruhteo?\Yes, his eldest son inherited his title.\Klancain, eh?\I have heard that he is intensely loyal to the emperor.\Those who have not yet submitted to me are essentially loyalists.\If we can sway him over to our camp,\it would be possible to get them all to change sides at once. response:	Indeed.
context: Count Cruhteo?\Yes, his eldest son inherited his title.\Klancain, eh?\I have heard that he is intensely loyal to the emperor.\Those who have not yet submitted to me are essentially loyalists.\If we can sway him over to our camp,\it would be possible to get them all to change sides at once.\Indeed. response:	The question, though, is whether he is a man who can be trusted.
context: Yes, his eldest son inherited his title.\Klancain, eh?\I have heard that he is intensely loyal to the emperor.\Those who have not yet submitted to me are essentially loyalists.\If we can sway him over to our camp,\it would be possible to get them all to change sides at once.\Indeed.\The question, though, is whether he is a man who can be trusted. response:	Deucalion, lift off!
context: Klancain, eh?\I have heard that he is intensely loyal to the emperor.\Those who have not yet submitted to me are essentially loyalists.\If we can sway him over to our camp,\it would be possible to get them all to change sides at once.\Indeed.\The question, though, is whether he is a man who can be trusted.\Deucalion, lift off! response:	All ahead dead slow!
context: I have heard that he is intensely loyal to the emperor.\Those who have not yet submitted to me are essentially loyalists.\If we can sway him over to our camp,\it would be possible to get them all to change sides at once.\Indeed.\The question, though, is whether he is a man who can be trusted.\Deucalion, lift off!\All ahead dead slow! response:	All ahead dead slow!
context: Those who have not yet submitted to me are essentially loyalists.\If we can sway him over to our camp,\it would be possible to get them all to change sides at once.\Indeed.\The question, though, is whether he is a man who can be trusted.\Deucalion, lift off!\All ahead dead slow!\All ahead dead slow! response:	We will now leave the atmosphere and make for the Satellite Belt.
context: If we can sway him over to our camp,\it would be possible to get them all to change sides at once.\Indeed.\The question, though, is whether he is a man who can be trusted.\Deucalion, lift off!\All ahead dead slow!\All ahead dead slow!\We will now leave the atmosphere and make for the Satellite Belt. response:	Our staging area is Parnassos Base!
context: it would be possible to get them all to change sides at once.\Indeed.\The question, though, is whether he is a man who can be trusted.\Deucalion, lift off!\All ahead dead slow!\All ahead dead slow!\We will now leave the atmosphere and make for the Satellite Belt.\Our staging area is Parnassos Base! response:	Our attack target is the enemy's moonbase.
context: Indeed.\The question, though, is whether he is a man who can be trusted.\Deucalion, lift off!\All ahead dead slow!\All ahead dead slow!\We will now leave the atmosphere and make for the Satellite Belt.\Our staging area is Parnassos Base!\Our attack target is the enemy's moonbase. response:	It is the main enemy fortress where Princess Asseylum is.
context: The question, though, is whether he is a man who can be trusted.\Deucalion, lift off!\All ahead dead slow!\All ahead dead slow!\We will now leave the atmosphere and make for the Satellite Belt.\Our staging area is Parnassos Base!\Our attack target is the enemy's moonbase.\It is the main enemy fortress where Princess Asseylum is. response:	Given that the Landing Castle in the sector we are approaching
context: Deucalion, lift off!\All ahead dead slow!\All ahead dead slow!\We will now leave the atmosphere and make for the Satellite Belt.\Our staging area is Parnassos Base!\Our attack target is the enemy's moonbase.\It is the main enemy fortress where Princess Asseylum is.\Given that the Landing Castle in the sector we are approaching response:	is likely to serve as a shelter for Princess Asseylum in the event of an attack,
context: All ahead dead slow!\All ahead dead slow!\We will now leave the atmosphere and make for the Satellite Belt.\Our staging area is Parnassos Base!\Our attack target is the enemy's moonbase.\It is the main enemy fortress where Princess Asseylum is.\Given that the Landing Castle in the sector we are approaching\is likely to serve as a shelter for Princess Asseylum in the event of an attack, response:	it will be necessary to attack these two fortifications simultaneously.
context: All ahead dead slow!\We will now leave the atmosphere and make for the Satellite Belt.\Our staging area is Parnassos Base!\Our attack target is the enemy's moonbase.\It is the main enemy fortress where Princess Asseylum is.\Given that the Landing Castle in the sector we are approaching\is likely to serve as a shelter for Princess Asseylum in the event of an attack,\it will be necessary to attack these two fortifications simultaneously. response:	Therefore, we will be splitting our forces into two for this operation.
context: We will now leave the atmosphere and make for the Satellite Belt.\Our staging area is Parnassos Base!\Our attack target is the enemy's moonbase.\It is the main enemy fortress where Princess Asseylum is.\Given that the Landing Castle in the sector we are approaching\is likely to serve as a shelter for Princess Asseylum in the event of an attack,\it will be necessary to attack these two fortifications simultaneously.\Therefore, we will be splitting our forces into two for this operation. response:	Breton Company and the Deucalion will, at 2200 hours Earth Standard Time,
context: Our staging area is Parnassos Base!\Our attack target is the enemy's moonbase.\It is the main enemy fortress where Princess Asseylum is.\Given that the Landing Castle in the sector we are approaching\is likely to serve as a shelter for Princess Asseylum in the event of an attack,\it will be necessary to attack these two fortifications simultaneously.\Therefore, we will be splitting our forces into two for this operation.\Breton Company and the Deucalion will, at 2200 hours Earth Standard Time, response:	commence their attack against the Landing Castle.
context: Our attack target is the enemy's moonbase.\It is the main enemy fortress where Princess Asseylum is.\Given that the Landing Castle in the sector we are approaching\is likely to serve as a shelter for Princess Asseylum in the event of an attack,\it will be necessary to attack these two fortifications simultaneously.\Therefore, we will be splitting our forces into two for this operation.\Breton Company and the Deucalion will, at 2200 hours Earth Standard Time,\commence their attack against the Landing Castle. response:	After we have confirmation that the enemy moonbase's forces
context: It is the main enemy fortress where Princess Asseylum is.\Given that the Landing Castle in the sector we are approaching\is likely to serve as a shelter for Princess Asseylum in the event of an attack,\it will be necessary to attack these two fortifications simultaneously.\Therefore, we will be splitting our forces into two for this operation.\Breton Company and the Deucalion will, at 2200 hours Earth Standard Time,\commence their attack against the Landing Castle.\After we have confirmation that the enemy moonbase's forces response:	have split off to defend the Landing Castle,
context: Given that the Landing Castle in the sector we are approaching\is likely to serve as a shelter for Princess Asseylum in the event of an attack,\it will be necessary to attack these two fortifications simultaneously.\Therefore, we will be splitting our forces into two for this operation.\Breton Company and the Deucalion will, at 2200 hours Earth Standard Time,\commence their attack against the Landing Castle.\After we have confirmation that the enemy moonbase's forces\have split off to defend the Landing Castle, response:	Trakehner Company will make use of the asteroids that litter the area.
context: is likely to serve as a shelter for Princess Asseylum in the event of an attack,\it will be necessary to attack these two fortifications simultaneously.\Therefore, we will be splitting our forces into two for this operation.\Breton Company and the Deucalion will, at 2200 hours Earth Standard Time,\commence their attack against the Landing Castle.\After we have confirmation that the enemy moonbase's forces\have split off to defend the Landing Castle,\Trakehner Company will make use of the asteroids that litter the area. response:	They will conceal their approach of the enemy base and then strike!
context: it will be necessary to attack these two fortifications simultaneously.\Therefore, we will be splitting our forces into two for this operation.\Breton Company and the Deucalion will, at 2200 hours Earth Standard Time,\commence their attack against the Landing Castle.\After we have confirmation that the enemy moonbase's forces\have split off to defend the Landing Castle,\Trakehner Company will make use of the asteroids that litter the area.\They will conceal their approach of the enemy base and then strike! response:	This operation is designated Operation Luna Gate.
context: Therefore, we will be splitting our forces into two for this operation.\Breton Company and the Deucalion will, at 2200 hours Earth Standard Time,\commence their attack against the Landing Castle.\After we have confirmation that the enemy moonbase's forces\have split off to defend the Landing Castle,\Trakehner Company will make use of the asteroids that litter the area.\They will conceal their approach of the enemy base and then strike!\This operation is designated Operation Luna Gate. response:	Forgive me, Milady.
context: Breton Company and the Deucalion will, at 2200 hours Earth Standard Time,\commence their attack against the Landing Castle.\After we have confirmation that the enemy moonbase's forces\have split off to defend the Landing Castle,\Trakehner Company will make use of the asteroids that litter the area.\They will conceal their approach of the enemy base and then strike!\This operation is designated Operation Luna Gate.\Forgive me, Milady. response:	If I had not been so careless...
context: commence their attack against the Landing Castle.\After we have confirmation that the enemy moonbase's forces\have split off to defend the Landing Castle,\Trakehner Company will make use of the asteroids that litter the area.\They will conceal their approach of the enemy base and then strike!\This operation is designated Operation Luna Gate.\Forgive me, Milady.\If I had not been so careless... response:	No, any blame must rest with me.
context: After we have confirmation that the enemy moonbase's forces\have split off to defend the Landing Castle,\Trakehner Company will make use of the asteroids that litter the area.\They will conceal their approach of the enemy base and then strike!\This operation is designated Operation Luna Gate.\Forgive me, Milady.\If I had not been so careless...\No, any blame must rest with me. response:	This entire situation began with me.
context: have split off to defend the Landing Castle,\Trakehner Company will make use of the asteroids that litter the area.\They will conceal their approach of the enemy base and then strike!\This operation is designated Operation Luna Gate.\Forgive me, Milady.\If I had not been so careless...\No, any blame must rest with me.\This entire situation began with me. response:	Don't say such things, Milady...
context: Trakehner Company will make use of the asteroids that litter the area.\They will conceal their approach of the enemy base and then strike!\This operation is designated Operation Luna Gate.\Forgive me, Milady.\If I had not been so careless...\No, any blame must rest with me.\This entire situation began with me.\Don't say such things, Milady... response:	You are right.
context: They will conceal their approach of the enemy base and then strike!\This operation is designated Operation Luna Gate.\Forgive me, Milady.\If I had not been so careless...\No, any blame must rest with me.\This entire situation began with me.\Don't say such things, Milady...\You are right. response:	If you were truly gone...
context: This operation is designated Operation Luna Gate.\Forgive me, Milady.\If I had not been so careless...\No, any blame must rest with me.\This entire situation began with me.\Don't say such things, Milady...\You are right.\If you were truly gone... response:	If you had remained asleep, everything would have gone smoothly.
context: Forgive me, Milady.\If I had not been so careless...\No, any blame must rest with me.\This entire situation began with me.\Don't say such things, Milady...\You are right.\If you were truly gone...\If you had remained asleep, everything would have gone smoothly. response:	No one wept for you... And he would not have been corrupted...
context: If I had not been so careless...\No, any blame must rest with me.\This entire situation began with me.\Don't say such things, Milady...\You are right.\If you were truly gone...\If you had remained asleep, everything would have gone smoothly.\No one wept for you... And he would not have been corrupted... response:	You care deeply for Slaine, don't you?
context: No, any blame must rest with me.\This entire situation began with me.\Don't say such things, Milady...\You are right.\If you were truly gone...\If you had remained asleep, everything would have gone smoothly.\No one wept for you... And he would not have been corrupted...\You care deeply for Slaine, don't you? response:	And you?! What about you?!
context: This entire situation began with me.\Don't say such things, Milady...\You are right.\If you were truly gone...\If you had remained asleep, everything would have gone smoothly.\No one wept for you... And he would not have been corrupted...\You care deeply for Slaine, don't you?\And you?! What about you?! response:	Who do you care for?!
context: Don't say such things, Milady...\You are right.\If you were truly gone...\If you had remained asleep, everything would have gone smoothly.\No one wept for you... And he would not have been corrupted...\You care deeply for Slaine, don't you?\And you?! What about you?!\Who do you care for?! response:	My heart belongs to the world of Vers and the people who dwell there.
context: You are right.\If you were truly gone...\If you had remained asleep, everything would have gone smoothly.\No one wept for you... And he would not have been corrupted...\You care deeply for Slaine, don't you?\And you?! What about you?!\Who do you care for?!\My heart belongs to the world of Vers and the people who dwell there. response:	That is what I was taught and how I have lived my life.
context: If you were truly gone...\If you had remained asleep, everything would have gone smoothly.\No one wept for you... And he would not have been corrupted...\You care deeply for Slaine, don't you?\And you?! What about you?!\Who do you care for?!\My heart belongs to the world of Vers and the people who dwell there.\That is what I was taught and how I have lived my life. response:	I feel sorry for you.
context: If you had remained asleep, everything would have gone smoothly.\No one wept for you... And he would not have been corrupted...\You care deeply for Slaine, don't you?\And you?! What about you?!\Who do you care for?!\My heart belongs to the world of Vers and the people who dwell there.\That is what I was taught and how I have lived my life.\I feel sorry for you. response:	We will attack the Landing Castle along with Breton Company.
context: No one wept for you... And he would not have been corrupted...\You care deeply for Slaine, don't you?\And you?! What about you?!\Who do you care for?!\My heart belongs to the world of Vers and the people who dwell there.\That is what I was taught and how I have lived my life.\I feel sorry for you.\We will attack the Landing Castle along with Breton Company. response:	We are responsible for half of this two-front operation,
context: You care deeply for Slaine, don't you?\And you?! What about you?!\Who do you care for?!\My heart belongs to the world of Vers and the people who dwell there.\That is what I was taught and how I have lived my life.\I feel sorry for you.\We will attack the Landing Castle along with Breton Company.\We are responsible for half of this two-front operation, response:	the second being the attack on the moonbase.
context: And you?! What about you?!\Who do you care for?!\My heart belongs to the world of Vers and the people who dwell there.\That is what I was taught and how I have lived my life.\I feel sorry for you.\We will attack the Landing Castle along with Breton Company.\We are responsible for half of this two-front operation,\the second being the attack on the moonbase. response:	That is the mission we have been given by headquarters.
context: Who do you care for?!\My heart belongs to the world of Vers and the people who dwell there.\That is what I was taught and how I have lived my life.\I feel sorry for you.\We will attack the Landing Castle along with Breton Company.\We are responsible for half of this two-front operation,\the second being the attack on the moonbase.\That is the mission we have been given by headquarters. response:	A two-front operation?
context: My heart belongs to the world of Vers and the people who dwell there.\That is what I was taught and how I have lived my life.\I feel sorry for you.\We will attack the Landing Castle along with Breton Company.\We are responsible for half of this two-front operation,\the second being the attack on the moonbase.\That is the mission we have been given by headquarters.\A two-front operation? response:	Basically, we're just here to get the enemy to divide his forces.
context: That is what I was taught and how I have lived my life.\I feel sorry for you.\We will attack the Landing Castle along with Breton Company.\We are responsible for half of this two-front operation,\the second being the attack on the moonbase.\That is the mission we have been given by headquarters.\A two-front operation?\Basically, we're just here to get the enemy to divide his forces. response:	By using this ship as bait again...
context: I feel sorry for you.\We will attack the Landing Castle along with Breton Company.\We are responsible for half of this two-front operation,\the second being the attack on the moonbase.\That is the mission we have been given by headquarters.\A two-front operation?\Basically, we're just here to get the enemy to divide his forces.\By using this ship as bait again... response:	However, I have no intention of accepting that role lying down.
context: We will attack the Landing Castle along with Breton Company.\We are responsible for half of this two-front operation,\the second being the attack on the moonbase.\That is the mission we have been given by headquarters.\A two-front operation?\Basically, we're just here to get the enemy to divide his forces.\By using this ship as bait again...\However, I have no intention of accepting that role lying down. response:	People, don't throw your lives away,
context: We are responsible for half of this two-front operation,\the second being the attack on the moonbase.\That is the mission we have been given by headquarters.\A two-front operation?\Basically, we're just here to get the enemy to divide his forces.\By using this ship as bait again...\However, I have no intention of accepting that role lying down.\People, don't throw your lives away, response:	and until we return to Earth,
context: the second being the attack on the moonbase.\That is the mission we have been given by headquarters.\A two-front operation?\Basically, we're just here to get the enemy to divide his forces.\By using this ship as bait again...\However, I have no intention of accepting that role lying down.\People, don't throw your lives away,\and until we return to Earth, response:	I want you to do your best.
context: That is the mission we have been given by headquarters.\A two-front operation?\Basically, we're just here to get the enemy to divide his forces.\By using this ship as bait again...\However, I have no intention of accepting that role lying down.\People, don't throw your lives away,\and until we return to Earth,\I want you to do your best. response:	Dismissed.
context: A two-front operation?\Basically, we're just here to get the enemy to divide his forces.\By using this ship as bait again...\However, I have no intention of accepting that role lying down.\People, don't throw your lives away,\and until we return to Earth,\I want you to do your best.\Dismissed. response:	All hands to your assigned stations!
context: Basically, we're just here to get the enemy to divide his forces.\By using this ship as bait again...\However, I have no intention of accepting that role lying down.\People, don't throw your lives away,\and until we return to Earth,\I want you to do your best.\Dismissed.\All hands to your assigned stations! response:	Captain.
context: By using this ship as bait again...\However, I have no intention of accepting that role lying down.\People, don't throw your lives away,\and until we return to Earth,\I want you to do your best.\Dismissed.\All hands to your assigned stations!\Captain. response:	I had a feeling you would speak with me.
context: However, I have no intention of accepting that role lying down.\People, don't throw your lives away,\and until we return to Earth,\I want you to do your best.\Dismissed.\All hands to your assigned stations!\Captain.\I had a feeling you would speak with me. response:	I have something to discuss with you, too.
context: People, don't throw your lives away,\and until we return to Earth,\I want you to do your best.\Dismissed.\All hands to your assigned stations!\Captain.\I had a feeling you would speak with me.\I have something to discuss with you, too. response:	I apologize for the delay.
context: and until we return to Earth,\I want you to do your best.\Dismissed.\All hands to your assigned stations!\Captain.\I had a feeling you would speak with me.\I have something to discuss with you, too.\I apologize for the delay. response:	As I understand it, you have come all this way
context: I want you to do your best.\Dismissed.\All hands to your assigned stations!\Captain.\I had a feeling you would speak with me.\I have something to discuss with you, too.\I apologize for the delay.\As I understand it, you have come all this way response:	to offer your condolences over my father, Count Saazbaum.
context: Dismissed.\All hands to your assigned stations!\Captain.\I had a feeling you would speak with me.\I have something to discuss with you, too.\I apologize for the delay.\As I understand it, you have come all this way\to offer your condolences over my father, Count Saazbaum. response:	We are quite a long way from Vers, after all.
context: All hands to your assigned stations!\Captain.\I had a feeling you would speak with me.\I have something to discuss with you, too.\I apologize for the delay.\As I understand it, you have come all this way\to offer your condolences over my father, Count Saazbaum.\We are quite a long way from Vers, after all. response:	That, as well as congratulations for your succession,
context: Captain.\I had a feeling you would speak with me.\I have something to discuss with you, too.\I apologize for the delay.\As I understand it, you have come all this way\to offer your condolences over my father, Count Saazbaum.\We are quite a long way from Vers, after all.\That, as well as congratulations for your succession, response:	are long overdue, Lord Troyard.
context: I had a feeling you would speak with me.\I have something to discuss with you, too.\I apologize for the delay.\As I understand it, you have come all this way\to offer your condolences over my father, Count Saazbaum.\We are quite a long way from Vers, after all.\That, as well as congratulations for your succession,\are long overdue, Lord Troyard. response:	No, it is I who must apologize
context: I have something to discuss with you, too.\I apologize for the delay.\As I understand it, you have come all this way\to offer your condolences over my father, Count Saazbaum.\We are quite a long way from Vers, after all.\That, as well as congratulations for your succession,\are long overdue, Lord Troyard.\No, it is I who must apologize response:	for failing to congratulate you on your own succession to the peerage, Count Cruhteo.
